"","date","RCL"
"1","2007-01-03",43.48
"2","2007-01-04",43.799999
"3","2007-01-05",43.369999
"4","2007-01-08",43.790001
"5","2007-01-09",44.98
"6","2007-01-10",44.400002
"7","2007-01-11",44.830002
"8","2007-01-12",44.75
"9","2007-01-16",44.48
"10","2007-01-17",44.299999
"11","2007-01-18",44.450001
"12","2007-01-19",44.369999
"13","2007-01-22",44.5
"14","2007-01-23",44.150002
"15","2007-01-24",44.43
"16","2007-01-25",44.150002
"17","2007-01-26",44.580002
"18","2007-01-29",44.900002
"19","2007-01-30",45.450001
"20","2007-01-31",44.93
"21","2007-02-01",45.389999
"22","2007-02-02",45.84
"23","2007-02-05",43.509998
"24","2007-02-06",41.82
"25","2007-02-07",41.59
"26","2007-02-08",41.700001
"27","2007-02-09",41.02
"28","2007-02-12",40.75
"29","2007-02-13",41.099998
"30","2007-02-14",41.299999
"31","2007-02-15",40.650002
"32","2007-02-16",40.509998
"33","2007-02-20",40.860001
"34","2007-02-21",40.73
"35","2007-02-22",41
"36","2007-02-23",41.189999
"37","2007-02-26",41.549999
"38","2007-02-27",40.57
"39","2007-02-28",40.529999
"40","2007-03-01",39.75
"41","2007-03-02",39.950001
"42","2007-03-05",38.970001
"43","2007-03-06",40.279999
"44","2007-03-07",39.84
"45","2007-03-08",40.610001
"46","2007-03-09",40.77
"47","2007-03-12",41.880001
"48","2007-03-13",41.040001
"49","2007-03-14",40.639999
"50","2007-03-15",40.790001
"51","2007-03-16",41.779999
"52","2007-03-19",42.169998
"53","2007-03-20",41.630001
"54","2007-03-21",43.52
"55","2007-03-22",43.5
"56","2007-03-23",43.619999
"57","2007-03-26",43.029999
"58","2007-03-27",42.700001
"59","2007-03-28",41.889999
"60","2007-03-29",42.25
"61","2007-03-30",42.16
"62","2007-04-02",42.119999
"63","2007-04-03",42.650002
"64","2007-04-04",42.700001
"65","2007-04-05",42.540001
"66","2007-04-09",42.490002
"67","2007-04-10",42.07
"68","2007-04-11",41.130001
"69","2007-04-12",41.439999
"70","2007-04-13",41.18
"71","2007-04-16",41.869999
"72","2007-04-17",41.900002
"73","2007-04-18",42.209999
"74","2007-04-19",41.259998
"75","2007-04-20",41.009998
"76","2007-04-23",41
"77","2007-04-24",41.02
"78","2007-04-25",42.16
"79","2007-04-26",42.389999
"80","2007-04-27",42.450001
"81","2007-04-30",41.57
"82","2007-05-01",41.98
"83","2007-05-02",41.75
"84","2007-05-03",41.299999
"85","2007-05-04",41.029999
"86","2007-05-07",41.07
"87","2007-05-08",41.099998
"88","2007-05-09",41.900002
"89","2007-05-10",41.860001
"90","2007-05-11",42.790001
"91","2007-05-14",42
"92","2007-05-15",41.68
"93","2007-05-16",41.93
"94","2007-05-17",40.73
"95","2007-05-18",42.02
"96","2007-05-21",42.209999
"97","2007-05-22",42.959999
"98","2007-05-23",42.41
"99","2007-05-24",42.400002
"100","2007-05-25",42.650002
"101","2007-05-29",42.98
"102","2007-05-30",42.700001
"103","2007-05-31",43.48
"104","2007-06-01",43.700001
"105","2007-06-04",44.189999
"106","2007-06-05",44.950001
"107","2007-06-06",44.630001
"108","2007-06-07",43.599998
"109","2007-06-08",42.59
"110","2007-06-11",43.060001
"111","2007-06-12",42.700001
"112","2007-06-13",42.869999
"113","2007-06-14",42.439999
"114","2007-06-15",42.259998
"115","2007-06-18",41.490002
"116","2007-06-19",41.57
