"","date","RDI"
"1","2007-01-03",8.3
"2","2007-01-04",8.3
"3","2007-01-05",8.3
"4","2007-01-08",8.3
"5","2007-01-09",8.3
"6","2007-01-10",8.4
"7","2007-01-11",8.4
"8","2007-01-12",8.44
"9","2007-01-16",8.41
"10","2007-01-17",8.37
"11","2007-01-18",8.44
"12","2007-01-19",8.35
"13","2007-01-22",8.49
"14","2007-01-23",8.63
"15","2007-01-24",8.55
"16","2007-01-25",8.44
"17","2007-01-26",8.43
"18","2007-01-29",8.43
"19","2007-01-30",8.7
"20","2007-01-31",8.6
"21","2007-02-01",8.55
"22","2007-02-02",8.6
"23","2007-02-05",8.56
"24","2007-02-06",8.62
"25","2007-02-07",8.62
"26","2007-02-08",8.64
"27","2007-02-09",8.63
"28","2007-02-12",8.63
"29","2007-02-13",8.59
"30","2007-02-14",8.6
"31","2007-02-15",8.59
"32","2007-02-16",8.59
"33","2007-02-20",8.52
"34","2007-02-21",8.52
"35","2007-02-22",8.49
"36","2007-02-23",8.54
"37","2007-02-26",8.53
"38","2007-02-27",8.34
"39","2007-02-28",8.28
"40","2007-03-01",8.18
"41","2007-03-02",8.19
"42","2007-03-05",8.18
"43","2007-03-06",8.34
"44","2007-03-07",8.34
"45","2007-03-08",8.34
"46","2007-03-09",8.4
"47","2007-03-12",8.45
"48","2007-03-13",8.44
"49","2007-03-14",8.44
"50","2007-03-15",8.4
"51","2007-03-16",8.38
"52","2007-03-19",8.46
"53","2007-03-20",8.45
"54","2007-03-21",8.45
"55","2007-03-22",8.5
"56","2007-03-23",8.4
"57","2007-03-26",8.46
"58","2007-03-27",8.57
"59","2007-03-28",8.54
"60","2007-03-29",8.46
"61","2007-03-30",8.52
"62","2007-04-02",8.64
"63","2007-04-03",8.53
"64","2007-04-04",8.45
"65","2007-04-05",8.39
"66","2007-04-09",8.43
"67","2007-04-10",8.4
"68","2007-04-11",8.41
"69","2007-04-12",8.4
"70","2007-04-13",8.42
"71","2007-04-16",8.35
"72","2007-04-17",8.43
"73","2007-04-18",8.38
"74","2007-04-19",8.4
"75","2007-04-20",8.58
"76","2007-04-23",8.52
"77","2007-04-24",8.48
"78","2007-04-25",8.54
"79","2007-04-26",8.54
"80","2007-04-27",8.54
"81","2007-04-30",8.54
