"","date","REGN"
"1","2007-01-03",19.809999
"2","2007-01-04",20.18
"3","2007-01-05",20.799999
"4","2007-01-08",21.15
"5","2007-01-09",21.27
"6","2007-01-10",21.92
"7","2007-01-11",22.549999
"8","2007-01-12",22.74
"9","2007-01-16",22.549999
"10","2007-01-17",22.51
"11","2007-01-18",21.879999
"12","2007-01-19",21.77
"13","2007-01-22",21.700001
"14","2007-01-23",20.85
"15","2007-01-24",21.040001
"16","2007-01-25",20.07
"17","2007-01-26",19.92
"18","2007-01-29",19.84
"19","2007-01-30",20.59
"20","2007-01-31",19.889999
"21","2007-02-01",20.27
"22","2007-02-02",20.18
"23","2007-02-05",19.459999
"24","2007-02-06",19.040001
"25","2007-02-07",19.690001
"26","2007-02-08",19.84
"27","2007-02-09",19.889999
"28","2007-02-12",20.27
"29","2007-02-13",21.66
"30","2007-02-14",21.870001
"31","2007-02-15",22.059999
"32","2007-02-16",22
"33","2007-02-20",22.639999
"34","2007-02-21",22.49
"35","2007-02-22",22.190001
"36","2007-02-23",21.6
"37","2007-02-26",21.18
"38","2007-02-27",19.92
"39","2007-02-28",19.84
"40","2007-03-01",19.219999
"41","2007-03-02",18.68
"42","2007-03-05",18.76
"43","2007-03-06",19.059999
"44","2007-03-07",18.639999
"45","2007-03-08",19.280001
"46","2007-03-09",19.02
"47","2007-03-12",19.040001
"48","2007-03-13",18.379999
"49","2007-03-14",18.51
"50","2007-03-15",18.57
"51","2007-03-16",18.370001
"52","2007-03-19",18.610001
"53","2007-03-20",19.040001
"54","2007-03-21",19.4
"55","2007-03-22",19.49
"56","2007-03-23",19.440001
"57","2007-03-26",19.15
"58","2007-03-27",22
"59","2007-03-28",21.540001
"60","2007-03-29",21.25
"61","2007-03-30",21.620001
"62","2007-04-02",21.91
"63","2007-04-03",22.49
"64","2007-04-04",22.84
"65","2007-04-05",23.360001
"66","2007-04-09",23.959999
"67","2007-04-10",23.58
"68","2007-04-11",23.440001
"69","2007-04-12",24.200001
"70","2007-04-13",25.040001
"71","2007-04-16",24.59
"72","2007-04-17",24.389999
"73","2007-04-18",24.1
"74","2007-04-19",24.440001
"75","2007-04-20",25.9
"76","2007-04-23",25.99
"77","2007-04-24",26.67
"78","2007-04-25",27.360001
"79","2007-04-26",28.42
"80","2007-04-27",27.58
"81","2007-04-30",27.200001
"82","2007-05-01",27.76
"83","2007-05-02",28.6
"84","2007-05-03",28.35
"85","2007-05-04",28.530001
"86","2007-05-07",28.16
"87","2007-05-08",27.700001
"88","2007-05-09",27.01
"89","2007-05-10",26.43
"90","2007-05-11",28.35
"91","2007-05-14",27.4
"92","2007-05-15",26.74
"93","2007-05-16",25.73
"94","2007-05-17",24.07
"95","2007-05-18",24.870001
"96","2007-05-21",24.700001
"97","2007-05-22",24.309999
"98","2007-05-23",24.41
"99","2007-05-24",23.299999
"100","2007-05-25",22.99
"101","2007-05-29",23.030001
"102","2007-05-30",23.030001
"103","2007-05-31",22.440001
"104","2007-06-01",22.99
"105","2007-06-04",20.309999
"106","2007-06-05",19.940001
"107","2007-06-06",19.110001
"108","2007-06-07",18.219999
"109","2007-06-08",18.639999
"110","2007-06-11",18.27
"111","2007-06-12",17.950001
"112","2007-06-13",18.25
"113","2007-06-14",18.02
"114","2007-06-15",18.809999
"115","2007-06-18",18.25
"116","2007-06-19",19
"117","2007-06-20",18.26
"118","2007-06-21",18.32
"119","2007-06-22",17.93
"120","2007-06-25",17.889999
"121","2007-06-26",17.68
"122","2007-06-27",18.049999
"123","2007-06-28",17.950001
"124","2007-06-29",17.92
"125","2007-07-02",18.120001
"126","2007-07-03",18.02
"127","2007-07-05",18.1
"128","2007-07-06",18.1
"129","2007-07-09",18.01
"130","2007-07-10",17.98
"131","2007-07-11",17.799999
"132","2007-07-12",18.15
"133","2007-07-13",18.450001
"134","2007-07-16",17.51
"135","2007-07-17",17.530001
"136","2007-07-18",17.59
"137","2007-07-19",17.76
"138","2007-07-20",17.16
"139","2007-07-23",17.43
"140","2007-07-24",16.42
"141","2007-07-25",16.51
"142","2007-07-26",16.02
"143","2007-07-27",15.38
"144","2007-07-30",15.38
"145","2007-07-31",14.89
"146","2007-08-01",14.16
"147","2007-08-02",13.66
"148","2007-08-03",14.02
"149","2007-08-06",15.06
"150","2007-08-07",17.1
"151","2007-08-08",18.41
"152","2007-08-09",16.969999
"153","2007-08-10",16.23
"154","2007-08-13",16.1
"155","2007-08-14",16.68
"156","2007-08-15",16.219999
"157","2007-08-16",17.24
"158","2007-08-17",18.33
"159","2007-08-20",18.059999
"160","2007-08-21",18.4
"161","2007-08-22",18.450001
"162","2007-08-23",18.219999
"163","2007-08-24",18.540001
"164","2007-08-27",18.559999
"165","2007-08-28",18.09
"166","2007-08-29",19.16
"167","2007-08-30",18.940001
"168","2007-08-31",19.459999
"169","2007-09-04",20.4
"170","2007-09-05",20.690001
"171","2007-09-06",21.27
"172","2007-09-07",21.25
"173","2007-09-10",20.67
"174","2007-09-11",20.6
"175","2007-09-12",20.16
"176","2007-09-13",19.9
"177","2007-09-14",20.139999
"178","2007-09-17",18.639999
"179","2007-09-18",18.719999
"180","2007-09-19",19.040001
"181","2007-09-20",18.610001
"182","2007-09-21",18.889999
"183","2007-09-24",18.639999
"184","2007-09-25",18.73
"185","2007-09-26",18.49
"186","2007-09-27",17.959999
"187","2007-09-28",17.799999
"188","2007-10-01",18.469999
"189","2007-10-02",18.41
"190","2007-10-03",17.85
"191","2007-10-04",18.23
"192","2007-10-05",17.99
"193","2007-10-08",17.969999
"194","2007-10-09",17.51
"195","2007-10-10",18.5
"196","2007-10-11",18.809999
"197","2007-10-12",19.450001
"198","2007-10-15",20.68
"199","2007-10-16",19.700001
"200","2007-10-17",20.969999
"201","2007-10-18",20.639999
"202","2007-10-19",20.33
"203","2007-10-22",20.889999
"204","2007-10-23",21.799999
"205","2007-10-24",21.9
