"","date","RF"
"1","2007-01-03",38.02
"2","2007-01-04",37.84
"3","2007-01-05",37.189999
"4","2007-01-08",36.950001
"5","2007-01-09",37.060001
"6","2007-01-10",37.169998
"7","2007-01-11",37.290001
"8","2007-01-12",37.060001
"9","2007-01-16",36.900002
"10","2007-01-17",36.709999
"11","2007-01-18",37.23
"12","2007-01-19",36.470001
"13","2007-01-22",36.25
"14","2007-01-23",35.950001
"15","2007-01-24",36.220001
"16","2007-01-25",36.029999
"17","2007-01-26",36.130001
"18","2007-01-29",36.299999
"19","2007-01-30",36.200001
"20","2007-01-31",36.259998
"21","2007-02-01",36.209999
"22","2007-02-02",36.450001
"23","2007-02-05",36.779999
"24","2007-02-06",37.080002
"25","2007-02-07",37.27
"26","2007-02-08",37.380001
"27","2007-02-09",37.09
"28","2007-02-12",37.07
"29","2007-02-13",37.330002
"30","2007-02-14",37.349998
"31","2007-02-15",37.25
"32","2007-02-16",37.41
"33","2007-02-20",37.580002
"34","2007-02-21",37.25
"35","2007-02-22",37.439999
"36","2007-02-23",37.049999
"37","2007-02-26",36.669998
"38","2007-02-27",35.509998
"39","2007-02-28",35.82
"40","2007-03-01",35.639999
"41","2007-03-02",35.349998
"42","2007-03-05",34.68
"43","2007-03-06",35.650002
"44","2007-03-07",35.130001
"45","2007-03-08",35.400002
"46","2007-03-09",35.599998
"47","2007-03-12",35.650002
"48","2007-03-13",34.389999
"49","2007-03-14",34.77
"50","2007-03-15",34.630001
"51","2007-03-16",34.549999
"52","2007-03-19",34.990002
"53","2007-03-20",35.380001
"54","2007-03-21",36.310001
"55","2007-03-22",36.150002
"56","2007-03-23",36.130001
"57","2007-03-26",36.049999
"58","2007-03-27",35.740002
"59","2007-03-28",34.950001
"60","2007-03-29",35.580002
"61","2007-03-30",35.369999
"62","2007-04-02",34.75
"63","2007-04-03",35.330002
"64","2007-04-04",35.299999
"65","2007-04-05",35.279999
"66","2007-04-09",34.740002
"67","2007-04-10",34.82
"68","2007-04-11",34.369999
"69","2007-04-12",34.330002
"70","2007-04-13",34.68
"71","2007-04-16",34.599998
"72","2007-04-17",34.23
"73","2007-04-18",35.02
"74","2007-04-19",34.93
"75","2007-04-20",35.529999
"76","2007-04-23",35.290001
"77","2007-04-24",35.07
"78","2007-04-25",35.490002
"79","2007-04-26",35.400002
"80","2007-04-27",35.330002
"81","2007-04-30",35.09
"82","2007-05-01",35.09
"83","2007-05-02",35.009998
"84","2007-05-03",35.830002
"85","2007-05-04",35.869999
"86","2007-05-07",36.080002
"87","2007-05-08",35.759998
"88","2007-05-09",36.200001
"89","2007-05-10",35.73
"90","2007-05-11",36.18
"91","2007-05-14",35.849998
"92","2007-05-15",35.950001
"93","2007-05-16",36.330002
"94","2007-05-17",36.25
"95","2007-05-18",36.490002
"96","2007-05-21",36.279999
"97","2007-05-22",35.98
"98","2007-05-23",35.66
"99","2007-05-24",35.52
"100","2007-05-25",35.889999
"101","2007-05-29",35.700001
"102","2007-05-30",35.650002
"103","2007-05-31",35.669998
"104","2007-06-01",35.91
"105","2007-06-04",35.689999
"106","2007-06-05",35.290001
"107","2007-06-06",34.950001
"108","2007-06-07",34.400002
"109","2007-06-08",34.5
"110","2007-06-11",34.540001
"111","2007-06-12",33.98
"112","2007-06-13",34.34
"113","2007-06-14",34.18
"114","2007-06-15",34.5
"115","2007-06-18",34.389999
"116","2007-06-19",34.380001
"117","2007-06-20",34.139999
"118","2007-06-21",34.099998
"119","2007-06-22",33.52
"120","2007-06-25",33.25
"121","2007-06-26",33.34
"122","2007-06-27",33.57
"123","2007-06-28",33.549999
"124","2007-06-29",33.099998
"125","2007-07-02",33.889999
"126","2007-07-03",34.07
"127","2007-07-05",33.880001
"128","2007-07-06",33.75
"129","2007-07-09",33.599998
"130","2007-07-10",32.98
"131","2007-07-11",33.02
"132","2007-07-12",33.939999
"133","2007-07-13",34.049999
"134","2007-07-16",34.209999
"135","2007-07-17",33.57
"136","2007-07-18",33.259998
"137","2007-07-19",33.080002
"138","2007-07-20",32.619999
"139","2007-07-23",32.470001
"140","2007-07-24",31.66
"141","2007-07-25",31.959999
"142","2007-07-26",31.02
"143","2007-07-27",30.280001
"144","2007-07-30",30.83
"145","2007-07-31",30.07
"146","2007-08-01",30.610001
"147","2007-08-02",30.559999
"148","2007-08-03",29.09
"149","2007-08-06",30.639999
"150","2007-08-07",31.08
"151","2007-08-08",31.690001
"152","2007-08-09",30.09
"153","2007-08-10",30.690001
"154","2007-08-13",30.42
"155","2007-08-14",29.51
"156","2007-08-15",29.08
"157","2007-08-16",30.530001
"158","2007-08-17",32.060001
"159","2007-08-20",32.32
"160","2007-08-21",32.450001
"161","2007-08-22",32.799999
"162","2007-08-23",32.599998
"163","2007-08-24",32.68
"164","2007-08-27",32
"165","2007-08-28",30.879999
"166","2007-08-29",31.440001
"167","2007-08-30",31.299999
"168","2007-08-31",31.299999
"169","2007-09-04",31.280001
"170","2007-09-05",30.700001
"171","2007-09-06",30.82
"172","2007-09-07",30.42
"173","2007-09-10",30.26
"174","2007-09-11",30.82
"175","2007-09-12",30.799999
"176","2007-09-13",30.860001
"177","2007-09-14",30.76
"178","2007-09-17",30.809999
"179","2007-09-18",32.139999
"180","2007-09-19",32.09
"181","2007-09-20",31.389999
"182","2007-09-21",30.51
"183","2007-09-24",30.059999
"184","2007-09-25",29.48
"185","2007-09-26",29.57
"186","2007-09-27",29.92
"187","2007-09-28",29.48
"188","2007-10-01",30.299999
"189","2007-10-02",30.559999
"190","2007-10-03",30.709999
"191","2007-10-04",30.74
"192","2007-10-05",31.01
"193","2007-10-08",30.790001
"194","2007-10-09",30.969999
"195","2007-10-10",30.26
"196","2007-10-11",29.9
"197","2007-10-12",29.559999
"198","2007-10-15",29.129999
"199","2007-10-16",28.530001
"200","2007-10-17",28.059999
"201","2007-10-18",26.940001
"202","2007-10-19",26.4
"203","2007-10-22",26.66
"204","2007-10-23",26.66
"205","2007-10-24",26.299999
"206","2007-10-25",26.450001
"207","2007-10-26",27.02
"208","2007-10-29",26.99
"209","2007-10-30",26.940001
"210","2007-10-31",27.120001
"211","2007-11-01",25.84
"212","2007-11-02",25.24
"213","2007-11-05",25.059999
"214","2007-11-06",25.49
"215","2007-11-07",23.93
"216","2007-11-08",24.629999
"217","2007-11-09",25.030001
"218","2007-11-12",25.219999
"219","2007-11-13",26.49
"220","2007-11-14",25.52
"221","2007-11-15",24.68
"222","2007-11-16",24.32
"223","2007-11-19",23.77
"224","2007-11-20",23.559999
"225","2007-11-21",23.52
"226","2007-11-23",24.219999
"227","2007-11-26",23.01
"228","2007-11-27",24.57
"229","2007-11-28",25.889999
"230","2007-11-29",25.42
"231","2007-11-30",26.43
"232","2007-12-03",25.969999
"233","2007-12-04",25.6
"234","2007-12-05",26.440001
"235","2007-12-06",26.870001
"236","2007-12-07",26.440001
"237","2007-12-10",27.34
"238","2007-12-11",25.440001
"239","2007-12-12",24.65
"240","2007-12-13",24.43
"241","2007-12-14",24
"242","2007-12-17",23.889999
"243","2007-12-18",24.07
"244","2007-12-19",23.709999
"245","2007-12-20",23.75
"246","2007-12-21",24.4
"247","2007-12-24",24.76
"248","2007-12-26",24.48
"249","2007-12-27",24.09
"250","2007-12-28",23.59
"251","2007-12-31",23.65
"252","2008-01-02",23.280001
"253","2008-01-03",23.280001
"254","2008-01-04",20.799999
"255","2008-01-07",20.85
"256","2008-01-08",19.5
"257","2008-01-09",19.58
"258","2008-01-10",20.059999
"259","2008-01-11",20.469999
"260","2008-01-14",20.41
"261","2008-01-15",20.34
"262","2008-01-16",21.16
"263","2008-01-17",19.57
"264","2008-01-18",19.190001
"265","2008-01-22",20.129999
"266","2008-01-23",21.84
"267","2008-01-24",22.469999
"268","2008-01-25",22.790001
"269","2008-01-28",23.790001
"270","2008-01-29",24.93
"271","2008-01-30",24.34
"272","2008-01-31",25.17
"273","2008-02-01",25.73
"274","2008-02-04",25.1
"275","2008-02-05",24.24
"276","2008-02-06",23.690001
"277","2008-02-07",24.200001
"278","2008-02-08",23.209999
"279","2008-02-11",23.01
"280","2008-02-12",23.709999
"281","2008-02-13",23.59
"282","2008-02-14",22.82
"283","2008-02-15",22.93
"284","2008-02-19",22.51
"285","2008-02-20",23.23
"286","2008-02-21",22.48
"287","2008-02-22",23.110001
"288","2008-02-25",23.110001
"289","2008-02-26",23.190001
"290","2008-02-27",23.219999
