"","date","RUSHB"
"1","2007-01-03",7.244444
"2","2007-01-04",7.293334
"3","2007-01-05",7.048889
"4","2007-01-08",7.115556
"5","2007-01-09",7.248889
"6","2007-01-10",7.128889
"7","2007-01-11",7.191111
"8","2007-01-12",7.373333
"9","2007-01-16",7.04
"10","2007-01-17",7.124444
"11","2007-01-18",7.262222
"12","2007-01-19",7.266667
"13","2007-01-22",7.222222
"14","2007-01-23",7.311111
"15","2007-01-24",7.471111
"16","2007-01-25",7.426667
"17","2007-01-26",7.364444
"18","2007-01-29",7.377778
"19","2007-01-30",7.475555
"20","2007-01-31",7.568889
"21","2007-02-01",7.462222
"22","2007-02-02",7.506667
"23","2007-02-05",7.453333
"24","2007-02-06",7.591111
"25","2007-02-07",7.866667
"26","2007-02-08",7.968889
"27","2007-02-09",7.951111
"28","2007-02-12",7.844444
"29","2007-02-13",8.155556
"30","2007-02-14",8.4
"31","2007-02-15",8.413333
"32","2007-02-16",8.311111
"33","2007-02-20",8.573334
"34","2007-02-21",8.391111
"35","2007-02-22",8.373333
"36","2007-02-23",8.302222
"37","2007-02-26",8.088889
"38","2007-02-27",7.764444
"39","2007-02-28",7.893333
"40","2007-03-01",7.84
"41","2007-03-02",7.693333
"42","2007-03-05",7.631111
"43","2007-03-06",7.871111
"44","2007-03-07",7.853333
"45","2007-03-08",7.911111
"46","2007-03-09",7.924445
"47","2007-03-12",7.951111
"48","2007-03-13",7.813334
"49","2007-03-14",7.92
"50","2007-03-15",8.004444
"51","2007-03-16",7.991111
"52","2007-03-19",7.986667
"53","2007-03-20",8.084444
"54","2007-03-21",8.417778
"55","2007-03-22",8.382222
"56","2007-03-23",8.391111
"57","2007-03-26",8.395555
"58","2007-03-27",8.084444
"59","2007-03-28",8.026667
"60","2007-03-29",8.306666
"61","2007-03-30",8.048889
"62","2007-04-02",8.084444
"63","2007-04-03",8
"64","2007-04-04",8.217778
"65","2007-04-05",8.302222
"66","2007-04-09",8.08
"67","2007-04-10",8.146667
"68","2007-04-11",8.088889
"69","2007-04-12",8.186666
"70","2007-04-13",8.155556
"71","2007-04-16",8.444445
"72","2007-04-17",8.4
"73","2007-04-18",8.622222
"74","2007-04-19",8.471111
"75","2007-04-20",8.875556
"76","2007-04-23",8.64
"77","2007-04-24",8.853333
"78","2007-04-25",8.795555
"79","2007-04-26",8.862223
"80","2007-04-27",8.488889
"81","2007-04-30",8.537778
"82","2007-05-01",8.515555
"83","2007-05-02",8.568889
"84","2007-05-03",8.577778
"85","2007-05-04",8.662222
"86","2007-05-07",8.622222
"87","2007-05-08",8.844444
"88","2007-05-09",9.031111
"89","2007-05-10",8.933333
"90","2007-05-11",9.244445
"91","2007-05-14",9.982223
"92","2007-05-15",9.684444
"93","2007-05-16",9.791111
"94","2007-05-17",9.973333
"95","2007-05-18",9.964444
"96","2007-05-21",10.048889
"97","2007-05-22",10.328889
"98","2007-05-23",10.32
"99","2007-05-24",10.04
"100","2007-05-25",10.191112
"101","2007-05-29",10.32
"102","2007-05-30",10.444445
"103","2007-05-31",10.431111
"104","2007-06-01",10.591111
"105","2007-06-04",10.511111
"106","2007-06-05",10.253333
"107","2007-06-06",10.155556
"108","2007-06-07",10.102222
"109","2007-06-08",10.168889
"110","2007-06-11",10.102222
"111","2007-06-12",9.728889
"112","2007-06-13",9.88
"113","2007-06-14",9.808888
"114","2007-06-15",9.817778
"115","2007-06-18",10.048889
"116","2007-06-19",10.213333
"117","2007-06-20",9.933333
"118","2007-06-21",10.044444
"119","2007-06-22",9.591111
"120","2007-06-25",9.52
"121","2007-06-26",9.573334
"122","2007-06-27",9.564445
"123","2007-06-28",9.52
"124","2007-06-29",9.306666
"125","2007-07-02",9.466666
"126","2007-07-03",9.466666
"127","2007-07-05",9.631111
"128","2007-07-06",9.777778
"129","2007-07-09",10.564445
"130","2007-07-10",11.324445
"131","2007-07-11",11.488889
"132","2007-07-12",11.511111
"133","2007-07-13",11.524445
"134","2007-07-16",11.511111
"135","2007-07-17",11.666667
"136","2007-07-18",11.786667
"137","2007-07-19",12.208889
"138","2007-07-20",12.275556
