"","date","SAGE"
"1","2014-07-18",30.1
"2","2014-07-21",30
"3","2014-07-22",27.59
"4","2014-07-23",27.5
"5","2014-07-24",27.139999
"6","2014-07-25",26.440001
"7","2014-07-28",25.889999
"8","2014-07-29",25.860001
"9","2014-07-30",27.6
"10","2014-07-31",28.219999
"11","2014-08-01",29.75
"12","2014-08-04",30.25
"13","2014-08-05",29.08
"14","2014-08-06",30.110001
"15","2014-08-07",29.82
"16","2014-08-08",29.959999
"17","2014-08-11",33.400002
"18","2014-08-12",31.809999
"19","2014-08-13",29.58
"20","2014-08-14",28.809999
"21","2014-08-15",27.280001
"22","2014-08-18",27
"23","2014-08-19",29.43
"24","2014-08-20",29.139999
"25","2014-08-21",29
"26","2014-08-22",29
"27","2014-08-25",29.17
"28","2014-08-26",29.76
"29","2014-08-27",29.08
"30","2014-08-28",29.43
"31","2014-08-29",28.92
"32","2014-09-02",29.59
"33","2014-09-03",30.030001
"34","2014-09-04",29.25
"35","2014-09-05",28.790001
"36","2014-09-08",27.389999
"37","2014-09-09",28.950001
"38","2014-09-10",29.4
"39","2014-09-11",29.799999
"40","2014-09-12",28.559999
"41","2014-09-15",28.74
"42","2014-09-16",28.59
"43","2014-09-17",27.959999
"44","2014-09-18",28.610001
"45","2014-09-19",27.07
"46","2014-09-22",26.5
"47","2014-09-23",29.559999
"48","2014-09-24",29.58
"49","2014-09-25",29.049999
"50","2014-09-26",29.889999
"51","2014-09-29",31.83
"52","2014-09-30",31.5
"53","2014-10-01",31.6
"54","2014-10-02",33.419998
"55","2014-10-03",38.23
"56","2014-10-06",34.150002
"57","2014-10-07",33.41
"58","2014-10-08",36.099998
"59","2014-10-09",34.419998
"60","2014-10-10",33.369999
"61","2014-10-13",32.5
"62","2014-10-14",30.959999
"63","2014-10-15",31.26
"64","2014-10-16",30.5
"65","2014-10-17",31.809999
"66","2014-10-20",34.889999
"67","2014-10-21",38.119999
"68","2014-10-22",33.849998
"69","2014-10-23",35.529999
"70","2014-10-24",38.470001
"71","2014-10-27",38.139999
