"","date","SBOW"
"1","2017-01-03",33.389999
"2","2017-01-04",33.43
"3","2017-01-05",33.439999
"4","2017-01-06",33.400002
"5","2017-01-09",33.450001
"6","2017-01-10",33.400002
"7","2017-01-11",33.549999
"8","2017-01-12",33.349998
"9","2017-01-13",33.400002
"10","2017-01-17",33.299999
"11","2017-01-18",33.299999
"12","2017-01-19",33.299999
"13","2017-01-20",33.799999
"14","2017-01-23",30.049999
"15","2017-01-24",30.6
"16","2017-01-25",30.75
"17","2017-01-26",31.4
"18","2017-01-27",30.799999
"19","2017-01-30",30.51
"20","2017-01-31",31
"21","2017-02-01",31
"22","2017-02-02",31
"23","2017-02-03",31
"24","2017-02-06",31.132999
"25","2017-02-07",31.5
"26","2017-02-08",31.120001
"27","2017-02-09",31.200001
"28","2017-02-10",31.4
"29","2017-02-13",31.110001
"30","2017-02-14",31.110001
"31","2017-02-15",31.299999
"32","2017-02-16",31
"33","2017-02-17",30.9
"34","2017-02-21",30.9
"35","2017-02-22",30.5
"36","2017-02-23",29.6
"37","2017-02-24",29.6
"38","2017-02-27",29.35
"39","2017-02-28",29.25
"40","2017-03-01",29.1
"41","2017-03-02",29
"42","2017-03-03",28.690001
"43","2017-03-06",28.33
"44","2017-03-07",28.33
"45","2017-03-08",27.1
"46","2017-03-09",26.4
"47","2017-03-10",26.450001
"48","2017-03-13",26.450001
"49","2017-03-14",26.4
"50","2017-03-15",27.1
"51","2017-03-16",27.1
"52","2017-03-17",27
"53","2017-03-20",27
"54","2017-03-21",27
"55","2017-03-22",27
"56","2017-03-23",27.1
"57","2017-03-24",26.76
"58","2017-03-27",27
"59","2017-03-28",26.299999
"60","2017-03-29",26
"61","2017-03-30",28.1
"62","2017-03-31",27.5
"63","2017-04-03",27
"64","2017-04-04",27.5
"65","2017-04-05",27.700001
"66","2017-04-06",27.700001
"67","2017-04-07",27.6
"68","2017-04-10",27.25
"69","2017-04-11",27.01
"70","2017-04-12",27.02
"71","2017-04-13",26.51
"72","2017-04-17",27
"73","2017-04-18",27
"74","2017-04-19",25.5
"75","2017-04-20",26.51
"76","2017-04-21",26.51
"77","2017-04-24",26.51
"78","2017-04-25",26.51
"79","2017-04-26",26.51
"80","2017-04-27",24.4
"81","2017-04-28",24.1
"82","2017-05-01",24.75
"83","2017-05-02",24.1
"84","2017-05-03",24.299999
"85","2017-05-04",24
"86","2017-05-05",26.5
"87","2017-05-08",26.85
"88","2017-05-09",27.700001
"89","2017-05-10",27.5
"90","2017-05-11",27.49
"91","2017-05-12",27.07
"92","2017-05-15",27.790001
"93","2017-05-16",27.280001
"94","2017-05-17",27.26
"95","2017-05-18",27.129999
"96","2017-05-19",28
"97","2017-05-22",28.01
"98","2017-05-23",27.799999
"99","2017-05-24",28.24
"100","2017-05-25",28.059999
"101","2017-05-26",29.9
"102","2017-05-30",29.17
"103","2017-05-31",27.690001
"104","2017-06-01",29
"105","2017-06-02",29.049999
"106","2017-06-05",29.049999
"107","2017-06-06",29
"108","2017-06-07",28.58
"109","2017-06-08",28.84
"110","2017-06-09",28.309999
"111","2017-06-12",29
"112","2017-06-13",28.93
"113","2017-06-14",29.540001
"114","2017-06-15",29.049999
"115","2017-06-16",28.940001
"116","2017-06-19",28.58
"117","2017-06-20",27.370001
"118","2017-06-21",26.25
