"","date","SCL"
"1","2007-01-03",15.6
"2","2007-01-04",15.395
"3","2007-01-05",15.355
"4","2007-01-08",15.165
"5","2007-01-09",15.595
"6","2007-01-10",15.745
"7","2007-01-11",15.875
"8","2007-01-12",15.845
"9","2007-01-16",15.63
"10","2007-01-17",15.385
"11","2007-01-18",15.72
"12","2007-01-19",15.64
"13","2007-01-22",15.385
"14","2007-01-23",15.675
"15","2007-01-24",15.745
"16","2007-01-25",15.285
"17","2007-01-26",15.745
"18","2007-01-29",15.965
"19","2007-01-30",15.92
"20","2007-01-31",15.975
"21","2007-02-01",15.995
"22","2007-02-02",15.965
"23","2007-02-05",15.82
"24","2007-02-06",15.37
"25","2007-02-07",15.765
"26","2007-02-08",15.945
"27","2007-02-09",15.61
"28","2007-02-12",15.935
"29","2007-02-13",15.745
"30","2007-02-14",15.21
"31","2007-02-15",15.215
"32","2007-02-16",14.735
"33","2007-02-20",14.765
"34","2007-02-21",14.47
"35","2007-02-22",14.375
"36","2007-02-23",14.31
"37","2007-02-26",14.255
"38","2007-02-27",13.425
"39","2007-02-28",13.525
"40","2007-03-01",13.25
"41","2007-03-02",12.7
"42","2007-03-05",12.79
"43","2007-03-06",13.425
"44","2007-03-07",13.7
"45","2007-03-08",13.19
"46","2007-03-09",13.215
"47","2007-03-12",13.625
"48","2007-03-13",13.035
"49","2007-03-14",13.355
"50","2007-03-15",13.79
"51","2007-03-16",13.185
"52","2007-03-19",13.5
"53","2007-03-20",13.095
"54","2007-03-21",13.75
"55","2007-03-22",14.02
"56","2007-03-23",13.88
"57","2007-03-26",13.705
"58","2007-03-27",13.64
"59","2007-03-28",13.235
"60","2007-03-29",13.39
"61","2007-03-30",13.125
"62","2007-04-02",13.1
"63","2007-04-03",13.07
"64","2007-04-04",12.94
"65","2007-04-05",13.43
"66","2007-04-09",13.06
"67","2007-04-10",13.06
"68","2007-04-11",13.115
"69","2007-04-12",13.425
"70","2007-04-13",13.595
"71","2007-04-16",14.06
"72","2007-04-17",14.025
"73","2007-04-18",13.475
"74","2007-04-19",13.305
"75","2007-04-20",13.5
"76","2007-04-23",13.07
"77","2007-04-24",14.425
"78","2007-04-25",14.845
"79","2007-04-26",14.47
"80","2007-04-27",14.795
"81","2007-04-30",14.32
"82","2007-05-01",14.24
"83","2007-05-02",14.775
"84","2007-05-03",15.47
"85","2007-05-04",15.5
"86","2007-05-07",15.265
"87","2007-05-08",15.005
"88","2007-05-09",15.275
"89","2007-05-10",14.29
"90","2007-05-11",15.015
"91","2007-05-14",15.09
"92","2007-05-15",14.23
"93","2007-05-16",14.225
"94","2007-05-17",14.54
"95","2007-05-18",15.34
"96","2007-05-21",15.38
"97","2007-05-22",15.38
"98","2007-05-23",15.525
"99","2007-05-24",15.465
"100","2007-05-25",15.425
"101","2007-05-29",15.155
"102","2007-05-30",15.19
"103","2007-05-31",15.295
"104","2007-06-01",15.2
"105","2007-06-04",15.145
"106","2007-06-05",15.07
"107","2007-06-06",15.075
"108","2007-06-07",14.86
"109","2007-06-08",15.09
"110","2007-06-11",15.1
"111","2007-06-12",14.645
"112","2007-06-13",15.02
"113","2007-06-14",15.055
"114","2007-06-15",15.6
"115","2007-06-18",15.575
"116","2007-06-19",15.715
"117","2007-06-20",15.275
"118","2007-06-21",15.16
"119","2007-06-22",15.125
"120","2007-06-25",15.19
