"","date","SCPH"
"1","2017-11-17",14.1
"2","2017-11-20",14.15
"3","2017-11-21",14
"4","2017-11-22",14.16
"5","2017-11-24",14.07
"6","2017-11-27",14.36
"7","2017-11-28",15.01
"8","2017-11-29",15.85
"9","2017-11-30",16.42
"10","2017-12-01",16.58
"11","2017-12-04",17.309999
"12","2017-12-05",15.6
"13","2017-12-06",14.38
"14","2017-12-07",13.86
"15","2017-12-08",14.61
"16","2017-12-11",14.92
"17","2017-12-12",14.51
"18","2017-12-13",14.18
"19","2017-12-14",13.96
"20","2017-12-15",13.5
"21","2017-12-18",13.11
"22","2017-12-19",12.4
"23","2017-12-20",12.11
"24","2017-12-21",11.8
"25","2017-12-22",12.96
"26","2017-12-26",13.33
"27","2017-12-27",13.39
"28","2017-12-28",12.63
"29","2017-12-29",12.09
"30","2018-01-02",12.17
"31","2018-01-03",11.781
"32","2018-01-04",11.78
"33","2018-01-05",11.82
"34","2018-01-08",12.49
"35","2018-01-09",12.11
"36","2018-01-10",12.25
"37","2018-01-11",12.25
"38","2018-01-12",12
"39","2018-01-16",12.23
"40","2018-01-17",12.23
"41","2018-01-18",12.21
"42","2018-01-19",12.19
"43","2018-01-22",12.26
"44","2018-01-23",12.74
"45","2018-01-24",12.62
"46","2018-01-25",12.88
"47","2018-01-26",12.7
"48","2018-01-29",12.78
"49","2018-01-30",12.75
"50","2018-01-31",12.75
"51","2018-02-01",12.51
"52","2018-02-02",12.28
"53","2018-02-05",12.67
"54","2018-02-06",11.98
"55","2018-02-07",12.1
"56","2018-02-08",11.98
"57","2018-02-09",12
"58","2018-02-12",12.14
"59","2018-02-13",12.46
"60","2018-02-14",13.39
"61","2018-02-15",13.93
"62","2018-02-16",13.85
"63","2018-02-20",15.19
"64","2018-02-21",15.19
"65","2018-02-22",15
"66","2018-02-23",15.35
"67","2018-02-26",15.58
"68","2018-02-27",15.485
"69","2018-02-28",15.99
"70","2018-03-01",15.88
"71","2018-03-02",15.36
"72","2018-03-05",15.72
"73","2018-03-06",15.79
"74","2018-03-07",15.94
"75","2018-03-08",15.94
"76","2018-03-09",16.07
"77","2018-03-12",16.719999
"78","2018-03-13",17.32
"79","2018-03-14",15.8
"80","2018-03-15",14.73
"81","2018-03-16",14.05
"82","2018-03-19",13.38
"83","2018-03-20",13.33
"84","2018-03-21",12.48
"85","2018-03-22",12.96
"86","2018-03-23",12.42
"87","2018-03-26",11.97
"88","2018-03-27",11.9
"89","2018-03-28",11.62
"90","2018-03-29",12.4
"91","2018-04-02",11.66
"92","2018-04-03",10.98
"93","2018-04-04",11.68
"94","2018-04-05",11.26
"95","2018-04-06",11.02
"96","2018-04-09",10.93
"97","2018-04-10",11.63
"98","2018-04-11",11.4
"99","2018-04-12",10.99
"100","2018-04-13",10.94
"101","2018-04-16",11.06
"102","2018-04-17",11.09
"103","2018-04-18",11
"104","2018-04-19",10.75
"105","2018-04-20",10.19
"106","2018-04-23",9.89
"107","2018-04-24",9.98
"108","2018-04-25",9.95
"109","2018-04-26",9.91
"110","2018-04-27",9.13
"111","2018-04-30",9.97
"112","2018-05-01",11.05
"113","2018-05-02",11.62
"114","2018-05-03",11.59
"115","2018-05-04",11.92
"116","2018-05-07",12.99
"117","2018-05-08",15.4
"118","2018-05-09",14.32
"119","2018-05-10",14.39
"120","2018-05-11",14.07
"121","2018-05-14",14.3
"122","2018-05-15",14.21
"123","2018-05-16",13.69
"124","2018-05-17",13.38
"125","2018-05-18",13.07
"126","2018-05-21",13.56
"127","2018-05-22",14.35
"128","2018-05-23",13.95
"129","2018-05-24",13.96
"130","2018-05-25",13.98
"131","2018-05-29",13.86
"132","2018-05-30",14.22
"133","2018-05-31",9.94
"134","2018-06-01",8.92
"135","2018-06-04",8.49
"136","2018-06-05",8.63
"137","2018-06-06",8.26
"138","2018-06-07",7.76
"139","2018-06-08",7.11
"140","2018-06-11",7.2
"141","2018-06-12",7.61
"142","2018-06-13",5.93
"143","2018-06-14",6.05
"144","2018-06-15",6.05
"145","2018-06-18",5.89
"146","2018-06-19",5.53
"147","2018-06-20",5.53
"148","2018-06-21",5.56
"149","2018-06-22",5.83
"150","2018-06-25",5.61
"151","2018-06-26",5.55
"152","2018-06-27",5.56
"153","2018-06-28",5.71
"154","2018-06-29",5.66
"155","2018-07-02",5.8
"156","2018-07-03",5.88
"157","2018-07-05",5.92
"158","2018-07-06",5.74
"159","2018-07-09",5.62
"160","2018-07-10",5.58
"161","2018-07-11",5.35
"162","2018-07-12",5.24
"163","2018-07-13",5.49
"164","2018-07-16",5.09
"165","2018-07-17",4.88
"166","2018-07-18",4.98
"167","2018-07-19",4.67
"168","2018-07-20",4.8
"169","2018-07-23",4.7
"170","2018-07-24",4.64
"171","2018-07-25",4.72
"172","2018-07-26",4.69
"173","2018-07-27",4.57
"174","2018-07-30",4.64
"175","2018-07-31",4.66
"176","2018-08-01",4.85
"177","2018-08-02",4.8
"178","2018-08-03",4.79
"179","2018-08-06",4.78
"180","2018-08-07",4.79
"181","2018-08-08",4.71
"182","2018-08-09",4.58
"183","2018-08-10",4.59
"184","2018-08-13",4.55
"185","2018-08-14",4.225
"186","2018-08-15",4.68
"187","2018-08-16",5.14
"188","2018-08-17",5.37
"189","2018-08-20",4.94
"190","2018-08-21",5.23
"191","2018-08-22",5.27
"192","2018-08-23",5.25
"193","2018-08-24",5.29
"194","2018-08-27",5.19
"195","2018-08-28",5.14
"196","2018-08-29",5.12
"197","2018-08-30",5.02
"198","2018-08-31",5.12
"199","2018-09-04",5.1
"200","2018-09-05",5.07
"201","2018-09-06",5.06
"202","2018-09-07",5.11
"203","2018-09-10",5.1
"204","2018-09-11",5
"205","2018-09-12",5.02
"206","2018-09-13",5.14
"207","2018-09-14",5.14
"208","2018-09-17",5.18
"209","2018-09-18",5.11
"210","2018-09-19",5.18
"211","2018-09-20",5.16
"212","2018-09-21",5.1
"213","2018-09-24",5.25
"214","2018-09-25",5.42
"215","2018-09-26",5.62
"216","2018-09-27",6.03
"217","2018-09-28",5.87
"218","2018-10-01",5.1
"219","2018-10-02",4.86
"220","2018-10-03",5.16
"221","2018-10-04",5.37
"222","2018-10-05",5.15
"223","2018-10-08",5.43
"224","2018-10-09",5.61
"225","2018-10-10",5.55
"226","2018-10-11",5.47
"227","2018-10-12",5.4
"228","2018-10-15",5.2
"229","2018-10-16",5.29
"230","2018-10-17",5.11
"231","2018-10-18",4.99
"232","2018-10-19",4.42
"233","2018-10-22",4.48
"234","2018-10-23",4.24
"235","2018-10-24",4.1
"236","2018-10-25",4.05
"237","2018-10-26",3.91
"238","2018-10-29",3.87
"239","2018-10-30",4.13
"240","2018-10-31",4.28
"241","2018-11-01",4.56
"242","2018-11-02",4.62
"243","2018-11-05",4.63
"244","2018-11-06",4.6
"245","2018-11-07",4.57
"246","2018-11-08",4.76
"247","2018-11-09",4.7
"248","2018-11-12",5.04
"249","2018-11-13",5.1
"250","2018-11-14",5.1
"251","2018-11-15",5.1
"252","2018-11-16",4.11
"253","2018-11-19",4.17
"254","2018-11-20",4.16
"255","2018-11-21",4.47
"256","2018-11-23",4.78
"257","2018-11-26",4.78
"258","2018-11-27",4.74
"259","2018-11-28",4.69
"260","2018-11-29",4.71
"261","2018-11-30",4.69
"262","2018-12-03",4.74
"263","2018-12-04",4.79
"264","2018-12-06",4.72
"265","2018-12-07",4.76
"266","2018-12-10",4.62
"267","2018-12-11",4.69
"268","2018-12-12",4.81
"269","2018-12-13",4.87
"270","2018-12-14",4.89
"271","2018-12-17",4.78
"272","2018-12-18",4.67
"273","2018-12-19",4.62
"274","2018-12-20",4.65
"275","2018-12-21",4.56
"276","2018-12-24",4.45
"277","2018-12-26",4.31
"278","2018-12-27",4.11
"279","2018-12-28",4
"280","2018-12-31",3.76
"281","2019-01-02",3.86
"282","2019-01-03",3.81
"283","2019-01-04",3.83
"284","2019-01-07",3.37
"285","2019-01-08",3.72
"286","2019-01-09",3.96
"287","2019-01-10",3.9
"288","2019-01-11",3.9
"289","2019-01-14",3.86
"290","2019-01-15",3.865
"291","2019-01-16",3.71
"292","2019-01-17",3.7
"293","2019-01-18",3.58
"294","2019-01-22",3.62
"295","2019-01-23",3.47
"296","2019-01-24",3.64
"297","2019-01-25",3.79
"298","2019-01-28",3.7
"299","2019-01-29",4.06
"300","2019-01-30",3.75
"301","2019-01-31",3.9
"302","2019-02-01",4.18
"303","2019-02-04",4.07
"304","2019-02-05",3.74
"305","2019-02-06",3.68
"306","2019-02-07",3.59
"307","2019-02-08",3.41
"308","2019-02-11",3.4
"309","2019-02-12",3.33
"310","2019-02-13",3.31
"311","2019-02-14",3.08
"312","2019-02-15",2.88
"313","2019-02-19",2.92
"314","2019-02-20",3.15
"315","2019-02-21",3.21
"316","2019-02-22",3.22
"317","2019-02-25",3.25
"318","2019-02-26",3.39
"319","2019-02-27",3.27
"320","2019-02-28",3.26
"321","2019-03-01",3.32
"322","2019-03-04",3.27
"323","2019-03-05",3.27
"324","2019-03-06",3.14
"325","2019-03-07",3.16
"326","2019-03-08",3.16
"327","2019-03-11",3.25
"328","2019-03-12",3.3
"329","2019-03-13",3.37
"330","2019-03-14",3.42
"331","2019-03-15",3.38
"332","2019-03-18",3.1
"333","2019-03-19",3.2
"334","2019-03-20",3.1
"335","2019-03-21",3.13
"336","2019-03-22",2.95
"337","2019-03-25",2.84
"338","2019-03-26",2.87
"339","2019-03-27",2.915
"340","2019-03-28",3.01
"341","2019-03-29",3
"342","2019-04-01",2.91
"343","2019-04-02",3.03
"344","2019-04-03",2.95
"345","2019-04-04",2.91
"346","2019-04-05",2.93
"347","2019-04-08",2.89
"348","2019-04-09",2.78
"349","2019-04-10",2.75
"350","2019-04-11",2.62
"351","2019-04-12",2.65
"352","2019-04-15",2.48
"353","2019-04-16",2.84
"354","2019-04-17",2.82
"355","2019-04-18",3.06
