"","date","SCVL"
"1","2007-01-03",20.946667
"2","2007-01-04",20.826666
"3","2007-01-05",20.693333
"4","2007-01-08",20.626667
"5","2007-01-09",20.873333
"6","2007-01-10",20.546667
"7","2007-01-11",21.200001
"8","2007-01-12",21.433332
"9","2007-01-16",21.666666
"10","2007-01-17",21.58
"11","2007-01-18",21.533333
"12","2007-01-19",21.553333
"13","2007-01-22",21.613333
"14","2007-01-23",21.346666
"15","2007-01-24",21.34
"16","2007-01-25",21.120001
"17","2007-01-26",20.92
"18","2007-01-29",21.24
"19","2007-01-30",21.233334
"20","2007-01-31",21.219999
"21","2007-02-01",21.833334
"22","2007-02-02",21.639999
"23","2007-02-05",21.093334
"24","2007-02-06",21.219999
"25","2007-02-07",21.006666
"26","2007-02-08",21.559999
"27","2007-02-09",20.200001
"28","2007-02-12",20.540001
"29","2007-02-13",20.726667
"30","2007-02-14",20.653334
"31","2007-02-15",20.626667
"32","2007-02-16",20.646667
"33","2007-02-20",21.386667
"34","2007-02-21",21.086666
"35","2007-02-22",21.200001
"36","2007-02-23",21.200001
"37","2007-02-26",20.886667
"38","2007-02-27",19.706667
"39","2007-02-28",20.126667
"40","2007-03-01",20.24
"41","2007-03-02",20.093334
"42","2007-03-05",19.813334
"43","2007-03-06",19.726667
"44","2007-03-07",19.466667
"45","2007-03-08",20.806667
"46","2007-03-09",20.306667
"47","2007-03-12",20.306667
"48","2007-03-13",19.613333
"49","2007-03-14",19.506666
"50","2007-03-15",21.813334
"51","2007-03-16",21.533333
"52","2007-03-19",21.873333
"53","2007-03-20",21.926666
"54","2007-03-21",22.853333
"55","2007-03-22",23.473333
"56","2007-03-23",22.893333
"57","2007-03-26",22.573334
"58","2007-03-27",22.139999
"59","2007-03-28",22.219999
"60","2007-03-29",22.293333
"61","2007-03-30",22.200001
"62","2007-04-02",22.26
"63","2007-04-03",22.446667
"64","2007-04-04",22.406666
"65","2007-04-05",22.073334
"66","2007-04-09",22.393333
"67","2007-04-10",22.113333
"68","2007-04-11",21.66
"69","2007-04-12",22.433332
"70","2007-04-13",22.033333
"71","2007-04-16",22.146667
"72","2007-04-17",22.026667
"73","2007-04-18",21.913334
"74","2007-04-19",21.713333
"75","2007-04-20",21.613333
"76","2007-04-23",21.92
"77","2007-04-24",21.606667
"78","2007-04-25",21.719999
"79","2007-04-26",21.860001
"80","2007-04-27",21.639999
"81","2007-04-30",20.959999
"82","2007-05-01",20.9
"83","2007-05-02",20.9
"84","2007-05-03",20.226667
"85","2007-05-04",20.120001
"86","2007-05-07",20.213333
"87","2007-05-08",19.766666
"88","2007-05-09",19.926666
"89","2007-05-10",19.24
"90","2007-05-11",19.040001
"91","2007-05-14",18.786667
"92","2007-05-15",18.459999
"93","2007-05-16",18.586666
"94","2007-05-17",18.379999
"95","2007-05-18",18.833334
"96","2007-05-21",18.76
"97","2007-05-22",19.333334
"98","2007-05-23",19.466667
"99","2007-05-24",18.126667
"100","2007-05-25",18.393333
"101","2007-05-29",18.746666
"102","2007-05-30",18.666666
"103","2007-05-31",19.52
"104","2007-06-01",19.940001
"105","2007-06-04",20.093334
"106","2007-06-05",19.993334
"107","2007-06-06",19.406666
"108","2007-06-07",19.139999
"109","2007-06-08",19.213333
"110","2007-06-11",18.966667
"111","2007-06-12",18.126667
"112","2007-06-13",18.193333
"113","2007-06-14",18.146667
"114","2007-06-15",18.58
"115","2007-06-18",19.173334
"116","2007-06-19",19.173334
"117","2007-06-20",18.813334
"118","2007-06-21",18.586666
"119","2007-06-22",18.593334
"120","2007-06-25",18.546667
"121","2007-06-26",18.053333
"122","2007-06-27",18.213333
"123","2007-06-28",18.073334
"124","2007-06-29",18.326666
"125","2007-07-02",18.206667
"126","2007-07-03",18.18
"127","2007-07-05",18.540001
"128","2007-07-06",18.48
"129","2007-07-09",18.453333
"130","2007-07-10",17.48
"131","2007-07-11",17.719999
"132","2007-07-12",18.413334
"133","2007-07-13",18.219999
"134","2007-07-16",17.799999
"135","2007-07-17",17.386667
"136","2007-07-18",17.433332
"137","2007-07-19",17.526667
"138","2007-07-20",17.333334
"139","2007-07-23",17.26
"140","2007-07-24",16.459999
"141","2007-07-25",16.406666
"142","2007-07-26",15.953333
"143","2007-07-27",15.206667
"144","2007-07-30",14.926666
"145","2007-07-31",14.606667
"146","2007-08-01",14.86
"147","2007-08-02",14.553333
"148","2007-08-03",13.686666
"149","2007-08-06",13.326667
"150","2007-08-07",13.293333
"151","2007-08-08",13.4
"152","2007-08-09",14.233334
"153","2007-08-10",14.326667
"154","2007-08-13",14.28
"155","2007-08-14",13.793333
"156","2007-08-15",13.64
"157","2007-08-16",13.446667
"158","2007-08-17",14.206667
"159","2007-08-20",13.993333
"160","2007-08-21",14.233334
"161","2007-08-22",13.213333
"162","2007-08-23",12.24
"163","2007-08-24",12.993333
"164","2007-08-27",12.5
"165","2007-08-28",12.086667
"166","2007-08-29",12.346666
"167","2007-08-30",11.68
"168","2007-08-31",11.5
"169","2007-09-04",11.8
"170","2007-09-05",11.773334
"171","2007-09-06",11.673333
