"","date","SCWX"
"1","2016-04-21",14
"2","2016-04-22",14
"3","2016-04-25",13.5
"4","2016-04-26",13.73
"5","2016-04-27",13.68
"6","2016-04-28",13.44
"7","2016-04-29",13.33
"8","2016-05-02",13.34
"9","2016-05-03",13.66
"10","2016-05-04",13.53
"11","2016-05-05",13.5
"12","2016-05-06",13.27
"13","2016-05-09",13
"14","2016-05-10",13.105
"15","2016-05-11",12.72
"16","2016-05-12",12.21
"17","2016-05-13",12.45
"18","2016-05-16",13.81
"19","2016-05-17",13.16
"20","2016-05-18",13.53
"21","2016-05-19",13.61
"22","2016-05-20",13.86
"23","2016-05-23",13.26
"24","2016-05-24",13.65
"25","2016-05-25",13.76
"26","2016-05-26",13.63
"27","2016-05-27",13.735
"28","2016-05-31",13.815
"29","2016-06-01",13.69
"30","2016-06-02",13.28
"31","2016-06-03",13.45
"32","2016-06-06",13.53
"33","2016-06-07",13.28
"34","2016-06-08",13.49
"35","2016-06-09",13.11
"36","2016-06-10",13.34
"37","2016-06-13",13.18
"38","2016-06-14",14.92
"39","2016-06-15",14.08
"40","2016-06-16",15.49
"41","2016-06-17",15.09
"42","2016-06-20",14.52
"43","2016-06-21",14.16
"44","2016-06-22",13.99
"45","2016-06-23",14.12
"46","2016-06-24",13.04
"47","2016-06-27",13.09
"48","2016-06-28",12.92
"49","2016-06-29",13.77
"50","2016-06-30",14.1
"51","2016-07-01",14
"52","2016-07-05",13.91
"53","2016-07-06",14.04
"54","2016-07-07",13.79
"55","2016-07-08",13.86
"56","2016-07-11",14.54
"57","2016-07-12",14.75
"58","2016-07-13",14.74
"59","2016-07-14",14.83
"60","2016-07-15",15.36
"61","2016-07-18",15.14
"62","2016-07-19",14.75
"63","2016-07-20",14.44
"64","2016-07-21",14.36
"65","2016-07-22",14.51
"66","2016-07-25",14.75
"67","2016-07-26",15
"68","2016-07-27",14.9
"69","2016-07-28",14.93
"70","2016-07-29",14.81
"71","2016-08-01",14.83
"72","2016-08-02",14.33
"73","2016-08-03",14.54
"74","2016-08-04",14.44
"75","2016-08-05",14.37
"76","2016-08-08",14.16
"77","2016-08-09",14.11
"78","2016-08-10",14.07
"79","2016-08-11",14.11
"80","2016-08-12",14
"81","2016-08-15",14.13
"82","2016-08-16",14.02
"83","2016-08-17",13.95
"84","2016-08-18",14.09
"85","2016-08-19",14.34
"86","2016-08-22",14.43
"87","2016-08-23",14.48
"88","2016-08-24",14.49
"89","2016-08-25",14.57
"90","2016-08-26",14.26
"91","2016-08-29",14.37
"92","2016-08-30",14.09
"93","2016-08-31",14.2
"94","2016-09-01",14.21
"95","2016-09-02",14.18
"96","2016-09-06",14.4
"97","2016-09-07",13.99
"98","2016-09-08",13.95
"99","2016-09-09",13.49
"100","2016-09-12",13.4
"101","2016-09-13",13.07
"102","2016-09-14",12.72
"103","2016-09-15",12.83
"104","2016-09-16",12.72
"105","2016-09-19",12.1
"106","2016-09-20",12.03
"107","2016-09-21",12.12
"108","2016-09-22",12.65
"109","2016-09-23",12.6
"110","2016-09-26",12.48
"111","2016-09-27",12.58
"112","2016-09-28",12.81
"113","2016-09-29",12.56
"114","2016-09-30",12.51
"115","2016-10-03",12.37
"116","2016-10-04",12.63
"117","2016-10-05",12.67
"118","2016-10-06",12.66
"119","2016-10-07",12.63
"120","2016-10-10",12.67
"121","2016-10-11",12.54
"122","2016-10-12",12.38
"123","2016-10-13",12.19
"124","2016-10-14",12.14
"125","2016-10-17",12.09
"126","2016-10-18",12.05
"127","2016-10-19",12.05
"128","2016-10-20",12.1
"129","2016-10-21",11.29
"130","2016-10-24",11.42
"131","2016-10-25",11.43
"132","2016-10-26",11.47
"133","2016-10-27",11.36
"134","2016-10-28",11.22
"135","2016-10-31",11.79
"136","2016-11-01",11.61
"137","2016-11-02",11.81
"138","2016-11-03",11.81
"139","2016-11-04",11.58
"140","2016-11-07",11.98
"141","2016-11-08",12.01
"142","2016-11-09",12.25
"143","2016-11-10",12.12
"144","2016-11-11",12.37
"145","2016-11-14",12.52
"146","2016-11-15",12.49
"147","2016-11-16",12.49
"148","2016-11-17",12.52
"149","2016-11-18",12.42
"150","2016-11-21",12.5
"151","2016-11-22",12.53
"152","2016-11-23",12.51
"153","2016-11-25",12.42
"154","2016-11-28",12.4
"155","2016-11-29",12.3
"156","2016-11-30",12.35
"157","2016-12-01",12.31
"158","2016-12-02",11.74
"159","2016-12-05",11.91
"160","2016-12-06",12.45
"161","2016-12-07",12.01
"162","2016-12-08",12.02
"163","2016-12-09",11.66
"164","2016-12-12",11.25
"165","2016-12-13",10.91
"166","2016-12-14",10.68
"167","2016-12-15",10.71
"168","2016-12-16",10.6
"169","2016-12-19",10.39
"170","2016-12-20",10.81
"171","2016-12-21",10.75
"172","2016-12-22",10.86
"173","2016-12-23",10.85
