"","date","SCX"
"1","2007-01-03",16.25
"2","2007-01-04",16.1
"3","2007-01-05",16.290001
"4","2007-01-08",16.08
"5","2007-01-09",16.08
"6","2007-01-10",16.09
"7","2007-01-11",16.059999
"8","2007-01-12",16.1
"9","2007-01-16",16
"10","2007-01-17",16.15
"11","2007-01-18",16.35
"12","2007-01-19",16.02
"13","2007-01-22",16.040001
"14","2007-01-23",15.99
"15","2007-01-24",16.02
"16","2007-01-25",15.91
"17","2007-01-26",15.97
"18","2007-01-29",15.42
"19","2007-01-30",15.54
"20","2007-01-31",15.96
"21","2007-02-01",16.9
"22","2007-02-02",16.290001
"23","2007-02-05",16.950001
"24","2007-02-06",17.450001
"25","2007-02-07",17.75
"26","2007-02-08",17.17
"27","2007-02-09",18.15
"28","2007-02-12",18.4
"29","2007-02-13",18.07
"30","2007-02-14",18.1
"31","2007-02-15",18.23
"32","2007-02-16",18.25
"33","2007-02-20",19.200001
"34","2007-02-21",19.040001
"35","2007-02-22",19.200001
"36","2007-02-23",19.129999
"37","2007-02-26",18.889999
"38","2007-02-27",18.01
"39","2007-02-28",18.1
"40","2007-03-01",18.34
"41","2007-03-02",18.32
"42","2007-03-05",18.17
"43","2007-03-06",18.309999
"44","2007-03-07",18.15
"45","2007-03-08",18.280001
"46","2007-03-09",18.129999
"47","2007-03-12",17.99
"48","2007-03-13",17.799999
"49","2007-03-14",17.92
"50","2007-03-15",18.24
"51","2007-03-16",18.41
"52","2007-03-19",19.07
"53","2007-03-20",18.889999
"54","2007-03-21",18.75
"55","2007-03-22",18.790001
"56","2007-03-23",19.35
"57","2007-03-26",18.709999
"58","2007-03-27",18.540001
"59","2007-03-28",18.08
"60","2007-03-29",17.940001
"61","2007-03-30",18
"62","2007-04-02",18.969999
"63","2007-04-03",18.74
"64","2007-04-04",18.620001
"65","2007-04-05",18.85
"66","2007-04-09",19.049999
"67","2007-04-10",18.93
"68","2007-04-11",18.98
"69","2007-04-12",18.99
"70","2007-04-13",19.049999
"71","2007-04-16",19.190001
"72","2007-04-17",19.26
"73","2007-04-18",19.059999
"74","2007-04-19",19.049999
"75","2007-04-20",18.9
"76","2007-04-23",18.98
"77","2007-04-24",19
"78","2007-04-25",19.02
"79","2007-04-26",18.780001
"80","2007-04-27",18.700001
"81","2007-04-30",19.209999
"82","2007-05-01",19.200001
"83","2007-05-02",19.1
"84","2007-05-03",18.98
"85","2007-05-04",18.82
"86","2007-05-07",18.799999
"87","2007-05-08",18.6
"88","2007-05-09",19.219999
"89","2007-05-10",18.719999
"90","2007-05-11",18.84
"91","2007-05-14",17.4
"92","2007-05-15",17.77
"93","2007-05-16",17.440001
"94","2007-05-17",16.950001
"95","2007-05-18",16.5
"96","2007-05-21",16.4
"97","2007-05-22",15.74
"98","2007-05-23",15
"99","2007-05-24",14.84
"100","2007-05-25",15.22
"101","2007-05-29",15.5
"102","2007-05-30",15.4
"103","2007-05-31",17.01
"104","2007-06-01",16.83
"105","2007-06-04",16.360001
"106","2007-06-05",16.030001
"107","2007-06-06",15.77
"108","2007-06-07",15.59
"109","2007-06-08",15.88
"110","2007-06-11",16.01
"111","2007-06-12",16.799999
"112","2007-06-13",16.76
"113","2007-06-14",17.030001
"114","2007-06-15",17.200001
"115","2007-06-18",17.24
"116","2007-06-19",17.59
"117","2007-06-20",17.4
"118","2007-06-21",16.85
"119","2007-06-22",17.17
"120","2007-06-25",17.27
"121","2007-06-26",17.4
"122","2007-06-27",17.76
"123","2007-06-28",17.98
"124","2007-06-29",18.32
"125","2007-07-02",18.35
"126","2007-07-03",18.209999
"127","2007-07-05",18.15
"128","2007-07-06",18.129999
"129","2007-07-09",17.959999
"130","2007-07-10",17.969999
"131","2007-07-11",17.889999
"132","2007-07-12",17.879999
"133","2007-07-13",18
"134","2007-07-16",17.959999
"135","2007-07-17",17.629999
"136","2007-07-18",17.459999
"137","2007-07-19",16.68
"138","2007-07-20",16.799999
"139","2007-07-23",17.35
"140","2007-07-24",17.049999
"141","2007-07-25",17.280001
"142","2007-07-26",16.879999
"143","2007-07-27",17.08
"144","2007-07-30",16.940001
"145","2007-07-31",16.870001
"146","2007-08-01",17.790001
"147","2007-08-02",17.950001
"148","2007-08-03",17.200001
"149","2007-08-06",16.92
"150","2007-08-07",16.93
"151","2007-08-08",17.1
"152","2007-08-09",16.85
"153","2007-08-10",16.280001
"154","2007-08-13",17.65
"155","2007-08-14",16.74
"156","2007-08-15",16.75
"157","2007-08-16",16.65
"158","2007-08-17",17.110001
"159","2007-08-20",16.389999
"160","2007-08-21",17.120001
"161","2007-08-22",17.5
"162","2007-08-23",16.93
"163","2007-08-24",17.25
"164","2007-08-27",16.889999
"165","2007-08-28",16.690001
"166","2007-08-29",16.559999
"167","2007-08-30",16.34
"168","2007-08-31",16.33
"169","2007-09-04",16.139999
"170","2007-09-05",16.040001
"171","2007-09-06",15.59
"172","2007-09-07",15.87
"173","2007-09-10",15.42
"174","2007-09-11",15.88
"175","2007-09-12",15.69
"176","2007-09-13",15.62
"177","2007-09-14",16.110001
"178","2007-09-17",16.1
"179","2007-09-18",16.98
"180","2007-09-19",17.620001
"181","2007-09-20",17.08
"182","2007-09-21",17.860001
"183","2007-09-24",18.4
"184","2007-09-25",18.700001
"185","2007-09-26",18.370001
"186","2007-09-27",18.91
"187","2007-09-28",19.299999
"188","2007-10-01",19.92
"189","2007-10-02",20.25
"190","2007-10-03",18.870001
"191","2007-10-04",19
"192","2007-10-05",18.950001
"193","2007-10-08",19.34
"194","2007-10-09",19.559999
"195","2007-10-10",19.73
"196","2007-10-11",19.700001
"197","2007-10-12",19.25
"198","2007-10-15",19.25
"199","2007-10-16",19.23
"200","2007-10-17",19.040001
"201","2007-10-18",19.120001
"202","2007-10-19",18.75
"203","2007-10-22",18.68
"204","2007-10-23",18.639999
"205","2007-10-24",18.91
"206","2007-10-25",18.99
"207","2007-10-26",18.719999
"208","2007-10-29",18.48
"209","2007-10-30",18.620001
"210","2007-10-31",18.889999
"211","2007-11-01",18.370001
"212","2007-11-02",18.799999
"213","2007-11-05",17.77
"214","2007-11-06",18.43
"215","2007-11-07",18.27
"216","2007-11-08",18.15
"217","2007-11-09",18
"218","2007-11-12",18.299999
"219","2007-11-13",18.530001
"220","2007-11-14",18.73
"221","2007-11-15",18.58
"222","2007-11-16",18.559999
"223","2007-11-19",19.23
"224","2007-11-20",19.450001
"225","2007-11-21",18.809999
"226","2007-11-23",18.75
"227","2007-11-26",18.83
"228","2007-11-27",19.139999
"229","2007-11-28",19.059999
"230","2007-11-29",19.030001
"231","2007-11-30",18.84
"232","2007-12-03",19.26
"233","2007-12-04",18.700001
"234","2007-12-05",19
"235","2007-12-06",19.530001
"236","2007-12-07",18.700001
"237","2007-12-10",18.940001
"238","2007-12-11",18.799999
"239","2007-12-12",18.23
"240","2007-12-13",18.02
"241","2007-12-14",16.790001
"242","2007-12-17",16.25
"243","2007-12-18",16.290001
"244","2007-12-19",16.23
"245","2007-12-20",16.75
"246","2007-12-21",17.65
"247","2007-12-24",17.950001
"248","2007-12-26",17.450001
"249","2007-12-27",17.280001
"250","2007-12-28",17.4
"251","2007-12-31",16.91
"252","2008-01-02",17.440001
"253","2008-01-03",16.700001
"254","2008-01-04",16.629999
"255","2008-01-07",17.15
"256","2008-01-08",16.950001
"257","2008-01-09",17.049999
"258","2008-01-10",17.25
"259","2008-01-11",16.959999
"260","2008-01-14",17.01
"261","2008-01-15",17.17
"262","2008-01-16",17.33
"263","2008-01-17",17.65
"264","2008-01-18",17.299999
"265","2008-01-22",17.33
"266","2008-01-23",14
"267","2008-01-24",15.1
"268","2008-01-25",14
"269","2008-01-28",14.76
"270","2008-01-29",14.96
"271","2008-01-30",14.48
"272","2008-01-31",14.6
"273","2008-02-01",14.56
"274","2008-02-04",15.09
"275","2008-02-05",15.28
"276","2008-02-06",14.97
"277","2008-02-07",15.14
"278","2008-02-08",15.47
"279","2008-02-11",15.45
"280","2008-02-12",15.5
"281","2008-02-13",15.74
"282","2008-02-14",15.9
"283","2008-02-15",15.56
"284","2008-02-19",15.64
"285","2008-02-20",15.73
"286","2008-02-21",15.9
"287","2008-02-22",15.56
"288","2008-02-25",15.48
"289","2008-02-26",16.16
"290","2008-02-27",16.620001
"291","2008-02-28",17.02
"292","2008-02-29",17.440001
"293","2008-03-03",17.030001
"294","2008-03-04",17.08
"295","2008-03-05",16.93
"296","2008-03-06",16.190001
"297","2008-03-07",16.42
"298","2008-03-10",17.1
"299","2008-03-11",17.15
"300","2008-03-12",17.68
"301","2008-03-13",17.950001
"302","2008-03-14",18.65
"303","2008-03-17",18.639999
"304","2008-03-18",18.530001
"305","2008-03-19",18.51
"306","2008-03-20",18.540001
"307","2008-03-24",18.889999
"308","2008-03-25",19.5
"309","2008-03-26",19.540001
"310","2008-03-27",19.77
"311","2008-03-28",19.58
"312","2008-03-31",19.24
"313","2008-04-01",19.030001
"314","2008-04-02",19
"315","2008-04-03",19
"316","2008-04-04",19.08
"317","2008-04-07",19.360001
"318","2008-04-08",19.469999
"319","2008-04-09",19.35
"320","2008-04-10",19.6
"321","2008-04-11",19.540001
"322","2008-04-14",19
"323","2008-04-15",19.209999
"324","2008-04-16",19.25
"325","2008-04-17",19.35
"326","2008-04-18",19.379999
"327","2008-04-21",19.389999
"328","2008-04-22",19.49
"329","2008-04-23",19.610001
"330","2008-04-24",19.52
"331","2008-04-25",19.51
"332","2008-04-28",19.360001
"333","2008-04-29",19.32
"334","2008-04-30",19.49
"335","2008-05-01",20.77
"336","2008-05-02",21.129999
"337","2008-05-05",20.299999
"338","2008-05-06",20.5
"339","2008-05-07",21.549999
"340","2008-05-08",21.34
"341","2008-05-09",20.700001
"342","2008-05-12",21.23
"343","2008-05-13",21.620001
"344","2008-05-14",21.42
"345","2008-05-15",21.67
