"","date","SGOC"
"1","2008-04-09",28.040001
"2","2008-04-10",28.040001
"3","2008-04-11",28.040001
"4","2008-04-14",28.040001
"5","2008-04-15",28.040001
"6","2008-04-16",28.040001
"7","2008-04-17",28.040001
"8","2008-04-18",28.040001
"9","2008-04-21",28.040001
"10","2008-04-22",28.040001
"11","2008-04-23",28.16
"12","2008-04-24",28.16
"13","2008-04-25",28.16
"14","2008-04-28",27.92
"15","2008-04-29",28
"16","2008-04-30",27.879999
"17","2008-05-01",27.879999
"18","2008-05-02",27.879999
"19","2008-05-05",27.879999
"20","2008-05-06",28.040001
"21","2008-05-07",28
"22","2008-05-08",28
"23","2008-05-09",28
"24","2008-05-12",28
"25","2008-05-13",28
"26","2008-05-14",28
"27","2008-05-15",28
"28","2008-05-16",28
"29","2008-05-19",28
"30","2008-05-20",28
"31","2008-05-21",28
"32","2008-05-22",28
"33","2008-05-23",28
"34","2008-05-27",28.040001
"35","2008-05-28",28.120001
"36","2008-05-29",28.120001
"37","2008-05-30",28.120001
"38","2008-06-02",28.200001
"39","2008-06-03",28.280001
"40","2008-06-04",28.4
"41","2008-06-05",28.48
"42","2008-06-06",28.48
"43","2008-06-09",28.48
"44","2008-06-10",28.48
"45","2008-06-11",28.48
"46","2008-06-12",28.52
"47","2008-06-13",28.52
"48","2008-06-16",28.52
"49","2008-06-17",28.6
"50","2008-06-18",28.639999
"51","2008-06-19",28.639999
"52","2008-06-20",28.639999
"53","2008-06-23",28.639999
"54","2008-06-24",28.639999
"55","2008-06-25",28.639999
"56","2008-06-26",28.639999
"57","2008-06-27",28.639999
"58","2008-06-30",28.639999
"59","2008-07-01",28.639999
"60","2008-07-02",28.879999
"61","2008-07-03",28.879999
"62","2008-07-07",28.879999
"63","2008-07-08",28.879999
"64","2008-07-09",28.879999
"65","2008-07-10",28.879999
"66","2008-07-11",28.879999
"67","2008-07-14",28.6
"68","2008-07-15",28.719999
"69","2008-07-16",28.719999
"70","2008-07-17",28.719999
"71","2008-07-18",28.719999
"72","2008-07-21",28.4
"73","2008-07-22",28.4
"74","2008-07-23",28.4
"75","2008-07-24",28.4
"76","2008-07-25",28.4
"77","2008-07-28",28.4
"78","2008-07-29",28.4
"79","2008-07-30",28.4
"80","2008-07-31",28.6
"81","2008-08-01",28.6
"82","2008-08-04",28.6
"83","2008-08-05",28.719999
"84","2008-08-06",28.719999
"85","2008-08-07",28.719999
"86","2008-08-08",28.719999
"87","2008-08-11",28.719999
"88","2008-08-12",28.719999
"89","2008-08-13",28.799999
"90","2008-08-14",28.799999
"91","2008-08-15",28.799999
"92","2008-08-18",28.799999
"93","2008-08-19",28.799999
"94","2008-08-20",28.799999
"95","2008-08-21",28.799999
"96","2008-08-22",28.799999
"97","2008-08-25",29
"98","2008-08-26",29.08
