"","date","SITE"
"1","2016-05-12",26.67
"2","2016-05-13",28.200001
"3","2016-05-16",28.700001
"4","2016-05-17",27.959999
"5","2016-05-18",29.280001
"6","2016-05-19",28.52
"7","2016-05-20",29
"8","2016-05-23",29.15
"9","2016-05-24",28.940001
"10","2016-05-25",28.360001
"11","2016-05-26",27.73
"12","2016-05-27",27.92
"13","2016-05-31",28.129999
"14","2016-06-01",28
"15","2016-06-02",28
"16","2016-06-03",28.110001
"17","2016-06-06",28.33
"18","2016-06-07",28.459999
"19","2016-06-08",28.43
"20","2016-06-09",28.35
"21","2016-06-10",28.15
"22","2016-06-13",28.26
"23","2016-06-14",27.940001
"24","2016-06-15",28.360001
"25","2016-06-16",28.200001
"26","2016-06-17",27.290001
"27","2016-06-20",29.290001
"28","2016-06-21",30.84
"29","2016-06-22",31.58
"30","2016-06-23",33.720001
"31","2016-06-24",33.66
"32","2016-06-27",32.990002
"33","2016-06-28",34.790001
"34","2016-06-29",33.98
"35","2016-06-30",33.990002
"36","2016-07-01",35.169998
"37","2016-07-05",35.950001
"38","2016-07-06",35.459999
"39","2016-07-07",34.779999
"40","2016-07-08",36.740002
"41","2016-07-11",36.84
"42","2016-07-12",37.369999
"43","2016-07-13",37.029999
"44","2016-07-14",35.599998
"45","2016-07-15",36.419998
"46","2016-07-18",38.310001
"47","2016-07-19",37.860001
"48","2016-07-20",37.27
"49","2016-07-21",37.310001
"50","2016-07-22",37.18
"51","2016-07-25",39.27
"52","2016-07-26",38.959999
"53","2016-07-27",38.759998
"54","2016-07-28",38.93
"55","2016-07-29",38.84
"56","2016-08-01",38.740002
"57","2016-08-02",38.029999
"58","2016-08-03",38.43
"59","2016-08-04",37.400002
"60","2016-08-05",37.580002
"61","2016-08-08",36.849998
"62","2016-08-09",37.16
"63","2016-08-10",37.84
"64","2016-08-11",38.34
"65","2016-08-12",38.669998
"66","2016-08-15",38.490002
"67","2016-08-16",38.380001
"68","2016-08-17",36.18
"69","2016-08-18",37.41
"70","2016-08-19",38.23
"71","2016-08-22",39.75
"72","2016-08-23",40.560001
"73","2016-08-24",39.68
"74","2016-08-25",38.810001
"75","2016-08-26",38.299999
"76","2016-08-29",38.380001
"77","2016-08-30",38.259998
"78","2016-08-31",38.240002
"79","2016-09-01",37.939999
"80","2016-09-02",37.950001
"81","2016-09-06",38.16
"82","2016-09-07",39.02
"83","2016-09-08",40.189999
"84","2016-09-09",36.52
"85","2016-09-12",36.720001
"86","2016-09-13",37.970001
"87","2016-09-14",38.150002
"88","2016-09-15",39.200001
"89","2016-09-16",39.509998
"90","2016-09-19",40.240002
"91","2016-09-20",38.869999
"92","2016-09-21",38.810001
"93","2016-09-22",37.220001
"94","2016-09-23",37.02
"95","2016-09-26",36.349998
"96","2016-09-27",36.110001
"97","2016-09-28",35.91
"98","2016-09-29",35.68
"99","2016-09-30",35.93
"100","2016-10-03",36.18
"101","2016-10-04",36.849998
"102","2016-10-05",36.59
"103","2016-10-06",36.150002
"104","2016-10-07",36.25
"105","2016-10-10",36.650002
"106","2016-10-11",36.02
"107","2016-10-12",36.360001
"108","2016-10-13",34.610001
"109","2016-10-14",34.779999
"110","2016-10-17",33.669998
"111","2016-10-18",32.389999
"112","2016-10-19",32.32
"113","2016-10-20",31.959999
"114","2016-10-21",31.75
"115","2016-10-24",32.119999
"116","2016-10-25",31.74
"117","2016-10-26",31.24
"118","2016-10-27",30.34
"119","2016-10-28",30.77
"120","2016-10-31",31.18
"121","2016-11-01",30.51
"122","2016-11-02",30.280001
"123","2016-11-03",29.98
"124","2016-11-04",29.82
"125","2016-11-07",30.51
"126","2016-11-08",29.91
"127","2016-11-09",32.310001
"128","2016-11-10",30.65
"129","2016-11-11",32.029999
"130","2016-11-14",34.299999
"131","2016-11-15",35.240002
"132","2016-11-16",34.709999
"133","2016-11-17",35.330002
"134","2016-11-18",35.009998
"135","2016-11-21",34.41
"136","2016-11-22",35.98
"137","2016-11-23",35.75
"138","2016-11-25",35.599998
"139","2016-11-28",35.07
"140","2016-11-29",33.740002
"141","2016-11-30",33.5
"142","2016-12-01",32.299999
"143","2016-12-02",32.060001
"144","2016-12-05",33.18
"145","2016-12-06",32.439999
"146","2016-12-07",33.02
"147","2016-12-08",33.509998
"148","2016-12-09",33.41
"149","2016-12-12",32.799999
"150","2016-12-13",32.220001
"151","2016-12-14",31.719999
"152","2016-12-15",33.169998
"153","2016-12-16",33.669998
"154","2016-12-19",35.009998
"155","2016-12-20",35.360001
"156","2016-12-21",35.209999
"157","2016-12-22",35.27
"158","2016-12-23",35
"159","2016-12-27",35.5
"160","2016-12-28",34.91
"161","2016-12-29",35.029999
"162","2016-12-30",34.73
"163","2017-01-03",35.720001
"164","2017-01-04",36.77
"165","2017-01-05",36.450001
"166","2017-01-06",36.5
"167","2017-01-09",36.560001
"168","2017-01-10",36.560001
"169","2017-01-11",36.889999
"170","2017-01-12",36.380001
"171","2017-01-13",36.080002
"172","2017-01-17",36.240002
"173","2017-01-18",36.549999
"174","2017-01-19",36.849998
"175","2017-01-20",37.259998
"176","2017-01-23",37.09
"177","2017-01-24",37.380001
"178","2017-01-25",37.82
"179","2017-01-26",37.810001
"180","2017-01-27",37.830002
"181","2017-01-30",38.02
"182","2017-01-31",38.419998
"183","2017-02-01",38.080002
"184","2017-02-02",38.119999
"185","2017-02-03",38.169998
"186","2017-02-06",38.18
"187","2017-02-07",38.43
"188","2017-02-08",38.02
"189","2017-02-09",37.970001
"190","2017-02-10",38.720001
"191","2017-02-13",38.580002
"192","2017-02-14",38.860001
"193","2017-02-15",38.59
"194","2017-02-16",38.860001
"195","2017-02-17",38.73
"196","2017-02-21",39.360001
"197","2017-02-22",39.48
"198","2017-02-23",39.529999
"199","2017-02-24",39.290001
"200","2017-02-27",39.57
"201","2017-02-28",39.209999
"202","2017-03-01",39.799999
"203","2017-03-02",39.419998
"204","2017-03-03",39.939999
"205","2017-03-06",39.830002
"206","2017-03-07",39.380001
"207","2017-03-08",39.889999
"208","2017-03-09",39.759998
"209","2017-03-10",40.060001
"210","2017-03-13",40.669998
"211","2017-03-14",40.950001
"212","2017-03-15",43.900002
"213","2017-03-16",44.93
"214","2017-03-17",45.32
"215","2017-03-20",45.5
"216","2017-03-21",44.84
"217","2017-03-22",46.630001
"218","2017-03-23",46.700001
"219","2017-03-24",46.849998
"220","2017-03-27",46.740002
"221","2017-03-28",47.169998
"222","2017-03-29",46.889999
"223","2017-03-30",47.549999
"224","2017-03-31",48.41
"225","2017-04-03",48.380001
