"","date","SITM"
"1","2019-11-20",13
"2","2019-11-21",18.65
"3","2019-11-22",18.049999
"4","2019-11-25",17.15
"5","2019-11-26",17.01
"6","2019-11-27",17.49
"7","2019-11-29",17.4
"8","2019-12-02",16.6
"9","2019-12-03",16.74
"10","2019-12-04",16.940001
"11","2019-12-05",16.799999
"12","2019-12-06",18.030001
"13","2019-12-09",20.5
"14","2019-12-10",19.639999
"15","2019-12-11",20.34
"16","2019-12-12",19.25
"17","2019-12-13",19.629999
"18","2019-12-16",21.290001
"19","2019-12-17",22.26
"20","2019-12-18",21.52
"21","2019-12-19",21.07
"22","2019-12-20",21.639999
"23","2019-12-23",21.110001
"24","2019-12-24",21.209999
"25","2019-12-26",21.59
"26","2019-12-27",22.74
"27","2019-12-30",24.370001
"28","2019-12-31",25.5
"29","2020-01-02",24.34
"30","2020-01-03",23.33
"31","2020-01-06",22.15
"32","2020-01-07",22.129999
"33","2020-01-08",22.549999
"34","2020-01-09",22.309999
"35","2020-01-10",22.799999
"36","2020-01-13",22.43
"37","2020-01-14",23.469999
"38","2020-01-15",24
"39","2020-01-16",24.9
"40","2020-01-17",25.41
"41","2020-01-21",24.68
"42","2020-01-22",23.98
"43","2020-01-23",23.540001
"44","2020-01-24",25.01
"45","2020-01-27",24.110001
"46","2020-01-28",26.440001
"47","2020-01-29",26.01
"48","2020-01-30",24.870001
"49","2020-01-31",25.42
"50","2020-02-03",25.74
"51","2020-02-04",26.75
"52","2020-02-05",27.33
"53","2020-02-06",30.27
"54","2020-02-07",31
"55","2020-02-10",30.780001
"56","2020-02-11",31.370001
"57","2020-02-12",31.549999
"58","2020-02-13",29.84
"59","2020-02-14",28.85
"60","2020-02-18",28
"61","2020-02-19",30.25
"62","2020-02-20",31.18
"63","2020-02-21",30.43
"64","2020-02-24",28.57
"65","2020-02-25",27.120001
"66","2020-02-26",26.82
"67","2020-02-27",25.700001
"68","2020-02-28",22.66
"69","2020-03-02",24.67
"70","2020-03-03",24.799999
"71","2020-03-04",25.549999
"72","2020-03-05",24.690001
"73","2020-03-06",23.4
"74","2020-03-09",21.02
"75","2020-03-10",21.25
"76","2020-03-11",19.280001
"77","2020-03-12",16.98
"78","2020-03-13",20.43
"79","2020-03-16",18.35
"80","2020-03-17",21.719999
"81","2020-03-18",16.799999
"82","2020-03-19",17.950001
"83","2020-03-20",23.610001
"84","2020-03-23",19.34
"85","2020-03-24",21.040001
"86","2020-03-25",22.290001
"87","2020-03-26",21.549999
"88","2020-03-27",20.76
"89","2020-03-30",22.549999
"90","2020-03-31",21.77
"91","2020-04-01",20.92
"92","2020-04-02",19.870001
"93","2020-04-03",19.700001
"94","2020-04-06",23.5
"95","2020-04-07",22.26
"96","2020-04-08",21.299999
"97","2020-04-09",21.030001
"98","2020-04-13",19.690001
"99","2020-04-14",20.82
"100","2020-04-15",20
"101","2020-04-16",19.41
"102","2020-04-17",19.549999
"103","2020-04-20",18.85
"104","2020-04-21",17.700001
"105","2020-04-22",19.27
"106","2020-04-23",19.65
"107","2020-04-24",19.530001
"108","2020-04-27",21.139999
"109","2020-04-28",21.9
"110","2020-04-29",22.52
"111","2020-04-30",21.66
"112","2020-05-01",21.280001
"113","2020-05-04",21.57
"114","2020-05-05",22.719999
"115","2020-05-06",22.684999
"116","2020-05-07",25.1
"117","2020-05-08",25.870001
"118","2020-05-11",25.639999
"119","2020-05-12",25.43
"120","2020-05-13",24.82
"121","2020-05-14",25.200001
"122","2020-05-15",25.08
"123","2020-05-18",28.02
"124","2020-05-19",30.93
"125","2020-05-20",32.52
"126","2020-05-21",32.299999
"127","2020-05-22",33.400002
"128","2020-05-26",31.43
"129","2020-05-27",32.009998
"130","2020-05-28",30.98
"131","2020-05-29",29.809999
"132","2020-06-01",31
"133","2020-06-02",31.959999
"134","2020-06-03",33.48
"135","2020-06-04",33.889999
"136","2020-06-05",33.790001
"137","2020-06-08",35.689999
"138","2020-06-09",38.599998
"139","2020-06-10",37.919998
"140","2020-06-11",32.740002
"141","2020-06-12",35.75
"142","2020-06-15",39.209999
"143","2020-06-16",41.5
"144","2020-06-17",46.66
"145","2020-06-18",46.84
"146","2020-06-19",46.25
"147","2020-06-22",46.790001
"148","2020-06-23",48.049999
"149","2020-06-24",47.709999
"150","2020-06-25",47
"151","2020-06-26",45.889999
"152","2020-06-29",44.779999
"153","2020-06-30",47.41
"154","2020-07-01",46.869999
"155","2020-07-02",45.849998
"156","2020-07-06",48.529999
"157","2020-07-07",45.93
"158","2020-07-08",46.099998
"159","2020-07-09",46.720001
"160","2020-07-10",46.849998
"161","2020-07-13",45.869999
"162","2020-07-14",47.540001
"163","2020-07-15",48.59
"164","2020-07-16",48.900002
"165","2020-07-17",53.310001
"166","2020-07-20",58.290001
"167","2020-07-21",54.02
"168","2020-07-22",53.830002
"169","2020-07-23",54.290001
"170","2020-07-24",51.299999
"171","2020-07-27",52.220001
"172","2020-07-28",50.66
"173","2020-07-29",51.93
"174","2020-07-30",54.439999
"175","2020-07-31",53.150002
"176","2020-08-03",54.849998
"177","2020-08-04",57.25
"178","2020-08-05",58.139999
"179","2020-08-06",61.580002
"180","2020-08-07",58.919998
"181","2020-08-10",63.490002
"182","2020-08-11",61.130001
"183","2020-08-12",62.57
"184","2020-08-13",64.620003
"185","2020-08-14",64.68
"186","2020-08-17",66.389999
"187","2020-08-18",67.43
"188","2020-08-19",67.32
"189","2020-08-20",66.300003
"190","2020-08-21",65.360001
"191","2020-08-24",67.400002
"192","2020-08-25",71.209999
"193","2020-08-26",69.110001
"194","2020-08-27",67.269997
"195","2020-08-28",68.040001
"196","2020-08-31",65.879997
"197","2020-09-01",75.199997
"198","2020-09-02",77.470001
"199","2020-09-03",72.669998
"200","2020-09-04",69.349998
"201","2020-09-08",66.669998
"202","2020-09-09",68.43
"203","2020-09-10",65.879997
"204","2020-09-11",63.98
"205","2020-09-14",66.839996
"206","2020-09-15",66.5
"207","2020-09-16",66.010002
"208","2020-09-17",71.330002
"209","2020-09-18",72.709999
"210","2020-09-21",72.5
"211","2020-09-22",76.400002
"212","2020-09-23",74.940002
"213","2020-09-24",76.559998
"214","2020-09-25",78.269997
"215","2020-09-28",81.849998
"216","2020-09-29",85.620003
"217","2020-09-30",84.029999
"218","2020-10-01",88.510002
"219","2020-10-02",86.699997
"220","2020-10-05",84.519997
"221","2020-10-06",83.970001
"222","2020-10-07",84.660004
"223","2020-10-08",83.620003
"224","2020-10-09",85.900002
"225","2020-10-12",89.779999
"226","2020-10-13",90.489998
"227","2020-10-14",90.379997
"228","2020-10-15",94.470001
"229","2020-10-16",92.470001
"230","2020-10-19",89.870003
"231","2020-10-20",92.139999
"232","2020-10-21",88.160004
"233","2020-10-22",91.089996
"234","2020-10-23",93.300003
"235","2020-10-26",91.110001
"236","2020-10-27",92.849998
"237","2020-10-28",86.290001
"238","2020-10-29",88.410004
"239","2020-10-30",83.489998
"240","2020-11-02",84.550003
"241","2020-11-03",91.610001
"242","2020-11-04",93.599998
"243","2020-11-05",95.559998
"244","2020-11-06",103.5
"245","2020-11-09",95.089996
"246","2020-11-10",90.279999
"247","2020-11-11",93.199997
"248","2020-11-12",94.400002
"249","2020-11-13",93.989998
"250","2020-11-16",88.360001
"251","2020-11-17",86.779999
"252","2020-11-18",80.769997
"253","2020-11-19",82.209999
"254","2020-11-20",82.300003
"255","2020-11-23",85.199997
"256","2020-11-24",81
"257","2020-11-25",88.150002
"258","2020-11-27",88.260002
