"","date","SJ"
"1","2019-03-07",9.79
"2","2019-03-08",9.79
"3","2019-03-11",9.79
"4","2019-03-12",9.85
"5","2019-03-13",9.79
"6","2019-03-14",9.79
"7","2019-03-15",9.79
"8","2019-03-18",9.79
"9","2019-03-19",9.79
"10","2019-03-20",9.79
"11","2019-03-21",9.79
"12","2019-03-22",9.79
"13","2019-03-25",9.79
"14","2019-03-26",9.81
"15","2019-03-27",9.79
"16","2019-03-28",9.79
"17","2019-03-29",9.82
"18","2019-04-01",9.82
"19","2019-04-02",9.8
"20","2019-04-03",9.81
"21","2019-04-04",9.79
"22","2019-04-05",9.8
"23","2019-04-08",9.8
"24","2019-04-09",9.8
"25","2019-04-10",9.8
"26","2019-04-11",9.8
"27","2019-04-12",9.83
"28","2019-04-15",9.84
"29","2019-04-16",9.84
"30","2019-04-17",10.05
"31","2019-04-18",10.05
"32","2019-04-22",9.965
"33","2019-04-23",9.965
"34","2019-04-24",9.88
"35","2019-04-25",9.88
"36","2019-04-26",9.88
"37","2019-04-29",9.9
"38","2019-04-30",9.9
"39","2019-05-01",9.9
"40","2019-05-02",9.9
"41","2019-05-03",9.9
"42","2019-05-06",9.9
"43","2019-05-07",9.9
"44","2019-05-08",9.9
"45","2019-05-09",9.9
"46","2019-05-10",9.9
"47","2019-05-13",9.9
"48","2019-05-14",9.9
"49","2019-05-15",9.9
"50","2019-05-16",9.9
"51","2019-05-17",9.87
"52","2019-05-20",9.87
"53","2019-05-21",9.87
"54","2019-05-22",9.87
"55","2019-05-23",9.87
"56","2019-05-24",9.87
"57","2019-05-28",9.89
"58","2019-05-29",9.89
"59","2019-05-30",9.89
"60","2019-05-31",9.89
"61","2019-06-03",9.89
"62","2019-06-04",9.89
"63","2019-06-05",9.89
"64","2019-06-06",9.87
"65","2019-06-07",9.9
"66","2019-06-10",10
"67","2019-06-11",10
"68","2019-06-12",10
"69","2019-06-13",10.14
"70","2019-06-14",10.14
"71","2019-06-17",10.14
"72","2019-06-18",10.1
"73","2019-06-19",10.1
"74","2019-06-20",10.1
"75","2019-06-21",10.1
"76","2019-06-24",10.1
"77","2019-06-25",10.1
"78","2019-06-26",10.1
"79","2019-06-27",10.188
"80","2019-06-28",10.188
"81","2019-07-01",10.188
"82","2019-07-02",9.89
"83","2019-07-03",9.89
"84","2019-07-05",10.02
"85","2019-07-08",10.02
"86","2019-07-09",10.25
"87","2019-07-10",10.29
"88","2019-07-11",10.09
"89","2019-07-12",10.054
"90","2019-07-15",10.035
"91","2019-07-16",10.05
"92","2019-07-17",10.05
"93","2019-07-18",10.05
"94","2019-07-19",10.08
"95","2019-07-22",10.08
"96","2019-07-23",10.05
"97","2019-07-24",10.05
"98","2019-07-25",10.03
"99","2019-07-26",10.06
"100","2019-07-29",10.05
"101","2019-07-30",10.1
"102","2019-07-31",10.1
"103","2019-08-01",10.1
"104","2019-08-02",10.1
"105","2019-08-05",10.1
"106","2019-08-06",10.1
"107","2019-08-07",10.1
"108","2019-08-08",10.1
"109","2019-08-09",10.09
"110","2019-08-12",10.09
"111","2019-08-13",10.09
"112","2019-08-14",10.06
"113","2019-08-15",10.08
"114","2019-08-16",10.08
"115","2019-08-19",10.08
"116","2019-08-20",10.08
"117","2019-08-21",10.08
"118","2019-08-22",10.09
"119","2019-08-23",10.09
"120","2019-08-26",10.14
"121","2019-08-27",10.14
"122","2019-08-28",10.14
"123","2019-08-29",10.14
"124","2019-08-30",10.1
"125","2019-09-03",10.1
"126","2019-09-04",10.15
"127","2019-09-05",10.15
"128","2019-09-06",10.15
"129","2019-09-09",10.15
"130","2019-09-10",10.15
"131","2019-09-11",10.15
"132","2019-09-12",10.15
"133","2019-09-13",10.15
"134","2019-09-16",10.15
"135","2019-09-17",10.15
"136","2019-09-18",10.15
"137","2019-09-19",10.15
"138","2019-09-20",10.15
"139","2019-09-23",10.15
"140","2019-09-24",10.15
"141","2019-09-25",10.15
"142","2019-09-26",10.15
"143","2019-09-27",10.15
"144","2019-09-30",10.15
"145","2019-10-01",10.15
"146","2019-10-02",10.35
"147","2019-10-03",10.15
"148","2019-10-04",10.15
"149","2019-10-07",10.15
"150","2019-10-08",10.15
"151","2019-10-09",10.15
"152","2019-10-10",10.1
"153","2019-10-11",10.15
"154","2019-10-14",10.15
"155","2019-10-15",10.15
"156","2019-10-16",10.2
"157","2019-10-17",10.2
"158","2019-10-18",10.2
"159","2019-10-21",10.2
"160","2019-10-22",10.2
"161","2019-10-23",10.15
"162","2019-10-24",10.15
"163","2019-10-25",10.15
"164","2019-10-28",10.15
"165","2019-10-29",10.15
"166","2019-10-30",10.15
"167","2019-10-31",10.15
"168","2019-11-01",10.14
"169","2019-11-04",10.14
"170","2019-11-05",10.12
"171","2019-11-06",10.11
"172","2019-11-07",10.1
"173","2019-11-08",10.1
"174","2019-11-11",10.1
"175","2019-11-12",10.15
"176","2019-11-13",10.15
"177","2019-11-14",10.15
"178","2019-11-15",10.15
"179","2019-11-18",10.15
"180","2019-11-19",10.12
"181","2019-11-20",10.12
"182","2019-11-21",10.12
"183","2019-11-22",10.12
"184","2019-11-25",10.12
"185","2019-11-26",10.12
"186","2019-11-27",10.13
"187","2019-11-29",10.13
"188","2019-12-02",10.13
"189","2019-12-03",10.12
"190","2019-12-04",10.12
"191","2019-12-05",10.12
"192","2019-12-06",10.14
"193","2019-12-09",10.14
"194","2019-12-10",10.13
"195","2019-12-11",10.13
"196","2019-12-12",10.13
"197","2019-12-13",10.13
"198","2019-12-16",10.13
"199","2019-12-17",10.13
"200","2019-12-18",10.13
"201","2019-12-19",10.13
"202","2019-12-20",10.12
"203","2019-12-23",10.12
"204","2019-12-24",10.12
"205","2019-12-26",10.14
"206","2019-12-27",10.14
"207","2019-12-30",10.14
"208","2019-12-31",10.14
"209","2020-01-02",10.14
"210","2020-01-03",10.14
"211","2020-01-06",10.14
"212","2020-01-07",10.2
"213","2020-01-08",10.2
"214","2020-01-09",10.2
"215","2020-01-10",10.2
"216","2020-01-13",10.2
"217","2020-01-14",10.25
"218","2020-01-15",10.25
"219","2020-01-16",10.25
"220","2020-01-17",10.256
"221","2020-01-21",10.201
"222","2020-01-22",10.201
"223","2020-01-23",10.2
"224","2020-01-24",10.2
"225","2020-01-27",10.2
"226","2020-01-28",10.2
"227","2020-01-29",10.2
"228","2020-01-30",10.2
"229","2020-01-31",10.2
"230","2020-02-03",10.25
"231","2020-02-04",10.25
"232","2020-02-05",10.25
"233","2020-02-06",10.25
"234","2020-02-07",10.25
"235","2020-02-10",10.29
"236","2020-02-11",10.29
"237","2020-02-12",10.291
"238","2020-02-13",10.291
"239","2020-02-14",10.291
"240","2020-02-18",10.29
"241","2020-02-19",10.29
"242","2020-02-20",10.29
"243","2020-02-21",10.29
"244","2020-02-24",10.29
"245","2020-02-25",10.29
"246","2020-02-26",10.29
"247","2020-02-27",10.29
"248","2020-02-28",10.29
"249","2020-03-02",10.3
"250","2020-03-03",10.29
"251","2020-03-04",10.3
"252","2020-03-05",10.3
"253","2020-03-06",10.3
"254","2020-03-09",10.235
"255","2020-03-10",10.24
"256","2020-03-11",10.24
"257","2020-03-12",10.2
"258","2020-03-13",10.2
"259","2020-03-16",10.15
"260","2020-03-17",10.1
"261","2020-03-18",10.3
"262","2020-03-19",9.81
"263","2020-03-20",9.886
"264","2020-03-23",9.9
"265","2020-03-24",9.95
"266","2020-03-25",10
"267","2020-03-26",10.2
"268","2020-03-27",10.05
"269","2020-03-30",10.05
"270","2020-03-31",10.235
"271","2020-04-01",10.27
"272","2020-04-02",10.24
"273","2020-04-03",10.26
"274","2020-04-06",10.311
"275","2020-04-07",10.31
"276","2020-04-08",10.33
"277","2020-04-09",10.34
"278","2020-04-13",10.35
"279","2020-04-14",10.35
"280","2020-04-15",10.35
"281","2020-04-16",10.34
"282","2020-04-17",10.34
"283","2020-04-20",10.4
"284","2020-04-21",10.335
"285","2020-04-22",10.349
"286","2020-04-23",10.343
"287","2020-04-24",10.45
"288","2020-04-27",10.45
"289","2020-04-28",10.45
"290","2020-04-29",10.361
"291","2020-04-30",10.44
"292","2020-05-01",10.24
"293","2020-05-04",9.5
"294","2020-05-05",8.9
"295","2020-05-06",6.75
"296","2020-05-07",8.92
"297","2020-05-08",9.55
"298","2020-05-11",8.45
"299","2020-05-12",8.175
"300","2020-05-13",7.45
"301","2020-05-14",7.01
"302","2020-05-15",7.1
"303","2020-05-18",6.54
"304","2020-05-19",6.4
"305","2020-05-20",6.55
"306","2020-05-21",5.55
"307","2020-05-22",6.24
"308","2020-05-26",6.28
"309","2020-05-27",6.52
"310","2020-05-28",6.78
"311","2020-05-29",6.81
"312","2020-06-01",6.8
"313","2020-06-02",6.975
"314","2020-06-03",7
"315","2020-06-04",7.037
"316","2020-06-05",6.553
"317","2020-06-08",6.397
"318","2020-06-09",6.21
"319","2020-06-10",6.245
"320","2020-06-11",6
"321","2020-06-12",6.15
"322","2020-06-15",6.48
"323","2020-06-16",6.1
"324","2020-06-17",6.18
"325","2020-06-18",6.16
"326","2020-06-19",6.2
"327","2020-06-22",6.1
"328","2020-06-23",6.14
"329","2020-06-24",6.1
"330","2020-06-25",6.24
"331","2020-06-26",6.26
"332","2020-06-29",6.11
"333","2020-06-30",6.11
"334","2020-07-01",6.1
"335","2020-07-02",6.16
"336","2020-07-06",6.18
"337","2020-07-07",6.34
"338","2020-07-08",6.22
"339","2020-07-09",6.12
"340","2020-07-10",6.245
"341","2020-07-13",6.12
"342","2020-07-14",6.1
"343","2020-07-15",6.31
"344","2020-07-16",6.19
"345","2020-07-17",6.376
"346","2020-07-20",6.21
"347","2020-07-21",6.335
"348","2020-07-22",6.17
"349","2020-07-23",6.19
"350","2020-07-24",6.18
"351","2020-07-27",6.66
"352","2020-07-28",6.66
"353","2020-07-29",6.05
"354","2020-07-30",5.85
"355","2020-07-31",5.87
"356","2020-08-03",6.11
"357","2020-08-04",6.145
"358","2020-08-05",6.145
"359","2020-08-06",6.145
"360","2020-08-07",6
"361","2020-08-10",6.2
"362","2020-08-11",6.2
"363","2020-08-12",6.2
"364","2020-08-13",7.91
"365","2020-08-14",7.3
"366","2020-08-17",7.25
"367","2020-08-18",7.3
"368","2020-08-19",7.74
"369","2020-08-20",7.701
"370","2020-08-21",7.69
"371","2020-08-24",7.07
"372","2020-08-25",7.57
"373","2020-08-26",7.57
"374","2020-08-27",7
"375","2020-08-28",7.2
"376","2020-08-31",6.87
"377","2020-09-01",6.77
"378","2020-09-02",6.5
"379","2020-09-03",6.12
"380","2020-09-04",6.191
"381","2020-09-08",5.84
"382","2020-09-09",5.88
"383","2020-09-10",5.9
"384","2020-09-11",5.95
"385","2020-09-14",5.8
"386","2020-09-15",6
"387","2020-09-16",5.9
"388","2020-09-17",5.95
"389","2020-09-18",5.995
"390","2020-09-21",6.21
"391","2020-09-22",6.21
"392","2020-09-23",6.4
"393","2020-09-24",6.05
"394","2020-09-25",6
"395","2020-09-28",5.88
"396","2020-09-29",5.704
"397","2020-09-30",5.7
"398","2020-10-01",5.85
"399","2020-10-02",5.91
"400","2020-10-05",5.96
"401","2020-10-06",5.95
"402","2020-10-07",6.02
"403","2020-10-08",6.14
"404","2020-10-09",6.14
"405","2020-10-12",6.14
"406","2020-10-13",6.14
"407","2020-10-14",6.14
"408","2020-10-15",5.84
"409","2020-10-16",5.8
"410","2020-10-19",5.76
"411","2020-10-20",5.89
"412","2020-10-21",5.9
"413","2020-10-22",5.9
"414","2020-10-23",5.985
"415","2020-10-26",5.81
"416","2020-10-27",5.81
"417","2020-10-28",6.15
"418","2020-10-29",6.15
"419","2020-10-30",5.925
"420","2020-11-02",5.925
"421","2020-11-03",6.13
"422","2020-11-04",6.141
"423","2020-11-05",6.142
"424","2020-11-06",6.2
"425","2020-11-09",6.37
"426","2020-11-10",6.8
"427","2020-11-11",7.09
"428","2020-11-12",7.8
"429","2020-11-13",8.38
"430","2020-11-16",8.79
"431","2020-11-17",9.5
"432","2020-11-18",10.32
"433","2020-11-19",10.23
"434","2020-11-20",9.72
