"","date","SKYS"
"1","2014-11-13",22.875
"2","2014-11-14",26
"3","2014-11-17",23.375
"4","2014-11-18",24.125
"5","2014-11-19",23.25
"6","2014-11-20",25.625
"7","2014-11-21",27.25
"8","2014-11-24",28
"9","2014-11-25",26.1
"10","2014-11-26",25.125
"11","2014-11-28",22.85
"12","2014-12-01",23.125
"13","2014-12-02",23.25
"14","2014-12-03",23.477501
"15","2014-12-04",21.25
"16","2014-12-05",20.775
"17","2014-12-08",18
"18","2014-12-09",18.33
"19","2014-12-10",18.75
"20","2014-12-11",17.85
"21","2014-12-12",16.1
"22","2014-12-15",18.725
"23","2014-12-16",17.424999
"24","2014-12-17",17.375
"25","2014-12-18",17
"26","2014-12-19",19.200001
"27","2014-12-22",30.85
"28","2014-12-23",30
"29","2014-12-24",27.625
"30","2014-12-26",29.975
"31","2014-12-29",28.725
"32","2014-12-30",31.525
"33","2014-12-31",31.799999
"34","2015-01-02",27.525
"35","2015-01-05",27.799999
"36","2015-01-06",28.1
"37","2015-01-07",27.475
"38","2015-01-08",27.5
"39","2015-01-09",27.5
"40","2015-01-12",26.75
"41","2015-01-13",27.25
"42","2015-01-14",26.075001
"43","2015-01-15",26.5
"44","2015-01-16",27.35
"45","2015-01-20",27.475
"46","2015-01-21",27.6
"47","2015-01-22",27.049999
"48","2015-01-23",28.049999
"49","2015-01-26",26.450001
"50","2015-01-27",27.690001
"51","2015-01-28",27.25
"52","2015-01-29",28.125
"53","2015-01-30",31.35
"54","2015-02-02",29.875
"55","2015-02-03",30
"56","2015-02-04",29.825001
"57","2015-02-05",30
"58","2015-02-06",30
"59","2015-02-09",30
"60","2015-02-10",28.5
"61","2015-02-11",28
"62","2015-02-12",28
"63","2015-02-13",26.375
"64","2015-02-17",28.549999
"65","2015-02-18",28.25
"66","2015-02-19",28.25
"67","2015-02-20",28.24
"68","2015-02-23",30
"69","2015-02-24",29.375
"70","2015-02-25",29.9
"71","2015-02-26",28.525
"72","2015-02-27",30
"73","2015-03-02",29.575001
"74","2015-03-03",29.924999
"75","2015-03-04",29.775
"76","2015-03-05",28.875
"77","2015-03-06",27.719999
"78","2015-03-09",27.875
"79","2015-03-10",28.725
"80","2015-03-11",28
"81","2015-03-12",27.65
"82","2015-03-13",30
"83","2015-03-16",29
"84","2015-03-17",27.65
"85","2015-03-18",28
"86","2015-03-19",27.75
"87","2015-03-20",29
"88","2015-03-23",30
"89","2015-03-24",29.975
"90","2015-03-25",30
"91","2015-03-26",29.950001
"92","2015-03-27",29.975
"93","2015-03-30",30
"94","2015-03-31",30
"95","2015-04-01",29.775
"96","2015-04-02",29.775
"97","2015-04-06",29.65
"98","2015-04-07",29.975
"99","2015-04-08",29.65
"100","2015-04-09",29.950001
"101","2015-04-10",29.639999
"102","2015-04-13",29.65
"103","2015-04-14",30
"104","2015-04-15",29.700001
"105","2015-04-16",30
"106","2015-04-17",28.725
"107","2015-04-20",29.799999
"108","2015-04-21",27.25
"109","2015-04-22",27.450001
"110","2015-04-23",26.25
"111","2015-04-24",25.875
"112","2015-04-27",25.025
"113","2015-04-28",26.4
"114","2015-04-29",26.049999
"115","2015-04-30",26.15
"116","2015-05-01",24.799999
"117","2015-05-04",26.25
"118","2015-05-05",25.700001
"119","2015-05-06",24.674999
"120","2015-05-07",24.1
"121","2015-05-08",23.625
"122","2015-05-11",23.475
"123","2015-05-12",24.75
"124","2015-05-13",25.6
"125","2015-05-14",24.075001
"126","2015-05-15",24.450001
"127","2015-05-18",24.174999
"128","2015-05-19",23.700001
"129","2015-05-20",23.65
"130","2015-05-21",23.700001
"131","2015-05-22",23.475
"132","2015-05-26",23.5
"133","2015-05-27",23.725
"134","2015-05-28",23.475
"135","2015-05-29",23.75
"136","2015-06-01",22.775
"137","2015-06-02",23.1
"138","2015-06-03",22.025
"139","2015-06-04",22.200001
"140","2015-06-05",22.200001
"141","2015-06-08",21.862499
"142","2015-06-09",20.775
"143","2015-06-10",19.25
"144","2015-06-11",19.475
"145","2015-06-12",20.174999
"146","2015-06-15",17.4
"147","2015-06-16",17.225
"148","2015-06-17",17.200001
"149","2015-06-18",18.775
"150","2015-06-19",18.700001
"151","2015-06-22",19.7125
"152","2015-06-23",21.25
"153","2015-06-24",21.15
"154","2015-06-25",22.5875
"155","2015-06-26",23.75
"156","2015-06-29",23.75
"157","2015-06-30",23.725
"158","2015-07-01",23.65
"159","2015-07-02",23.65
"160","2015-07-06",20.450001
"161","2015-07-07",19.975
"162","2015-07-08",18.950001
"163","2015-07-09",19.475
"164","2015-07-10",20.174999
"165","2015-07-13",20.450001
"166","2015-07-14",18.799999
"167","2015-07-15",19.025
"168","2015-07-16",19.700001
"169","2015-07-17",19.155001
"170","2015-07-20",19.5
"171","2015-07-21",19.225
"172","2015-07-22",19.174999
"173","2015-07-23",20.5
"174","2015-07-24",20.375
"175","2015-07-27",20.35
"176","2015-07-28",20
"177","2015-07-29",21.049999
