"","date","SLN"
"1","2020-09-08",19.5
"2","2020-09-09",19
"3","2020-09-10",19
"4","2020-09-11",19.5
"5","2020-09-14",19.5
"6","2020-09-15",18.950001
"7","2020-09-16",18.5
"8","2020-09-17",18.5
"9","2020-09-18",18.5
"10","2020-09-21",17.6
"11","2020-09-22",17.5
"12","2020-09-23",17.5
"13","2020-09-24",17.5
"14","2020-09-25",17.5
"15","2020-09-28",17.306
"16","2020-09-29",17.306
"17","2020-09-30",17.306
"18","2020-10-01",16.879999
"19","2020-10-02",16.879999
"20","2020-10-05",15.75
"21","2020-10-06",16.525
"22","2020-10-07",16.440001
"23","2020-10-08",16.440001
"24","2020-10-09",16.41
"25","2020-10-12",16.41
"26","2020-10-13",16.41
"27","2020-10-14",16.41
"28","2020-10-15",15.5
"29","2020-10-16",15.5
"30","2020-10-19",15.5
"31","2020-10-20",15.5
"32","2020-10-21",15.5
"33","2020-10-22",15.5
"34","2020-10-23",15.5
"35","2020-10-26",15.5
"36","2020-10-27",15.52
"37","2020-10-28",15
"38","2020-10-29",15
"39","2020-10-30",15
"40","2020-11-02",15
"41","2020-11-03",15
"42","2020-11-04",15
"43","2020-11-05",15.76
"44","2020-11-06",15.76
"45","2020-11-09",19.99
"46","2020-11-10",19.99
"47","2020-11-11",19.99
"48","2020-11-12",19.99
"49","2020-11-13",19.99
"50","2020-11-16",16.700001
"51","2020-11-17",16.700001
"52","2020-11-18",16.700001
"53","2020-11-19",16.700001
"54","2020-11-20",16.700001
"55","2020-11-23",16.700001
"56","2020-11-24",17.493
"57","2020-11-25",17.493
"58","2020-11-27",17.493
