"","date","SMMCU"
"1","2019-06-20",10
"2","2019-06-21",10
"3","2019-06-24",10.005
"4","2019-06-25",10
"5","2019-06-26",10
"6","2019-06-27",10
"7","2019-06-28",10
"8","2019-07-01",9.99
"9","2019-07-02",10.01
"10","2019-07-03",10.01
"11","2019-07-05",10
"12","2019-07-08",10.01
"13","2019-07-09",10
"14","2019-07-10",10
"15","2019-07-11",10.04
"16","2019-07-12",9.98
"17","2019-07-15",10.01
"18","2019-07-16",10.02
"19","2019-07-17",10.02
"20","2019-07-18",10.02
"21","2019-07-19",10.02
"22","2019-07-22",10.02
"23","2019-07-23",10.02
"24","2019-07-24",10.02
"25","2019-07-25",10.05
"26","2019-07-26",10.14
"27","2019-07-29",10.14
"28","2019-07-30",10.13
"29","2019-07-31",10.14
"30","2019-08-01",10.13
"31","2019-08-02",10.13
"32","2019-08-05",10.15
"33","2019-08-06",10.15
"34","2019-08-07",10.14
"35","2019-08-08",10.14
"36","2019-08-09",10.14
"37","2019-08-12",10.15
"38","2019-08-13",10.15
"39","2019-08-14",10.15
"40","2019-08-15",10.14
"41","2019-08-16",10.14
"42","2019-08-19",10.1
"43","2019-08-20",10.085
"44","2019-08-21",10.1
"45","2019-08-22",10.15
"46","2019-08-23",10.13
"47","2019-08-26",10.13
"48","2019-08-27",10.16
"49","2019-08-28",10.13
"50","2019-08-29",10.13
"51","2019-08-30",10.06
"52","2019-09-03",10.08
"53","2019-09-04",10.12
"54","2019-09-05",10.12
"55","2019-09-06",10.173
"56","2019-09-09",10.173
"57","2019-09-10",10.173
"58","2019-09-11",10.18
"59","2019-09-12",10.18
"60","2019-09-13",10.22
"61","2019-09-16",10.25
"62","2019-09-17",10.25
"63","2019-09-18",10.25
"64","2019-09-19",10.25
"65","2019-09-20",10.06
"66","2019-09-23",10.06
"67","2019-09-24",10.25
"68","2019-09-25",10.2
"69","2019-09-26",10.2
"70","2019-09-27",10.49
"71","2019-09-30",10.5
"72","2019-10-01",10.5
"73","2019-10-02",10.249
"74","2019-10-03",10.249
"75","2019-10-04",10.249
"76","2019-10-07",10.249
"77","2019-10-08",10.3
"78","2019-10-09",10.3
"79","2019-10-10",10.16
"80","2019-10-11",10.15
"81","2019-10-14",10.15
"82","2019-10-15",10.3
"83","2019-10-16",10.35
"84","2019-10-17",11
"85","2019-10-18",10.35
"86","2019-10-21",10.35
"87","2019-10-22",10.38
"88","2019-10-23",10.17
"89","2019-10-24",10.17
"90","2019-10-25",10.2
"91","2019-10-28",10.2
"92","2019-10-29",10.2
"93","2019-10-30",10.2
"94","2019-10-31",10.25
"95","2019-11-01",10.28
"96","2019-11-04",10.28
"97","2019-11-05",10.28
"98","2019-11-06",10.28
"99","2019-11-07",10.2
"100","2019-11-08",10.2
"101","2019-11-11",10.2
"102","2019-11-12",10.2
"103","2019-11-13",10.2
"104","2019-11-14",10.2
