"","date","SNA"
"1","2007-01-03",47.84
"2","2007-01-04",47.75
"3","2007-01-05",46.970001
"4","2007-01-08",46.849998
"5","2007-01-09",47.330002
"6","2007-01-10",47.34
"7","2007-01-11",47.720001
"8","2007-01-12",47.720001
"9","2007-01-16",47.959999
"10","2007-01-17",47.73
"11","2007-01-18",47.610001
"12","2007-01-19",47.740002
"13","2007-01-22",47.360001
"14","2007-01-23",48.040001
"15","2007-01-24",48.349998
"16","2007-01-25",47.880001
"17","2007-01-26",47.669998
"18","2007-01-29",47.689999
"19","2007-01-30",47.900002
"20","2007-01-31",48.209999
"21","2007-02-01",50.880001
"22","2007-02-02",50.509998
"23","2007-02-05",49.68
"24","2007-02-06",49.869999
"25","2007-02-07",49.98
"26","2007-02-08",50.029999
"27","2007-02-09",49.709999
"28","2007-02-12",49.25
"29","2007-02-13",49.209999
"30","2007-02-14",49.450001
"31","2007-02-15",50.220001
"32","2007-02-16",49.900002
"33","2007-02-20",50.459999
"34","2007-02-21",50.919998
"35","2007-02-22",50.75
"36","2007-02-23",50.810001
"37","2007-02-26",51.509998
"38","2007-02-27",50.25
"39","2007-02-28",50.060001
"40","2007-03-01",49.650002
"41","2007-03-02",49.110001
"42","2007-03-05",48.529999
"43","2007-03-06",49.009998
"44","2007-03-07",49.009998
"45","2007-03-08",49.169998
"46","2007-03-09",49.119999
"47","2007-03-12",49.599998
"48","2007-03-13",49.049999
"49","2007-03-14",48.669998
"50","2007-03-15",48.439999
"51","2007-03-16",47.77
"52","2007-03-19",48.34
"53","2007-03-20",48.630001
"54","2007-03-21",49.349998
"55","2007-03-22",49.310001
"56","2007-03-23",49.779999
"57","2007-03-26",48.93
"58","2007-03-27",48.139999
"59","2007-03-28",48.040001
"60","2007-03-29",48.16
"61","2007-03-30",48.099998
"62","2007-04-02",48.049999
"63","2007-04-03",48.439999
"64","2007-04-04",48.669998
"65","2007-04-05",48.57
"66","2007-04-09",48.349998
"67","2007-04-10",48.060001
"68","2007-04-11",47.540001
"69","2007-04-12",47.740002
"70","2007-04-13",47.759998
"71","2007-04-16",47.970001
"72","2007-04-17",47.849998
"73","2007-04-18",47.939999
"74","2007-04-19",47.810001
"75","2007-04-20",48.110001
"76","2007-04-23",48.790001
"77","2007-04-24",56.200001
"78","2007-04-25",55.380001
"79","2007-04-26",55.290001
"80","2007-04-27",55.32
"81","2007-04-30",54.5
"82","2007-05-01",54.900002
"83","2007-05-02",55.349998
"84","2007-05-03",55.400002
"85","2007-05-04",55.080002
"86","2007-05-07",54.98
"87","2007-05-08",54.66
"88","2007-05-09",55.549999
"89","2007-05-10",54.599998
"90","2007-05-11",54.950001
"91","2007-05-14",54.540001
"92","2007-05-15",53.740002
"93","2007-05-16",53.630001
"94","2007-05-17",53.060001
"95","2007-05-18",52.5
"96","2007-05-21",52.900002
"97","2007-05-22",53.5
"98","2007-05-23",52.889999
"99","2007-05-24",52.029999
"100","2007-05-25",52.630001
"101","2007-05-29",52.57
"102","2007-05-30",53.57
"103","2007-05-31",54.07
"104","2007-06-01",54.220001
"105","2007-06-04",53.720001
"106","2007-06-05",54.240002
"107","2007-06-06",53.849998
"108","2007-06-07",52.810001
"109","2007-06-08",53.330002
"110","2007-06-11",52.869999
"111","2007-06-12",52.02
"112","2007-06-13",52.98
