"","date","SNDX"
"1","2016-03-02",12
"2","2016-03-03",12.01
"3","2016-03-04",11.85
"4","2016-03-07",11
"5","2016-03-08",13.55
"6","2016-03-09",14.83
"7","2016-03-10",13.31
"8","2016-03-11",12.73
"9","2016-03-14",12
"10","2016-03-15",12.29
"11","2016-03-16",11.72
"12","2016-03-17",11.24
"13","2016-03-18",11.52
"14","2016-03-21",11.91
"15","2016-03-22",13.31
"16","2016-03-23",12.79
"17","2016-03-24",12.62
"18","2016-03-28",13.56
"19","2016-03-29",13.24
"20","2016-03-30",12.59
"21","2016-03-31",13.32
"22","2016-04-01",13.11
"23","2016-04-04",14.09
"24","2016-04-05",15.28
"25","2016-04-06",16.6
"26","2016-04-07",16.42
"27","2016-04-08",15.13
"28","2016-04-11",15.18
"29","2016-04-12",15.3
"30","2016-04-13",15.87
"31","2016-04-14",15.62
"32","2016-04-15",15.74
"33","2016-04-18",15.55
"34","2016-04-19",15.87
"35","2016-04-20",15.86
"36","2016-04-21",15.72
"37","2016-04-22",15.8
"38","2016-04-25",15.16
"39","2016-04-26",15.45
"40","2016-04-27",14.41
"41","2016-04-28",13.79
"42","2016-04-29",13.69
"43","2016-05-02",14.85
"44","2016-05-03",14.83
"45","2016-05-04",14.04
"46","2016-05-05",14.01
"47","2016-05-06",14.49
"48","2016-05-09",14.32
"49","2016-05-10",13.81
"50","2016-05-11",13.8
"51","2016-05-12",13.41
"52","2016-05-13",12.75
"53","2016-05-16",12.89
"54","2016-05-17",12.48
"55","2016-05-18",12.83
"56","2016-05-19",13.39
"57","2016-05-20",13.25
"58","2016-05-23",14.3
"59","2016-05-24",14.3
"60","2016-05-25",13.72
"61","2016-05-26",14.08
"62","2016-05-27",13.89
"63","2016-05-31",13.74
"64","2016-06-01",13.52
"65","2016-06-02",13.71
"66","2016-06-03",13.2
"67","2016-06-06",13.8
"68","2016-06-07",14.23
"69","2016-06-08",14.24
"70","2016-06-09",13.58
"71","2016-06-10",13.17
"72","2016-06-13",12.98
"73","2016-06-14",12.65
"74","2016-06-15",12.63
"75","2016-06-16",12.61
"76","2016-06-17",12.32
"77","2016-06-20",12.55
"78","2016-06-21",11.63
"79","2016-06-22",11.37
"80","2016-06-23",11.52
"81","2016-06-24",10.66
"82","2016-06-27",9.06
"83","2016-06-28",9.67
"84","2016-06-29",9.79
"85","2016-06-30",9.85
"86","2016-07-01",9.92
"87","2016-07-05",9.8
"88","2016-07-06",10.17
"89","2016-07-07",10.31
"90","2016-07-08",10.82
"91","2016-07-11",10.59
"92","2016-07-12",11.4
"93","2016-07-13",11.39
"94","2016-07-14",11.26
"95","2016-07-15",11.89
"96","2016-07-18",11.86
"97","2016-07-19",11.85
"98","2016-07-20",12.04
"99","2016-07-21",12.14
"100","2016-07-22",12.45
"101","2016-07-25",12.15
"102","2016-07-26",12.06
"103","2016-07-27",12.26
"104","2016-07-28",12.17
"105","2016-07-29",12.42
"106","2016-08-01",12.22
"107","2016-08-02",12.46
"108","2016-08-03",12.62
"109","2016-08-04",12.54
"110","2016-08-05",12.61
"111","2016-08-08",13.28
"112","2016-08-09",14.2
"113","2016-08-10",14.03
"114","2016-08-11",14.07
"115","2016-08-12",14.01
"116","2016-08-15",14.08
"117","2016-08-16",14.01
"118","2016-08-17",14.06
"119","2016-08-18",13.92
"120","2016-08-19",13.85
"121","2016-08-22",14.94
"122","2016-08-23",17.129999
"123","2016-08-24",14.82
"124","2016-08-25",13.69
"125","2016-08-26",14.15
"126","2016-08-29",14.42
"127","2016-08-30",14.19
"128","2016-08-31",14.18
"129","2016-09-01",13.94
"130","2016-09-02",14.01
"131","2016-09-06",14.15
"132","2016-09-07",14.23
"133","2016-09-08",13.69
"134","2016-09-09",13.38
"135","2016-09-12",13.56
"136","2016-09-13",13.26
"137","2016-09-14",14.08
"138","2016-09-15",14.89
"139","2016-09-16",15.01
"140","2016-09-19",13.8
"141","2016-09-20",14.06
"142","2016-09-21",14.04
"143","2016-09-22",13.65
"144","2016-09-23",13.3
"145","2016-09-26",13.07
"146","2016-09-27",12.92
"147","2016-09-28",14.3
"148","2016-09-29",14.89
"149","2016-09-30",15.16
"150","2016-10-03",15.49
"151","2016-10-04",15.7
"152","2016-10-05",16.07
"153","2016-10-06",15.78
"154","2016-10-07",15.2
"155","2016-10-10",15.32
"156","2016-10-11",15.16
"157","2016-10-12",14.42
"158","2016-10-13",14.61
"159","2016-10-14",14.28
"160","2016-10-17",14.52
"161","2016-10-18",14.77
"162","2016-10-19",15.02
"163","2016-10-20",15.12
"164","2016-10-21",14.47
"165","2016-10-24",14.5
"166","2016-10-25",13.83
"167","2016-10-26",12.84
"168","2016-10-27",11.96
"169","2016-10-28",11.92
"170","2016-10-31",11.81
"171","2016-11-01",11.72
"172","2016-11-02",11.22
"173","2016-11-03",10.37
"174","2016-11-04",10.05
"175","2016-11-07",10.35
"176","2016-11-08",10.04
"177","2016-11-09",10.35
"178","2016-11-10",10.25
"179","2016-11-11",10.44
"180","2016-11-14",10.1
"181","2016-11-15",9.84
"182","2016-11-16",9.95
"183","2016-11-17",9.89
"184","2016-11-18",10.04
"185","2016-11-21",10.33
"186","2016-11-22",10.32
"187","2016-11-23",9.88
"188","2016-11-25",10.04
"189","2016-11-28",9.94
"190","2016-11-29",10.21
"191","2016-11-30",9.68
"192","2016-12-01",9.14
"193","2016-12-02",9.04
"194","2016-12-05",9.25
"195","2016-12-06",10.13
"196","2016-12-07",9.43
"197","2016-12-08",9.03
"198","2016-12-09",8.58
"199","2016-12-12",7.83
"200","2016-12-13",7.62
"201","2016-12-14",8.71
"202","2016-12-15",8.61
"203","2016-12-16",8.11
"204","2016-12-19",7.95
"205","2016-12-20",7.95
"206","2016-12-21",7.69
"207","2016-12-22",7.42
"208","2016-12-23",7.5
"209","2016-12-27",7.38
"210","2016-12-28",7.16
"211","2016-12-29",6.91
"212","2016-12-30",7.17
"213","2017-01-03",7.32
"214","2017-01-04",7.08
"215","2017-01-05",6.7
"216","2017-01-06",6.68
"217","2017-01-09",6.81
"218","2017-01-10",7.81
"219","2017-01-11",7.08
"220","2017-01-12",7.8
"221","2017-01-13",7.83
"222","2017-01-17",7.72
"223","2017-01-18",7.62
"224","2017-01-19",7.08
"225","2017-01-20",6.99
"226","2017-01-23",7.31
"227","2017-01-24",7.44
"228","2017-01-25",7.48
"229","2017-01-26",7.4
"230","2017-01-27",7.35
"231","2017-01-30",7.49
"232","2017-01-31",7.6
"233","2017-02-01",8.01
"234","2017-02-02",8.1
"235","2017-02-03",8.36
"236","2017-02-06",8.77
"237","2017-02-07",8.69
"238","2017-02-08",8.98
"239","2017-02-09",9.9
"240","2017-02-10",10.18
"241","2017-02-13",10.2
"242","2017-02-14",9.9
"243","2017-02-15",10.51
"244","2017-02-16",10.78
"245","2017-02-17",11.29
"246","2017-02-21",11.8
"247","2017-02-22",11.5
"248","2017-02-23",10.95
"249","2017-02-24",10.78
"250","2017-02-27",11.26
"251","2017-02-28",11.38
"252","2017-03-01",11.63
"253","2017-03-02",12.02
"254","2017-03-03",12.21
"255","2017-03-06",11.85
"256","2017-03-07",11.75
"257","2017-03-08",12.44
