"","date","SND"
"1","2016-11-04",10.99
"2","2016-11-07",11.07
"3","2016-11-08",11.07
"4","2016-11-09",11.58
"5","2016-11-10",11.57
"6","2016-11-11",11.36
"7","2016-11-14",11.18
"8","2016-11-15",11.2
"9","2016-11-16",10.98
"10","2016-11-17",10.97
"11","2016-11-18",10.77
"12","2016-11-21",11.22
"13","2016-11-22",11.82
"14","2016-11-23",12.3
"15","2016-11-25",12.45
"16","2016-11-28",12.39
"17","2016-11-29",12.18
"18","2016-11-30",13.67
"19","2016-12-01",13.58
"20","2016-12-02",13.46
"21","2016-12-05",13.75
"22","2016-12-06",13.84
"23","2016-12-07",13.94
"24","2016-12-08",13.74
"25","2016-12-09",13.9
"26","2016-12-12",13.9
"27","2016-12-13",13.93
"28","2016-12-14",13.5
"29","2016-12-15",14
"30","2016-12-16",14.63
"31","2016-12-19",14.92
"32","2016-12-20",15.4
"33","2016-12-21",15.91
"34","2016-12-22",15.54
"35","2016-12-23",16.200001
"36","2016-12-27",16.290001
"37","2016-12-28",16.24
"38","2016-12-29",16.32
"39","2016-12-30",16.549999
"40","2017-01-03",16.82
"41","2017-01-04",17.5
"42","2017-01-05",17.309999
"43","2017-01-06",17.77
"44","2017-01-09",18.23
"45","2017-01-10",18.5
"46","2017-01-11",19.049999
"47","2017-01-12",18.93
"48","2017-01-13",18.15
"49","2017-01-17",17.43
"50","2017-01-18",18.75
"51","2017-01-19",19.09
"52","2017-01-20",18.959999
"53","2017-01-23",18.43
"54","2017-01-24",18.43
"55","2017-01-25",17.99
"56","2017-01-26",17.959999
"57","2017-01-27",17.709999
"58","2017-01-30",16.75
"59","2017-01-31",17.4
"60","2017-02-01",17.65
"61","2017-02-02",17.559999
"62","2017-02-03",17.51
"63","2017-02-06",17.25
"64","2017-02-07",17.33
"65","2017-02-08",17.51
"66","2017-02-09",17.959999
"67","2017-02-10",17.799999
"68","2017-02-13",18.190001
"69","2017-02-14",19.139999
"70","2017-02-15",19
"71","2017-02-16",18.860001
"72","2017-02-17",18.84
"73","2017-02-21",19.940001
"74","2017-02-22",21
"75","2017-02-23",20.059999
"76","2017-02-24",18.049999
"77","2017-02-27",18.190001
"78","2017-02-28",17.17
"79","2017-03-01",18.190001
"80","2017-03-02",17.18
"81","2017-03-03",17
"82","2017-03-06",16.719999
"83","2017-03-07",16.17
"84","2017-03-08",15.01
"85","2017-03-09",13.76
"86","2017-03-10",13.33
"87","2017-03-13",13.3
"88","2017-03-14",12.96
