"","date","SNGX"
"1","2007-01-03",50
"2","2007-01-04",52
"3","2007-01-05",56
"4","2007-01-08",58
"5","2007-01-09",56
"6","2007-01-10",56
"7","2007-01-11",56
"8","2007-01-12",58
"9","2007-01-16",62
"10","2007-01-17",62
"11","2007-01-18",62
"12","2007-01-19",110
"13","2007-01-22",80
"14","2007-01-23",84
"15","2007-01-24",86
"16","2007-01-25",88
"17","2007-01-26",86
"18","2007-01-29",96
"19","2007-01-30",100
"20","2007-01-31",104
"21","2007-02-01",98
"22","2007-02-02",98
"23","2007-02-05",102
"24","2007-02-06",98
"25","2007-02-07",100
"26","2007-02-08",100
"27","2007-02-09",98
"28","2007-02-12",110
"29","2007-02-13",130
"30","2007-02-14",118
"31","2007-02-15",128
"32","2007-02-16",130
"33","2007-02-20",136
"34","2007-02-21",134
"35","2007-02-22",128
"36","2007-02-23",104
"37","2007-02-26",114
"38","2007-02-27",106
"39","2007-02-28",108
"40","2007-03-01",110
"41","2007-03-02",104
"42","2007-03-05",104
"43","2007-03-06",118
"44","2007-03-07",114
"45","2007-03-08",118
"46","2007-03-09",124
"47","2007-03-12",124
"48","2007-03-13",122
"49","2007-03-14",118
"50","2007-03-15",116
"51","2007-03-16",112
"52","2007-03-19",116
"53","2007-03-20",114
"54","2007-03-21",114
"55","2007-03-22",112
"56","2007-03-23",110
"57","2007-03-26",108
"58","2007-03-27",108
"59","2007-03-28",106
"60","2007-03-29",106
"61","2007-03-30",104
"62","2007-04-02",110
"63","2007-04-03",118
"64","2007-04-04",116
"65","2007-04-05",116
"66","2007-04-09",122
"67","2007-04-10",122
"68","2007-04-11",124
"69","2007-04-12",130
"70","2007-04-13",136
"71","2007-04-16",138
"72","2007-04-17",140
"73","2007-04-18",140
"74","2007-04-19",148
"75","2007-04-20",150
"76","2007-04-23",164
"77","2007-04-24",182
"78","2007-04-25",162
"79","2007-04-26",166
"80","2007-04-27",158
"81","2007-04-30",160
"82","2007-05-01",150
"83","2007-05-02",152
"84","2007-05-03",150
"85","2007-05-04",140
"86","2007-05-07",80
"87","2007-05-08",74
"88","2007-05-09",84
"89","2007-05-10",44
"90","2007-05-11",44
"91","2007-05-14",44
"92","2007-05-15",42
"93","2007-05-16",42
"94","2007-05-17",48
"95","2007-05-18",54
"96","2007-05-21",60
"97","2007-05-22",58
"98","2007-05-23",52
"99","2007-05-24",52
"100","2007-05-25",52
"101","2007-05-29",52
"102","2007-05-30",52
"103","2007-05-31",56
"104","2007-06-01",56
"105","2007-06-04",60
"106","2007-06-05",54
"107","2007-06-06",56
"108","2007-06-07",56
"109","2007-06-08",56
"110","2007-06-11",60
"111","2007-06-12",56
"112","2007-06-13",58
"113","2007-06-14",58
"114","2007-06-15",60
"115","2007-06-18",60
"116","2007-06-19",64
"117","2007-06-20",74
"118","2007-06-21",74
"119","2007-06-22",68
"120","2007-06-25",68
"121","2007-06-26",64
"122","2007-06-27",62
"123","2007-06-28",66
"124","2007-06-29",66
"125","2007-07-02",64
"126","2007-07-03",60
"127","2007-07-05",60
"128","2007-07-06",64
"129","2007-07-09",62
"130","2007-07-10",58
"131","2007-07-11",58
"132","2007-07-12",58
"133","2007-07-13",60
"134","2007-07-16",62
"135","2007-07-17",60
"136","2007-07-18",58
"137","2007-07-19",70
"138","2007-07-20",68
"139","2007-07-23",60
"140","2007-07-24",58
"141","2007-07-25",64
"142","2007-07-26",58
"143","2007-07-27",60
"144","2007-07-30",56
"145","2007-07-31",58
"146","2007-08-01",54
"147","2007-08-02",56
"148","2007-08-03",56
"149","2007-08-06",58
"150","2007-08-07",52
"151","2007-08-08",56
"152","2007-08-09",56
"153","2007-08-10",56
"154","2007-08-13",58
"155","2007-08-14",58
"156","2007-08-15",54
"157","2007-08-16",54
"158","2007-08-17",58
"159","2007-08-20",60
"160","2007-08-21",60
"161","2007-08-22",60
"162","2007-08-23",56
"163","2007-08-24",56
"164","2007-08-27",58
"165","2007-08-28",60
"166","2007-08-29",60
"167","2007-08-30",66
"168","2007-08-31",66
"169","2007-09-04",62
"170","2007-09-05",64
"171","2007-09-06",60
"172","2007-09-07",60
"173","2007-09-10",64
"174","2007-09-11",64
"175","2007-09-12",62
"176","2007-09-13",64
"177","2007-09-14",60
"178","2007-09-17",64
"179","2007-09-18",62
"180","2007-09-19",64
"181","2007-09-20",78
"182","2007-09-21",72
"183","2007-09-24",66
"184","2007-09-25",70
"185","2007-09-26",76
"186","2007-09-27",72
"187","2007-09-28",74
"188","2007-10-01",72
"189","2007-10-02",70
"190","2007-10-03",80
"191","2007-10-04",82
"192","2007-10-05",84
"193","2007-10-08",96
"194","2007-10-09",110
"195","2007-10-10",108
"196","2007-10-11",94
"197","2007-10-12",94
"198","2007-10-15",90
"199","2007-10-16",94
"200","2007-10-17",100
"201","2007-10-18",92
"202","2007-10-19",38
"203","2007-10-22",46
"204","2007-10-23",46
"205","2007-10-24",44
"206","2007-10-25",42
"207","2007-10-26",40
"208","2007-10-29",42
"209","2007-10-30",44
"210","2007-10-31",40
"211","2007-11-01",40
"212","2007-11-02",42
"213","2007-11-05",38
"214","2007-11-06",34
"215","2007-11-07",34
"216","2007-11-08",32
"217","2007-11-09",34
"218","2007-11-12",34
"219","2007-11-13",32
"220","2007-11-14",34
"221","2007-11-15",32
"222","2007-11-16",32
"223","2007-11-19",32
"224","2007-11-20",30
"225","2007-11-21",30
"226","2007-11-23",30
"227","2007-11-26",30
"228","2007-11-27",30
"229","2007-11-28",32
"230","2007-11-29",30
"231","2007-11-30",32
"232","2007-12-03",32
"233","2007-12-04",32
"234","2007-12-05",30
"235","2007-12-06",32
"236","2007-12-07",36
"237","2007-12-10",38
"238","2007-12-11",44
"239","2007-12-12",44
"240","2007-12-13",56
"241","2007-12-14",46
"242","2007-12-17",44
"243","2007-12-18",44
"244","2007-12-19",48
"245","2007-12-20",46
"246","2007-12-21",48
"247","2007-12-24",44
"248","2007-12-26",40
"249","2007-12-27",40
"250","2007-12-28",38
"251","2007-12-31",34
"252","2008-01-02",38
"253","2008-01-03",42
"254","2008-01-04",38
"255","2008-01-07",38
"256","2008-01-08",40
"257","2008-01-09",38
"258","2008-01-10",40
"259","2008-01-11",40
"260","2008-01-14",38
"261","2008-01-15",38
"262","2008-01-16",38
"263","2008-01-17",36
"264","2008-01-18",36
"265","2008-01-22",36
"266","2008-01-23",34
"267","2008-01-24",36
"268","2008-01-25",38
"269","2008-01-28",36
"270","2008-01-29",36
"271","2008-01-30",36
"272","2008-01-31",36
"273","2008-02-01",36
"274","2008-02-04",36
"275","2008-02-05",36
"276","2008-02-06",36
"277","2008-02-07",36
"278","2008-02-08",36
"279","2008-02-11",36
"280","2008-02-12",36
"281","2008-02-13",40
"282","2008-02-14",44
"283","2008-02-15",48
"284","2008-02-19",46
"285","2008-02-20",46
"286","2008-02-21",44
"287","2008-02-22",40
"288","2008-02-25",38
"289","2008-02-26",40
"290","2008-02-27",40
"291","2008-02-28",42
"292","2008-02-29",46
"293","2008-03-03",44
"294","2008-03-04",42
"295","2008-03-05",44
"296","2008-03-06",40
"297","2008-03-07",40
"298","2008-03-10",40
"299","2008-03-11",40
"300","2008-03-12",38
"301","2008-03-13",40
"302","2008-03-14",38
"303","2008-03-17",36
"304","2008-03-18",36
"305","2008-03-19",36
"306","2008-03-20",36
"307","2008-03-24",36
"308","2008-03-25",36
"309","2008-03-26",36
"310","2008-03-27",36
"311","2008-03-28",36
"312","2008-03-31",34
"313","2008-04-01",36
"314","2008-04-02",36
"315","2008-04-03",34
"316","2008-04-04",36
"317","2008-04-07",36
"318","2008-04-08",34
"319","2008-04-09",34
"320","2008-04-10",32
"321","2008-04-11",34
"322","2008-04-14",34
"323","2008-04-15",28
"324","2008-04-16",30
"325","2008-04-17",28
"326","2008-04-18",30
"327","2008-04-21",30
"328","2008-04-22",30
"329","2008-04-23",30
"330","2008-04-24",30
"331","2008-04-25",30
"332","2008-04-28",30
"333","2008-04-29",30
"334","2008-04-30",30
"335","2008-05-01",28
"336","2008-05-02",32
"337","2008-05-05",32
"338","2008-05-06",30
"339","2008-05-07",30
"340","2008-05-08",30
"341","2008-05-09",28
"342","2008-05-12",28
"343","2008-05-13",28
"344","2008-05-14",30
"345","2008-05-15",28
"346","2008-05-16",30
"347","2008-05-19",28
"348","2008-05-20",30
"349","2008-05-21",32
"350","2008-05-22",30
"351","2008-05-23",32
"352","2008-05-27",30
"353","2008-05-28",32
"354","2008-05-29",30
"355","2008-05-30",32
"356","2008-06-02",30
"357","2008-06-03",30
"358","2008-06-04",28
"359","2008-06-05",28
"360","2008-06-06",28
"361","2008-06-09",28
"362","2008-06-10",28
"363","2008-06-11",26
"364","2008-06-12",26
"365","2008-06-13",26
"366","2008-06-16",26
"367","2008-06-17",28
"368","2008-06-18",26
"369","2008-06-19",26
"370","2008-06-20",28
"371","2008-06-23",26
"372","2008-06-24",26
"373","2008-06-25",24
"374","2008-06-26",26
"375","2008-06-27",22
"376","2008-06-30",24
"377","2008-07-01",26
"378","2008-07-02",26
"379","2008-07-03",26
"380","2008-07-07",28
"381","2008-07-08",28
"382","2008-07-09",26
"383","2008-07-10",26
"384","2008-07-11",26
"385","2008-07-14",26
"386","2008-07-15",24
"387","2008-07-16",24
"388","2008-07-17",26
"389","2008-07-18",28
"390","2008-07-21",26
"391","2008-07-22",24
"392","2008-07-23",26
"393","2008-07-24",28
"394","2008-07-25",28
"395","2008-07-28",26
"396","2008-07-29",24
"397","2008-07-30",24
"398","2008-07-31",26
"399","2008-08-01",26
"400","2008-08-04",22
"401","2008-08-05",20
"402","2008-08-06",20
"403","2008-08-07",22
"404","2008-08-08",22
"405","2008-08-11",22
"406","2008-08-12",22
"407","2008-08-13",20
"408","2008-08-14",18
"409","2008-08-15",20
"410","2008-08-18",18
"411","2008-08-19",18
"412","2008-08-20",20
"413","2008-08-21",20
"414","2008-08-22",22
"415","2008-08-25",18
"416","2008-08-26",18
"417","2008-08-27",20
"418","2008-08-28",20
"419","2008-08-29",20
"420","2008-09-02",22
"421","2008-09-03",22
"422","2008-09-04",24
"423","2008-09-05",20
"424","2008-09-08",22
"425","2008-09-09",20
"426","2008-09-10",18
"427","2008-09-11",20
"428","2008-09-12",20
"429","2008-09-15",20
"430","2008-09-16",22
"431","2008-09-17",22
"432","2008-09-18",20
"433","2008-09-19",24
"434","2008-09-22",22
"435","2008-09-23",20
"436","2008-09-24",20
"437","2008-09-25",20
"438","2008-09-26",20
"439","2008-09-29",20
"440","2008-09-30",20
"441","2008-10-01",18
"442","2008-10-02",18
"443","2008-10-03",20
"444","2008-10-06",14
"445","2008-10-07",12
"446","2008-10-08",12
"447","2008-10-09",12
"448","2008-10-10",12
"449","2008-10-13",12
"450","2008-10-14",12
"451","2008-10-15",12
"452","2008-10-16",14
"453","2008-10-17",14
"454","2008-10-20",14
"455","2008-10-21",14
"456","2008-10-22",14
"457","2008-10-23",14
"458","2008-10-24",14
"459","2008-10-27",12
"460","2008-10-28",14
"461","2008-10-29",14
"462","2008-10-30",16
"463","2008-10-31",14
"464","2008-11-03",16
"465","2008-11-04",18
"466","2008-11-05",18
"467","2008-11-06",16
"468","2008-11-07",16
"469","2008-11-10",16
"470","2008-11-11",18
"471","2008-11-12",16
"472","2008-11-13",14
"473","2008-11-14",14
"474","2008-11-17",14
"475","2008-11-18",14
"476","2008-11-19",14
"477","2008-11-20",14
"478","2008-11-21",14
"479","2008-11-24",16
"480","2008-11-25",18
"481","2008-11-26",20
"482","2008-11-28",18
"483","2008-12-01",18
"484","2008-12-02",16
"485","2008-12-03",18
"486","2008-12-04",18
"487","2008-12-05",16
"488","2008-12-08",18
"489","2008-12-09",18
"490","2008-12-10",16
"491","2008-12-11",16
"492","2008-12-12",14
"493","2008-12-15",14
"494","2008-12-16",14
"495","2008-12-17",12
"496","2008-12-18",12
"497","2008-12-19",12
"498","2008-12-22",12
"499","2008-12-23",14
"500","2008-12-24",12
"501","2008-12-26",14
"502","2008-12-29",12
"503","2008-12-30",12
"504","2008-12-31",12
"505","2009-01-02",12
"506","2009-01-05",18
"507","2009-01-06",22
"508","2009-01-07",20
"509","2009-01-08",30
"510","2009-01-09",26
"511","2009-01-12",20
"512","2009-01-13",24
"513","2009-01-14",24
"514","2009-01-15",22
"515","2009-01-16",20
"516","2009-01-20",20
"517","2009-01-21",20
"518","2009-01-22",20
"519","2009-01-23",20
"520","2009-01-26",18
"521","2009-01-27",18
"522","2009-01-28",20
"523","2009-01-29",20
"524","2009-01-30",20
"525","2009-02-02",22
"526","2009-02-03",20
"527","2009-02-04",22
"528","2009-02-05",26
"529","2009-02-06",26
"530","2009-02-09",24
"531","2009-02-10",22
"532","2009-02-11",22
"533","2009-02-12",28
"534","2009-02-13",28
"535","2009-02-17",24
"536","2009-02-18",26
"537","2009-02-19",26
"538","2009-02-20",28
"539","2009-02-23",28
"540","2009-02-24",26
"541","2009-02-25",28
"542","2009-02-26",26
"543","2009-02-27",26
"544","2009-03-02",20
"545","2009-03-03",28
"546","2009-03-04",26
"547","2009-03-05",26
"548","2009-03-06",24
"549","2009-03-09",22
"550","2009-03-10",22
