"","date","SNSS"
"1","2007-01-03",1663.199951
"2","2007-01-04",1692
"3","2007-01-05",1659.599976
"4","2007-01-08",1702.800049
"5","2007-01-09",1796.400024
"6","2007-01-10",1882.800049
"7","2007-01-11",1832.400024
"8","2007-01-12",1800
"9","2007-01-16",1810.800049
"10","2007-01-17",1789.199951
"11","2007-01-18",1792.800049
"12","2007-01-19",1782
"13","2007-01-22",1774.800049
"14","2007-01-23",1749.599976
"15","2007-01-24",1688.400024
"16","2007-01-25",1663.199951
"17","2007-01-26",1677.599976
"18","2007-01-29",1522.800049
"19","2007-01-30",1537.199951
"20","2007-01-31",1537.199951
"21","2007-02-01",1558.800049
"22","2007-02-02",1692
"23","2007-02-05",1602
"24","2007-02-06",1627.199951
"25","2007-02-07",1612.800049
"26","2007-02-08",1645.199951
"27","2007-02-09",1666.800049
"28","2007-02-12",1713.599976
"29","2007-02-13",1756.800049
"30","2007-02-14",1753.199951
"31","2007-02-15",1699.199951
"32","2007-02-16",1659.599976
"33","2007-02-20",1634.400024
"34","2007-02-21",1656
"35","2007-02-22",1692
"36","2007-02-23",1670.400024
"37","2007-02-26",1670.400024
"38","2007-02-27",1630.800049
"39","2007-02-28",1548
"40","2007-03-01",1569.599976
"41","2007-03-02",1587.599976
"42","2007-03-05",1548
"43","2007-03-06",1591.199951
"44","2007-03-07",1537.199951
"45","2007-03-08",1533.599976
"46","2007-03-09",1454.400024
"47","2007-03-12",1476
"48","2007-03-13",1512
"49","2007-03-14",1584
"50","2007-03-15",1497.599976
"51","2007-03-16",1548
"52","2007-03-19",1562.400024
"53","2007-03-20",1602
"54","2007-03-21",1573.199951
"55","2007-03-22",1609.199951
"56","2007-03-23",1533.599976
"57","2007-03-26",1533.599976
"58","2007-03-27",1587.599976
"59","2007-03-28",1533.599976
"60","2007-03-29",1512
"61","2007-03-30",1620
"62","2007-04-02",1612.800049
"63","2007-04-03",1634.400024
"64","2007-04-04",1634.400024
"65","2007-04-05",1620
"66","2007-04-09",1674
"67","2007-04-10",1692
"68","2007-04-11",1627.199951
"69","2007-04-12",1634.400024
"70","2007-04-13",1670.400024
"71","2007-04-16",1620
"72","2007-04-17",1620
