"","date","SPGI"
"1","2007-01-03",67.089996
"2","2007-01-04",66.779999
"3","2007-01-05",66.809998
"4","2007-01-08",66.599998
"5","2007-01-09",66.879997
"6","2007-01-10",67.769997
"7","2007-01-11",69.220001
"8","2007-01-12",67.889999
"9","2007-01-16",68.769997
"10","2007-01-17",68.739998
"11","2007-01-18",69.440002
"12","2007-01-19",69.120003
"13","2007-01-22",68.32
"14","2007-01-23",67.779999
"15","2007-01-24",68.400002
"16","2007-01-25",66.360001
"17","2007-01-26",66.830002
"18","2007-01-29",66.709999
"19","2007-01-30",66.190002
"20","2007-01-31",67.080002
"21","2007-02-01",67.889999
"22","2007-02-02",67.300003
"23","2007-02-05",67.739998
"24","2007-02-06",68.169998
"25","2007-02-07",68.739998
"26","2007-02-08",69.739998
"27","2007-02-09",68.370003
"28","2007-02-12",67.199997
"29","2007-02-13",67.589996
"30","2007-02-14",68.07
"31","2007-02-15",67.690002
"32","2007-02-16",68.580002
"33","2007-02-20",68.610001
"34","2007-02-21",68.650002
"35","2007-02-22",67.849998
"36","2007-02-23",66.779999
"37","2007-02-26",65.449997
"38","2007-02-27",63.889999
"39","2007-02-28",64.559998
"40","2007-03-01",64.739998
"41","2007-03-02",64.150002
"42","2007-03-05",63.580002
"43","2007-03-06",64.370003
"44","2007-03-07",63.98
"45","2007-03-08",64.379997
"46","2007-03-09",64.790001
"47","2007-03-12",64.040001
"48","2007-03-13",61.860001
"49","2007-03-14",62.169998
"50","2007-03-15",62.93
"51","2007-03-16",62.919998
"52","2007-03-19",63.43
"53","2007-03-20",64.360001
"54","2007-03-21",65.370003
"55","2007-03-22",65.239998
"56","2007-03-23",66
"57","2007-03-26",63.59
"58","2007-03-27",63.330002
"59","2007-03-28",63.290001
"60","2007-03-29",62.639999
"61","2007-03-30",62.880001
"62","2007-04-02",62.34
"63","2007-04-03",62.279999
"64","2007-04-04",61.740002
"65","2007-04-05",61.68
"66","2007-04-09",61.970001
"67","2007-04-10",61.220001
"68","2007-04-11",60.91
"69","2007-04-12",61.130001
"70","2007-04-13",61.380001
"71","2007-04-16",62.259998
"72","2007-04-17",64.050003
"73","2007-04-18",64.019997
"74","2007-04-19",63.599998
"75","2007-04-20",64.160004
"76","2007-04-23",63.540001
"77","2007-04-24",66.230003
"78","2007-04-25",66.43
"79","2007-04-26",66.709999
"80","2007-04-27",66.25
"81","2007-04-30",65.529999
"82","2007-05-01",65.900002
"83","2007-05-02",66.029999
"84","2007-05-03",66.550003
"85","2007-05-04",67.669998
"86","2007-05-07",67.959999
"87","2007-05-08",68.849998
"88","2007-05-09",68.970001
"89","2007-05-10",68.620003
"90","2007-05-11",69.849998
"91","2007-05-14",70
"92","2007-05-15",69.5
"93","2007-05-16",70.459999
"94","2007-05-17",70.129997
"95","2007-05-18",70.019997
"96","2007-05-21",69.650002
"97","2007-05-22",69.68
"98","2007-05-23",70.610001
"99","2007-05-24",70.010002
"100","2007-05-25",70.190002
"101","2007-05-29",70.239998
"102","2007-05-30",70.900002
"103","2007-05-31",70.309998
"104","2007-06-01",70.389999
"105","2007-06-04",71.959999
"106","2007-06-05",71.650002
"107","2007-06-06",71.25
"108","2007-06-07",69.910004
"109","2007-06-08",69.449997
