"","date","SRDX"
"1","2007-01-03",32.049999
"2","2007-01-04",32.18
"3","2007-01-05",31.83
"4","2007-01-08",32.060001
"5","2007-01-09",31.959999
"6","2007-01-10",31.9
"7","2007-01-11",31.950001
"8","2007-01-12",31.9
"9","2007-01-16",32.330002
"10","2007-01-17",31.639999
"11","2007-01-18",31.389999
"12","2007-01-19",31.290001
"13","2007-01-22",31.120001
"14","2007-01-23",31.110001
"15","2007-01-24",31.74
"16","2007-01-25",31.75
"17","2007-01-26",31.6
"18","2007-01-29",32
"19","2007-01-30",33.299999
"20","2007-01-31",35.959999
"21","2007-02-01",36.459999
"22","2007-02-02",36.84
"23","2007-02-05",36.369999
"24","2007-02-06",36.18
"25","2007-02-07",36.470001
"26","2007-02-08",36.509998
"27","2007-02-09",36.450001
"28","2007-02-12",36.209999
"29","2007-02-13",36
"30","2007-02-14",35.970001
"31","2007-02-15",36.259998
"32","2007-02-16",37.25
"33","2007-02-20",37.68
"34","2007-02-21",37.509998
"35","2007-02-22",37.82
"36","2007-02-23",38.490002
"37","2007-02-26",38.43
"38","2007-02-27",37.849998
"39","2007-02-28",37.009998
"40","2007-03-01",36.709999
"41","2007-03-02",36.68
"42","2007-03-05",36.580002
"43","2007-03-06",36.099998
"44","2007-03-07",35.939999
"45","2007-03-08",36.09
"46","2007-03-09",36.759998
"47","2007-03-12",36.799999
"48","2007-03-13",36.799999
"49","2007-03-14",36.75
"50","2007-03-15",36.860001
"51","2007-03-16",37.720001
"52","2007-03-19",37.610001
"53","2007-03-20",36.610001
"54","2007-03-21",37.150002
"55","2007-03-22",37.5
"56","2007-03-23",37.599998
"57","2007-03-26",35.669998
"58","2007-03-27",35
"59","2007-03-28",35.169998
"60","2007-03-29",35.419998
"61","2007-03-30",36
"62","2007-04-02",36
"63","2007-04-03",35.490002
"64","2007-04-04",35.700001
"65","2007-04-05",35.970001
"66","2007-04-09",35.299999
"67","2007-04-10",36.380001
"68","2007-04-11",36.380001
"69","2007-04-12",37.130001
"70","2007-04-13",36.950001
"71","2007-04-16",37.900002
"72","2007-04-17",38.639999
"73","2007-04-18",38.650002
"74","2007-04-19",39.16
"75","2007-04-20",38.650002
"76","2007-04-23",37.860001
"77","2007-04-24",37.689999
"78","2007-04-25",40.220001
"79","2007-04-26",39.939999
"80","2007-04-27",39.23
"81","2007-04-30",40.630001
"82","2007-05-01",41.240002
"83","2007-05-02",41.209999
"84","2007-05-03",40.380001
"85","2007-05-04",40.400002
"86","2007-05-07",39.150002
"87","2007-05-08",38.98
"88","2007-05-09",38.529999
"89","2007-05-10",38.860001
"90","2007-05-11",38.5
"91","2007-05-14",38.580002
"92","2007-05-15",38.040001
"93","2007-05-16",38.540001
"94","2007-05-17",37.82
"95","2007-05-18",37.509998
"96","2007-05-21",37.540001
"97","2007-05-22",37.959999
"98","2007-05-23",37.48
"99","2007-05-24",37.189999
"100","2007-05-25",37.110001
"101","2007-05-29",37.799999
"102","2007-05-30",38.950001
"103","2007-05-31",37.52
"104","2007-06-01",37.669998
"105","2007-06-04",37.5
"106","2007-06-05",37.330002
"107","2007-06-06",37.060001
"108","2007-06-07",36.880001
"109","2007-06-08",37.360001
"110","2007-06-11",37.02
"111","2007-06-12",36.380001
"112","2007-06-13",36.43
"113","2007-06-14",36.799999
"114","2007-06-15",37.73
"115","2007-06-18",37.52
"116","2007-06-19",37.849998
"117","2007-06-20",37.709999
"118","2007-06-21",37.259998
"119","2007-06-22",37.040001
"120","2007-06-25",37.529999
"121","2007-06-26",37.360001
"122","2007-06-27",44.57
"123","2007-06-28",49.279999
"124","2007-06-29",50
"125","2007-07-02",50.27
"126","2007-07-03",50.43
"127","2007-07-05",52.68
"128","2007-07-06",52.07
"129","2007-07-09",52.529999
"130","2007-07-10",50.290001
"131","2007-07-11",50.259998
"132","2007-07-12",50
"133","2007-07-13",49.689999
"134","2007-07-16",48.259998
"135","2007-07-17",47.580002
"136","2007-07-18",46.68
"137","2007-07-19",46.75
"138","2007-07-20",47.040001
"139","2007-07-23",48.57
"140","2007-07-24",48.150002
"141","2007-07-25",48.189999
"142","2007-07-26",46.509998
"143","2007-07-27",46.709999
"144","2007-07-30",47.209999
"145","2007-07-31",45.869999
"146","2007-08-01",47.459999
"147","2007-08-02",47.139999
"148","2007-08-03",44.720001
"149","2007-08-06",48.57
"150","2007-08-07",48.869999
"151","2007-08-08",48.689999
"152","2007-08-09",48.459999
"153","2007-08-10",50.049999
"154","2007-08-13",50.810001
"155","2007-08-14",48.970001
"156","2007-08-15",49.470001
"157","2007-08-16",50.549999
"158","2007-08-17",50
"159","2007-08-20",50.919998
"160","2007-08-21",50.09
"161","2007-08-22",49.52
"162","2007-08-23",48.34
"163","2007-08-24",47.959999
"164","2007-08-27",47.66
"165","2007-08-28",46.830002
"166","2007-08-29",48.439999
"167","2007-08-30",47.52
"168","2007-08-31",48.25
"169","2007-09-04",47.110001
"170","2007-09-05",46.25
"171","2007-09-06",45.669998
"172","2007-09-07",45.360001
"173","2007-09-10",45.73
"174","2007-09-11",46.549999
"175","2007-09-12",46.82
"176","2007-09-13",46.099998
"177","2007-09-14",48.130001
"178","2007-09-17",47.41
"179","2007-09-18",49.259998
"180","2007-09-19",49.689999
"181","2007-09-20",48.209999
"182","2007-09-21",48.75
"183","2007-09-24",49.34
"184","2007-09-25",48.799999
"185","2007-09-26",49.860001
"186","2007-09-27",50.029999
"187","2007-09-28",49.009998
"188","2007-10-01",49.939999
"189","2007-10-02",49.299999
"190","2007-10-03",48.470001
"191","2007-10-04",50.470001
"192","2007-10-05",51.060001
"193","2007-10-08",50.84
"194","2007-10-09",50.540001
"195","2007-10-10",50.34
"196","2007-10-11",50.07
"197","2007-10-12",51.150002
"198","2007-10-15",50.57
"199","2007-10-16",50.41
"200","2007-10-17",50.82
"201","2007-10-18",51.459999
"202","2007-10-19",50.619999
"203","2007-10-22",51.34
"204","2007-10-23",52.509998
"205","2007-10-24",51.580002
"206","2007-10-25",51.790001
"207","2007-10-26",52.849998
"208","2007-10-29",55.240002
"209","2007-10-30",55.540001
"210","2007-10-31",56.740002
"211","2007-11-01",53.139999
"212","2007-11-02",53.5
"213","2007-11-05",52.07
"214","2007-11-06",51.57
"215","2007-11-07",49.810001
"216","2007-11-08",49.799999
"217","2007-11-09",50
"218","2007-11-12",49.299999
"219","2007-11-13",49.740002
"220","2007-11-14",49.860001
"221","2007-11-15",49.220001
"222","2007-11-16",49.970001
"223","2007-11-19",49.099998
"224","2007-11-20",49.490002
"225","2007-11-21",49.610001
"226","2007-11-23",49.220001
"227","2007-11-26",48.82
"228","2007-11-27",48.630001
"229","2007-11-28",50.349998
"230","2007-11-29",51.529999
"231","2007-11-30",51.639999
"232","2007-12-03",51.310001
"233","2007-12-04",50.360001
"234","2007-12-05",51
"235","2007-12-06",52.490002
"236","2007-12-07",52.73
"237","2007-12-10",52.93
"238","2007-12-11",52.09
"239","2007-12-12",51.939999
"240","2007-12-13",52.509998
"241","2007-12-14",52.450001
"242","2007-12-17",51.869999
"243","2007-12-18",52.759998
"244","2007-12-19",53.27
"245","2007-12-20",52.900002
"246","2007-12-21",51.400002
"247","2007-12-24",52.91
"248","2007-12-26",53.759998
"249","2007-12-27",54.049999
"250","2007-12-28",54.169998
"251","2007-12-31",54.27
"252","2008-01-02",54.279999
"253","2008-01-03",52.98
"254","2008-01-04",52.48
"255","2008-01-07",53.970001
"256","2008-01-08",53.889999
"257","2008-01-09",54.040001
"258","2008-01-10",53.310001
"259","2008-01-11",52.830002
"260","2008-01-14",52.310001
"261","2008-01-15",52.799999
"262","2008-01-16",52.349998
"263","2008-01-17",51.720001
"264","2008-01-18",51.200001
"265","2008-01-22",49.709999
"266","2008-01-23",50.220001
"267","2008-01-24",46.740002
"268","2008-01-25",47.189999
"269","2008-01-28",46.82
"270","2008-01-29",46.400002
"271","2008-01-30",44.439999
"272","2008-01-31",43.66
"273","2008-02-01",44.77
"274","2008-02-04",44.150002
"275","2008-02-05",43.139999
"276","2008-02-06",43.16
"277","2008-02-07",43.689999
"278","2008-02-08",44.32
"279","2008-02-11",44.150002
"280","2008-02-12",44.209999
"281","2008-02-13",45.650002
"282","2008-02-14",44.200001
"283","2008-02-15",43.189999
"284","2008-02-19",43.450001
"285","2008-02-20",43.299999
"286","2008-02-21",43.880001
"287","2008-02-22",43.34
"288","2008-02-25",43.330002
"289","2008-02-26",44.220001
"290","2008-02-27",45.220001
"291","2008-02-28",45
"292","2008-02-29",44.169998
"293","2008-03-03",45.040001
"294","2008-03-04",44.099998
"295","2008-03-05",42.849998
"296","2008-03-06",41.759998
"297","2008-03-07",40.75
"298","2008-03-10",39.080002
"299","2008-03-11",40.34
"300","2008-03-12",39.950001
"301","2008-03-13",41.009998
"302","2008-03-14",40.700001
"303","2008-03-17",40.049999
"304","2008-03-18",41.5
"305","2008-03-19",39.919998
"306","2008-03-20",40.07
"307","2008-03-24",41.299999
"308","2008-03-25",41.5
"309","2008-03-26",41.740002
"310","2008-03-27",41.77
"311","2008-03-28",41.919998
"312","2008-03-31",41.880001
"313","2008-04-01",42.709999
"314","2008-04-02",45.23
"315","2008-04-03",45.540001
"316","2008-04-04",44.91
"317","2008-04-07",45.43
"318","2008-04-08",47.07
"319","2008-04-09",46.779999
"320","2008-04-10",46.490002
"321","2008-04-11",45.610001
"322","2008-04-14",44.240002
"323","2008-04-15",45.830002
"324","2008-04-16",46.59
"325","2008-04-17",45.900002
"326","2008-04-18",45.84
"327","2008-04-21",45.599998
"328","2008-04-22",44.709999
"329","2008-04-23",44.93
"330","2008-04-24",45
"331","2008-04-25",44.509998
"332","2008-04-28",44.119999
"333","2008-04-29",44.09
"334","2008-04-30",44.470001
"335","2008-05-01",45.240002
"336","2008-05-02",43.84
"337","2008-05-05",44.59
"338","2008-05-06",44.380001
"339","2008-05-07",44.040001
"340","2008-05-08",43.709999
"341","2008-05-09",43.93
"342","2008-05-12",44.68
"343","2008-05-13",45.610001
"344","2008-05-14",46.060001
"345","2008-05-15",45.139999
"346","2008-05-16",45.290001
"347","2008-05-19",44.09
"348","2008-05-20",43.779999
"349","2008-05-21",43.700001
"350","2008-05-22",43.599998
"351","2008-05-23",43
"352","2008-05-27",44.099998
"353","2008-05-28",43.779999
"354","2008-05-29",43.970001
"355","2008-05-30",44.84
"356","2008-06-02",43.450001
"357","2008-06-03",43.049999
"358","2008-06-04",43.98
"359","2008-06-05",45.400002
"360","2008-06-06",43.759998
"361","2008-06-09",44.459999
"362","2008-06-10",44.5
"363","2008-06-11",43.330002
"364","2008-06-12",42.599998
"365","2008-06-13",44.189999
"366","2008-06-16",44.650002
"367","2008-06-17",45.25
"368","2008-06-18",44.93
"369","2008-06-19",45.799999
"370","2008-06-20",46.779999
"371","2008-06-23",47.32
"372","2008-06-24",45.049999
"373","2008-06-25",45.060001
"374","2008-06-26",44.82
"375","2008-06-27",43.77
"376","2008-06-30",44.84
"377","2008-07-01",44.900002
"378","2008-07-02",43.279999
"379","2008-07-03",42.290001
"380","2008-07-07",42
"381","2008-07-08",43.07
"382","2008-07-09",42.5
"383","2008-07-10",42.48
"384","2008-07-11",42.68
"385","2008-07-14",41.869999
"386","2008-07-15",42.049999
"387","2008-07-16",43
"388","2008-07-17",42.900002
"389","2008-07-18",42.16
"390","2008-07-21",42.400002
"391","2008-07-22",42.419998
"392","2008-07-23",42.790001
"393","2008-07-24",42.700001
"394","2008-07-25",42.52
"395","2008-07-28",41.259998
"396","2008-07-29",41.689999
"397","2008-07-30",42.959999
"398","2008-07-31",42.09
"399","2008-08-01",40.130001
"400","2008-08-04",40.68
"401","2008-08-05",41.34
"402","2008-08-06",42.540001
"403","2008-08-07",42.459999
"404","2008-08-08",42.950001
"405","2008-08-11",40.040001
"406","2008-08-12",39.790001
"407","2008-08-13",39.77
"408","2008-08-14",40.200001
"409","2008-08-15",40.299999
"410","2008-08-18",41.299999
"411","2008-08-19",41.790001
"412","2008-08-20",40.200001
"413","2008-08-21",40.009998
"414","2008-08-22",40.330002
"415","2008-08-25",39.619999
"416","2008-08-26",39.560001
"417","2008-08-27",39.810001
"418","2008-08-28",39.889999
"419","2008-08-29",38.970001
"420","2008-09-02",38.529999
"421","2008-09-03",38.139999
"422","2008-09-04",36.799999
"423","2008-09-05",37.389999
"424","2008-09-08",37.610001
"425","2008-09-09",37.650002
"426","2008-09-10",37.73
"427","2008-09-11",37.799999
"428","2008-09-12",37.619999
"429","2008-09-15",37.509998
"430","2008-09-16",39.009998
"431","2008-09-17",39.110001
"432","2008-09-18",30.719999
"433","2008-09-19",30.35
"434","2008-09-22",30.290001
"435","2008-09-23",30.5
"436","2008-09-24",30.530001
"437","2008-09-25",30.389999
"438","2008-09-26",31.41
"439","2008-09-29",30.6
"440","2008-09-30",31.49
"441","2008-10-01",31.42
"442","2008-10-02",30.690001
"443","2008-10-03",30.959999
"444","2008-10-06",28.1
"445","2008-10-07",26.66
"446","2008-10-08",26.58
