"","date","SSBI"
"1","2007-01-03",10.224
"2","2007-01-04",10.352
"3","2007-01-05",10.208
"4","2007-01-08",10.232
"5","2007-01-09",10.232
"6","2007-01-10",10.328
"7","2007-01-11",10.28
"8","2007-01-12",10.256
"9","2007-01-16",10.32
"10","2007-01-17",10.088
"11","2007-01-18",10.128
"12","2007-01-19",10.208
"13","2007-01-22",10.216
"14","2007-01-23",10.32
"15","2007-01-24",10.352
"16","2007-01-25",10.424
"17","2007-01-26",10.416
"18","2007-01-29",10.744
"19","2007-01-30",10.672
"20","2007-01-31",10.776
"21","2007-02-01",10.592
"22","2007-02-02",10.648
"23","2007-02-05",10.672
"24","2007-02-06",10.6
"25","2007-02-07",10.408
"26","2007-02-08",10.544
"27","2007-02-09",10.6
"28","2007-02-12",10.584
"29","2007-02-13",10.632
"30","2007-02-14",10.48
"31","2007-02-15",10.6
"32","2007-02-16",10.544
"33","2007-02-20",10.576
"34","2007-02-21",10.64
"35","2007-02-22",10.52
"36","2007-02-23",10.432
"37","2007-02-26",10.424
"38","2007-02-27",10.432
"39","2007-02-28",10.336
"40","2007-03-01",10.28
"41","2007-03-02",10.08
"42","2007-03-05",10.2
"43","2007-03-06",10.136
"44","2007-03-07",10.272
"45","2007-03-08",10.28
"46","2007-03-09",10.256
"47","2007-03-12",10.384
"48","2007-03-13",10.096
"49","2007-03-14",10.2
"50","2007-03-15",10.12
"51","2007-03-16",10
"52","2007-03-19",9.976
"53","2007-03-20",10.016
"54","2007-03-21",10.2
"55","2007-03-22",10.216
"56","2007-03-23",10.304
"57","2007-03-26",10.44
"58","2007-03-27",10.464
"59","2007-03-28",10.408
"60","2007-03-29",10.52
"61","2007-03-30",10.456
"62","2007-04-02",10.424
"63","2007-04-03",10.424
"64","2007-04-04",10.48
"65","2007-04-05",10.664
"66","2007-04-09",10.368
"67","2007-04-10",10.336
"68","2007-04-11",10.512
"69","2007-04-12",10.48
"70","2007-04-13",10.52
"71","2007-04-16",10.04
"72","2007-04-17",10.448
"73","2007-04-18",10.184
"74","2007-04-19",10
"75","2007-04-20",10.144
"76","2007-04-23",9.992
"77","2007-04-24",9.992
"78","2007-04-25",10.008
"79","2007-04-26",10.08
"80","2007-04-27",10.08
"81","2007-04-30",10.152
"82","2007-05-01",10.016
"83","2007-05-02",9.896
"84","2007-05-03",9.992
"85","2007-05-04",9.992
"86","2007-05-07",9.88
"87","2007-05-08",9.92
"88","2007-05-09",10.048
"89","2007-05-10",10.048
"90","2007-05-11",9.76
"91","2007-05-14",9.84
"92","2007-05-15",9.6
"93","2007-05-16",9.608
"94","2007-05-17",9.56
"95","2007-05-18",9.44
"96","2007-05-21",9.16
"97","2007-05-22",8.824
"98","2007-05-23",8.808
"99","2007-05-24",8.808
"100","2007-05-25",8.84
"101","2007-05-29",8.976
"102","2007-05-30",8.976
"103","2007-05-31",8.976
"104","2007-06-01",8.8
"105","2007-06-04",8.912
"106","2007-06-05",9.016
"107","2007-06-06",9
"108","2007-06-07",8.88
"109","2007-06-08",8.8
"110","2007-06-11",8.8
"111","2007-06-12",8.8
"112","2007-06-13",8.8
"113","2007-06-14",8.808
"114","2007-06-15",8.92
"115","2007-06-18",8.8
"116","2007-06-19",8.8
"117","2007-06-20",8.704
"118","2007-06-21",8.76
"119","2007-06-22",8.752
"120","2007-06-25",8.736
"121","2007-06-26",8.8
"122","2007-06-27",8.816
"123","2007-06-28",8.88
"124","2007-06-29",9.096
"125","2007-07-02",9.104
"126","2007-07-03",9.08
"127","2007-07-05",9.232
"128","2007-07-06",9.28
"129","2007-07-09",9.328
"130","2007-07-10",9.328
"131","2007-07-11",9.456
"132","2007-07-12",9.456
"133","2007-07-13",9.392
"134","2007-07-16",9.328
"135","2007-07-17",9.2
"136","2007-07-18",9.328
"137","2007-07-19",9.248
"138","2007-07-20",9.248
"139","2007-07-23",9.2
"140","2007-07-24",8.984
"141","2007-07-25",8.76
"142","2007-07-26",8.696
"143","2007-07-27",8.12
"144","2007-07-30",8.2
"145","2007-07-31",8.544
"146","2007-08-01",7.912
"147","2007-08-02",8
"148","2007-08-03",7.96
"149","2007-08-06",7.92
"150","2007-08-07",7.864
"151","2007-08-08",7.864
"152","2007-08-09",7.88
"153","2007-08-10",7.84
"154","2007-08-13",7.992
"155","2007-08-14",7.792
"156","2007-08-15",7.976
"157","2007-08-16",7.648
"158","2007-08-17",7.92
"159","2007-08-20",8
"160","2007-08-21",8
"161","2007-08-22",7.976
"162","2007-08-23",8
"163","2007-08-24",8.008
"164","2007-08-27",8.04
"165","2007-08-28",8
"166","2007-08-29",8.04
"167","2007-08-30",8.088
"168","2007-08-31",8
"169","2007-09-04",8.04
"170","2007-09-05",8.08
"171","2007-09-06",8.08
"172","2007-09-07",8.048
"173","2007-09-10",8.232
"174","2007-09-11",8.016
"175","2007-09-12",7.768
"176","2007-09-13",7.952
"177","2007-09-14",7.952
"178","2007-09-17",7.936
"179","2007-09-18",8
"180","2007-09-19",8
"181","2007-09-20",8
"182","2007-09-21",7.88
"183","2007-09-24",7.776
"184","2007-09-25",7.904
"185","2007-09-26",7.816
"186","2007-09-27",7.88
"187","2007-09-28",8.016
"188","2007-10-01",7.84
"189","2007-10-02",7.84
"190","2007-10-03",7.84
"191","2007-10-04",7.84
"192","2007-10-05",7.768
"193","2007-10-08",7.768
"194","2007-10-09",7.768
"195","2007-10-10",7.408
"196","2007-10-11",7.592
"197","2007-10-12",7.48
"198","2007-10-15",7.632
"199","2007-10-16",7.632
"200","2007-10-17",7.504
"201","2007-10-18",7.688
"202","2007-10-19",7.64
"203","2007-10-22",7.64
"204","2007-10-23",7.648
"205","2007-10-24",7.624
"206","2007-10-25",7.648
"207","2007-10-26",7.84
"208","2007-10-29",7.52
"209","2007-10-30",7.52
"210","2007-10-31",7.496
"211","2007-11-01",7.496
"212","2007-11-02",7.496
"213","2007-11-05",7.496
"214","2007-11-06",7.464
"215","2007-11-07",7.488
"216","2007-11-08",7.376
"217","2007-11-09",7.176
"218","2007-11-12",7.184
"219","2007-11-13",7
"220","2007-11-14",7
"221","2007-11-15",7.192
"222","2007-11-16",7.2
"223","2007-11-19",7
"224","2007-11-20",7
"225","2007-11-21",7
"226","2007-11-23",7.04
"227","2007-11-26",7.032
"228","2007-11-27",7.168
"229","2007-11-28",7.048
"230","2007-11-29",7.152
"231","2007-11-30",7.264
"232","2007-12-03",7.28
"233","2007-12-04",7.128
"234","2007-12-05",7.048
"235","2007-12-06",7.2
"236","2007-12-07",7.048
"237","2007-12-10",7.04
"238","2007-12-11",6.96
"239","2007-12-12",6.72
"240","2007-12-13",6.88
"241","2007-12-14",6.88
"242","2007-12-17",6.88
"243","2007-12-18",6.88
"244","2007-12-19",6.88
"245","2007-12-20",6.64
"246","2007-12-21",6.456
"247","2007-12-24",6.48
"248","2007-12-26",6.32
"249","2007-12-27",6.464
"250","2007-12-28",6.424
"251","2007-12-31",6.44
"252","2008-01-02",6.48
"253","2008-01-03",6.36
"254","2008-01-04",6.44
"255","2008-01-07",6.416
"256","2008-01-08",6.416
"257","2008-01-09",6.568
"258","2008-01-10",6.448
"259","2008-01-11",6.48
"260","2008-01-14",6.6
"261","2008-01-15",6.608
"262","2008-01-16",6.592
"263","2008-01-17",6.408
"264","2008-01-18",6.4
"265","2008-01-22",6.4
"266","2008-01-23",6.4
"267","2008-01-24",6.368
"268","2008-01-25",6.352
"269","2008-01-28",6.32
"270","2008-01-29",6.32
"271","2008-01-30",6.32
