"","date","SSYS"
"1","2007-01-03",15.99
"2","2007-01-04",16.030001
"3","2007-01-05",15.505
"4","2007-01-08",15.895
"5","2007-01-09",16.049999
"6","2007-01-10",16.254999
"7","2007-01-11",16.139999
"8","2007-01-12",16.41
"9","2007-01-16",16.635
"10","2007-01-17",16.445
"11","2007-01-18",16.34
"12","2007-01-19",16.344999
"13","2007-01-22",15.92
"14","2007-01-23",15.805
"15","2007-01-24",16.105
"16","2007-01-25",15.78
"17","2007-01-26",15.97
"18","2007-01-29",16.035
"19","2007-01-30",16.1
"20","2007-01-31",16.120001
"21","2007-02-01",16.174999
"22","2007-02-02",16.315001
"23","2007-02-05",16.07
"24","2007-02-06",16.065001
"25","2007-02-07",15.985
"26","2007-02-08",15.97
"27","2007-02-09",15.49
"28","2007-02-12",16.040001
"29","2007-02-13",16.08
"30","2007-02-14",16.254999
"31","2007-02-15",18.424999
"32","2007-02-16",18.469999
"33","2007-02-20",19.125
"34","2007-02-21",19.25
"35","2007-02-22",19.139999
"36","2007-02-23",19.129999
"37","2007-02-26",19.155001
"38","2007-02-27",18.395
"39","2007-02-28",18.34
"40","2007-03-01",19.23
"41","2007-03-02",18.655001
"42","2007-03-05",18.68
"43","2007-03-06",19.775
"44","2007-03-07",19.42
"45","2007-03-08",20.6
"46","2007-03-09",20.139999
"47","2007-03-12",20.48
"48","2007-03-13",19.860001
"49","2007-03-14",20.120001
"50","2007-03-15",20.110001
"51","2007-03-16",19.985001
"52","2007-03-19",20.285
"53","2007-03-20",21.26
"54","2007-03-21",21.715
"55","2007-03-22",21.545
"56","2007-03-23",21.695
"57","2007-03-26",21.360001
"58","2007-03-27",21.275
"59","2007-03-28",21.275
"60","2007-03-29",21.195
"61","2007-03-30",21.360001
"62","2007-04-02",21.415001
"63","2007-04-03",21.254999
"64","2007-04-04",21.43
"65","2007-04-05",21.65
"66","2007-04-09",21.299999
"67","2007-04-10",21.440001
"68","2007-04-11",21.48
"69","2007-04-12",21.125
"70","2007-04-13",20.57
"71","2007-04-16",20.805
"72","2007-04-17",20.775
"73","2007-04-18",20.785
"74","2007-04-19",20.68
"75","2007-04-20",20.809999
"76","2007-04-23",21.004999
"77","2007-04-24",21.254999
"78","2007-04-25",21.309999
"79","2007-04-26",24.049999
"80","2007-04-27",23.865
"81","2007-04-30",23.764999
"82","2007-05-01",23.264999
"83","2007-05-02",23.5
"84","2007-05-03",23.334999
"85","2007-05-04",23.055
"86","2007-05-07",23.285
"87","2007-05-08",22.9
"88","2007-05-09",23.77
"89","2007-05-10",23.004999
"90","2007-05-11",23.120001
"91","2007-05-14",22.799999
"92","2007-05-15",23.275
"93","2007-05-16",23.084999
"94","2007-05-17",22.860001
"95","2007-05-18",23.355
"96","2007-05-21",24.030001
"97","2007-05-22",24.15
"98","2007-05-23",23.995001
"99","2007-05-24",23.24
"100","2007-05-25",23.535
"101","2007-05-29",23.24
"102","2007-05-30",24.1
"103","2007-05-31",24.075001
"104","2007-06-01",24.01
"105","2007-06-04",23.809999
"106","2007-06-05",23.549999
"107","2007-06-06",23.045
"108","2007-06-07",22.965
"109","2007-06-08",23.635
"110","2007-06-11",23.860001
"111","2007-06-12",23.129999
"112","2007-06-13",24.219999
"113","2007-06-14",24.445
"114","2007-06-15",24.52
"115","2007-06-18",24.77
"116","2007-06-19",25.02
"117","2007-06-20",23.92
"118","2007-06-21",23.504999
"119","2007-06-22",23.5
"120","2007-06-25",22.834999
"121","2007-06-26",22.91
"122","2007-06-27",23.43
"123","2007-06-28",23.43
"124","2007-06-29",23.49
"125","2007-07-02",23.145
"126","2007-07-03",23.215
"127","2007-07-05",23.125
"128","2007-07-06",23.469999
"129","2007-07-09",23.375
"130","2007-07-10",22.959999
"131","2007-07-11",23.110001
"132","2007-07-12",24.105
"133","2007-07-13",24.035
"134","2007-07-16",24.014999
"135","2007-07-17",22.83
"136","2007-07-18",23.059999
"137","2007-07-19",23.715
"138","2007-07-20",22.635
"139","2007-07-23",22.709999
"140","2007-07-24",21.905001
"141","2007-07-25",21.195
"142","2007-07-26",21.26
"143","2007-07-27",20.004999
"144","2007-07-30",20.375
"145","2007-07-31",22.004999
"146","2007-08-01",23.205
"147","2007-08-02",24.379999
"148","2007-08-03",23.415001
"149","2007-08-06",23.985001
"150","2007-08-07",24.885
"151","2007-08-08",25
"152","2007-08-09",26.014999
"153","2007-08-10",24.719999
"154","2007-08-13",24.370001
"155","2007-08-14",23.485001
"156","2007-08-15",24.004999
"157","2007-08-16",24.040001
"158","2007-08-17",24.65
"159","2007-08-20",24.905001
"160","2007-08-21",25.48
"161","2007-08-22",25.450001
"162","2007-08-23",25.545
"163","2007-08-24",25.27
"164","2007-08-27",25.254999
"165","2007-08-28",24.035
"166","2007-08-29",25.200001
"167","2007-08-30",25.629999
"168","2007-08-31",25.15
"169","2007-09-04",26.84
"170","2007-09-05",26.940001
"171","2007-09-06",26.9
"172","2007-09-07",26.040001
"173","2007-09-10",26.309999
"174","2007-09-11",26.719999
"175","2007-09-12",26.41
"176","2007-09-13",26.51
"177","2007-09-14",26.389999
"178","2007-09-17",26.48
"179","2007-09-18",27.5
"180","2007-09-19",28.27
"181","2007-09-20",27.76
"182","2007-09-21",27.790001
"183","2007-09-24",27.860001
"184","2007-09-25",28.34
"185","2007-09-26",28.01
"186","2007-09-27",27.76
"187","2007-09-28",27.559999
"188","2007-10-01",28.66
"189","2007-10-02",28.66
"190","2007-10-03",28.530001
"191","2007-10-04",28.299999
"192","2007-10-05",28.5
"193","2007-10-08",27.940001
"194","2007-10-09",28.66
"195","2007-10-10",29.139999
"196","2007-10-11",28.9
"197","2007-10-12",29.52
"198","2007-10-15",29.299999
"199","2007-10-16",29
"200","2007-10-17",28.809999
"201","2007-10-18",28.540001
"202","2007-10-19",28.25
"203","2007-10-22",28.950001
"204","2007-10-23",29.440001
"205","2007-10-24",29.85
"206","2007-10-25",29.379999
"207","2007-10-26",30.27
"208","2007-10-29",30.190001
"209","2007-10-30",29.42
"210","2007-10-31",26.030001
"211","2007-11-01",24.950001
"212","2007-11-02",24.4
"213","2007-11-05",23.57
"214","2007-11-06",24.98
"215","2007-11-07",23.790001
"216","2007-11-08",23.040001
"217","2007-11-09",22.24
"218","2007-11-12",21.559999
"219","2007-11-13",22.540001
"220","2007-11-14",22.07
"221","2007-11-15",21.59
"222","2007-11-16",21.92
"223","2007-11-19",20.75
"224","2007-11-20",20.870001
"225","2007-11-21",20.809999
"226","2007-11-23",21.129999
"227","2007-11-26",21.379999
"228","2007-11-27",21.91
"229","2007-11-28",23.01
"230","2007-11-29",23.59
"231","2007-11-30",24.99
"232","2007-12-03",25.200001
"233","2007-12-04",24.129999
"234","2007-12-05",25.219999
"235","2007-12-06",26.83
"236","2007-12-07",26.110001
"237","2007-12-10",26.15
"238","2007-12-11",25.5
"239","2007-12-12",25.82
"240","2007-12-13",25.610001
"241","2007-12-14",25.17
"242","2007-12-17",24.65
"243","2007-12-18",26.190001
"244","2007-12-19",26.48
"245","2007-12-20",26.34
"246","2007-12-21",26.639999
"247","2007-12-24",27.91
"248","2007-12-26",27.690001
"249","2007-12-27",27.26
"250","2007-12-28",27.5
"251","2007-12-31",25.84
"252","2008-01-02",27.27
"253","2008-01-03",27.32
"254","2008-01-04",25.540001
"255","2008-01-07",25.08
"256","2008-01-08",24.129999
"257","2008-01-09",24.610001
"258","2008-01-10",25.379999
"259","2008-01-11",24.219999
"260","2008-01-14",24.309999
"261","2008-01-15",22.940001
"262","2008-01-16",23.51
"263","2008-01-17",21.129999
"264","2008-01-18",19.959999
"265","2008-01-22",20.200001
"266","2008-01-23",20.969999
"267","2008-01-24",20.809999
"268","2008-01-25",20.709999
"269","2008-01-28",20.66
"270","2008-01-29",21.690001
"271","2008-01-30",21.43
"272","2008-01-31",22.1
"273","2008-02-01",22.209999
"274","2008-02-04",21.799999
"275","2008-02-05",20.77
"276","2008-02-06",20.780001
"277","2008-02-07",21.01
"278","2008-02-08",20.969999
"279","2008-02-11",21.27
"280","2008-02-12",21.440001
"281","2008-02-13",22.09
"282","2008-02-14",21.030001
"283","2008-02-15",20.67
"284","2008-02-19",20.889999
"285","2008-02-20",22.059999
"286","2008-02-21",21.84
"287","2008-02-22",21.540001
"288","2008-02-25",21.209999
"289","2008-02-26",19.51
"290","2008-02-27",18.59
"291","2008-02-28",18.83
"292","2008-02-29",18.76
"293","2008-03-03",18.83
"294","2008-03-04",18.299999
"295","2008-03-05",18.200001
"296","2008-03-06",17.629999
"297","2008-03-07",18.07
"298","2008-03-10",17.84
