"","date","STAF"
"1","2013-03-27",74.5
"2","2013-03-28",74.5
"3","2013-04-01",62.5
"4","2013-04-02",67.5
"5","2013-04-03",74.5
"6","2013-04-04",75
"7","2013-04-05",75
"8","2013-04-08",100
"9","2013-04-09",75
"10","2013-04-10",100
"11","2013-04-11",100
"12","2013-04-12",100
"13","2013-04-15",112.5
"14","2013-04-16",112
"15","2013-04-17",112
"16","2013-04-18",105
"17","2013-04-19",110
"18","2013-04-22",110
"19","2013-04-23",100
"20","2013-04-24",105
"21","2013-04-25",105
"22","2013-04-26",87.5
"23","2013-04-29",105
"24","2013-04-30",105
"25","2013-05-01",87.5
"26","2013-05-02",82.5
"27","2013-05-03",85
"28","2013-05-06",87.5
"29","2013-05-07",85
"30","2013-05-08",85
"31","2013-05-09",85
"32","2013-05-10",85
"33","2013-05-13",85
"34","2013-05-14",82.5
"35","2013-05-15",82.5
"36","2013-05-16",82.5
"37","2013-05-17",82.5
"38","2013-05-20",82.5
"39","2013-05-21",85
"40","2013-05-22",82.5
"41","2013-05-23",80
"42","2013-05-24",82.5
"43","2013-05-28",82.5
"44","2013-05-29",82.5
"45","2013-05-30",82.5
"46","2013-05-31",82.5
"47","2013-06-03",82.5
"48","2013-06-04",82.5
"49","2013-06-05",75
"50","2013-06-06",75
"51","2013-06-07",82.5
"52","2013-06-10",82.5
"53","2013-06-11",80
"54","2013-06-12",82.5
"55","2013-06-13",82.5
"56","2013-06-14",82.5
"57","2013-06-17",82.5
"58","2013-06-18",82.5
"59","2013-06-19",82.5
"60","2013-06-20",82.5
"61","2013-06-21",82.5
"62","2013-06-24",82.5
"63","2013-06-25",75
"64","2013-06-26",75
"65","2013-06-27",75
"66","2013-06-28",75
"67","2013-07-01",75
"68","2013-07-02",75
"69","2013-07-03",75
"70","2013-07-05",75
"71","2013-07-08",75
"72","2013-07-09",75
"73","2013-07-10",60
"74","2013-07-11",70
"75","2013-07-12",70
"76","2013-07-15",65
"77","2013-07-16",65
"78","2013-07-17",65
"79","2013-07-18",65
"80","2013-07-19",65
"81","2013-07-22",65
"82","2013-07-23",65
"83","2013-07-24",65
"84","2013-07-25",65
"85","2013-07-26",65
"86","2013-07-29",65
"87","2013-07-30",65
"88","2013-07-31",65
"89","2013-08-01",65
"90","2013-08-02",60
"91","2013-08-05",60
"92","2013-08-06",60
"93","2013-08-07",62.5
"94","2013-08-08",62.5
"95","2013-08-09",62.5
"96","2013-08-12",62.5
"97","2013-08-13",62.5
"98","2013-08-14",62.5
"99","2013-08-15",62.5
"100","2013-08-16",62.5
"101","2013-08-19",62.5
"102","2013-08-20",62.5
"103","2013-08-21",50
"104","2013-08-22",62.5
"105","2013-08-23",62.5
"106","2013-08-26",60
"107","2013-08-27",60
"108","2013-08-28",80
"109","2013-08-29",80
"110","2013-08-30",90
"111","2013-09-03",75
"112","2013-09-04",75
"113","2013-09-05",72.5
"114","2013-09-06",72.5
"115","2013-09-09",72.5
"116","2013-09-10",72.5
"117","2013-09-11",72.5
"118","2013-09-12",72.5
"119","2013-09-13",72.5
"120","2013-09-16",72.5
"121","2013-09-17",72.5
"122","2013-09-18",72.5
"123","2013-09-19",72.5
"124","2013-09-20",72.5
"125","2013-09-23",100
"126","2013-09-24",95
"127","2013-09-25",95
"128","2013-09-26",94
"129","2013-09-27",94
"130","2013-09-30",91
"131","2013-10-01",91
"132","2013-10-02",91
"133","2013-10-03",91
"134","2013-10-04",87
"135","2013-10-07",87
"136","2013-10-08",87
"137","2013-10-09",87
"138","2013-10-10",87
"139","2013-10-11",97.5
"140","2013-10-14",97.5
"141","2013-10-15",97.5
"142","2013-10-16",97.5
"143","2013-10-17",97.5
"144","2013-10-18",97.5
"145","2013-10-21",97.5
"146","2013-10-22",97.5
"147","2013-10-23",97.5
"148","2013-10-24",97.5
"149","2013-10-25",97.5
"150","2013-10-28",97.5
"151","2013-10-29",97.5
"152","2013-10-30",97.5
"153","2013-10-31",97.5
"154","2013-11-01",97.5
"155","2013-11-04",89.5
"156","2013-11-05",89.5
"157","2013-11-06",89.5
"158","2013-11-07",89.5
"159","2013-11-08",89.5
"160","2013-11-11",89.5
"161","2013-11-12",89.5
"162","2013-11-13",89.5
"163","2013-11-14",89.5
"164","2013-11-15",89.5
"165","2013-11-18",89.5
"166","2013-11-19",89.5
"167","2013-11-20",89.5
"168","2013-11-21",89.5
"169","2013-11-22",89.5
"170","2013-11-25",89.5
"171","2013-11-26",89.5
"172","2013-11-27",95
"173","2013-11-29",102.5
"174","2013-12-02",100
"175","2013-12-03",100
"176","2013-12-04",100
"177","2013-12-05",100
"178","2013-12-06",95
"179","2013-12-09",95
"180","2013-12-10",95
"181","2013-12-11",95
"182","2013-12-12",95
"183","2013-12-13",104
"184","2013-12-16",104
"185","2013-12-17",104
"186","2013-12-18",104
"187","2013-12-19",100
"188","2013-12-20",100
"189","2013-12-23",100
"190","2013-12-24",100
"191","2013-12-26",100
"192","2013-12-27",100
"193","2013-12-30",100
"194","2013-12-31",105
"195","2014-01-02",105
"196","2014-01-03",105
"197","2014-01-06",105
"198","2014-01-07",105
"199","2014-01-08",102.5
"200","2014-01-09",90
"201","2014-01-10",90
"202","2014-01-13",100
"203","2014-01-14",100
"204","2014-01-15",85
"205","2014-01-16",100
"206","2014-01-17",85
"207","2014-01-21",85
"208","2014-01-22",85
"209","2014-01-23",85
"210","2014-01-24",85
"211","2014-01-27",72.5
"212","2014-01-28",90
"213","2014-01-29",105
"214","2014-01-30",95
"215","2014-01-31",95
"216","2014-02-03",95
"217","2014-02-04",95
"218","2014-02-05",95
"219","2014-02-06",85
"220","2014-02-07",80
"221","2014-02-10",95
"222","2014-02-11",100
"223","2014-02-12",100
"224","2014-02-13",100
"225","2014-02-14",100
"226","2014-02-18",100
"227","2014-02-19",100
"228","2014-02-20",76
"229","2014-02-21",97
"230","2014-02-24",78
"231","2014-02-25",80
"232","2014-02-26",96
"233","2014-02-27",77
"234","2014-02-28",105
"235","2014-03-03",102
"236","2014-03-04",102
"237","2014-03-05",102
"238","2014-03-06",102
"239","2014-03-07",102
"240","2014-03-10",99
"241","2014-03-11",98.5
"242","2014-03-12",98.5
"243","2014-03-13",98.5
"244","2014-03-14",98.5
"245","2014-03-17",78
"246","2014-03-18",92.5
"247","2014-03-19",92.5
"248","2014-03-20",97.5
"249","2014-03-21",90
"250","2014-03-24",85
"251","2014-03-25",100
"252","2014-03-26",100
"253","2014-03-27",100
"254","2014-03-28",100
"255","2014-03-31",100
"256","2014-04-01",100
"257","2014-04-02",100
"258","2014-04-03",100
"259","2014-04-04",100
"260","2014-04-07",100
"261","2014-04-08",100
"262","2014-04-09",87
"263","2014-04-10",87
"264","2014-04-11",87
