"","date","TACO"
"1","2014-01-08",9.42
"2","2014-01-09",10.49
"3","2014-01-10",9.6
"4","2014-01-13",9.7
"5","2014-01-14",9.7
"6","2014-01-15",9.7
"7","2014-01-16",9.6
"8","2014-01-17",9.4
"9","2014-01-21",9.75
"10","2014-01-22",9.65
"11","2014-01-23",9.65
"12","2014-01-24",9.58
"13","2014-01-27",9.6
"14","2014-01-28",9.67
"15","2014-01-29",9.6
"16","2014-01-30",9.6
"17","2014-01-31",9.61
"18","2014-02-03",9.65
"19","2014-02-04",9.68
"20","2014-02-05",9.65
"21","2014-02-06",9.65
"22","2014-02-07",9.6
"23","2014-02-10",9.65
"24","2014-02-11",9.65
"25","2014-02-12",9.69
"26","2014-02-13",9.7
"27","2014-02-14",9.8
"28","2014-02-18",9.73
"29","2014-02-19",9.7
"30","2014-02-20",9.63
"31","2014-02-21",9.67
"32","2014-02-24",9.67
"33","2014-02-25",9.7
"34","2014-02-26",9.63
"35","2014-02-27",9.65
"36","2014-02-28",9.65
"37","2014-03-03",9.65
"38","2014-03-04",9.65
"39","2014-03-05",9.65
"40","2014-03-06",9.65
"41","2014-03-07",9.64
"42","2014-03-10",9.67
"43","2014-03-11",9.69
"44","2014-03-12",9.69
"45","2014-03-13",9.67
"46","2014-03-14",9.64
"47","2014-03-17",9.64
"48","2014-03-18",9.68
"49","2014-03-19",9.64
"50","2014-03-20",9.64
"51","2014-03-21",9.64
"52","2014-03-24",9.64
"53","2014-03-25",9.64
"54","2014-03-26",9.64
"55","2014-03-27",9.64
"56","2014-03-28",9.64
"57","2014-03-31",9.69
"58","2014-04-01",9.69
"59","2014-04-02",9.69
"60","2014-04-03",9.69
"61","2014-04-04",9.65
"62","2014-04-07",9.69
"63","2014-04-08",9.69
"64","2014-04-09",9.62
"65","2014-04-10",9.64
"66","2014-04-11",9.65
"67","2014-04-14",9.64
"68","2014-04-15",9.64
"69","2014-04-16",9.64
"70","2014-04-17",9.74
"71","2014-04-21",9.74
"72","2014-04-22",9.64
"73","2014-04-23",9.64
"74","2014-04-24",9.64
"75","2014-04-25",9.72
"76","2014-04-28",9.72
"77","2014-04-29",9.68
"78","2014-04-30",9.68
"79","2014-05-01",9.68
"80","2014-05-02",9.65
"81","2014-05-05",9.65
"82","2014-05-06",9.68
"83","2014-05-07",9.68
"84","2014-05-08",9.72
"85","2014-05-09",9.72
"86","2014-05-12",9.64
"87","2014-05-13",9.64
"88","2014-05-14",9.64
"89","2014-05-15",9.64
"90","2014-05-16",9.65
"91","2014-05-19",9.65
"92","2014-05-20",9.69
"93","2014-05-21",9.69
"94","2014-05-22",9.69
"95","2014-05-23",9.7
"96","2014-05-27",9.7
"97","2014-05-28",9.69
"98","2014-05-29",9.69
"99","2014-05-30",9.7
"100","2014-06-02",9.7
"101","2014-06-03",9.73
"102","2014-06-04",9.73
"103","2014-06-05",9.73
"104","2014-06-06",9.73
"105","2014-06-09",9.71
"106","2014-06-10",9.68
"107","2014-06-11",9.7
"108","2014-06-12",9.68
"109","2014-06-13",9.7
"110","2014-06-16",9.7
"111","2014-06-17",9.7
"112","2014-06-18",9.68
"113","2014-06-19",9.68
"114","2014-06-20",9.68
"115","2014-06-23",9.68
"116","2014-06-24",9.68
"117","2014-06-25",9.68
"118","2014-06-26",9.73
"119","2014-06-27",9.73
"120","2014-06-30",9.74
"121","2014-07-01",9.74
"122","2014-07-02",9.7
"123","2014-07-03",9.7
"124","2014-07-07",9.7
"125","2014-07-08",9.7
"126","2014-07-09",9.7
"127","2014-07-10",9.7
"128","2014-07-11",9.7
"129","2014-07-14",9.76
"130","2014-07-15",9.74
"131","2014-07-16",9.74
"132","2014-07-17",9.73
"133","2014-07-18",9.72
"134","2014-07-21",9.72
"135","2014-07-22",9.72
"136","2014-07-23",9.72
"137","2014-07-24",9.73
"138","2014-07-25",9.74
"139","2014-07-28",9.74
"140","2014-07-29",9.72
"141","2014-07-30",9.68
"142","2014-07-31",9.66
"143","2014-08-01",9.69
"144","2014-08-04",9.69
"145","2014-08-05",9.69
"146","2014-08-06",9.75
"147","2014-08-07",9.78
"148","2014-08-08",9.79
"149","2014-08-11",9.79
"150","2014-08-12",9.7
"151","2014-08-13",9.7
"152","2014-08-14",9.68
"153","2014-08-15",9.68
"154","2014-08-18",9.65
"155","2014-08-19",9.65
"156","2014-08-20",9.66
"157","2014-08-21",9.66
"158","2014-08-22",9.64
"159","2014-08-25",9.69
"160","2014-08-26",9.69
"161","2014-08-27",9.69
"162","2014-08-28",9.72
