"","date","TBNK"
"1","2009-07-13",14.99
"2","2009-07-14",14.83
"3","2009-07-15",14.83
"4","2009-07-16",14.76
"5","2009-07-17",14.72
"6","2009-07-20",14.75
"7","2009-07-21",14.92
"8","2009-07-22",14.9
"9","2009-07-23",14.94
"10","2009-07-24",14.95
"11","2009-07-27",14.91
"12","2009-07-28",15.05
"13","2009-07-29",15.02
"14","2009-07-30",15.12
"15","2009-07-31",15.05
"16","2009-08-03",14.95
"17","2009-08-04",15.07
"18","2009-08-05",14.91
"19","2009-08-06",14.92
"20","2009-08-07",14.9
"21","2009-08-10",14.85
"22","2009-08-11",14.8
"23","2009-08-12",14.8
"24","2009-08-13",14.87
"25","2009-08-14",14.78
"26","2009-08-17",15.02
"27","2009-08-18",15.15
"28","2009-08-19",15.6
"29","2009-08-20",15.98
"30","2009-08-21",16.110001
"31","2009-08-24",15.93
"32","2009-08-25",15.98
"33","2009-08-26",15.99
"34","2009-08-27",16.049999
"35","2009-08-28",16
"36","2009-08-31",15.99
"37","2009-09-01",15.97
"38","2009-09-02",16.02
"39","2009-09-03",16.1
"40","2009-09-04",16.059999
"41","2009-09-08",16.049999
"42","2009-09-09",16.02
"43","2009-09-10",16
"44","2009-09-11",16
"45","2009-09-14",16.200001
"46","2009-09-15",16.01
"47","2009-09-16",16.23
"48","2009-09-17",16.01
"49","2009-09-18",15.97
"50","2009-09-21",16.030001
"51","2009-09-22",16.040001
"52","2009-09-23",15.94
"53","2009-09-24",15.95
"54","2009-09-25",15.97
"55","2009-09-28",16
"56","2009-09-29",16.08
"57","2009-09-30",15.68
"58","2009-10-01",15.73
"59","2009-10-02",15.75
"60","2009-10-05",15.69
"61","2009-10-06",15.86
"62","2009-10-07",15.88
"63","2009-10-08",15.85
"64","2009-10-09",15.96
"65","2009-10-12",15.93
"66","2009-10-13",15.95
"67","2009-10-14",16.440001
"68","2009-10-15",16.43
"69","2009-10-16",16.33
"70","2009-10-19",16.629999
"71","2009-10-20",16.629999
"72","2009-10-21",16.290001
"73","2009-10-22",16.33
"74","2009-10-23",16.08
"75","2009-10-26",16.1
"76","2009-10-27",16.18
"77","2009-10-28",16.17
"78","2009-10-29",16.530001
"79","2009-10-30",16.49
"80","2009-11-02",16.790001
"81","2009-11-03",16.940001
"82","2009-11-04",16.549999
"83","2009-11-05",17.030001
"84","2009-11-06",17.1
"85","2009-11-09",17.15
"86","2009-11-10",17.01
"87","2009-11-11",17.110001
"88","2009-11-12",16.59
"89","2009-11-13",16.700001
"90","2009-11-16",17.120001
"91","2009-11-17",17.200001
"92","2009-11-18",17.360001
"93","2009-11-19",17.209999
"94","2009-11-20",17.09
"95","2009-11-23",17.139999
"96","2009-11-24",17.209999
"97","2009-11-25",16.98
"98","2009-11-27",16.77
"99","2009-11-30",16.98
"100","2009-12-01",17.15
"101","2009-12-02",17.200001
"102","2009-12-03",16.969999
"103","2009-12-04",17.17
"104","2009-12-07",17.33
"105","2009-12-08",17.01
"106","2009-12-09",17.17
"107","2009-12-10",17.23
"108","2009-12-11",17.33
"109","2009-12-14",17.690001
"110","2009-12-15",17.51
"111","2009-12-16",18.059999
"112","2009-12-17",18.459999
"113","2009-12-18",18.85
"114","2009-12-21",18.6
"115","2009-12-22",18.65
"116","2009-12-23",18.690001
"117","2009-12-24",18.719999
"118","2009-12-28",18.66
"119","2009-12-29",18.68
"120","2009-12-30",18.389999
"121","2009-12-31",18.049999
"122","2010-01-04",18.65
"123","2010-01-05",18.110001
"124","2010-01-06",17.799999
"125","2010-01-07",17.870001
"126","2010-01-08",17.85
"127","2010-01-11",17.950001
"128","2010-01-12",17.950001
"129","2010-01-13",17.969999
"130","2010-01-14",17.959999
"131","2010-01-15",18
"132","2010-01-19",18.49
"133","2010-01-20",18.540001
"134","2010-01-21",18.139999
"135","2010-01-22",17.75
"136","2010-01-25",18.120001
"137","2010-01-26",18.35
"138","2010-01-27",18.790001
"139","2010-01-28",18.75
"140","2010-01-29",18.700001
"141","2010-02-01",18.4
"142","2010-02-02",18
"143","2010-02-03",17.76
"144","2010-02-04",17.719999
"145","2010-02-05",18.030001
"146","2010-02-08",18.280001
"147","2010-02-09",18.73
"148","2010-02-10",18.93
"149","2010-02-11",19.35
"150","2010-02-12",19.370001
"151","2010-02-16",19.25
"152","2010-02-17",19.41
"153","2010-02-18",19.73
"154","2010-02-19",19.709999
"155","2010-02-22",19.6
"156","2010-02-23",19.58
"157","2010-02-24",19.719999
"158","2010-02-25",19.870001
"159","2010-02-26",19.780001
"160","2010-03-01",20.07
"161","2010-03-02",20.25
"162","2010-03-03",20.17
"163","2010-03-04",20.540001
"164","2010-03-05",20.98
"165","2010-03-08",21.17
"166","2010-03-09",20.75
"167","2010-03-10",20.969999
"168","2010-03-11",20.59
"169","2010-03-12",20.360001
"170","2010-03-15",20.549999
"171","2010-03-16",20.1
"172","2010-03-17",20.09
