"","date","TEAM"
"1","2015-12-09",21
"2","2015-12-10",27.780001
"3","2015-12-11",27.5
"4","2015-12-14",26.26
"5","2015-12-15",26.5
"6","2015-12-16",26.540001
"7","2015-12-17",28.01
"8","2015-12-18",28.219999
"9","2015-12-21",29.35
"10","2015-12-22",30.1
"11","2015-12-23",28.49
"12","2015-12-24",28.209999
"13","2015-12-28",28.9
"14","2015-12-29",31.1
"15","2015-12-30",30.209999
"16","2015-12-31",30.08
"17","2016-01-04",27.41
"18","2016-01-05",26.77
"19","2016-01-06",27.049999
"20","2016-01-07",26.969999
"21","2016-01-08",27.17
"22","2016-01-11",27.120001
"23","2016-01-12",26.82
"24","2016-01-13",26.73
"25","2016-01-14",26.84
"26","2016-01-15",25.190001
"27","2016-01-19",24.02
"28","2016-01-20",22.629999
"29","2016-01-21",24.24
"30","2016-01-22",24.610001
"31","2016-01-25",23.67
"32","2016-01-26",24.01
"33","2016-01-27",22.280001
"34","2016-01-28",20.389999
"35","2016-01-29",20.77
"36","2016-02-01",21.17
"37","2016-02-02",21.34
"38","2016-02-03",23.77
"39","2016-02-04",24
"40","2016-02-05",20.190001
"41","2016-02-08",17.92
"42","2016-02-09",18.92
"43","2016-02-10",20.059999
"44","2016-02-11",20.35
"45","2016-02-12",20.1
"46","2016-02-16",22.18
"47","2016-02-17",23.35
"48","2016-02-18",22
"49","2016-02-19",22.129999
"50","2016-02-22",22.110001
"51","2016-02-23",22.51
"52","2016-02-24",22.559999
"53","2016-02-25",23.535
"54","2016-02-26",23.299999
"55","2016-02-29",23.77
"56","2016-03-01",23.6
"57","2016-03-02",24.16
"58","2016-03-03",23
"59","2016-03-04",23.02
"60","2016-03-07",23.030001
"61","2016-03-08",22.360001
"62","2016-03-09",21.77
"63","2016-03-10",22.219999
"64","2016-03-11",22.969999
"65","2016-03-14",22.73
"66","2016-03-15",23.5
"67","2016-03-16",24.190001
"68","2016-03-17",24.42
"69","2016-03-18",23.24
"70","2016-03-21",23.92
"71","2016-03-22",24.690001
"72","2016-03-23",24.629999
"73","2016-03-24",23.82
"74","2016-03-28",24.01
"75","2016-03-29",24.110001
"76","2016-03-30",23.74
"77","2016-03-31",25.15
"78","2016-04-01",23.690001
"79","2016-04-04",24.1
"80","2016-04-05",23.48
"81","2016-04-06",23.549999
"82","2016-04-07",23.059999
"83","2016-04-08",23.24
"84","2016-04-11",23.23
"85","2016-04-12",23.110001
"86","2016-04-13",23.57
"87","2016-04-14",22.940001
"88","2016-04-15",22.610001
"89","2016-04-18",23.299999
"90","2016-04-19",23.4
"91","2016-04-20",23.610001
"92","2016-04-21",24.299999
"93","2016-04-22",23.82
"94","2016-04-25",23.91
"95","2016-04-26",24.1
"96","2016-04-27",23.66
"97","2016-04-28",23.190001
"98","2016-04-29",23.17
"99","2016-05-02",24.17
"100","2016-05-03",23.780001
"101","2016-05-04",23.280001
"102","2016-05-05",23.02
"103","2016-05-06",21.83
"104","2016-05-09",21.09
"105","2016-05-10",21.809999
"106","2016-05-11",22.01
"107","2016-05-12",21.58
"108","2016-05-13",21.93
"109","2016-05-16",22.030001
"110","2016-05-17",21.73
"111","2016-05-18",22.120001
"112","2016-05-19",21.799999
"113","2016-05-20",22.690001
"114","2016-05-23",22.370001
"115","2016-05-24",22.82
"116","2016-05-25",23.02
"117","2016-05-26",22.91
"118","2016-05-27",22.780001
"119","2016-05-31",22.57
"120","2016-06-01",23.93
"121","2016-06-02",24.950001
"122","2016-06-03",24.15
"123","2016-06-06",24.360001
"124","2016-06-07",23.459999
"125","2016-06-08",23.790001
"126","2016-06-09",23.99
"127","2016-06-10",23.84
"128","2016-06-13",24.35
"129","2016-06-14",24.52
"130","2016-06-15",25.99
"131","2016-06-16",25.5
"132","2016-06-17",25.809999
"133","2016-06-20",26.26
"134","2016-06-21",25.99
"135","2016-06-22",26.190001
"136","2016-06-23",26.780001
"137","2016-06-24",25.9
"138","2016-06-27",24.950001
"139","2016-06-28",25.379999
"140","2016-06-29",25.809999
"141","2016-06-30",25.9
"142","2016-07-01",25.620001
"143","2016-07-05",26.17
"144","2016-07-06",26.969999
"145","2016-07-07",26.58
"146","2016-07-08",26.98
"147","2016-07-11",27.219999
"148","2016-07-12",27.299999
"149","2016-07-13",27.110001
"150","2016-07-14",27.35
"151","2016-07-15",27.4
"152","2016-07-18",27.200001
"153","2016-07-19",27.51
"154","2016-07-20",28.02
"155","2016-07-21",27.73
"156","2016-07-22",28.16
"157","2016-07-25",28.4
"158","2016-07-26",28.700001
"159","2016-07-27",29
"160","2016-07-28",29.74
"161","2016-07-29",29.969999
"162","2016-08-01",29.84
"163","2016-08-02",29.33
"164","2016-08-03",29.790001
"165","2016-08-04",30.040001
"166","2016-08-05",31.969999
"167","2016-08-08",30.49
"168","2016-08-09",30.66
"169","2016-08-10",29.950001
"170","2016-08-11",29.98
"171","2016-08-12",30
"172","2016-08-15",30.33
"173","2016-08-16",29.950001
"174","2016-08-17",29.629999
"175","2016-08-18",29.709999
"176","2016-08-19",29.42
"177","2016-08-22",28.969999
"178","2016-08-23",28.969999
"179","2016-08-24",28.74
"180","2016-08-25",28.93
"181","2016-08-26",28.940001
"182","2016-08-29",29.02
"183","2016-08-30",29.700001
"184","2016-08-31",29.48
"185","2016-09-01",29.969999
"186","2016-09-02",30.1
"187","2016-09-06",30.42
"188","2016-09-07",30.639999
"189","2016-09-08",30.67
"190","2016-09-09",29.48
"191","2016-09-12",30.23
"192","2016-09-13",29.49
"193","2016-09-14",29.73
"194","2016-09-15",30.01
"195","2016-09-16",30
"196","2016-09-19",30.290001
