"","date","TEVA"
"1","2007-01-03",31.26
"2","2007-01-04",31.639999
"3","2007-01-05",32.209999
"4","2007-01-08",32.880001
"5","2007-01-09",32.82
"6","2007-01-10",32.889999
"7","2007-01-11",32.630001
"8","2007-01-12",32.73
"9","2007-01-16",32.900002
"10","2007-01-17",32.880001
"11","2007-01-18",33.93
"12","2007-01-19",34.169998
"13","2007-01-22",34.689999
"14","2007-01-23",34.959999
"15","2007-01-24",34.73
"16","2007-01-25",34.400002
"17","2007-01-26",34.610001
"18","2007-01-29",34.759998
"19","2007-01-30",34.759998
"20","2007-01-31",35.099998
"21","2007-02-01",35.43
"22","2007-02-02",35.32
"23","2007-02-05",35.049999
"24","2007-02-06",34.880001
"25","2007-02-07",34.82
"26","2007-02-08",34.91
"27","2007-02-09",35
"28","2007-02-12",35.360001
"29","2007-02-13",36.950001
"30","2007-02-14",37.959999
"31","2007-02-15",37.400002
"32","2007-02-16",37.709999
"33","2007-02-20",38.119999
"34","2007-02-21",38.34
"35","2007-02-22",37.740002
"36","2007-02-23",37.630001
"37","2007-02-26",37.509998
"38","2007-02-27",35.509998
"39","2007-02-28",35.560001
"40","2007-03-01",34.810001
"41","2007-03-02",34.700001
"42","2007-03-05",34.73
"43","2007-03-06",36.029999
"44","2007-03-07",36.200001
"45","2007-03-08",36.580002
"46","2007-03-09",36.560001
"47","2007-03-12",36.599998
"48","2007-03-13",35.799999
"49","2007-03-14",36.360001
"50","2007-03-15",36.27
"51","2007-03-16",36.549999
"52","2007-03-19",36.540001
"53","2007-03-20",36.580002
"54","2007-03-21",37.32
"55","2007-03-22",36.970001
"56","2007-03-23",37.240002
"57","2007-03-26",37.240002
"58","2007-03-27",36.810001
"59","2007-03-28",36.689999
"60","2007-03-29",36.849998
"61","2007-03-30",37.43
"62","2007-04-02",37.41
"63","2007-04-03",37.950001
"64","2007-04-04",37.98
"65","2007-04-05",37.900002
"66","2007-04-09",37.810001
"67","2007-04-10",37.990002
"68","2007-04-11",37.610001
"69","2007-04-12",37.099998
"70","2007-04-13",37.139999
"71","2007-04-16",36.939999
"72","2007-04-17",37.209999
"73","2007-04-18",37.290001
"74","2007-04-19",37.150002
"75","2007-04-20",36.810001
"76","2007-04-23",36.16
"77","2007-04-24",36.91
"78","2007-04-25",37.720001
"79","2007-04-26",39.099998
"80","2007-04-27",39.009998
"81","2007-04-30",38.310001
"82","2007-05-01",38.950001
"83","2007-05-02",39.580002
"84","2007-05-03",39.23
"85","2007-05-04",39.150002
"86","2007-05-07",38.900002
"87","2007-05-08",38.66
