"","date","TGI"
"1","2007-01-03",26.4
"2","2007-01-04",26.465
"3","2007-01-05",26.205
"4","2007-01-08",26.959999
"5","2007-01-09",26.865
"6","2007-01-10",26.775
"7","2007-01-11",27
"8","2007-01-12",26.674999
"9","2007-01-16",27.745001
"10","2007-01-17",26.885
"11","2007-01-18",26.415001
"12","2007-01-19",26.745001
"13","2007-01-22",26.15
"14","2007-01-23",26.584999
"15","2007-01-24",27
"16","2007-01-25",27.075001
"17","2007-01-26",27.514999
"18","2007-01-29",28.040001
"19","2007-01-30",28.25
"20","2007-01-31",28.1
"21","2007-02-01",28.465
"22","2007-02-02",28.209999
"23","2007-02-05",27.969999
"24","2007-02-06",27.975
"25","2007-02-07",27.709999
"26","2007-02-08",28.200001
"27","2007-02-09",27.485001
"28","2007-02-12",27.58
"29","2007-02-13",27.725
"30","2007-02-14",27.545
"31","2007-02-15",27.549999
"32","2007-02-16",27.549999
"33","2007-02-20",28.059999
"34","2007-02-21",27.905001
"35","2007-02-22",27.665001
"36","2007-02-23",27.545
"37","2007-02-26",27.565001
"38","2007-02-27",26.5
"39","2007-02-28",26.745001
"40","2007-03-01",26.549999
"41","2007-03-02",26.344999
"42","2007-03-05",25.985001
"43","2007-03-06",26.57
"44","2007-03-07",26.525
"45","2007-03-08",26.5
"46","2007-03-09",26.934999
"47","2007-03-12",27.245001
"48","2007-03-13",26.43
"49","2007-03-14",26.73
"50","2007-03-15",27.215
"51","2007-03-16",27.139999
"52","2007-03-19",27.395
"53","2007-03-20",27.34
"54","2007-03-21",27.985001
"55","2007-03-22",28
"56","2007-03-23",27.764999
"57","2007-03-26",28.209999
"58","2007-03-27",27.9
"59","2007-03-28",27.344999
"60","2007-03-29",27.424999
"61","2007-03-30",27.67
"62","2007-04-02",28.290001
"63","2007-04-03",28.315001
"64","2007-04-04",28.355
"65","2007-04-05",28.325001
"66","2007-04-09",27.389999
"67","2007-04-10",27.455
"68","2007-04-11",28.299999
"69","2007-04-12",28.59
"70","2007-04-13",28.5
"71","2007-04-16",28.969999
"72","2007-04-17",28.93
"73","2007-04-18",29.01
"74","2007-04-19",29.035
"75","2007-04-20",29.049999
"76","2007-04-23",28.855
"77","2007-04-24",29.129999
"78","2007-04-25",29.200001
"79","2007-04-26",29.334999
"80","2007-04-27",29.700001
"81","2007-04-30",30.405001
"82","2007-05-01",30.49
"83","2007-05-02",30.879999
"84","2007-05-03",30.120001
"85","2007-05-04",31.665001
"86","2007-05-07",31.280001
"87","2007-05-08",31.215
"88","2007-05-09",31.315001
"89","2007-05-10",31.014999
"90","2007-05-11",31.48
"91","2007-05-14",31.25
"92","2007-05-15",31.344999
"93","2007-05-16",32.174999
"94","2007-05-17",32.810001
"95","2007-05-18",32.834999
"96","2007-05-21",33.455002
"97","2007-05-22",33.165001
"98","2007-05-23",32.75
"99","2007-05-24",32.470001
"100","2007-05-25",33.185001
"101","2007-05-29",33.395
"102","2007-05-30",33.424999
"103","2007-05-31",33.040001
"104","2007-06-01",32.889999
"105","2007-06-04",32.575001
"106","2007-06-05",32.634998
"107","2007-06-06",32.494999
"108","2007-06-07",32.505001
"109","2007-06-08",33.369999
"110","2007-06-11",33.185001
"111","2007-06-12",33.125
"112","2007-06-13",33.535
"113","2007-06-14",34.055
"114","2007-06-15",34.470001
"115","2007-06-18",34.224998
"116","2007-06-19",33.860001
"117","2007-06-20",33.290001
"118","2007-06-21",33.490002
"119","2007-06-22",33.200001
"120","2007-06-25",32.865002
"121","2007-06-26",32.720001
"122","2007-06-27",32.470001
"123","2007-06-28",32.860001
"124","2007-06-29",32.735001
"125","2007-07-02",33.279999
"126","2007-07-03",33.465
"127","2007-07-05",33.724998
"128","2007-07-06",33.919998
"129","2007-07-09",35.099998
"130","2007-07-10",34.825001
"131","2007-07-11",34.665001
"132","2007-07-12",35.389999
"133","2007-07-13",35.34
"134","2007-07-16",35.125
"135","2007-07-17",35.139999
"136","2007-07-18",35.150002
"137","2007-07-19",35.84
"138","2007-07-20",35.419998
"139","2007-07-23",35.209999
"140","2007-07-24",34.755001
"141","2007-07-25",34.990002
"142","2007-07-26",37.700001
"143","2007-07-27",37.904999
"144","2007-07-30",38.875
"145","2007-07-31",38.105
"146","2007-08-01",37.845001
"147","2007-08-02",40.25
"148","2007-08-03",39.615002
"149","2007-08-06",40.174999
"150","2007-08-07",40.654999
"151","2007-08-08",38.720001
"152","2007-08-09",37.415001
"153","2007-08-10",39.66
"154","2007-08-13",38.939999
"155","2007-08-14",37.275002
"156","2007-08-15",36
"157","2007-08-16",35.150002
"158","2007-08-17",36.875
"159","2007-08-20",37.224998
"160","2007-08-21",37.154999
"161","2007-08-22",38.435001
"162","2007-08-23",37.380001
"163","2007-08-24",37.799999
"164","2007-08-27",37.439999
"165","2007-08-28",35.825001
"166","2007-08-29",37.18
"167","2007-08-30",36.450001
"168","2007-08-31",36.605
"169","2007-09-04",37.369999
"170","2007-09-05",37.279999
"171","2007-09-06",37
"172","2007-09-07",36.125
"173","2007-09-10",36.220001
"174","2007-09-11",37.330002
"175","2007-09-12",37.605
"176","2007-09-13",38.23
"177","2007-09-14",40.5
"178","2007-09-17",40.43
"179","2007-09-18",41
"180","2007-09-19",40.805
"181","2007-09-20",41.174999
"182","2007-09-21",40.959999
"183","2007-09-24",40.369999
"184","2007-09-25",40.830002
"185","2007-09-26",41.43
"186","2007-09-27",42.16
"187","2007-09-28",40.855
"188","2007-10-01",41.029999
"189","2007-10-02",41.224998
"190","2007-10-03",40.919998
"191","2007-10-04",41.060001
"192","2007-10-05",41.189999
"193","2007-10-08",42.825001
"194","2007-10-09",42.625
"195","2007-10-10",41.639999
"196","2007-10-11",40.639999
"197","2007-10-12",40.75
"198","2007-10-15",39.915001
"199","2007-10-16",40.075001
"200","2007-10-17",39.875
"201","2007-10-18",40.009998
"202","2007-10-19",39.174999
"203","2007-10-22",37.965
"204","2007-10-23",39.41
"205","2007-10-24",39.5
"206","2007-10-25",38.514999
"207","2007-10-26",38.16
"208","2007-10-29",39.240002
"209","2007-10-30",39.685001
"210","2007-10-31",39.810001
"211","2007-11-01",38.125
"212","2007-11-02",38.150002
"213","2007-11-05",38.275002
"214","2007-11-06",39.060001
"215","2007-11-07",37.474998
"216","2007-11-08",38.389999
"217","2007-11-09",37.25
"218","2007-11-12",36.029999
"219","2007-11-13",38.855
"220","2007-11-14",38.080002
"221","2007-11-15",37.615002
"222","2007-11-16",38.625
"223","2007-11-19",38.755001
"224","2007-11-20",37.84
"225","2007-11-21",38.099998
"226","2007-11-23",39.025002
"227","2007-11-26",38.465
"228","2007-11-27",39.169998
"229","2007-11-28",39.950001
"230","2007-11-29",40.125
"231","2007-11-30",40.630001
"232","2007-12-03",40.799999
"233","2007-12-04",40.134998
"234","2007-12-05",41.224998
"235","2007-12-06",41.005001
"236","2007-12-07",41.130001
"237","2007-12-10",41.014999
"238","2007-12-11",39.935001
"239","2007-12-12",39.654999
"240","2007-12-13",39.535
"241","2007-12-14",39.439999
"242","2007-12-17",37.775002
"243","2007-12-18",38.404999
"244","2007-12-19",38.494999
"245","2007-12-20",39.5
"246","2007-12-21",39.715
"247","2007-12-24",40.540001
"248","2007-12-26",41.360001
"249","2007-12-27",41.16
"250","2007-12-28",41.389999
"251","2007-12-31",41.174999
"252","2008-01-02",40.505001
"253","2008-01-03",40.59
"254","2008-01-04",39.310001
"255","2008-01-07",38.470001
"256","2008-01-08",36.404999
"257","2008-01-09",35.380001
"258","2008-01-10",35.764999
"259","2008-01-11",33.830002
"260","2008-01-14",32.459999
"261","2008-01-15",31.325001
"262","2008-01-16",30.32
"263","2008-01-17",29.35
"264","2008-01-18",29.205
"265","2008-01-22",28.9
"266","2008-01-23",26.559999
"267","2008-01-24",28.73
"268","2008-01-25",25.235001
"269","2008-01-28",25.514999
"270","2008-01-29",25.84
"271","2008-01-30",25.965
"272","2008-01-31",27
"273","2008-02-01",27.375
"274","2008-02-04",27.565001
"275","2008-02-05",27.799999
"276","2008-02-06",27.959999
"277","2008-02-07",28.540001
"278","2008-02-08",28
"279","2008-02-11",27.959999
"280","2008-02-12",28.4
"281","2008-02-13",29.66
"282","2008-02-14",28.860001
"283","2008-02-15",28.75
"284","2008-02-19",28.91
"285","2008-02-20",28.85
"286","2008-02-21",28.98
"287","2008-02-22",28.65
"288","2008-02-25",28.610001
"289","2008-02-26",28.6
"290","2008-02-27",28.389999
"291","2008-02-28",28.295
"292","2008-02-29",28.295
"293","2008-03-03",28.41
"294","2008-03-04",28.254999
"295","2008-03-05",28.49
"296","2008-03-06",28.205
"297","2008-03-07",28.025
"298","2008-03-10",26.995001
"299","2008-03-11",27.59
"300","2008-03-12",27.295
"301","2008-03-13",26.745001
"302","2008-03-14",26.395
"303","2008-03-17",26.025
"304","2008-03-18",27.934999
"305","2008-03-19",27.4
"306","2008-03-20",27.110001
"307","2008-03-24",28.110001
"308","2008-03-25",28.129999
"309","2008-03-26",28.365
