"","date","TISI"
"1","2007-01-03",16.799999
"2","2007-01-04",16.68
"3","2007-01-05",14.925
"4","2007-01-08",15.885
"5","2007-01-09",16.594999
"6","2007-01-10",16.295
"7","2007-01-11",16.955
"8","2007-01-12",16.91
"9","2007-01-16",17.025
"10","2007-01-17",17.07
"11","2007-01-18",16.35
"12","2007-01-19",16.889999
"13","2007-01-22",16.275
"14","2007-01-23",16.815001
"15","2007-01-24",16.924999
"16","2007-01-25",16.895
"17","2007-01-26",16.610001
"18","2007-01-29",16.950001
"19","2007-01-30",16.83
"20","2007-01-31",17.075001
"21","2007-02-01",17.1
"22","2007-02-02",17.205
"23","2007-02-05",17.065001
"24","2007-02-06",17.1
"25","2007-02-07",17.4
"26","2007-02-08",17.15
"27","2007-02-09",17.184999
"28","2007-02-12",17.17
"29","2007-02-13",17.15
"30","2007-02-14",17.889999
"31","2007-02-15",17.6
"32","2007-02-16",18.129999
"33","2007-02-20",18.379999
"34","2007-02-21",18.35
"35","2007-02-22",18.355
"36","2007-02-23",18.16
"37","2007-02-26",17.65
"38","2007-02-27",17.219999
"39","2007-02-28",17.08
"40","2007-03-01",17.25
"41","2007-03-02",16.9
"42","2007-03-05",16.190001
"43","2007-03-06",17.629999
"44","2007-03-07",17.43
"45","2007-03-08",17.405001
"46","2007-03-09",17.655001
"47","2007-03-12",17.655001
"48","2007-03-13",17.495001
"49","2007-03-14",17.355
"50","2007-03-15",17.445
"51","2007-03-16",17.434999
"52","2007-03-19",17.215
"53","2007-03-20",17.4
"54","2007-03-21",18.125
"55","2007-03-22",18.235001
"56","2007-03-23",19.030001
"57","2007-03-26",19.08
"58","2007-03-27",19.825001
"59","2007-03-28",18.975
"60","2007-03-29",18.700001
"61","2007-03-30",19.075001
"62","2007-04-02",18.139999
"63","2007-04-03",18.940001
"64","2007-04-04",18.615
"65","2007-04-05",17.309999
"66","2007-04-09",18.049999
"67","2007-04-10",17.68
"68","2007-04-11",17.575001
"69","2007-04-12",17.315001
"70","2007-04-13",17.754999
"71","2007-04-16",18.51
"72","2007-04-17",18.129999
"73","2007-04-18",17.465
"74","2007-04-19",17.135
"75","2007-04-20",17.33
"76","2007-04-23",17.35
"77","2007-04-24",17.049999
"78","2007-04-25",17.684999
"79","2007-04-26",17.655001
"80","2007-04-27",17.74
"81","2007-04-30",17.209999
"82","2007-05-01",17.209999
"83","2007-05-02",18.190001
"84","2007-05-03",18.59
"85","2007-05-04",17.745001
"86","2007-05-07",18.18
"87","2007-05-08",18.395
"88","2007-05-09",18.24
"89","2007-05-10",17.715
"90","2007-05-11",17.780001
"91","2007-05-14",18
"92","2007-05-15",17.805
"93","2007-05-16",18.245001
"94","2007-05-17",18.25
