"","date","TMX"
"1","2014-08-11",0.003
"2","2014-08-12",0.003
"3","2014-08-13",0.003
"4","2014-08-14",0.003
"5","2014-08-15",0.003
"6","2014-08-18",0.003
"7","2014-08-19",0.003
"8","2014-08-20",0.003
"9","2014-08-21",0.003
"10","2014-08-22",0.003
"11","2014-08-25",0.003
"12","2014-08-26",0.003
"13","2014-08-27",0.003
"14","2014-08-28",0.002
"15","2014-08-29",0.003
"16","2014-09-02",0.003
"17","2014-09-03",0.003
"18","2014-09-04",0.003
"19","2014-09-05",0.003
"20","2014-09-08",0.003
"21","2014-09-09",0.003
"22","2014-09-10",0.003
"23","2014-09-11",0.003
"24","2014-09-12",0.003
"25","2014-09-15",0.003
"26","2014-09-16",0.004
"27","2014-09-17",0.004
"28","2014-09-18",0.004
"29","2014-09-19",0.004
"30","2014-09-22",0.003
"31","2014-09-23",0.003
"32","2014-09-24",0.003
"33","2014-09-25",0.003
"34","2014-09-26",0.003
"35","2014-09-29",NA
"36","2014-09-30",NA
"37","2014-10-01",NA
"38","2014-10-02",NA
"39","2014-10-03",NA
"40","2014-10-06",NA
"41","2014-10-07",NA
"42","2014-10-08",NA
"43","2014-10-09",NA
"44","2014-10-10",NA
"45","2014-10-13",NA
"46","2014-10-14",NA
"47","2014-10-15",NA
"48","2014-10-16",NA
"49","2014-10-17",NA
"50","2014-10-20",NA
"51","2014-10-21",NA
"52","2014-10-22",NA
"53","2014-10-23",NA
"54","2014-10-24",NA
"55","2014-10-27",NA
"56","2014-10-28",NA
"57","2014-10-29",NA
"58","2014-10-30",NA
"59","2014-10-31",NA
"60","2014-11-03",NA
"61","2014-11-04",NA
"62","2014-11-05",NA
"63","2014-11-06",0.003
"64","2014-11-07",0.003
"65","2014-11-10",0.003
"66","2014-11-11",0.003
"67","2014-11-12",0.003
"68","2014-11-13",0.003
"69","2014-11-14",0.003
"70","2014-11-17",0.003
"71","2014-11-18",0.003
"72","2014-11-19",0.002
"73","2014-11-20",0.002
"74","2014-11-21",0.002
"75","2014-11-24",0.002
"76","2014-11-25",0.002
"77","2014-11-26",0.002
"78","2014-11-28",0.002
"79","2014-12-01",0.003
"80","2014-12-02",0.003
"81","2014-12-03",0.005
"82","2014-12-04",0.008
"83","2014-12-05",0.007
"84","2014-12-08",0.007
"85","2014-12-09",9500
"86","2014-12-10",0.008
"87","2014-12-11",0.008
"88","2014-12-12",0.008
"89","2014-12-15",0.007
"90","2014-12-16",0.006
"91","2014-12-17",0.006
"92","2014-12-18",9500
"93","2014-12-19",9500
"94","2014-12-22",9500
"95","2014-12-23",9500
"96","2014-12-24",9500
"97","2014-12-26",10400
"98","2014-12-29",11400
"99","2014-12-30",12500
"100","2014-12-31",13500
"101","2015-01-02",13500
"102","2015-01-05",12200
"103","2015-01-06",11000
"104","2015-01-07",11000
"105","2015-01-08",9900
"106","2015-01-09",9500
"107","2015-01-12",9500
"108","2015-01-13",10400
"109","2015-01-14",10400
"110","2015-01-15",9800
"111","2015-01-16",10500
"112","2015-01-20",10500
"113","2015-01-21",10500
"114","2015-01-22",10500
"115","2015-01-23",10500
"116","2015-01-26",11000
"117","2015-01-27",11000
"118","2015-01-28",10000
"119","2015-01-29",10000
"120","2015-01-30",10000
"121","2015-02-02",10000
"122","2015-02-03",10000
"123","2015-02-04",10000
"124","2015-02-05",10000
"125","2015-02-06",10000
"126","2015-02-09",10100
"127","2015-02-10",10100
"128","2015-02-11",10100
"129","2015-02-12",10100
"130","2015-02-13",10100
"131","2015-02-17",0.004
"132","2015-02-18",10100
"133","2015-02-19",10100
"134","2015-02-20",10100
"135","2015-02-23",10100
"136","2015-02-24",10100
"137","2015-02-25",10100
"138","2015-02-26",10100
"139","2015-02-27",10100
"140","2015-03-02",10100
"141","2015-03-03",10100
"142","2015-03-04",10100
"143","2015-03-05",10100
"144","2015-03-06",10100
"145","2015-03-09",10100
"146","2015-03-10",10100
"147","2015-03-11",10200
"148","2015-03-12",10200
"149","2015-03-13",10200
"150","2015-03-16",10200
"151","2015-03-17",11000
"152","2015-03-18",9900
"153","2015-03-19",9900
"154","2015-03-20",9900
"155","2015-03-23",10800
"156","2015-03-24",10800
"157","2015-03-25",10800
"158","2015-03-26",10800
"159","2015-03-27",10800
"160","2015-03-30",10800
"161","2015-03-31",10800
"162","2015-04-01",10800
"163","2015-04-02",10800
"164","2015-04-06",10800
"165","2015-04-07",10800
"166","2015-04-08",10800
"167","2015-04-09",10800
"168","2015-04-10",10800
"169","2015-04-13",10800
"170","2015-04-14",10800
"171","2015-04-15",10800
"172","2015-04-16",10800
"173","2015-04-17",10800
"174","2015-04-20",10800
"175","2015-04-21",10800
"176","2015-04-22",10800
"177","2015-04-23",10800
"178","2015-04-24",10800
"179","2015-04-27",10800
"180","2015-04-28",10800
"181","2015-04-29",10800
"182","2015-04-30",10800
"183","2015-05-01",10800
"184","2015-05-04",10800
"185","2015-05-05",10800
"186","2015-05-06",10800
"187","2015-05-07",10800
"188","2015-05-08",10800
"189","2015-05-11",10800
"190","2015-05-12",10800
"191","2015-05-13",10800
"192","2015-05-14",10800
"193","2015-05-15",10800
"194","2015-05-18",10800
"195","2015-05-19",10800
"196","2015-05-20",10800
"197","2015-05-21",10000
"198","2015-05-22",10000
"199","2015-05-26",10000
"200","2015-05-27",10000
"201","2015-05-28",10000
"202","2015-05-29",10000
"203","2015-06-01",10000
"204","2015-06-02",10000
"205","2015-06-03",10000
"206","2015-06-04",10000
"207","2015-06-05",10000
"208","2015-06-08",10000
"209","2015-06-09",10000
"210","2015-06-10",10000
"211","2015-06-11",10000
"212","2015-06-12",10000
"213","2015-06-15",9000
"214","2015-06-16",10000
"215","2015-06-17",10000
"216","2015-06-18",10000
"217","2015-06-19",10000
"218","2015-06-22",9000
"219","2015-06-23",9000
"220","2015-06-24",9000
"221","2015-06-25",9000
"222","2015-06-26",9000
"223","2015-06-29",9000
"224","2015-06-30",9000
"225","2015-07-01",9000
"226","2015-07-02",9000
"227","2015-07-06",9000
"228","2015-07-07",9000
"229","2015-07-08",9000
"230","2015-07-09",9000
"231","2015-07-10",9000
"232","2015-07-13",9000
"233","2015-07-14",9000
"234","2015-07-15",9000
"235","2015-07-16",9000
"236","2015-07-17",9000
"237","2015-07-20",9000
"238","2015-07-21",9000
"239","2015-07-22",9000
"240","2015-07-23",9000
"241","2015-07-24",9000
"242","2015-07-27",9800
"243","2015-07-28",9900
"244","2015-07-29",9000
"245","2015-07-30",9000
"246","2015-07-31",9000
"247","2015-08-03",9000
"248","2015-08-04",9000
"249","2015-08-05",9000
"250","2015-08-06",9000
"251","2015-08-07",9000
"252","2015-08-10",9000
"253","2015-08-11",9000
"254","2015-08-12",9000
"255","2015-08-13",9000
"256","2015-08-14",9000
"257","2015-08-17",9000
"258","2015-08-18",9000
"259","2015-08-19",9000
"260","2015-08-20",9000
"261","2015-08-21",9000
"262","2015-08-24",9000
"263","2015-08-25",9000
"264","2015-08-26",9000
"265","2015-08-27",9000
"266","2015-08-28",9000
"267","2015-08-31",9000
"268","2015-09-01",9000
"269","2015-09-02",9000
"270","2015-09-03",9000
"271","2015-09-04",9000
"272","2015-09-08",9000
"273","2015-09-09",8300
"274","2015-09-10",7500
"275","2015-09-11",7500
"276","2015-09-14",7500
"277","2015-09-15",7500
"278","2015-09-16",6900
"279","2015-09-17",6900
"280","2015-09-18",6900
"281","2015-09-21",6900
"282","2015-09-22",6900
"283","2015-09-23",6900
"284","2015-09-24",6300
"285","2015-09-25",6300
"286","2015-09-28",6300
"287","2015-09-29",5700
"288","2015-09-30",5700
"289","2015-10-01",5700
"290","2015-10-02",5700
"291","2015-10-05",5300
"292","2015-10-06",5300
"293","2015-10-07",5300
"294","2015-10-08",4800
"295","2015-10-09",4800
"296","2015-10-12",4800
"297","2015-10-13",4800
"298","2015-10-14",4800
"299","2015-10-15",4500
"300","2015-10-16",4500
"301","2015-10-19",4500
"302","2015-10-20",4500
"303","2015-10-21",4100
"304","2015-10-22",4100
"305","2015-10-23",4100
"306","2015-10-26",4100
"307","2015-10-27",4100
"308","2015-10-28",4100
"309","2015-10-29",4100
"310","2015-10-30",4100
"311","2015-11-02",4100
"312","2015-11-03",4100
"313","2015-11-04",4100
"314","2015-11-05",4100
"315","2015-11-06",4100
"316","2015-11-09",4100
"317","2015-11-10",4100
"318","2015-11-11",4100
"319","2015-11-12",4100
"320","2015-11-13",4100
"321","2015-11-16",4100
"322","2015-11-17",4100
"323","2015-11-18",4100
"324","2015-11-19",4100
"325","2015-11-20",4100
"326","2015-11-23",4100
"327","2015-11-24",4100
"328","2015-11-25",4100
"329","2015-11-27",4100
"330","2015-11-30",4100
"331","2015-12-01",4100
"332","2015-12-02",4100
"333","2015-12-03",4100
"334","2015-12-04",4100
"335","2015-12-07",4100
"336","2015-12-08",4100
"337","2015-12-09",4100
"338","2015-12-10",4100
"339","2015-12-11",4100
"340","2015-12-14",4100
"341","2015-12-15",4100
"342","2015-12-16",4100
"343","2015-12-17",4100
"344","2015-12-18",4100
"345","2015-12-21",4100
"346","2015-12-22",4100
"347","2015-12-23",4100
"348","2015-12-24",4100
"349","2015-12-28",4100
"350","2015-12-29",4100
"351","2015-12-30",4100
"352","2015-12-31",4100
"353","2016-01-04",4100
"354","2016-01-05",4100
"355","2016-01-06",4100
"356","2016-01-07",4100
"357","2016-01-08",4100
"358","2016-01-11",4100
"359","2016-01-12",3700
"360","2016-01-13",3700
"361","2016-01-14",3700
"362","2016-01-15",3700
"363","2016-01-19",3700
"364","2016-01-20",3700
"365","2016-01-21",3700
"366","2016-01-22",3700
"367","2016-01-25",3700
"368","2016-01-26",3700
"369","2016-01-27",3700
"370","2016-01-28",3700
"371","2016-01-29",3700
"372","2016-02-01",3700
"373","2016-02-02",3700
"374","2016-02-03",3700
"375","2016-02-04",3700
"376","2016-02-05",3700
"377","2016-02-08",3700
"378","2016-02-09",3700
"379","2016-02-10",3700
"380","2016-02-11",3700
"381","2016-02-12",3700
"382","2016-02-16",3700
"383","2016-02-17",3700
"384","2016-02-18",3700
"385","2016-02-19",3700
"386","2016-02-22",3700
"387","2016-02-23",3700
"388","2016-02-24",3700
"389","2016-02-25",3700
"390","2016-02-26",3700
"391","2016-02-29",3700
"392","2016-03-01",3700
"393","2016-03-02",3700
"394","2016-03-03",3700
"395","2016-03-04",3700
"396","2016-03-07",3700
"397","2016-03-08",3700
"398","2016-03-09",3700
"399","2016-03-10",3700
"400","2016-03-11",3700
"401","2016-03-14",3700
"402","2016-03-15",3700
"403","2016-03-16",3700
"404","2016-03-17",3700
"405","2016-03-18",3700
"406","2016-03-21",4000
"407","2016-03-22",4000
"408","2016-03-23",4000
"409","2016-03-24",4000
"410","2016-03-28",4000
"411","2016-03-29",4000
"412","2016-03-30",4000
"413","2016-03-31",4000
"414","2016-04-01",4000
"415","2016-04-04",4000
"416","2016-04-05",4000
"417","2016-04-06",4000
"418","2016-04-07",4000
"419","2016-04-08",4000
"420","2016-04-11",4000
"421","2016-04-12",4000
"422","2016-04-13",4000
"423","2016-04-14",4000
"424","2016-04-15",4000
"425","2016-04-18",4000
"426","2016-04-19",4000
"427","2016-04-20",4000
"428","2016-04-21",4000
"429","2016-04-22",4000
"430","2016-04-25",NA
"431","2016-04-26",4400
"432","2016-04-27",4400
"433","2016-04-28",4400
"434","2016-04-29",4400
"435","2016-05-02",4400
"436","2016-05-03",4400
"437","2016-05-04",4400
"438","2016-05-05",4400
"439","2016-05-06",4800
"440","2016-05-09",4800
"441","2016-05-10",4800
"442","2016-05-11",4800
"443","2016-05-12",4800
"444","2016-05-13",4800
"445","2016-05-16",4800
"446","2016-05-17",4800
"447","2016-05-18",4800
"448","2016-05-19",4800
"449","2016-05-20",4800
"450","2016-05-23",4800
"451","2016-05-24",4800
"452","2016-05-25",4800
"453","2016-05-26",4800
"454","2016-05-27",4800
"455","2016-05-31",4800
"456","2016-06-01",4800
"457","2016-06-02",4800
"458","2016-06-03",4800
"459","2016-06-06",5200
"460","2016-06-07",5200
"461","2016-06-08",5200
"462","2016-06-09",5200
"463","2016-06-10",5200
"464","2016-06-13",5200
"465","2016-06-14",5200
"466","2016-06-15",5200
"467","2016-06-16",5200
"468","2016-06-17",5700
"469","2016-06-20",5700
"470","2016-06-21",5700
"471","2016-06-22",6200
"472","2016-06-23",6800
"473","2016-06-24",6800
"474","2016-06-27",6800
"475","2016-06-28",7400
"476","2016-06-29",8100
"477","2016-06-30",8100
"478","2016-07-01",8100
"479","2016-07-05",9700
"480","2016-07-06",9800
"481","2016-07-07",10700
"482","2016-07-08",11700
"483","2016-07-11",10800
"484","2016-07-12",10800
"485","2016-07-13",10800
"486","2016-07-14",10800
"487","2016-07-15",9800
"488","2016-07-18",9800
"489","2016-07-19",9800
"490","2016-07-20",10000
"491","2016-07-21",11000
"492","2016-07-22",9900
"493","2016-07-25",9900
"494","2016-07-26",0.006
"495","2016-07-27",9900
"496","2016-07-28",10800
"497","2016-07-29",10800
"498","2016-08-01",10800
"499","2016-08-02",10800
"500","2016-08-03",10800
"501","2016-08-04",11800
"502","2016-08-05",11800
"503","2016-08-08",11800
"504","2016-08-09",11800
"505","2016-08-10",11800
"506","2016-08-11",11800
"507","2016-08-12",11800
"508","2016-08-15",11000
"509","2016-08-16",11000
"510","2016-08-17",11000
"511","2016-08-18",9900
"512","2016-08-19",9900
"513","2016-08-22",9000
"514","2016-08-23",9000
"515","2016-08-24",9000
"516","2016-08-25",9000
"517","2016-08-26",9000
"518","2016-08-29",9000
"519","2016-08-30",9000
"520","2016-08-31",9000
"521","2016-09-01",9000
"522","2016-09-02",9000
"523","2016-09-06",9000
"524","2016-09-07",9000
