"","date","TNAV"
"1","2010-05-13",9.8
"2","2010-05-14",9.2
"3","2010-05-17",8.99
"4","2010-05-18",8.4
"5","2010-05-19",8.43
"6","2010-05-20",8.51
"7","2010-05-21",8.79
"8","2010-05-24",8.49
"9","2010-05-25",8.31
"10","2010-05-26",7.85
"11","2010-05-27",8.25
"12","2010-05-28",8.39
"13","2010-06-01",8.5
"14","2010-06-02",8.39
"15","2010-06-03",8.52
"16","2010-06-04",8.53
"17","2010-06-07",8.62
"18","2010-06-08",8.7
"19","2010-06-09",8.6
"20","2010-06-10",8.35
"21","2010-06-11",8.36
"22","2010-06-14",8.38
"23","2010-06-15",8.43
"24","2010-06-16",8.33
"25","2010-06-17",8.33
"26","2010-06-18",8.4
"27","2010-06-21",8.45
"28","2010-06-22",8.79
"29","2010-06-23",8.91
"30","2010-06-24",8.68
"31","2010-06-25",8.62
"32","2010-06-28",8.74
"33","2010-06-29",8.43
"34","2010-06-30",8.39
"35","2010-07-01",8.24
"36","2010-07-02",8.04
"37","2010-07-06",7.97
"38","2010-07-07",8.24
"39","2010-07-08",8.44
"40","2010-07-09",8.75
"41","2010-07-12",8.59
"42","2010-07-13",8.75
"43","2010-07-14",8.48
"44","2010-07-15",8.36
"45","2010-07-16",8.49
"46","2010-07-19",8.58
"47","2010-07-20",8.69
"48","2010-07-21",8.5
"49","2010-07-22",8.61
"50","2010-07-23",8.98
"51","2010-07-26",9.17
"52","2010-07-27",8.91
"53","2010-07-28",8.81
"54","2010-07-29",8.91
"55","2010-07-30",5.44
"56","2010-08-02",5.35
"57","2010-08-03",5.14
"58","2010-08-04",5.09
"59","2010-08-05",4.79
"60","2010-08-06",5
"61","2010-08-09",4.86
"62","2010-08-10",4.68
"63","2010-08-11",4.9
"64","2010-08-12",4.99
"65","2010-08-13",4.9
"66","2010-08-16",4.94
"67","2010-08-17",5.03
"68","2010-08-18",5.03
"69","2010-08-19",5.07
"70","2010-08-20",5.14
"71","2010-08-23",5.18
"72","2010-08-24",5.24
"73","2010-08-25",5.45
"74","2010-08-26",5.5
"75","2010-08-27",5.54
"76","2010-08-30",5.6
"77","2010-08-31",5.6
"78","2010-09-01",5.62
"79","2010-09-02",5.47
"80","2010-09-03",5.59
"81","2010-09-07",5.18
"82","2010-09-08",5.27
"83","2010-09-09",5.25
"84","2010-09-10",5.12
"85","2010-09-13",5.26
"86","2010-09-14",5.25
"87","2010-09-15",5.17
"88","2010-09-16",5.19
"89","2010-09-17",5.13
"90","2010-09-20",5.06
"91","2010-09-21",5.44
"92","2010-09-22",5.39
"93","2010-09-23",5.33
"94","2010-09-24",5.33
"95","2010-09-27",5.25
"96","2010-09-28",5.26
"97","2010-09-29",5.1
"98","2010-09-30",5.29
"99","2010-10-01",5.32
"100","2010-10-04",5.28
"101","2010-10-05",5.3
"102","2010-10-06",5.19
"103","2010-10-07",5.17
"104","2010-10-08",5.14
"105","2010-10-11",5.13
"106","2010-10-12",5.15
"107","2010-10-13",5.14
"108","2010-10-14",5.06
"109","2010-10-15",5.11
"110","2010-10-18",5.08
"111","2010-10-19",4.99
"112","2010-10-20",5.04
"113","2010-10-21",5.02
"114","2010-10-22",4.88
"115","2010-10-25",5.01
"116","2010-10-26",4.95
"117","2010-10-27",4.94
"118","2010-10-28",4.9
"119","2010-10-29",6.29
"120","2010-11-01",6.5
"121","2010-11-02",6.55
"122","2010-11-03",6.6
"123","2010-11-04",7.16
"124","2010-11-05",6.88
"125","2010-11-08",6.88
"126","2010-11-09",6.81
"127","2010-11-10",6.93
"128","2010-11-11",7.13
"129","2010-11-12",7.15
"130","2010-11-15",7.23
"131","2010-11-16",7.13
"132","2010-11-17",6.98
"133","2010-11-18",7.05
"134","2010-11-19",7.03
"135","2010-11-22",6.99
"136","2010-11-23",6.95
"137","2010-11-24",6.95
"138","2010-11-26",6.95
"139","2010-11-29",7
"140","2010-11-30",6.52
"141","2010-12-01",6.34
"142","2010-12-02",6.86
"143","2010-12-03",6.77
"144","2010-12-06",6.9
"145","2010-12-07",6.93
"146","2010-12-08",6.69
"147","2010-12-09",7.04
"148","2010-12-10",7.3
"149","2010-12-13",7.45
"150","2010-12-14",7.24
"151","2010-12-15",7.23
"152","2010-12-16",7.16
"153","2010-12-17",7.27
"154","2010-12-20",7.07
"155","2010-12-21",7.24
"156","2010-12-22",7.17
"157","2010-12-23",7.28
"158","2010-12-27",7.55
"159","2010-12-28",7.44
"160","2010-12-29",7.53
"161","2010-12-30",7.47
"162","2010-12-31",7.28
"163","2011-01-03",7.25
"164","2011-01-04",7.23
"165","2011-01-05",7.25
"166","2011-01-06",7.27
"167","2011-01-07",7.26
"168","2011-01-10",7.27
"169","2011-01-11",7.37
"170","2011-01-12",7.24
"171","2011-01-13",7.22
"172","2011-01-14",7.31
"173","2011-01-18",7.44
"174","2011-01-19",7.45
"175","2011-01-20",7.46
"176","2011-01-21",7.33
"177","2011-01-24",7.34
"178","2011-01-25",7.4
"179","2011-01-26",7.49
"180","2011-01-27",7.37
"181","2011-01-28",8.95
"182","2011-01-31",10.5
"183","2011-02-01",10.05
"184","2011-02-02",10.07
"185","2011-02-03",9.75
"186","2011-02-04",10.16
"187","2011-02-07",9.97
"188","2011-02-08",10.11
"189","2011-02-09",10.73
"190","2011-02-10",10.54
"191","2011-02-11",10.61
"192","2011-02-14",11.3
"193","2011-02-15",11.18
"194","2011-02-16",11.77
"195","2011-02-17",11.96
"196","2011-02-18",11.76
"197","2011-02-22",10.61
"198","2011-02-23",10.14
"199","2011-02-24",10.74
"200","2011-02-25",10.74
"201","2011-02-28",11.22
"202","2011-03-01",10.82
"203","2011-03-02",11.18
"204","2011-03-03",11.12
"205","2011-03-04",11.41
"206","2011-03-07",11.16
"207","2011-03-08",11.06
"208","2011-03-09",10.94
"209","2011-03-10",10.74
"210","2011-03-11",11.19
"211","2011-03-14",11.12
"212","2011-03-15",10.69
"213","2011-03-16",10.7
"214","2011-03-17",10.79
"215","2011-03-18",10.71
"216","2011-03-21",10.85
"217","2011-03-22",11.26
"218","2011-03-23",11.1
"219","2011-03-24",11.47
"220","2011-03-25",11.46
"221","2011-03-28",11.26
"222","2011-03-29",11.09
