"","date","TUSK"
"1","2016-10-14",13.26
"2","2016-10-17",13.87
"3","2016-10-18",13.93
"4","2016-10-19",14.37
"5","2016-10-20",14.33
"6","2016-10-21",14.39
"7","2016-10-24",14.4
"8","2016-10-25",14.4
"9","2016-10-26",14.2
"10","2016-10-27",14.28
"11","2016-10-28",14.14
"12","2016-10-31",13.5
"13","2016-11-01",13.62
"14","2016-11-02",12.48
"15","2016-11-03",12.7
"16","2016-11-04",12.91
"17","2016-11-07",13.61
"18","2016-11-08",13.47
"19","2016-11-09",13.41
"20","2016-11-10",13.45
"21","2016-11-11",13.74
"22","2016-11-14",13.88
"23","2016-11-15",14.65
"24","2016-11-16",14.28
"25","2016-11-17",14.65
"26","2016-11-18",14.54
"27","2016-11-21",15.09
"28","2016-11-22",14.93
"29","2016-11-23",15.01
"30","2016-11-25",14.68
"31","2016-11-28",14.96
"32","2016-11-29",14.81
"33","2016-11-30",16.030001
"34","2016-12-01",16.280001
"35","2016-12-02",16.360001
"36","2016-12-05",17.15
"37","2016-12-06",17.25
"38","2016-12-07",16.91
"39","2016-12-08",16.709999
"40","2016-12-09",17.18
"41","2016-12-12",16.4
"42","2016-12-13",16.08
"43","2016-12-14",14.9
"44","2016-12-15",14.6
"45","2016-12-16",14.82
"46","2016-12-19",15
"47","2016-12-20",15.45
"48","2016-12-21",15.46
"49","2016-12-22",15.46
"50","2016-12-23",15.74
"51","2016-12-27",15.44
"52","2016-12-28",15.36
"53","2016-12-29",15.01
"54","2016-12-30",15.2
"55","2017-01-03",15.38
"56","2017-01-04",15.9
"57","2017-01-05",16.52
"58","2017-01-06",16.9
"59","2017-01-09",16.860001
"60","2017-01-10",17.120001
"61","2017-01-11",17.200001
"62","2017-01-12",17.23
"63","2017-01-13",17.309999
"64","2017-01-17",17.610001
"65","2017-01-18",18.23
"66","2017-01-19",18.040001
"67","2017-01-20",18.700001
"68","2017-01-23",17.91
"69","2017-01-24",17.780001
"70","2017-01-25",17.9
"71","2017-01-26",18.17
"72","2017-01-27",18.110001
"73","2017-01-30",17.809999
"74","2017-01-31",18
"75","2017-02-01",18.200001
"76","2017-02-02",18.370001
"77","2017-02-03",18.85
"78","2017-02-06",18.4
"79","2017-02-07",18.16
"80","2017-02-08",18.09
"81","2017-02-09",18.059999
"82","2017-02-10",18.52
"83","2017-02-13",18.549999
"84","2017-02-14",20.299999
"85","2017-02-15",19.82
"86","2017-02-16",19.860001
"87","2017-02-17",20.120001
"88","2017-02-21",21.18
"89","2017-02-22",21.379999
"90","2017-02-23",21.530001
"91","2017-02-24",21.74
"92","2017-02-27",21.91
"93","2017-02-28",21.5
"94","2017-03-01",22.450001
"95","2017-03-02",22.370001
"96","2017-03-03",21.549999
"97","2017-03-06",21.42
"98","2017-03-07",21.48
"99","2017-03-08",19.92
"100","2017-03-09",18.26
"101","2017-03-10",18.860001
"102","2017-03-13",18.73
"103","2017-03-14",18.190001
"104","2017-03-15",19.129999
"105","2017-03-16",18.700001
"106","2017-03-17",19.290001
"107","2017-03-20",19.059999
"108","2017-03-21",19.67
"109","2017-03-22",19.629999
"110","2017-03-23",20.09
"111","2017-03-24",19.469999
"112","2017-03-27",19.26
"113","2017-03-28",19.59
"114","2017-03-29",20.120001
"115","2017-03-30",20.629999
"116","2017-03-31",21.51
"117","2017-04-03",21.559999
"118","2017-04-04",21.17
"119","2017-04-05",20.889999
"120","2017-04-06",21.719999
"121","2017-04-07",21.209999
"122","2017-04-10",21.309999
"123","2017-04-11",20.469999
"124","2017-04-12",20.370001
"125","2017-04-13",19.65
"126","2017-04-17",19.34
"127","2017-04-18",18.629999
"128","2017-04-19",18.67
"129","2017-04-20",19.469999
"130","2017-04-21",19.360001
"131","2017-04-24",19.1
"132","2017-04-25",19.16
"133","2017-04-26",19.57
"134","2017-04-27",19.370001
"135","2017-04-28",19.299999
"136","2017-05-01",18.809999
"137","2017-05-02",18.73
"138","2017-05-03",18.610001
"139","2017-05-04",17.49
"140","2017-05-05",17.530001
"141","2017-05-08",18.540001
"142","2017-05-09",18.9
"143","2017-05-10",19.530001
"144","2017-05-11",18.57
"145","2017-05-12",18.620001
"146","2017-05-15",19.24
"147","2017-05-16",19.549999
"148","2017-05-17",18.93
"149","2017-05-18",18.91
"150","2017-05-19",19.23
"151","2017-05-22",19
"152","2017-05-23",19.059999
"153","2017-05-24",19.07
"154","2017-05-25",18.700001
"155","2017-05-26",18.73
"156","2017-05-30",18.370001
"157","2017-05-31",18.17
"158","2017-06-01",18.16
"159","2017-06-02",18.59
"160","2017-06-05",18.5
"161","2017-06-06",18.360001
"162","2017-06-07",17.41
"163","2017-06-08",17.01
"164","2017-06-09",17.24
"165","2017-06-12",17.309999
"166","2017-06-13",17.629999
"167","2017-06-14",17.49
"168","2017-06-15",16.6
"169","2017-06-16",16.870001
"170","2017-06-19",16.41
"171","2017-06-20",16.34
"172","2017-06-21",16.25
"173","2017-06-22",16.41
"174","2017-06-23",17.440001
"175","2017-06-26",17.42
"176","2017-06-27",17.51
"177","2017-06-28",17.73
"178","2017-06-29",18.42
"179","2017-06-30",18.6
"180","2017-07-03",19.4
"181","2017-07-05",18.85
"182","2017-07-06",17.950001
"183","2017-07-07",17.540001
"184","2017-07-10",17.43
"185","2017-07-11",17.76
"186","2017-07-12",16.879999
"187","2017-07-13",16.690001
"188","2017-07-14",16.370001
"189","2017-07-17",16.41
"190","2017-07-18",16.049999
"191","2017-07-19",15.86
"192","2017-07-20",15.52
"193","2017-07-21",15.69
"194","2017-07-24",15.43
"195","2017-07-25",15.3
"196","2017-07-26",15.29
"197","2017-07-27",14.75
"198","2017-07-28",14.77
"199","2017-07-31",14.67
"200","2017-08-01",14.79
"201","2017-08-02",14.55
"202","2017-08-03",13.89
"203","2017-08-04",13.11
"204","2017-08-07",12.63
"205","2017-08-08",12.22
"206","2017-08-09",11.96
"207","2017-08-10",11.56
"208","2017-08-11",11.44
"209","2017-08-14",11.75
"210","2017-08-15",11.16
"211","2017-08-16",11.11
"212","2017-08-17",11.05
"213","2017-08-18",11.68
"214","2017-08-21",11.51
"215","2017-08-22",12.11
"216","2017-08-23",12.63
"217","2017-08-24",12.86
"218","2017-08-25",12.81
"219","2017-08-28",12.79
"220","2017-08-29",13.42
"221","2017-08-30",13.51
"222","2017-08-31",13.78
"223","2017-09-01",13.7
"224","2017-09-05",13.59
"225","2017-09-06",14.16
"226","2017-09-07",14.02
"227","2017-09-08",13.57
"228","2017-09-11",13.9
"229","2017-09-12",14.42
"230","2017-09-13",14.65
"231","2017-09-14",15.05
"232","2017-09-15",14.93
"233","2017-09-18",15.18
"234","2017-09-19",15.14
"235","2017-09-20",15.43
"236","2017-09-21",15.55
"237","2017-09-22",15.91
"238","2017-09-25",16.15
"239","2017-09-26",16.790001
"240","2017-09-27",16.76
"241","2017-09-28",16.940001
"242","2017-09-29",16.860001
"243","2017-10-02",16.6
"244","2017-10-03",16.360001
"245","2017-10-04",15.58
"246","2017-10-05",15.91
"247","2017-10-06",15.66
"248","2017-10-09",15.86
"249","2017-10-10",16.469999
"250","2017-10-11",16.35
"251","2017-10-12",15.69
"252","2017-10-13",15.8
"253","2017-10-16",15.52
"254","2017-10-17",15.16
"255","2017-10-18",14.94
"256","2017-10-19",14.49
"257","2017-10-20",17.26
"258","2017-10-23",17.780001
"259","2017-10-24",17.51
"260","2017-10-25",17.48
"261","2017-10-26",18.16
"262","2017-10-27",18.48
"263","2017-10-30",18.440001
"264","2017-10-31",19.73
"265","2017-11-01",19.84
"266","2017-11-02",18.01
"267","2017-11-03",19.17
"268","2017-11-06",20.08
"269","2017-11-07",20.01
"270","2017-11-08",19.889999
"271","2017-11-09",20.18
"272","2017-11-10",20.889999
"273","2017-11-13",20.07
"274","2017-11-14",18.559999
"275","2017-11-15",17.719999
"276","2017-11-16",18.6
"277","2017-11-17",19.030001
"278","2017-11-20",18.93
"279","2017-11-21",18.76
"280","2017-11-22",18.9
"281","2017-11-24",18.85
"282","2017-11-27",18.709999
"283","2017-11-28",20.030001
"284","2017-11-29",18.99
"285","2017-11-30",18.85
"286","2017-12-01",19.540001
"287","2017-12-04",19.35
"288","2017-12-05",18.559999
"289","2017-12-06",17.309999
"290","2017-12-07",17.530001
"291","2017-12-08",17.559999
"292","2017-12-11",17.93
"293","2017-12-12",18.455
"294","2017-12-13",18.639999
"295","2017-12-14",18.67
"296","2017-12-15",18.690001
"297","2017-12-18",18.889999
"298","2017-12-19",18.889999
