"","date","UBFO"
"1","2007-01-03",19.271744
"2","2007-01-04",19.460758
"3","2007-01-05",18.578686
"4","2007-01-08",18.854334
"5","2007-01-09",18.807079
"6","2007-01-10",18.82283
"7","2007-01-11",19.303246
"8","2007-01-12",19.689154
"9","2007-01-16",18.720448
"10","2007-01-17",18.807079
"11","2007-01-18",18.791328
"12","2007-01-19",18.421171
"13","2007-01-22",18.019512
"14","2007-01-23",17.562725
"15","2007-01-24",17.586351
"16","2007-01-25",16.546764
"17","2007-01-26",16.389252
"18","2007-01-29",17.011429
"19","2007-01-30",16.97205
"20","2007-01-31",17.074434
"21","2007-02-01",17.02718
"22","2007-02-02",16.901169
"23","2007-02-05",16.168732
"24","2007-02-06",16.373499
"25","2007-02-07",16.365623
"26","2007-02-08",16.460133
"27","2007-02-09",16.562515
"28","2007-02-12",16.735781
"29","2007-02-13",17.066559
"30","2007-02-14",16.940548
"31","2007-02-15",16.617645
"32","2007-02-16",16.91692
"33","2007-02-20",17.168941
"34","2007-02-21",17.105936
"35","2007-02-22",17.318579
"36","2007-02-23",17.40521
"37","2007-02-26",16.617645
"38","2007-02-27",15.916712
"39","2007-02-28",16.357748
"40","2007-03-01",16.341997
"41","2007-03-02",15.798576
"42","2007-03-05",15.648939
"43","2007-03-06",16.089975
"44","2007-03-07",16.176609
"45","2007-03-08",16.152981
"46","2007-03-09",15.845831
"47","2007-03-12",16.042723
"48","2007-03-13",15.231529
"49","2007-03-14",15.310286
"50","2007-03-15",16.286867
"51","2007-03-16",15.822204
"52","2007-03-19",16.121479
"53","2007-03-20",15.940338
"54","2007-03-21",16.846039
"55","2007-03-22",16.846039
"56","2007-03-23",16.751532
"57","2007-03-26",16.562515
"58","2007-03-27",15.940338
"59","2007-03-28",15.530804
"60","2007-03-29",15.42842
"61","2007-03-30",15.018886
"62","2007-04-02",14.995259
"63","2007-04-03",15.515053
"64","2007-04-04",15.081891
"65","2007-04-05",15.318161
"66","2007-04-09",14.735362
"67","2007-04-10",14.987384
"68","2007-04-11",15.176399
"69","2007-04-12",14.963757
"70","2007-04-13",14.963757
"71","2007-04-16",15.01101
"72","2007-04-17",15.113394
"73","2007-04-18",15.152772
"74","2007-04-19",15.696193
"75","2007-04-20",15.633187
"76","2007-04-23",15.160648
"77","2007-04-24",15.168524
"78","2007-04-25",15.129146
"79","2007-04-26",14.932254
"80","2007-04-27",14.294325
"81","2007-04-30",14.302201
"82","2007-05-01",14.467589
"83","2007-05-02",14.987384
"84","2007-05-03",15.144897
"85","2007-05-04",14.940129
"86","2007-05-07",14.955881
"87","2007-05-08",14.585725
"88","2007-05-09",14.908627
"89","2007-05-10",14.17619
"90","2007-05-11",14.388833
"91","2007-05-14",14.073807
"92","2007-05-15",13.498883
"93","2007-05-16",13.609142
"94","2007-05-17",13.955671
"95","2007-05-18",14.365206
"96","2007-05-21",14.467589
"97","2007-05-22",14.727487
"98","2007-05-23",14.908627
"99","2007-05-24",15.042513
"100","2007-05-25",15.074016
"101","2007-05-29",16.208111
"102","2007-05-30",16.302618
"103","2007-05-31",17.712362
"104","2007-06-01",17.294952
"105","2007-06-04",17.720238
"106","2007-06-05",17.46034
"107","2007-06-06",16.956299
"108","2007-06-07",16.318371
"109","2007-06-08",16.696402
"110","2007-06-11",16.869667
"111","2007-06-12",16.381376
"112","2007-06-13",17.728113
"113","2007-06-14",17.822622
"114","2007-06-15",17.680859
"115","2007-06-18",16.546764
"116","2007-06-19",16.389252
"117","2007-06-20",16.263241
"118","2007-06-21",15.593809
"119","2007-06-22",15.499301
"120","2007-06-25",16.373499
"121","2007-06-26",16.893293
"122","2007-06-27",16.389252
"123","2007-06-28",16.326246
"124","2007-06-29",16.050598
"125","2007-07-02",16.231737
"126","2007-07-03",16.420753
"127","2007-07-05",16.538889
"128","2007-07-06",16.341997
"129","2007-07-09",16.066349
"130","2007-07-10",15.420545
"131","2007-07-11",15.152772
"132","2007-07-12",15.318161
"133","2007-07-13",15.255156
"134","2007-07-16",15.176399
"135","2007-07-17",15.743447
"136","2007-07-18",15.806452
"137","2007-07-19",15.570183
"138","2007-07-20",15.121269
"139","2007-07-23",14.924378
"140","2007-07-24",14.136812
"141","2007-07-25",14.254947
"142","2007-07-26",13.475256
"143","2007-07-27",12.246654
"144","2007-07-30",12.057637
"145","2007-07-31",11.01805
"146","2007-08-01",12.679814
"147","2007-08-02",12.679814
"148","2007-08-03",11.781989
"149","2007-08-06",12.097015
"150","2007-08-07",12.388415
"151","2007-08-08",14.491217
"152","2007-08-09",14.475466
"153","2007-08-10",15.231529
"154","2007-08-13",14.688108
"155","2007-08-14",14.758989
"156","2007-08-15",15.058265
"157","2007-08-16",15.467799
"158","2007-08-17",15.507177
"159","2007-08-20",15.515053
"160","2007-08-21",14.987384
"161","2007-08-22",15.751323
"162","2007-08-23",14.806243
"163","2007-08-24",14.837746
"164","2007-08-27",14.940129
"165","2007-08-28",14.963757
"166","2007-08-29",15.625312
"167","2007-08-30",15.546556
"168","2007-08-31",14.963757
"169","2007-09-04",14.869248
"170","2007-09-05",14.333704
"171","2007-09-06",14.908627
"172","2007-09-07",14.17619
"173","2007-09-10",14.617228
"174","2007-09-11",15.318161
"175","2007-09-12",14.491217
"176","2007-09-13",14.349455
"177","2007-09-14",14.097434
"178","2007-09-17",14.341579
"179","2007-09-18",15.042513
"180","2007-09-19",15.318161
"181","2007-09-20",15.231529
"182","2007-09-21",14.892876
"183","2007-09-24",15.160648
"184","2007-09-25",14.877124
"185","2007-09-26",14.82987
"186","2007-09-27",15.105518
