"","date","UFPI"
"1","2007-01-03",15.843333
"2","2007-01-04",15.65
"3","2007-01-05",15.42
"4","2007-01-08",15.343333
"5","2007-01-09",15.16
"6","2007-01-10",15.14
"7","2007-01-11",15.14
"8","2007-01-12",15.203333
"9","2007-01-16",15.666667
"10","2007-01-17",15.716666
"11","2007-01-18",15.41
"12","2007-01-19",15.833333
"13","2007-01-22",15.68
"14","2007-01-23",15.833333
"15","2007-01-24",16.156666
"16","2007-01-25",15.636666
"17","2007-01-26",15.64
"18","2007-01-29",15.753333
"19","2007-01-30",15.646667
"20","2007-01-31",16.299999
"21","2007-02-01",16.453333
"22","2007-02-02",16.766666
"23","2007-02-05",16.376667
"24","2007-02-06",17.193333
"25","2007-02-07",17.466667
"26","2007-02-08",17.309999
"27","2007-02-09",17.066668
"28","2007-02-12",17.273333
"29","2007-02-13",17.433332
"30","2007-02-14",17.523333
"31","2007-02-15",17.596666
"32","2007-02-16",17.629999
"33","2007-02-20",17.76
"34","2007-02-21",17.766666
"35","2007-02-22",18.153334
"36","2007-02-23",18
"37","2007-02-26",18.103333
"38","2007-02-27",17.18
"39","2007-02-28",17.276667
"40","2007-03-01",16.983334
"41","2007-03-02",16.596666
"42","2007-03-05",16.143333
"43","2007-03-06",16.526667
"44","2007-03-07",16.280001
"45","2007-03-08",16.466667
"46","2007-03-09",16.463333
"47","2007-03-12",16.360001
"48","2007-03-13",15.843333
"49","2007-03-14",16.083334
"50","2007-03-15",16.253334
"51","2007-03-16",16.133333
"52","2007-03-19",16.286667
"53","2007-03-20",16.49
"54","2007-03-21",16.666666
"55","2007-03-22",16.696667
"56","2007-03-23",17.043333
"57","2007-03-26",16.826666
"58","2007-03-27",16.533333
"59","2007-03-28",16.803333
"60","2007-03-29",16.639999
"61","2007-03-30",16.516666
"62","2007-04-02",16.766666
"63","2007-04-03",17.193333
"64","2007-04-04",16.956667
"65","2007-04-05",16.863333
"66","2007-04-09",16.93
"67","2007-04-10",17.18
"68","2007-04-11",17.026667
"69","2007-04-12",17.18
"70","2007-04-13",17.156666
"71","2007-04-16",17.540001
