"","date","VAC"
"1","2011-11-08",17.99
"2","2011-11-09",17.450001
"3","2011-11-10",17.1
"4","2011-11-11",17.469999
"5","2011-11-14",17.549999
"6","2011-11-15",17.25
"7","2011-11-16",17.139999
"8","2011-11-17",17.120001
"9","2011-11-18",17.110001
"10","2011-11-21",17.35
"11","2011-11-22",18.09
"12","2011-11-23",17.950001
"13","2011-11-25",17.65
"14","2011-11-28",17.15
"15","2011-11-29",16.25
"16","2011-11-30",15.98
"17","2011-12-01",15.9
"18","2011-12-02",16.23
"19","2011-12-05",17.24
"20","2011-12-06",17.360001
"21","2011-12-07",17.209999
"22","2011-12-08",17.24
"23","2011-12-09",18.139999
"24","2011-12-12",18.1
"25","2011-12-13",18.610001
"26","2011-12-14",18.65
"27","2011-12-15",18.389999
"28","2011-12-16",18.540001
"29","2011-12-19",18.58
"30","2011-12-20",18.610001
"31","2011-12-21",17.98
"32","2011-12-22",17.42
"33","2011-12-23",17.15
"34","2011-12-27",17.1
"35","2011-12-28",17.15
"36","2011-12-29",17.129999
"37","2011-12-30",17.16
"38","2012-01-03",17.709999
"39","2012-01-04",17.42
"40","2012-01-05",17.889999
"41","2012-01-06",17.6
"42","2012-01-09",18.059999
"43","2012-01-10",18.290001
"44","2012-01-11",18.51
"45","2012-01-12",18.34
"46","2012-01-13",18.209999
"47","2012-01-17",18.98
"48","2012-01-18",18.99
"49","2012-01-19",19.42
"50","2012-01-20",19.02
"51","2012-01-23",18.879999
"52","2012-01-24",19.4
"53","2012-01-25",19.1
"54","2012-01-26",19.950001
"55","2012-01-27",20.030001
"56","2012-01-30",20.91
"57","2012-01-31",20.75
"58","2012-02-01",22.040001
"59","2012-02-02",22.65
"60","2012-02-03",22.559999
"61","2012-02-06",22.4
"62","2012-02-07",22.33
"63","2012-02-08",22.83
"64","2012-02-09",23.01
"65","2012-02-10",23
"66","2012-02-13",22.5
"67","2012-02-14",22.379999
"68","2012-02-15",22.58
"69","2012-02-16",22.879999
"70","2012-02-17",22.790001
"71","2012-02-21",23.01
"72","2012-02-22",22.84
"73","2012-02-23",23.290001
"74","2012-02-24",23.889999
"75","2012-02-27",24.219999
"76","2012-02-28",24.73
"77","2012-02-29",24.93
"78","2012-03-01",25.48
"79","2012-03-02",25.790001
"80","2012-03-05",25.969999
"81","2012-03-06",25.889999
"82","2012-03-07",26.200001
"83","2012-03-08",26.98
"84","2012-03-09",26.879999
"85","2012-03-12",26.82
"86","2012-03-13",26.49
"87","2012-03-14",26.65
"88","2012-03-15",27.469999
"89","2012-03-16",26.790001
"90","2012-03-19",26.700001
"91","2012-03-20",26.27
"92","2012-03-21",26.43
"93","2012-03-22",26.549999
"94","2012-03-23",27.57
"95","2012-03-26",28.83
"96","2012-03-27",28.5
"97","2012-03-28",28.299999
"98","2012-03-29",28.32
"99","2012-03-30",28.51
"100","2012-04-02",28.27
"101","2012-04-03",27.98
"102","2012-04-04",28.450001
"103","2012-04-05",28.76
"104","2012-04-09",28.719999
"105","2012-04-10",27.790001
"106","2012-04-11",28.4
"107","2012-04-12",28.709999
"108","2012-04-13",28.790001
"109","2012-04-16",28.389999
"110","2012-04-17",28.5
"111","2012-04-18",28.51
"112","2012-04-19",28.84
"113","2012-04-20",29.02
"114","2012-04-23",29.16
"115","2012-04-24",28.9
"116","2012-04-25",29.02
"117","2012-04-26",29.190001
"118","2012-04-27",29.24
"119","2012-04-30",29.530001
"120","2012-05-01",29.58
"121","2012-05-02",29.879999
"122","2012-05-03",30.34
"123","2012-05-04",30.02
"124","2012-05-07",30.280001
"125","2012-05-08",29.709999
"126","2012-05-09",29.98
"127","2012-05-10",31.4
"128","2012-05-11",31.77
"129","2012-05-14",32.150002
"130","2012-05-15",32.889999
"131","2012-05-16",33.049999
"132","2012-05-17",29.879999
"133","2012-05-18",28.969999
"134","2012-05-21",28.969999
"135","2012-05-22",29.110001
"136","2012-05-23",28.75
"137","2012-05-24",28.049999
"138","2012-05-25",27.950001
"139","2012-05-29",28.690001
"140","2012-05-30",28.67
"141","2012-05-31",28.299999
"142","2012-06-01",27
"143","2012-06-04",26.92
"144","2012-06-05",26.92
"145","2012-06-06",27.059999
"146","2012-06-07",27.219999
"147","2012-06-08",27.700001
"148","2012-06-11",27.26
"149","2012-06-12",26.77
"150","2012-06-13",26.49
"151","2012-06-14",28.66
"152","2012-06-15",28.27
"153","2012-06-18",29.940001
"154","2012-06-19",30.84
"155","2012-06-20",30.809999
"156","2012-06-21",30.23
"157","2012-06-22",30.700001
"158","2012-06-25",29.52
"159","2012-06-26",29.870001
"160","2012-06-27",29.559999
"161","2012-06-28",28.969999
"162","2012-06-29",30.98
"163","2012-07-02",30.9
"164","2012-07-03",31
"165","2012-07-05",32.34
"166","2012-07-06",31.290001
"167","2012-07-09",30.809999
"168","2012-07-10",30.82
"169","2012-07-11",30.25
"170","2012-07-12",29.280001
"171","2012-07-13",29.690001
"172","2012-07-16",29.49
"173","2012-07-17",30.209999
"174","2012-07-18",30.83
"175","2012-07-19",30.59
"176","2012-07-20",28.950001
"177","2012-07-23",28.66
"178","2012-07-24",28.77
"179","2012-07-25",29.23
"180","2012-07-26",31.6
"181","2012-07-27",31.65
"182","2012-07-30",31.42
"183","2012-07-31",31.02
"184","2012-08-01",31.34
"185","2012-08-02",30.969999
"186","2012-08-03",31.83
"187","2012-08-06",32.43
"188","2012-08-07",32.25
"189","2012-08-08",32.200001
"190","2012-08-09",31.84
"191","2012-08-10",31.34
"192","2012-08-13",31.02
"193","2012-08-14",30.85
"194","2012-08-15",30.860001
"195","2012-08-16",31.950001
"196","2012-08-17",31.65
"197","2012-08-20",31
"198","2012-08-21",30.440001
"199","2012-08-22",31.1
"200","2012-08-23",31.01
"201","2012-08-24",30.83
"202","2012-08-27",31.809999
"203","2012-08-28",31.75
"204","2012-08-29",32.580002
"205","2012-08-30",32.119999
"206","2012-08-31",32.119999
"207","2012-09-04",31.709999
"208","2012-09-05",31.530001
"209","2012-09-06",32.52
"210","2012-09-07",32.950001
"211","2012-09-10",32.93
"212","2012-09-11",33.360001
"213","2012-09-12",33.630001
"214","2012-09-13",35.18
"215","2012-09-14",35.82
"216","2012-09-17",36.110001
"217","2012-09-18",36.080002
"218","2012-09-19",35.439999
"219","2012-09-20",34.970001
"220","2012-09-21",35.369999
"221","2012-09-24",35.66
"222","2012-09-25",35.52
"223","2012-09-26",35.48
"224","2012-09-27",36.009998
"225","2012-09-28",36.02
"226","2012-10-01",36.310001
"227","2012-10-02",36.52
"228","2012-10-03",36.830002
"229","2012-10-04",37.959999
"230","2012-10-05",38.02
