"","date","VALE"
"1","2007-01-03",14.41
"2","2007-01-04",14.235
"3","2007-01-05",13.755
"4","2007-01-08",14.235
"5","2007-01-09",13.82
"6","2007-01-10",14.19
"7","2007-01-11",14.43
"8","2007-01-12",14.85
"9","2007-01-16",14.675
"10","2007-01-17",14.79
"11","2007-01-18",14.73
"12","2007-01-19",15.06
"13","2007-01-22",15.31
"14","2007-01-23",16.405001
"15","2007-01-24",16.73
"16","2007-01-25",16.375
"17","2007-01-26",16.5
"18","2007-01-29",16.225
"19","2007-01-30",16.305
"20","2007-01-31",16.965
"21","2007-02-01",17.049999
"22","2007-02-02",17.01
"23","2007-02-05",17.01
"24","2007-02-06",17.32
"25","2007-02-07",16.959999
"26","2007-02-08",16.855
"27","2007-02-09",16.635
"28","2007-02-12",16.49
"29","2007-02-13",17.49
"30","2007-02-14",17.889999
"31","2007-02-15",18.059999
"32","2007-02-16",17.950001
"33","2007-02-20",18.174999
"34","2007-02-21",18.51
"35","2007-02-22",18.549999
"36","2007-02-23",18.344999
"37","2007-02-26",18.445
"38","2007-02-27",16.504999
"39","2007-02-28",17.049999
"40","2007-03-01",16.75
"41","2007-03-02",16.35
"42","2007-03-05",15.925
"43","2007-03-06",17.065001
"44","2007-03-07",17.135
"45","2007-03-08",17.145
"46","2007-03-09",17.48
"47","2007-03-12",17.82
"48","2007-03-13",17.084999
"49","2007-03-14",17.540001
"50","2007-03-15",17.959999
"51","2007-03-16",17.73
"52","2007-03-19",18.225
"53","2007-03-20",18.195
"54","2007-03-21",18.555
"55","2007-03-22",18.475
"56","2007-03-23",18.49
"57","2007-03-26",18.799999
"58","2007-03-27",18.504999
"59","2007-03-28",18.01
"60","2007-03-29",18.51
"61","2007-03-30",18.495001
"62","2007-04-02",18.684999
"63","2007-04-03",19.389999
"64","2007-04-04",19.870001
"65","2007-04-05",19.875
"66","2007-04-09",20.030001
"67","2007-04-10",20.15
"68","2007-04-11",20.115
"69","2007-04-12",20.459999
"70","2007-04-13",20.625
"71","2007-04-16",20.950001
"72","2007-04-17",20.889999
"73","2007-04-18",20.745001
"74","2007-04-19",20.540001
"75","2007-04-20",20.879999
"76","2007-04-23",20.995001
"77","2007-04-24",20.93
"78","2007-04-25",21.215
"79","2007-04-26",20.745001
"80","2007-04-27",20.355
"81","2007-04-30",20.305
"82","2007-05-01",20.135
"83","2007-05-02",20.83
"84","2007-05-03",21.385
"85","2007-05-04",21.940001
"86","2007-05-07",21.725
"87","2007-05-08",21.465
"88","2007-05-09",22.355
"89","2007-05-10",21.705
"90","2007-05-11",22.27
"91","2007-05-14",21.860001
"92","2007-05-15",22.07
"93","2007-05-16",22.695
"94","2007-05-17",22.48
"95","2007-05-18",22.545
"96","2007-05-21",22.540001
"97","2007-05-22",22.26
"98","2007-05-23",21.969999
"99","2007-05-24",21.065001
"100","2007-05-25",21.690001
"101","2007-05-29",21.700001
"102","2007-05-30",22.315001
"103","2007-05-31",22.725
"104","2007-06-01",23.51
"105","2007-06-04",23.549999
"106","2007-06-05",23.15
"107","2007-06-06",22.559999
"108","2007-06-07",21.575001
"109","2007-06-08",22.209999
"110","2007-06-11",22.424999
"111","2007-06-12",21.690001
"112","2007-06-13",22.385
"113","2007-06-14",22.885
"114","2007-06-15",23.475
"115","2007-06-18",23.775
"116","2007-06-19",22.9
"117","2007-06-20",22.5
"118","2007-06-21",23.004999
"119","2007-06-22",22.584999
"120","2007-06-25",22.16
"121","2007-06-26",21.82
"122","2007-06-27",22.200001
"123","2007-06-28",22.004999
"124","2007-06-29",22.275
"125","2007-07-02",23.145
"126","2007-07-03",23.200001
"127","2007-07-05",23.735001
"128","2007-07-06",24.014999
"129","2007-07-09",24.290001
"130","2007-07-10",23.934999
"131","2007-07-11",24.684999
"132","2007-07-12",26.145
"133","2007-07-13",25.969999
"134","2007-07-16",25.379999
"135","2007-07-17",25.525
"136","2007-07-18",25.605
"137","2007-07-19",25.905001
"138","2007-07-20",25.485001
"139","2007-07-23",26.549999
"140","2007-07-24",25.370001
"141","2007-07-25",25.01
"142","2007-07-26",23.725
"143","2007-07-27",23.57
"144","2007-07-30",24.275
"145","2007-07-31",24.504999
"146","2007-08-01",24.245001
"147","2007-08-02",24.549999
"148","2007-08-03",23.379999
"149","2007-08-06",23.275
"150","2007-08-07",23.620001
"151","2007-08-08",24.5
"152","2007-08-09",23.440001
"153","2007-08-10",22.67
"154","2007-08-13",22.799999
"155","2007-08-14",21.235001
"156","2007-08-15",19.805
"157","2007-08-16",19.105
"158","2007-08-17",20.049999
"159","2007-08-20",20.16
"160","2007-08-21",20.370001
"161","2007-08-22",22.139999
"162","2007-08-23",22.51
"163","2007-08-24",23.764999
"164","2007-08-27",24.16
"165","2007-08-28",22.52
"166","2007-08-29",23.965
"167","2007-08-30",23.985001
"168","2007-08-31",24.665001
"169","2007-09-04",25.549999
"170","2007-09-05",25.07
"171","2007-09-06",26.040001
"172","2007-09-07",25.34
"173","2007-09-10",25.200001
"174","2007-09-11",26.200001
"175","2007-09-12",26.525
"176","2007-09-13",27.5
"177","2007-09-14",27.25
"178","2007-09-17",26.92
"179","2007-09-18",29.6
"180","2007-09-19",29.809999
"181","2007-09-20",29.85
"182","2007-09-21",30.450001
"183","2007-09-24",31.76
"184","2007-09-25",32.040001
"185","2007-09-26",32.98
"186","2007-09-27",33.98
"187","2007-09-28",33.93
"188","2007-10-01",36.139999
"189","2007-10-02",35.450001
"190","2007-10-03",32.299999
"191","2007-10-04",32.049999
"192","2007-10-05",33.560001
"193","2007-10-08",33.27
"194","2007-10-09",34.349998
"195","2007-10-10",34.25
"196","2007-10-11",34.099998
"197","2007-10-12",35.919998
"198","2007-10-15",35.200001
"199","2007-10-16",34.23
"200","2007-10-17",34.66
"201","2007-10-18",35.490002
"202","2007-10-19",33.259998
"203","2007-10-22",32.73
"204","2007-10-23",33.959999
"205","2007-10-24",32.82
"206","2007-10-25",33.490002
"207","2007-10-26",35.5
"208","2007-10-29",37.169998
"209","2007-10-30",36.470001
"210","2007-10-31",37.68
"211","2007-11-01",36.43
"212","2007-11-02",36.380001
"213","2007-11-05",35.540001
"214","2007-11-06",37.75
"215","2007-11-07",35.84
"216","2007-11-08",36.959999
"217","2007-11-09",35.700001
"218","2007-11-12",32.849998
"219","2007-11-13",35.259998
"220","2007-11-14",35.73
"221","2007-11-15",34.5
"222","2007-11-16",35.400002
"223","2007-11-19",33.639999
"224","2007-11-20",33.639999
"225","2007-11-21",32.43
"226","2007-11-23",32.560001
"227","2007-11-26",31
"228","2007-11-27",31.200001
"229","2007-11-28",33.970001
"230","2007-11-29",34.360001
"231","2007-11-30",34.580002
"232","2007-12-03",34.900002
"233","2007-12-04",34.419998
"234","2007-12-05",35.549999
"235","2007-12-06",36.52
"236","2007-12-07",36.5
"237","2007-12-10",36.18
"238","2007-12-11",34.380001
"239","2007-12-12",34.900002
"240","2007-12-13",33.59
"241","2007-12-14",32.900002
"242","2007-12-17",31.059999
"243","2007-12-18",31.77
"244","2007-12-19",31.93
"245","2007-12-20",32.459999
"246","2007-12-21",33.299999
"247","2007-12-24",33.880001
"248","2007-12-26",34.259998
"249","2007-12-27",33.610001
"250","2007-12-28",33.380001
"251","2007-12-31",32.669998
"252","2008-01-02",32.709999
"253","2008-01-03",33.09
"254","2008-01-04",31.76
"255","2008-01-07",31.530001
"256","2008-01-08",31.23
"257","2008-01-09",31.4
"258","2008-01-10",32.560001
"259","2008-01-11",32
"260","2008-01-14",32.299999
"261","2008-01-15",31.049999
"262","2008-01-16",29
"263","2008-01-17",28.290001
"264","2008-01-18",28.83
"265","2008-01-22",26.85
"266","2008-01-23",26.57
"267","2008-01-24",28.32
"268","2008-01-25",27.709999
"269","2008-01-28",27.799999
"270","2008-01-29",28.709999
"271","2008-01-30",29.15
"272","2008-01-31",30.01
"273","2008-02-01",31.629999
"274","2008-02-04",31.309999
"275","2008-02-05",29.690001
"276","2008-02-06",29.959999
"277","2008-02-07",29.879999
"278","2008-02-08",30.35
"279","2008-02-11",31.91
"280","2008-02-12",32
"281","2008-02-13",32.68
"282","2008-02-14",32.209999
"283","2008-02-15",32.029999
"284","2008-02-19",33.5
"285","2008-02-20",35.049999
"286","2008-02-21",34.790001
"287","2008-02-22",35.630001
"288","2008-02-25",35.720001
"289","2008-02-26",36.209999
"290","2008-02-27",36.650002
"291","2008-02-28",37.220001
"292","2008-02-29",34.84
"293","2008-03-03",35
"294","2008-03-04",33.959999
"295","2008-03-05",35.41
"296","2008-03-06",34.110001
"297","2008-03-07",33.139999
"298","2008-03-10",31.67
"299","2008-03-11",33.549999
"300","2008-03-12",34.23
"301","2008-03-13",34.18
"302","2008-03-14",33.82
"303","2008-03-17",32.16
"304","2008-03-18",33.82
"305","2008-03-19",31.049999
"306","2008-03-20",30.83
"307","2008-03-24",31.75
"308","2008-03-25",33.009998
"309","2008-03-26",34.68
"310","2008-03-27",34.290001
"311","2008-03-28",34.150002
"312","2008-03-31",34.639999
"313","2008-04-01",35.419998
"314","2008-04-02",35.599998
"315","2008-04-03",35.950001
"316","2008-04-04",36.669998
"317","2008-04-07",36.77
"318","2008-04-08",37.130001
"319","2008-04-09",36.650002
"320","2008-04-10",36.360001
"321","2008-04-11",35.82
"322","2008-04-14",35.41
"323","2008-04-15",36.080002
"324","2008-04-16",37.880001
"325","2008-04-17",37.98
"326","2008-04-18",37.93
"327","2008-04-21",39.25
"328","2008-04-22",39.57
"329","2008-04-23",39.23
"330","2008-04-24",37.330002
"331","2008-04-25",37.919998
"332","2008-04-28",38.02
"333","2008-04-29",36.84
"334","2008-04-30",39.080002
"335","2008-05-01",38.27
"336","2008-05-02",39.91
"337","2008-05-05",40.310001
"338","2008-05-06",40.900002
"339","2008-05-07",39.060001
"340","2008-05-08",40.009998
"341","2008-05-09",39.580002
"342","2008-05-12",40.580002
"343","2008-05-13",40.91
"344","2008-05-14",40.5
"345","2008-05-15",42.200001
"346","2008-05-16",43.91
"347","2008-05-19",43.459999
"348","2008-05-20",43.369999
"349","2008-05-21",41.779999
"350","2008-05-22",41.439999
"351","2008-05-23",41.009998
"352","2008-05-27",39.639999
"353","2008-05-28",40.66
"354","2008-05-29",39.560001
"355","2008-05-30",39.779999
"356","2008-06-02",39.93
"357","2008-06-03",38.52
"358","2008-06-04",37.23
"359","2008-06-05",38.709999
"360","2008-06-06",37.439999
"361","2008-06-09",36.82
"362","2008-06-10",35.25
"363","2008-06-11",34.439999
"364","2008-06-12",34.52
"365","2008-06-13",34.57
"366","2008-06-16",34.84
"367","2008-06-17",36.18
"368","2008-06-18",36.029999
"369","2008-06-19",36.080002
"370","2008-06-20",34.810001
"371","2008-06-23",35.060001
"372","2008-06-24",35.669998
"373","2008-06-25",36.68
"374","2008-06-26",35.529999
"375","2008-06-27",35.48
"376","2008-06-30",35.82
"377","2008-07-01",34.5
"378","2008-07-02",32.330002
"379","2008-07-03",32.080002
"380","2008-07-07",32.27
"381","2008-07-08",31.92
"382","2008-07-09",30.690001
"383","2008-07-10",31.52
"384","2008-07-11",31.51
"385","2008-07-14",31.75
"386","2008-07-15",31.309999
"387","2008-07-16",30.65
"388","2008-07-17",28.959999
"389","2008-07-18",29.129999
"390","2008-07-21",29.9
"391","2008-07-22",29.23
"392","2008-07-23",28.85
"393","2008-07-24",27.65
"394","2008-07-25",27.780001
"395","2008-07-28",27.889999
"396","2008-07-29",28.370001
"397","2008-07-30",30.709999
"398","2008-07-31",30.030001
"399","2008-08-01",28.280001
"400","2008-08-04",26.360001
"401","2008-08-05",26.16
"402","2008-08-06",26.68
"403","2008-08-07",26.41
"404","2008-08-08",25.75
"405","2008-08-11",24.76
"406","2008-08-12",24.620001
