"","date","VCNX"
"1","2018-08-09",11.38
"2","2018-08-10",11.5
"3","2018-08-13",11.37
"4","2018-08-14",11.5
"5","2018-08-15",11.64
"6","2018-08-16",11.49
"7","2018-08-17",11.5
"8","2018-08-20",11.32
"9","2018-08-21",11.01
"10","2018-08-22",11
"11","2018-08-23",10.95
"12","2018-08-24",10.38
"13","2018-08-27",10.38
"14","2018-08-28",9.21
"15","2018-08-29",10.16
"16","2018-08-30",10.08
"17","2018-08-31",9.99
"18","2018-09-04",10.35
"19","2018-09-05",10
"20","2018-09-06",9.97
"21","2018-09-07",9.83
"22","2018-09-10",10.05
"23","2018-09-11",10.05
"24","2018-09-12",9.37
"25","2018-09-13",9.55
"26","2018-09-14",9
"27","2018-09-17",8.79
"28","2018-09-18",10.05
"29","2018-09-19",8.75
"30","2018-09-20",8.9
"31","2018-09-21",8.18
"32","2018-09-24",7.68
"33","2018-09-25",7.28
"34","2018-09-26",7.05
"35","2018-09-27",6.95
"36","2018-09-28",7.29
"37","2018-10-01",6.92
"38","2018-10-02",6.9
"39","2018-10-03",7.12
"40","2018-10-04",6.92
"41","2018-10-05",6.87
"42","2018-10-08",6.93
"43","2018-10-09",6.89
"44","2018-10-10",6.78
"45","2018-10-11",6.55
"46","2018-10-12",6.28
"47","2018-10-15",6.28
"48","2018-10-16",6.12
"49","2018-10-17",6.25
"50","2018-10-18",7
"51","2018-10-19",7
"52","2018-10-22",6.25
"53","2018-10-23",6.44
"54","2018-10-24",6.35
"55","2018-10-25",6.25
"56","2018-10-26",6.05
"57","2018-10-29",6.35
"58","2018-10-30",6.07
"59","2018-10-31",6
"60","2018-11-01",6
"61","2018-11-02",6.5
"62","2018-11-05",6.3
"63","2018-11-06",6.58
"64","2018-11-07",6.25
"65","2018-11-08",6.13
"66","2018-11-09",6.09
"67","2018-11-12",6.15
"68","2018-11-13",6.52
"69","2018-11-14",6.25
"70","2018-11-15",6.2
"71","2018-11-16",6.35
"72","2018-11-19",6.15
"73","2018-11-20",5.72
"74","2018-11-21",6
"75","2018-11-23",5.52
"76","2018-11-26",5.41
"77","2018-11-27",5.63
"78","2018-11-28",5.28
"79","2018-11-29",5.53
"80","2018-11-30",5.59
"81","2018-12-03",5.85
"82","2018-12-04",5.84
"83","2018-12-06",5.66
"84","2018-12-07",5.66
"85","2018-12-10",5.25
"86","2018-12-11",5.25
"87","2018-12-12",4.6
"88","2018-12-13",4.72
"89","2018-12-14",4.6
"90","2018-12-17",4.6
"91","2018-12-18",4.72
"92","2018-12-19",4.77
"93","2018-12-20",4.38
"94","2018-12-21",4.5
"95","2018-12-24",4.1
"96","2018-12-26",4.04
"97","2018-12-27",3.94
"98","2018-12-28",3.8
"99","2018-12-31",3.64
"100","2019-01-02",4.2
"101","2019-01-03",4
"102","2019-01-04",3.95
"103","2019-01-07",3.67
"104","2019-01-08",3.73
"105","2019-01-09",3.72
"106","2019-01-10",3.9
"107","2019-01-11",3.9
"108","2019-01-14",3.99
"109","2019-01-15",4.4
"110","2019-01-16",5.33
"111","2019-01-17",5.5
"112","2019-01-18",4.93
"113","2019-01-22",5.25
"114","2019-01-23",4.99
"115","2019-01-24",5
"116","2019-01-25",4.98
"117","2019-01-28",5.19
"118","2019-01-29",5.01
"119","2019-01-30",5.01
"120","2019-01-31",4.84
"121","2019-02-01",4.75
"122","2019-02-04",4.83
"123","2019-02-05",4.43
"124","2019-02-06",4.57
"125","2019-02-07",5.17
"126","2019-02-08",5.05
"127","2019-02-11",4.9
"128","2019-02-12",5.04
"129","2019-02-13",5.05
"130","2019-02-14",4.9
"131","2019-02-15",4.9
"132","2019-02-19",4.58
"133","2019-02-20",4.76
"134","2019-02-21",4.9
"135","2019-02-22",4.81
"136","2019-02-25",4.5
"137","2019-02-26",4.46
"138","2019-02-27",4.22
"139","2019-02-28",4.17
"140","2019-03-01",3.92
"141","2019-03-04",4.25
"142","2019-03-05",4.31
"143","2019-03-06",4.3
"144","2019-03-07",4.17
"145","2019-03-08",4.62
"146","2019-03-11",4.23
"147","2019-03-12",4.3
"148","2019-03-13",4
"149","2019-03-14",3.9
"150","2019-03-15",3.9
"151","2019-03-18",4.05
"152","2019-03-19",4.11
"153","2019-03-20",4.3
"154","2019-03-21",4.9
"155","2019-03-22",4.92
"156","2019-03-25",4.97
"157","2019-03-26",4.85
"158","2019-03-27",5.18
"159","2019-03-28",5.39
"160","2019-03-29",5.26
"161","2019-04-01",6.45
"162","2019-04-02",7.16
"163","2019-04-03",7.46
"164","2019-04-04",6.3
"165","2019-04-05",6.95
"166","2019-04-08",7.5
"167","2019-04-09",7.46
"168","2019-04-10",7.21
"169","2019-04-11",6.91
"170","2019-04-12",6.4
"171","2019-04-15",5.5
"172","2019-04-16",5.55
"173","2019-04-17",5.5
"174","2019-04-18",5.14
"175","2019-04-22",5.5
"176","2019-04-23",6.25
"177","2019-04-24",6.35
"178","2019-04-25",6.6
"179","2019-04-26",6.75
"180","2019-04-29",6.43
"181","2019-04-30",6.21
"182","2019-05-01",6.56
"183","2019-05-02",6.56
"184","2019-05-03",6.95
"185","2019-05-06",7
"186","2019-05-07",6.82
"187","2019-05-08",7.24
"188","2019-05-09",7.4
"189","2019-05-10",8
"190","2019-05-13",7.76
"191","2019-05-14",8.11
"192","2019-05-15",7.78
"193","2019-05-16",7.57
"194","2019-05-17",6.9
"195","2019-05-20",6.71
"196","2019-05-21",7.01
"197","2019-05-22",6.79
"198","2019-05-23",6.79
"199","2019-05-24",6.41
"200","2019-05-28",6.4
"201","2019-05-29",6.8
"202","2019-05-30",6.79
"203","2019-05-31",6.64
"204","2019-06-03",6.19
"205","2019-06-04",6.01
"206","2019-06-05",5.71
"207","2019-06-06",6.1
"208","2019-06-07",5.99
"209","2019-06-10",6.05
"210","2019-06-11",5.5
"211","2019-06-12",5.54
"212","2019-06-13",5.41
"213","2019-06-14",5.56
"214","2019-06-17",5.26
"215","2019-06-18",5.17
"216","2019-06-19",5.11
"217","2019-06-20",4.89
"218","2019-06-21",5.32
"219","2019-06-24",5.25
"220","2019-06-25",5.06
"221","2019-06-26",5.29
"222","2019-06-27",5.05
"223","2019-06-28",5.52
"224","2019-07-01",5.5
"225","2019-07-02",5.3
"226","2019-07-03",5.2
"227","2019-07-05",5.2
"228","2019-07-08",5.21
"229","2019-07-09",4.97
"230","2019-07-10",4.4
"231","2019-07-11",4.32
"232","2019-07-12",4.15
"233","2019-07-15",4.15
"234","2019-07-16",4.28
"235","2019-07-17",4.11
"236","2019-07-18",4.14
"237","2019-07-19",4.09
"238","2019-07-22",4.34
"239","2019-07-23",4.1
"240","2019-07-24",4.09
"241","2019-07-25",4.02
"242","2019-07-26",4.86
"243","2019-07-29",4.87
"244","2019-07-30",4.8
"245","2019-07-31",4.6
"246","2019-08-01",4.4
"247","2019-08-02",4.79
"248","2019-08-05",4.74
"249","2019-08-06",5
"250","2019-08-07",4.9
"251","2019-08-08",4.9
"252","2019-08-09",4.93
"253","2019-08-12",4.9
"254","2019-08-13",4.96
"255","2019-08-14",4.9
"256","2019-08-15",4.89
"257","2019-08-16",4.99
"258","2019-08-19",5
"259","2019-08-20",5.15
"260","2019-08-21",5.15
"261","2019-08-22",5.63
"262","2019-08-23",5.7
"263","2019-08-26",5.26
"264","2019-08-27",5.7
"265","2019-08-28",5.7
"266","2019-08-29",5.72
"267","2019-08-30",5.74
"268","2019-09-03",5.4
"269","2019-09-04",5.43
"270","2019-09-05",5.99
"271","2019-09-06",5.97
"272","2019-09-09",5.8
"273","2019-09-10",5.84
"274","2019-09-11",5.77
"275","2019-09-12",5.98
"276","2019-09-13",5.97
"277","2019-09-16",6.08
"278","2019-09-17",5.9
"279","2019-09-18",6.07
"280","2019-09-19",6.55
"281","2019-09-20",7.31
"282","2019-09-23",7.19
"283","2019-09-24",7.93
"284","2019-09-25",7.7
"285","2019-09-26",7.66
"286","2019-09-27",7.22
"287","2019-09-30",7.17
"288","2019-10-01",7.45
"289","2019-10-02",6.91
"290","2019-10-03",6.74
"291","2019-10-04",6.66
"292","2019-10-07",6.24
"293","2019-10-08",6.8
"294","2019-10-09",6.8
"295","2019-10-10",5.9
"296","2019-10-11",6.02
"297","2019-10-14",5.99
"298","2019-10-15",5.58
"299","2019-10-16",5.58
"300","2019-10-17",5.56
"301","2019-10-18",5.99
"302","2019-10-21",5.53
"303","2019-10-22",5.2
"304","2019-10-23",4.72
"305","2019-10-24",5.97
"306","2019-10-25",6.45
"307","2019-10-28",6.45
"308","2019-10-29",5.69
"309","2019-10-30",5.69
"310","2019-10-31",5.55
"311","2019-11-01",5.01
"312","2019-11-04",4.78
"313","2019-11-05",5
"314","2019-11-06",5
"315","2019-11-07",5.45
"316","2019-11-08",5.45
"317","2019-11-11",4.82
"318","2019-11-12",5.4
"319","2019-11-13",4.56
"320","2019-11-14",4.75
"321","2019-11-15",5
"322","2019-11-18",4.6
"323","2019-11-19",4.6
"324","2019-11-20",4.75
"325","2019-11-21",4.6
"326","2019-11-22",4.61
"327","2019-11-25",4.85
"328","2019-11-26",4.85
"329","2019-11-27",4.75
"330","2019-11-29",4.95
"331","2019-12-02",4.95
"332","2019-12-03",5
"333","2019-12-04",4.95
"334","2019-12-05",4.96
"335","2019-12-06",4.8
"336","2019-12-09",4.86
"337","2019-12-10",4.9
"338","2019-12-11",5.27
"339","2019-12-12",5.25
"340","2019-12-13",5.52
"341","2019-12-16",5.6
"342","2019-12-17",5.88
"343","2019-12-18",5.85
"344","2019-12-19",5.58
"345","2019-12-20",5.35
"346","2019-12-23",5.01
"347","2019-12-24",5.24
"348","2019-12-26",5.01
"349","2019-12-27",5.14
"350","2019-12-30",4.91
"351","2019-12-31",4.85
"352","2020-01-02",5.01
"353","2020-01-03",4.94
"354","2020-01-06",4.99
"355","2020-01-07",4.9
"356","2020-01-08",4.91
"357","2020-01-09",4.95
"358","2020-01-10",4.96
"359","2020-01-13",5.25
"360","2020-01-14",5.07
"361","2020-01-15",5
"362","2020-01-16",5.06
"363","2020-01-17",5.09
"364","2020-01-21",5.22
"365","2020-01-22",5.3
"366","2020-01-23",5.08
"367","2020-01-24",6.89
"368","2020-01-27",7.03
"369","2020-01-28",8.37
"370","2020-01-29",7.42
"371","2020-01-30",7.5
"372","2020-01-31",6.95
"373","2020-02-03",7.2
"374","2020-02-04",6.7
"375","2020-02-05",6.22
"376","2020-02-06",6.43
"377","2020-02-07",6.21
"378","2020-02-10",6.51
"379","2020-02-11",6.49
"380","2020-02-12",6.48
"381","2020-02-13",5.92
"382","2020-02-14",5.64
"383","2020-02-18",5.41
"384","2020-02-19",5.6
"385","2020-02-20",5.62
"386","2020-02-21",5.51
"387","2020-02-24",6.35
"388","2020-02-25",6.06
"389","2020-02-26",6.75
"390","2020-02-27",6.55
"391","2020-02-28",5.35
"392","2020-03-02",5.28
"393","2020-03-03",4.86
"394","2020-03-04",5.1
"395","2020-03-05",4.78
"396","2020-03-06",4.8
"397","2020-03-09",4.65
"398","2020-03-10",4.5
"399","2020-03-11",4.17
"400","2020-03-12",4.46
"401","2020-03-13",3.96
"402","2020-03-16",4.74
"403","2020-03-17",4.01
"404","2020-03-18",4.4
"405","2020-03-19",4.34
"406","2020-03-20",4.25
"407","2020-03-23",4.49
"408","2020-03-24",4.07
"409","2020-03-25",4.4
"410","2020-03-26",4.42
"411","2020-03-27",4.06
"412","2020-03-30",4.02
"413","2020-03-31",4
"414","2020-04-01",3.95
"415","2020-04-02",3.59
"416","2020-04-03",3.82
"417","2020-04-06",3.85
"418","2020-04-07",3.82
"419","2020-04-08",3.98
"420","2020-04-09",3.9
"421","2020-04-13",3.78
"422","2020-04-14",3.72
"423","2020-04-15",3.71
"424","2020-04-16",3.82
"425","2020-04-17",3.83
"426","2020-04-20",3.78
"427","2020-04-21",3.54
"428","2020-04-22",3.63
"429","2020-04-23",3.6
"430","2020-04-24",3.88
"431","2020-04-27",4.17
"432","2020-04-28",4.24
"433","2020-04-29",4.11
"434","2020-04-30",3.65
"435","2020-05-01",3.65
"436","2020-05-04",3.63
"437","2020-05-05",3.69
"438","2020-05-06",3.65
"439","2020-05-07",3.6
"440","2020-05-08",3.75
"441","2020-05-11",3.75
"442","2020-05-12",3.85
"443","2020-05-13",3.65
"444","2020-05-14",3.95
"445","2020-05-15",3.8
"446","2020-05-18",3.8
"447","2020-05-19",3.81
"448","2020-05-20",3.94
"449","2020-05-21",3.93
"450","2020-05-22",3.86
"451","2020-05-26",3.85
"452","2020-05-27",3.77
"453","2020-05-28",3.7
"454","2020-05-29",3.84
"455","2020-06-01",3.73
"456","2020-06-02",3.77
"457","2020-06-03",3.69
"458","2020-06-04",3.7
"459","2020-06-05",3.64
"460","2020-06-08",3.69
"461","2020-06-09",3.62
"462","2020-06-10",3.64
"463","2020-06-11",3.51
"464","2020-06-12",3.47
"465","2020-06-15",3.48
"466","2020-06-16",3.5
"467","2020-06-17",3.5
"468","2020-06-18",3.43
"469","2020-06-19",3.5
"470","2020-06-22",3.5
"471","2020-06-23",3.49
"472","2020-06-24",3.28
"473","2020-06-25",3.49
"474","2020-06-26",3.6
"475","2020-06-29",3.42
"476","2020-06-30",3.61
"477","2020-07-01",3.47
"478","2020-07-02",3.33
"479","2020-07-06",3.6
"480","2020-07-07",3.75
"481","2020-07-08",3.6
"482","2020-07-09",4.26
"483","2020-07-10",3.95
"484","2020-07-13",4.65
"485","2020-07-14",5.44
"486","2020-07-15",5.16
"487","2020-07-16",5.66
"488","2020-07-17",7.94
"489","2020-07-20",7.9
"490","2020-07-21",8.19
"491","2020-07-22",7.78
"492","2020-07-23",7.55
"493","2020-07-24",7.04
"494","2020-07-27",6.49
"495","2020-07-28",6.34
"496","2020-07-29",5.82
"497","2020-07-30",6.28
"498","2020-07-31",6.33
"499","2020-08-03",6.4
"500","2020-08-04",6.67
"501","2020-08-05",6.76
"502","2020-08-06",6.45
"503","2020-08-07",5.97
"504","2020-08-10",5.72
"505","2020-08-11",5.58
"506","2020-08-12",5.52
"507","2020-08-13",5.49
"508","2020-08-14",6.14
"509","2020-08-17",6.04
"510","2020-08-18",5.87
"511","2020-08-19",5.62
"512","2020-08-20",5.7
"513","2020-08-21",5.38
"514","2020-08-24",5.18
"515","2020-08-25",5.16
"516","2020-08-26",5.18
"517","2020-08-27",5.09
"518","2020-08-28",5.29
"519","2020-08-31",5.67
"520","2020-09-01",5.22
"521","2020-09-02",5.41
"522","2020-09-03",5.09
"523","2020-09-04",4.96
"524","2020-09-08",5.05
"525","2020-09-09",5.2
"526","2020-09-10",4.81
"527","2020-09-11",4.78
"528","2020-09-14",5.21
"529","2020-09-15",5.64
"530","2020-09-16",5.29
"531","2020-09-17",5.93
"532","2020-09-18",5.65
"533","2020-09-21",5.47
"534","2020-09-22",2.32
"535","2020-09-23",1.86
"536","2020-09-24",1.81
"537","2020-09-25",1.79
"538","2020-09-28",1.75
"539","2020-09-29",1.81
"540","2020-09-30",1.78
"541","2020-10-01",1.75
"542","2020-10-02",1.7
"543","2020-10-05",1.7
"544","2020-10-06",1.66
"545","2020-10-07",1.68
"546","2020-10-08",1.69
"547","2020-10-09",2.22
"548","2020-10-12",2.09
"549","2020-10-13",2.06
"550","2020-10-14",2.05
"551","2020-10-15",2.04
"552","2020-10-16",1.98
"553","2020-10-19",2.06
"554","2020-10-20",1.96
"555","2020-10-21",1.83
"556","2020-10-22",1.89
"557","2020-10-23",1.88
"558","2020-10-26",2
"559","2020-10-27",1.89
"560","2020-10-28",1.8
"561","2020-10-29",1.77
"562","2020-10-30",1.72
"563","2020-11-02",1.77
"564","2020-11-03",1.76
"565","2020-11-04",1.83
"566","2020-11-05",1.79
"567","2020-11-06",1.75
"568","2020-11-09",1.82
"569","2020-11-10",2.3
"570","2020-11-11",2.19
"571","2020-11-12",1.98
"572","2020-11-13",1.99
"573","2020-11-16",1.97
"574","2020-11-17",1.96
"575","2020-11-18",2
"576","2020-11-19",1.96
"577","2020-11-20",1.96
"578","2020-11-23",2.05
"579","2020-11-24",1.98
"580","2020-11-25",2.07
"581","2020-11-27",2.1
