"","date","VERB"
"1","2014-11-21",22.5
"2","2014-11-24",22.5
"3","2014-11-25",22.5
"4","2014-11-26",24
"5","2014-11-28",24
"6","2014-12-01",24
"7","2014-12-02",30
"8","2014-12-03",30
"9","2014-12-04",29.700001
"10","2014-12-05",28.5
"11","2014-12-08",24
"12","2014-12-09",25.65
"13","2014-12-10",25.65
"14","2014-12-11",25.65
"15","2014-12-12",24
"16","2014-12-15",24
"17","2014-12-16",24
"18","2014-12-17",24
"19","2014-12-18",29.85
"20","2014-12-19",29.85
"21","2014-12-22",29.85
"22","2014-12-23",29.85
"23","2014-12-24",29.85
"24","2014-12-26",29.85
"25","2014-12-29",29.85
"26","2014-12-30",29.85
"27","2014-12-31",29.85
"28","2015-01-02",29.85
"29","2015-01-05",29.85
"30","2015-01-06",29.85
"31","2015-01-07",29.85
"32","2015-01-08",29.85
"33","2015-01-09",29.85
"34","2015-01-12",29.85
"35","2015-01-13",29.85
"36","2015-01-14",29.85
"37","2015-01-15",29.85
"38","2015-01-16",29.85
"39","2015-01-20",29.85
"40","2015-01-21",29.85
"41","2015-01-22",29.85
"42","2015-01-23",29.85
"43","2015-01-26",29.85
"44","2015-01-27",29.85
"45","2015-01-28",28.200001
"46","2015-01-29",28.200001
"47","2015-01-30",28.200001
"48","2015-02-02",28.200001
"49","2015-02-03",19.5
"50","2015-02-04",19.5
"51","2015-02-05",19.5
"52","2015-02-06",19.5
"53","2015-02-09",19.5
"54","2015-02-10",19.5
"55","2015-02-11",19.5
"56","2015-02-12",19.5
"57","2015-02-13",19.5
"58","2015-02-17",19.5
"59","2015-02-18",19.5
"60","2015-02-19",19.5
"61","2015-02-20",19.5
"62","2015-02-23",19.5
"63","2015-02-24",19.5
"64","2015-02-25",19.5
"65","2015-02-26",19.5
"66","2015-02-27",19.5
"67","2015-03-02",19.5
"68","2015-03-03",19.5
"69","2015-03-04",19.5
"70","2015-03-05",19.5
"71","2015-03-06",19.5
"72","2015-03-09",19.5
"73","2015-03-10",19.5
"74","2015-03-11",19.5
"75","2015-03-12",19.5
"76","2015-03-13",19.5
"77","2015-03-16",19.5
"78","2015-03-17",19.5
"79","2015-03-18",19.5
"80","2015-03-19",19.5
"81","2015-03-20",19.5
"82","2015-03-23",19.5
"83","2015-03-24",19.5
"84","2015-03-25",19.5
"85","2015-03-26",19.5
"86","2015-03-27",19.5
"87","2015-03-30",19.5
"88","2015-03-31",19.5
"89","2015-04-01",19.5
"90","2015-04-02",19.5
"91","2015-04-06",19.5
"92","2015-04-07",19.5
"93","2015-04-08",19.5
"94","2015-04-09",19.5
"95","2015-04-10",19.5
"96","2015-04-13",19.5
"97","2015-04-14",19.5
"98","2015-04-15",19.5
"99","2015-04-16",19.5
"100","2015-04-17",19.5
"101","2015-04-20",19.5
"102","2015-04-21",19.5
"103","2015-04-22",19.5
"104","2015-04-23",19.5
"105","2015-04-24",19.5
"106","2015-04-27",19.5
"107","2015-04-28",19.5
"108","2015-04-29",19.5
"109","2015-04-30",19.5
"110","2015-05-01",19.5
"111","2015-05-04",19.5
"112","2015-05-05",19.5
"113","2015-05-06",19.5
"114","2015-05-07",19.5
"115","2015-05-08",19.5
"116","2015-05-11",19.5
"117","2015-05-12",19.5
"118","2015-05-13",19.5
"119","2015-05-14",19.5
"120","2015-05-15",19.5
"121","2015-05-18",19.5
"122","2015-05-19",19.5
"123","2015-05-20",19.5
"124","2015-05-21",19.5
"125","2015-05-22",19.5
"126","2015-05-26",19.5
"127","2015-05-27",19.5
"128","2015-05-28",19.5
"129","2015-05-29",19.5
"130","2015-06-01",19.5
"131","2015-06-02",19.5
"132","2015-06-03",19.5
"133","2015-06-04",19.5
"134","2015-06-05",19.5
"135","2015-06-08",19.5
"136","2015-06-09",19.5
"137","2015-06-10",19.5
"138","2015-06-11",19.5
"139","2015-06-12",19.5
"140","2015-06-15",19.5
"141","2015-06-16",19.5
"142","2015-06-17",19.5
"143","2015-06-18",19.5
"144","2015-06-19",19.5
"145","2015-06-22",19.5
"146","2015-06-23",19.5
"147","2015-06-24",19.5
"148","2015-06-25",19.5
"149","2015-06-26",19.5
"150","2015-06-29",19.5
"151","2015-06-30",19.5
"152","2015-07-01",19.5
"153","2015-07-02",19.5
"154","2015-07-06",19.5
"155","2015-07-07",19.5
"156","2015-07-08",19.5
"157","2015-07-09",19.5
"158","2015-07-10",19.5
"159","2015-07-13",19.5
"160","2015-07-14",19.5
"161","2015-07-15",19.5
"162","2015-07-16",19.5
"163","2015-07-17",19.5
"164","2015-07-20",19.5
"165","2015-07-21",19.5
"166","2015-07-22",19.5
"167","2015-07-23",19.5
"168","2015-07-24",19.5
"169","2015-07-27",19.5
"170","2015-07-28",29.85
"171","2015-07-29",29.85
"172","2015-07-30",29.85
"173","2015-07-31",29.85
"174","2015-08-03",29.85
"175","2015-08-04",29.85
"176","2015-08-05",45
"177","2015-08-06",45
"178","2015-08-07",45
"179","2015-08-10",45
"180","2015-08-11",45
"181","2015-08-12",45
"182","2015-08-13",45
"183","2015-08-14",45
"184","2015-08-17",45
"185","2015-08-18",45
"186","2015-08-19",45
"187","2015-08-20",45
"188","2015-08-21",45
"189","2015-08-24",45
"190","2015-08-25",45
"191","2015-08-26",45
"192","2015-08-27",45
"193","2015-08-28",45
"194","2015-08-31",45
"195","2015-09-01",45
"196","2015-09-02",45
"197","2015-09-03",45
"198","2015-09-04",45
"199","2015-09-08",45
"200","2015-09-09",45
"201","2015-09-10",45
"202","2015-09-11",45
"203","2015-09-14",45
"204","2015-09-15",45
"205","2015-09-16",45
"206","2015-09-17",30
"207","2015-09-18",30
"208","2015-09-21",30
"209","2015-09-22",30
"210","2015-09-23",30
"211","2015-09-24",30
"212","2015-09-25",30
"213","2015-09-28",30
"214","2015-09-29",30
"215","2015-09-30",30
"216","2015-10-01",30
"217","2015-10-02",30
"218","2015-10-05",30
"219","2015-10-06",30
"220","2015-10-07",30
"221","2015-10-08",30
"222","2015-10-09",30
"223","2015-10-12",30
"224","2015-10-13",30
"225","2015-10-14",30
"226","2015-10-15",30
"227","2015-10-16",30
"228","2015-10-19",30
"229","2015-10-20",22.5
"230","2015-10-21",22.5
"231","2015-10-22",22.5
"232","2015-10-23",10.05
"233","2015-10-26",4.5
"234","2015-10-27",0.75
"235","2015-10-28",1.125
"236","2015-10-29",1.125
"237","2015-10-30",1.125
"238","2015-11-02",2.535
"239","2015-11-03",1.95
"240","2015-11-04",1.8
"241","2015-11-05",1.62
"242","2015-11-06",1.725
"243","2015-11-09",1.725
"244","2015-11-10",1.725
"245","2015-11-11",1.125
"246","2015-11-12",1.125
"247","2015-11-13",1.5
"248","2015-11-16",1.125
"249","2015-11-17",1.05
"250","2015-11-18",1.035
"251","2015-11-19",1.125
"252","2015-11-20",1.2
"253","2015-11-23",1.215
"254","2015-11-24",1.425
"255","2015-11-25",1.2
"256","2015-11-27",1.245
"257","2015-11-30",1.245
"258","2015-12-01",1.05
"259","2015-12-02",1.05
"260","2015-12-03",1.05
"261","2015-12-04",1.05
"262","2015-12-07",1.05
"263","2015-12-08",0.75
"264","2015-12-09",0.75
"265","2015-12-10",0.675
"266","2015-12-11",1.05
"267","2015-12-14",1.05
"268","2015-12-15",0.75
"269","2015-12-16",0.6
"270","2015-12-17",0.675
"271","2015-12-18",0.75
"272","2015-12-21",0.75
"273","2015-12-22",0.75
"274","2015-12-23",0.9
"275","2015-12-24",0.9
"276","2015-12-28",0.9
"277","2015-12-29",0.75
"278","2015-12-30",0.75
"279","2015-12-31",0.75
"280","2016-01-04",0.75
"281","2016-01-05",1.05
"282","2016-01-06",0.6
"283","2016-01-07",0.75
"284","2016-01-08",0.75
"285","2016-01-11",0.675
"286","2016-01-12",0.9
"287","2016-01-13",0.555
"288","2016-01-14",0.75
"289","2016-01-15",0.6
"290","2016-01-19",0.6
"291","2016-01-20",0.54
"292","2016-01-21",0.525
"293","2016-01-22",0.525
"294","2016-01-25",0.525
"295","2016-01-26",0.525
"296","2016-01-27",0.525
"297","2016-01-28",0.525
"298","2016-01-29",0.375
"299","2016-02-01",0.375
"300","2016-02-02",0.375
"301","2016-02-03",0.6
"302","2016-02-04",0.9
"303","2016-02-05",0.75
"304","2016-02-08",0.75
"305","2016-02-09",0.66
"306","2016-02-10",0.66
"307","2016-02-11",0.66
"308","2016-02-12",0.75
"309","2016-02-16",0.705
"310","2016-02-17",0.6
"311","2016-02-18",0.6
"312","2016-02-19",0.6
"313","2016-02-22",0.78
"314","2016-02-23",0.66
"315","2016-02-24",0.75
"316","2016-02-25",0.705
"317","2016-02-26",0.75
"318","2016-02-29",0.75
"319","2016-03-01",0.81
"320","2016-03-02",0.72
"321","2016-03-03",0.9
"322","2016-03-04",0.9
"323","2016-03-07",0.9
"324","2016-03-08",0.9
"325","2016-03-09",0.9
"326","2016-03-10",0.9
"327","2016-03-11",0.9
"328","2016-03-14",0.825
"329","2016-03-15",0.825
"330","2016-03-16",0.675
"331","2016-03-17",0.69
"332","2016-03-18",0.975
"333","2016-03-21",1.35
"334","2016-03-22",1.35
"335","2016-03-23",1.35
"336","2016-03-24",1.35
"337","2016-03-28",1.35
"338","2016-03-29",1.5
"339","2016-03-30",0.975
"340","2016-03-31",1.2
"341","2016-04-01",1.185
"342","2016-04-04",1.185
"343","2016-04-05",1.185
"344","2016-04-06",1.095
"345","2016-04-07",1.5
"346","2016-04-08",1.35
"347","2016-04-11",1.05
"348","2016-04-12",0.9
"349","2016-04-13",0.9
"350","2016-04-14",0.9
"351","2016-04-15",0.9
"352","2016-04-18",0.9
"353","2016-04-19",0.9
"354","2016-04-20",0.9
"355","2016-04-21",0.9
"356","2016-04-22",1.05
"357","2016-04-25",1.05
"358","2016-04-26",1.05
"359","2016-04-27",1.02
"360","2016-04-28",1.02
"361","2016-04-29",1.02
"362","2016-05-02",1.35
"363","2016-05-03",1.275
"364","2016-05-04",1.05
"365","2016-05-05",1.05
"366","2016-05-06",1.05
"367","2016-05-09",1.125
"368","2016-05-10",1.125
"369","2016-05-11",1.275
"370","2016-05-12",1.425
"371","2016-05-13",1.35
"372","2016-05-16",2.25
"373","2016-05-17",1.875
"374","2016-05-18",2.475
"375","2016-05-19",1.575
"376","2016-05-20",1.8
"377","2016-05-23",1.86
"378","2016-05-24",1.65
"379","2016-05-25",1.8
"380","2016-05-26",1.8
"381","2016-05-27",1.8
"382","2016-05-31",1.8
"383","2016-06-01",2.325
"384","2016-06-02",2.025
"385","2016-06-03",2.025
"386","2016-06-06",2.025
"387","2016-06-07",1.8
"388","2016-06-08",1.95
"389","2016-06-09",1.95
"390","2016-06-10",2.1
"391","2016-06-13",2.1
"392","2016-06-14",2.1
"393","2016-06-15",2.07
"394","2016-06-16",2.205
"395","2016-06-17",1.875
"396","2016-06-20",2.025
"397","2016-06-21",1.8
"398","2016-06-22",1.92
"399","2016-06-23",1.92
"400","2016-06-24",1.905
"401","2016-06-27",1.905
"402","2016-06-28",1.905
"403","2016-06-29",1.83
"404","2016-06-30",1.59
"405","2016-07-01",1.905
"406","2016-07-05",1.905
"407","2016-07-06",1.89
"408","2016-07-07",1.89
"409","2016-07-08",1.89
"410","2016-07-11",1.89
"411","2016-07-12",1.89
"412","2016-07-13",1.905
"413","2016-07-14",1.8
"414","2016-07-15",1.65
"415","2016-07-18",1.8
"416","2016-07-19",1.5
"417","2016-07-20",1.5
"418","2016-07-21",1.44
"419","2016-07-22",1.5
"420","2016-07-25",1.5
"421","2016-07-26",1.2
"422","2016-07-27",1.35
"423","2016-07-28",1.335
"424","2016-07-29",1.35
"425","2016-08-01",1.35
"426","2016-08-02",1.35
"427","2016-08-03",1.2
"428","2016-08-04",1.2
"429","2016-08-05",1.545
"430","2016-08-08",1.35
"431","2016-08-09",1.35
"432","2016-08-10",1.2
"433","2016-08-11",1.215
"434","2016-08-12",1.635
"435","2016-08-15",1.725
"436","2016-08-16",1.575
"437","2016-08-17",1.425
"438","2016-08-18",1.455
"439","2016-08-19",1.455
"440","2016-08-22",1.875
"441","2016-08-23",1.785
"442","2016-08-24",1.65
"443","2016-08-25",1.65
"444","2016-08-26",1.65
"445","2016-08-29",1.53
"446","2016-08-30",1.5
"447","2016-08-31",1.425
"448","2016-09-01",1.5
"449","2016-09-02",1.875
"450","2016-09-06",2.025
"451","2016-09-07",1.65
"452","2016-09-08",1.725
"453","2016-09-09",2.025
"454","2016-09-12",1.965
"455","2016-09-13",1.965
"456","2016-09-14",1.95
"457","2016-09-15",2.25
"458","2016-09-16",2.25
"459","2016-09-19",2.4
"460","2016-09-20",2.1
"461","2016-09-21",2.4
"462","2016-09-22",2.55
"463","2016-09-23",2.55
"464","2016-09-26",2.7
"465","2016-09-27",2.4
"466","2016-09-28",2.475
"467","2016-09-29",2.43
"468","2016-09-30",2.175
"469","2016-10-03",2.175
"470","2016-10-04",2.1
"471","2016-10-05",2.19
"472","2016-10-06",1.875
"473","2016-10-07",1.875
"474","2016-10-10",2.25
"475","2016-10-11",2.25
"476","2016-10-12",2.025
"477","2016-10-13",1.845
"478","2016-10-14",1.98
"479","2016-10-17",1.875
"480","2016-10-18",1.5
"481","2016-10-19",1.8
"482","2016-10-20",1.95
"483","2016-10-21",1.755
"484","2016-10-24",1.845
"485","2016-10-25",1.5
"486","2016-10-26",1.5
"487","2016-10-27",1.635
"488","2016-10-28",1.575
"489","2016-10-31",2.01
"490","2016-11-01",1.65
"491","2016-11-02",1.65
"492","2016-11-03",1.8
"493","2016-11-04",1.68
"494","2016-11-07",1.68
"495","2016-11-08",1.68
"496","2016-11-09",1.65
"497","2016-11-10",1.41
"498","2016-11-11",1.425
"499","2016-11-14",1.425
"500","2016-11-15",1.455
"501","2016-11-16",1.455
"502","2016-11-17",1.425
"503","2016-11-18",1.425
"504","2016-11-21",1.2
"505","2016-11-22",1.23
"506","2016-11-23",1.65
"507","2016-11-25",1.485
"508","2016-11-28",1.275
"509","2016-11-29",1.65
"510","2016-11-30",1.635
"511","2016-12-01",1.575
"512","2016-12-02",1.65
"513","2016-12-05",1.575
"514","2016-12-06",1.575
"515","2016-12-07",1.5
"516","2016-12-08",1.425
"517","2016-12-09",1.56
"518","2016-12-12",1.38
"519","2016-12-13",1.515
"520","2016-12-14",1.47
"521","2016-12-15",1.5
"522","2016-12-16",1.395
"523","2016-12-19",1.125
"524","2016-12-20",1.125
"525","2016-12-21",1.275
"526","2016-12-22",1.35
"527","2016-12-23",1.35
"528","2016-12-27",1.335
"529","2016-12-28",1.275
"530","2016-12-29",1.2
