"","date","VJET"
"1","2013-10-18",144
"2","2013-10-21",177.149994
"3","2013-10-22",165.949997
"4","2013-10-23",147.649994
"5","2013-10-24",168.75
"6","2013-10-25",171.649994
"7","2013-10-28",153.850006
"8","2013-10-29",167.149994
"9","2013-10-30",163.25
"10","2013-10-31",170.399994
"11","2013-11-01",169.800003
"12","2013-11-04",178.449997
"13","2013-11-05",194.100006
"14","2013-11-06",204.199997
"15","2013-11-07",200.5
"16","2013-11-08",224.550003
"17","2013-11-11",255.75
"18","2013-11-12",250.800003
"19","2013-11-13",240.5
"20","2013-11-14",262
"21","2013-11-15",294.950012
"22","2013-11-18",341.850006
"23","2013-11-19",290.049988
"24","2013-11-20",196.050003
"25","2013-11-21",169.100006
"26","2013-11-22",179.300003
"27","2013-11-25",196.949997
"28","2013-11-26",224.449997
"29","2013-11-27",205.25
"30","2013-11-29",205
"31","2013-12-02",199.949997
"32","2013-12-03",216.25
"33","2013-12-04",215.949997
"34","2013-12-05",209.5
"35","2013-12-06",202.25
"36","2013-12-09",188.449997
"37","2013-12-10",195.550003
"38","2013-12-11",184.75
"39","2013-12-12",188.050003
"40","2013-12-13",189
"41","2013-12-16",185.649994
"42","2013-12-17",178.949997
"43","2013-12-18",178.350006
"44","2013-12-19",176.199997
"45","2013-12-20",184.449997
"46","2013-12-23",203.149994
"47","2013-12-24",192.649994
"48","2013-12-26",195.850006
"49","2013-12-27",190.350006
"50","2013-12-30",192.199997
"51","2013-12-31",197.449997
"52","2014-01-02",216.649994
"53","2014-01-03",233.899994
"54","2014-01-06",220.449997
"55","2014-01-07",214
"56","2014-01-08",223
"57","2014-01-09",220.149994
"58","2014-01-10",220.550003
"59","2014-01-13",215.649994
"60","2014-01-14",212.149994
"61","2014-01-15",205.050003
"62","2014-01-16",203.399994
"63","2014-01-17",201.899994
"64","2014-01-21",194.850006
"65","2014-01-22",198.699997
"66","2014-01-23",195.399994
"67","2014-01-24",180.75
"68","2014-01-27",179.449997
"69","2014-01-28",179.350006
"70","2014-01-29",178.949997
"71","2014-01-30",181.75
"72","2014-01-31",178.850006
"73","2014-02-03",166.5
"74","2014-02-04",170.149994
"75","2014-02-05",159.5
"76","2014-02-06",156.75
"77","2014-02-07",162
"78","2014-02-10",174.850006
"79","2014-02-11",182.199997
"80","2014-02-12",172.25
"81","2014-02-13",170.550003
"82","2014-02-14",172.199997
"83","2014-02-18",173.399994
"84","2014-02-19",170.050003
"85","2014-02-20",175.600006
"86","2014-02-21",175.399994
"87","2014-02-24",175.300003
"88","2014-02-25",173
"89","2014-02-26",172.5
"90","2014-02-27",176.100006
"91","2014-02-28",182.5
"92","2014-03-03",181.949997
"93","2014-03-04",184.75
"94","2014-03-05",178.75
"95","2014-03-06",172.949997
"96","2014-03-07",170.949997
