"","date","VMC"
"1","2007-01-03",89.949997
"2","2007-01-04",89.690002
"3","2007-01-05",88.260002
"4","2007-01-08",88.860001
"5","2007-01-09",89.75
"6","2007-01-10",90.07
"7","2007-01-11",91.650002
"8","2007-01-12",93.120003
"9","2007-01-16",94.620003
"10","2007-01-17",95.760002
"11","2007-01-18",95.559998
"12","2007-01-19",96.790001
"13","2007-01-22",96
"14","2007-01-23",100.099998
"15","2007-01-24",101.75
"16","2007-01-25",100.760002
"17","2007-01-26",100.650002
"18","2007-01-29",100.589996
"19","2007-01-30",101.110001
"20","2007-01-31",101.839996
"21","2007-02-01",103.209999
"22","2007-02-02",103.029999
"23","2007-02-05",105.43
"24","2007-02-06",106.919998
"25","2007-02-07",107.099998
"26","2007-02-08",109.199997
"27","2007-02-09",109.190002
"28","2007-02-12",108.169998
"29","2007-02-13",111.410004
"30","2007-02-14",111.800003
"31","2007-02-15",112.309998
"32","2007-02-16",111.809998
"33","2007-02-20",111.139999
"34","2007-02-21",121.989998
"35","2007-02-22",119.5
"36","2007-02-23",119.839996
"37","2007-02-26",119.739998
"38","2007-02-27",114.5
"39","2007-02-28",116.650002
"40","2007-03-01",118.239998
"41","2007-03-02",117.089996
"42","2007-03-05",113.459999
"43","2007-03-06",114.839996
"44","2007-03-07",117.160004
"45","2007-03-08",119.93
"46","2007-03-09",118.629997
"47","2007-03-12",119.309998
"48","2007-03-13",116.010002
"49","2007-03-14",115.360001
"50","2007-03-15",117.260002
"51","2007-03-16",114.989998
"52","2007-03-19",115.480003
"53","2007-03-20",117.410004
"54","2007-03-21",119.790001
"55","2007-03-22",119.610001
"56","2007-03-23",119.099998
"57","2007-03-26",118.470001
"58","2007-03-27",116.989998
"59","2007-03-28",116.050003
"60","2007-03-29",116.870003
"61","2007-03-30",116.480003
"62","2007-04-02",115.959999
"63","2007-04-03",118.82
"64","2007-04-04",118.019997
"65","2007-04-05",118.459999
"66","2007-04-09",118.120003
"67","2007-04-10",118.93
"68","2007-04-11",116.139999
"69","2007-04-12",116
"70","2007-04-13",114.330002
"71","2007-04-16",116.889999
"72","2007-04-17",115.059998
"73","2007-04-18",113.550003
"74","2007-04-19",113.75
"75","2007-04-20",116.989998
"76","2007-04-23",117.790001
"77","2007-04-24",117.459999
"78","2007-04-25",119.769997
"79","2007-04-26",121.540001
"80","2007-04-27",122.160004
"81","2007-04-30",123.669998
"82","2007-05-01",115.269997
"83","2007-05-02",116.690002
"84","2007-05-03",118.610001
"85","2007-05-04",118.459999
"86","2007-05-07",118.739998
"87","2007-05-08",118.279999
"88","2007-05-09",116.889999
"89","2007-05-10",113.82
"90","2007-05-11",114.860001
"91","2007-05-14",111.760002
"92","2007-05-15",112.339996
"93","2007-05-16",114.760002
"94","2007-05-17",114.629997
"95","2007-05-18",114.419998
"96","2007-05-21",115.830002
"97","2007-05-22",117.470001
"98","2007-05-23",117.370003
"99","2007-05-24",116.709999
"100","2007-05-25",117.330002
"101","2007-05-29",118.099998
"102","2007-05-30",120.220001
"103","2007-05-31",119.690002
"104","2007-06-01",121.529999
"105","2007-06-04",121.360001
"106","2007-06-05",120.230003
"107","2007-06-06",117.620003
"108","2007-06-07",113.760002
"109","2007-06-08",116.519997
"110","2007-06-11",116.849998
"111","2007-06-12",115.080002
"112","2007-06-13",117.830002
"113","2007-06-14",119.010002
"114","2007-06-15",121.019997
"115","2007-06-18",120.980003
"116","2007-06-19",118.989998
"117","2007-06-20",116.970001
"118","2007-06-21",119.5
"119","2007-06-22",118.080002
"120","2007-06-25",116.239998
"121","2007-06-26",113.800003
"122","2007-06-27",115.959999
"123","2007-06-28",114.919998
"124","2007-06-29",114.540001
"125","2007-07-02",115.279999
"126","2007-07-03",115
"127","2007-07-05",113.779999
"128","2007-07-06",115.589996
"129","2007-07-09",113.139999
"130","2007-07-10",109.839996
"131","2007-07-11",110.620003
"132","2007-07-12",115.080002
"133","2007-07-13",114.419998
"134","2007-07-16",111.080002
"135","2007-07-17",111.260002
"136","2007-07-18",112.419998
"137","2007-07-19",106.230003
"138","2007-07-20",103.169998
"139","2007-07-23",103.099998
"140","2007-07-24",101.080002
"141","2007-07-25",100.260002
"142","2007-07-26",96.589996
"143","2007-07-27",95.529999
"144","2007-07-30",95.120003
"145","2007-07-31",95.720001
"146","2007-08-01",96.599998
"147","2007-08-02",96.779999
"148","2007-08-03",93.760002
"149","2007-08-06",95.739998
"150","2007-08-07",95.489998
"151","2007-08-08",98.82
"152","2007-08-09",97.650002
"153","2007-08-10",96.150002
"154","2007-08-13",94.980003
"155","2007-08-14",90.620003
"156","2007-08-15",88.519997
"157","2007-08-16",86.910004
"158","2007-08-17",88.459999
"159","2007-08-20",88.169998
"160","2007-08-21",87.169998
"161","2007-08-22",90.809998
"162","2007-08-23",88.870003
"163","2007-08-24",91.589996
"164","2007-08-27",90.919998
"165","2007-08-28",87.349998
"166","2007-08-29",89.940002
"167","2007-08-30",88.690002
"168","2007-08-31",90.010002
"169","2007-09-04",89.669998
"170","2007-09-05",87.400002
"171","2007-09-06",87.300003
"172","2007-09-07",84.650002
"173","2007-09-10",82.790001
"174","2007-09-11",85.620003
"175","2007-09-12",85.769997
"176","2007-09-13",86.5
"177","2007-09-14",85.150002
"178","2007-09-17",82.230003
"179","2007-09-18",85.839996
"180","2007-09-19",84.910004
"181","2007-09-20",83.970001
"182","2007-09-21",86.82
"183","2007-09-24",86.019997
"184","2007-09-25",84.769997
"185","2007-09-26",85.040001
"186","2007-09-27",89.220001
"187","2007-09-28",89.150002
"188","2007-10-01",91.650002
"189","2007-10-02",94.75
"190","2007-10-03",94.849998
"191","2007-10-04",93.690002
"192","2007-10-05",95.029999
"193","2007-10-08",94.120003
"194","2007-10-09",93
"195","2007-10-10",92
"196","2007-10-11",90.580002
"197","2007-10-12",92.32
"198","2007-10-15",92.57
"199","2007-10-16",90.080002
"200","2007-10-17",89.879997
"201","2007-10-18",87.239998
"202","2007-10-19",85.400002
"203","2007-10-22",85.589996
"204","2007-10-23",85.290001
"205","2007-10-24",86.279999
"206","2007-10-25",86.540001
"207","2007-10-26",88.209999
"208","2007-10-29",88.559998
"209","2007-10-30",86.220001
"210","2007-10-31",85.510002
"211","2007-11-01",82.690002
"212","2007-11-02",82.82
"213","2007-11-05",80.510002
"214","2007-11-06",84.760002
"215","2007-11-07",79.959999
"216","2007-11-08",79.540001
"217","2007-11-09",80.699997
"218","2007-11-12",80.980003
"219","2007-11-13",83.82
"220","2007-11-14",83.290001
"221","2007-11-15",83.309998
"222","2007-11-16",82.769997
"223","2007-11-19",80.809998
"224","2007-11-20",81.900002
"225","2007-11-21",81.309998
"226","2007-11-23",81.709999
"227","2007-11-26",80.480003
"228","2007-11-27",82.010002
"229","2007-11-28",86.510002
"230","2007-11-29",87.260002
"231","2007-11-30",88.800003
"232","2007-12-03",87.650002
"233","2007-12-04",83.629997
"234","2007-12-05",84.190002
"235","2007-12-06",88.279999
"236","2007-12-07",87.949997
"237","2007-12-10",89.169998
"238","2007-12-11",84.830002
"239","2007-12-12",84.800003
"240","2007-12-13",84.43
"241","2007-12-14",81.43
"242","2007-12-17",80.160004
"243","2007-12-18",81.330002
"244","2007-12-19",81.019997
"245","2007-12-20",80.470001
"246","2007-12-21",81.470001
"247","2007-12-24",81.290001
"248","2007-12-26",80.699997
"249","2007-12-27",78.57
"250","2007-12-28",77.43
"251","2007-12-31",79.089996
"252","2008-01-02",76.419998
"253","2008-01-03",74.32
"254","2008-01-04",71.010002
"255","2008-01-07",71.010002
"256","2008-01-08",67.5
"257","2008-01-09",68.370003
"258","2008-01-10",67.739998
"259","2008-01-11",68.629997
"260","2008-01-14",71.209999
"261","2008-01-15",69.870003
"262","2008-01-16",71.199997
"263","2008-01-17",66.790001
"264","2008-01-18",66.059998
"265","2008-01-22",66.169998
"266","2008-01-23",69
"267","2008-01-24",71
"268","2008-01-25",70.440002
"269","2008-01-28",73.589996
"270","2008-01-29",75.349998
"271","2008-01-30",74.129997
"272","2008-01-31",78.25
"273","2008-02-01",77.470001
"274","2008-02-04",75.440002
"275","2008-02-05",69.519997
"276","2008-02-06",69.860001
"277","2008-02-07",70.690002
"278","2008-02-08",70.160004
"279","2008-02-11",69.440002
"280","2008-02-12",68.360001
"281","2008-02-13",70.459999
"282","2008-02-14",67.040001
"283","2008-02-15",66.639999
"284","2008-02-19",66.5
"285","2008-02-20",68.75
"286","2008-02-21",68.120003
"287","2008-02-22",68.260002
"288","2008-02-25",69.860001
"289","2008-02-26",71.529999
"290","2008-02-27",71.400002
"291","2008-02-28",71.769997
"292","2008-02-29",70.099998
"293","2008-03-03",71.25
"294","2008-03-04",71.110001
"295","2008-03-05",70.5
"296","2008-03-06",66.889999
"297","2008-03-07",65.470001
"298","2008-03-10",63.150002
"299","2008-03-11",65.839996
"300","2008-03-12",65.910004
"301","2008-03-13",65.910004
"302","2008-03-14",65.290001
"303","2008-03-17",64.220001
"304","2008-03-18",67.290001
"305","2008-03-19",64.43
"306","2008-03-20",65.849998
"307","2008-03-24",70.43
"308","2008-03-25",68.550003
"309","2008-03-26",66.690002
"310","2008-03-27",66.910004
"311","2008-03-28",66.18
"312","2008-03-31",66.400002
"313","2008-04-01",71.279999
"314","2008-04-02",69.720001
"315","2008-04-03",70.260002
"316","2008-04-04",70.639999
"317","2008-04-07",70.150002
"318","2008-04-08",70.419998
"319","2008-04-09",69.589996
"320","2008-04-10",70.540001
"321","2008-04-11",70.769997
"322","2008-04-14",68.199997
"323","2008-04-15",68.989998
"324","2008-04-16",70.190002
"325","2008-04-17",71.68
"326","2008-04-18",72.279999
"327","2008-04-21",71.580002
"328","2008-04-22",68.980003
"329","2008-04-23",66.629997
"330","2008-04-24",66.889999
"331","2008-04-25",67.360001
"332","2008-04-28",68.639999
"333","2008-04-29",68.559998
"334","2008-04-30",68.82
"335","2008-05-01",68.339996
"336","2008-05-02",68.75
"337","2008-05-05",67.489998
"338","2008-05-06",65.139999
"339","2008-05-07",64.760002
"340","2008-05-08",65.150002
"341","2008-05-09",66.300003
"342","2008-05-12",70.510002
"343","2008-05-13",72.150002
"344","2008-05-14",72.620003
"345","2008-05-15",74.879997
"346","2008-05-16",77.470001
"347","2008-05-19",82.989998
"348","2008-05-20",81.599998
"349","2008-05-21",77.989998
"350","2008-05-22",75.449997
"351","2008-05-23",74.349998
"352","2008-05-27",75.970001
"353","2008-05-28",76.669998
"354","2008-05-29",76.07
"355","2008-05-30",76.93
"356","2008-06-02",77.25
"357","2008-06-03",73.93
"358","2008-06-04",73.379997
"359","2008-06-05",74.5
"360","2008-06-06",70.949997
"361","2008-06-09",71.349998
"362","2008-06-10",72.010002
"363","2008-06-11",68.639999
"364","2008-06-12",68.82
"365","2008-06-13",69.370003
"366","2008-06-16",69.440002
"367","2008-06-17",67.949997
"368","2008-06-18",66.400002
"369","2008-06-19",66.139999
"370","2008-06-20",63.919998
"371","2008-06-23",63.380001
"372","2008-06-24",62.810001
"373","2008-06-25",63.25
"374","2008-06-26",60.5
"375","2008-06-27",60.52
"376","2008-06-30",59.779999
"377","2008-07-01",58.139999
"378","2008-07-02",56.389999
"379","2008-07-03",56.490002
"380","2008-07-07",54.650002
"381","2008-07-08",56.84
"382","2008-07-09",55.459999
"383","2008-07-10",52.860001
"384","2008-07-11",50.34
"385","2008-07-14",51.150002
"386","2008-07-15",54.439999
"387","2008-07-16",60
"388","2008-07-17",64.43
"389","2008-07-18",62.93
"390","2008-07-21",60.830002
