"","date","VYNE"
"1","2020-03-10",3.76
"2","2020-03-11",3.3
"3","2020-03-12",2.65
"4","2020-03-13",3.02
"5","2020-03-16",2.71
"6","2020-03-17",2.56
"7","2020-03-18",2.18
"8","2020-03-19",2.67
"9","2020-03-20",3.49
"10","2020-03-23",3.13
"11","2020-03-24",3.06
"12","2020-03-25",2.96
"13","2020-03-26",3.14
"14","2020-03-27",2.88
"15","2020-03-30",2.63
"16","2020-03-31",2.68
"17","2020-04-01",2.39
"18","2020-04-02",2.64
"19","2020-04-03",2.59
"20","2020-04-06",1.4
"21","2020-04-07",1.03
"22","2020-04-08",1.06
"23","2020-04-09",1.2
"24","2020-04-13",1.31
"25","2020-04-14",1.44
"26","2020-04-15",1.39
"27","2020-04-16",1.3
"28","2020-04-17",1.3
"29","2020-04-20",1.32
"30","2020-04-21",1.29
"31","2020-04-22",1.32
"32","2020-04-23",1.45
"33","2020-04-24",1.41
"34","2020-04-27",1.76
"35","2020-04-28",1.72
"36","2020-04-29",1.82
"37","2020-04-30",1.82
"38","2020-05-01",1.77
"39","2020-05-04",1.76
"40","2020-05-05",1.82
"41","2020-05-06",1.95
"42","2020-05-07",1.97
"43","2020-05-08",1.95
"44","2020-05-11",1.84
"45","2020-05-12",1.81
"46","2020-05-13",1.7
"47","2020-05-14",1.71
"48","2020-05-15",1.69
"49","2020-05-18",1.69
"50","2020-05-19",1.82
"51","2020-05-20",1.965
"52","2020-05-21",2.2
"53","2020-05-22",2.24
"54","2020-05-26",2.4
"55","2020-05-27",2.43
"56","2020-05-28",2.51
"57","2020-05-29",NA
"58","2020-06-01",NA
"59","2020-06-02",NA
"60","2020-06-03",NA
"61","2020-06-04",NA
"62","2020-06-05",NA
"63","2020-06-08",NA
"64","2020-06-09",NA
"65","2020-06-10",NA
"66","2020-06-11",NA
"67","2020-06-12",NA
"68","2020-06-15",NA
"69","2020-06-16",NA
"70","2020-06-17",NA
"71","2020-06-18",NA
"72","2020-06-19",NA
"73","2020-06-22",NA
"74","2020-06-23",NA
"75","2020-06-24",NA
"76","2020-06-25",NA
"77","2020-06-26",NA
"78","2020-06-29",NA
"79","2020-06-30",NA
"80","2020-07-01",NA
"81","2020-07-02",NA
"82","2020-07-06",NA
"83","2020-07-07",NA
"84","2020-07-08",NA
"85","2020-07-09",NA
"86","2020-07-10",NA
"87","2020-07-13",NA
"88","2020-07-14",NA
"89","2020-07-15",NA
"90","2020-07-16",NA
"91","2020-07-17",NA
"92","2020-07-20",NA
"93","2020-07-21",NA
"94","2020-07-22",NA
"95","2020-07-23",NA
"96","2020-07-24",NA
"97","2020-07-27",NA
"98","2020-07-28",NA
"99","2020-07-29",NA
"100","2020-07-30",NA
"101","2020-07-31",NA
"102","2020-08-03",NA
"103","2020-08-04",NA
"104","2020-08-05",NA
"105","2020-08-06",NA
"106","2020-08-07",NA
"107","2020-08-10",NA
"108","2020-08-11",NA
"109","2020-08-12",NA
"110","2020-08-13",NA
"111","2020-08-14",NA
"112","2020-08-17",NA
"113","2020-08-18",NA
"114","2020-08-19",NA
"115","2020-08-20",NA
"116","2020-08-21",NA
"117","2020-08-24",NA
"118","2020-08-25",NA
"119","2020-08-26",NA
"120","2020-08-27",NA
"121","2020-08-28",NA
"122","2020-08-31",NA
"123","2020-09-01",NA
"124","2020-09-02",NA
"125","2020-09-03",NA
"126","2020-09-04",NA
"127","2020-09-08",1.47
"128","2020-09-09",1.485
"129","2020-09-10",1.46
"130","2020-09-11",1.51
"131","2020-09-14",1.65
"132","2020-09-15",1.71
"133","2020-09-16",1.72
"134","2020-09-17",1.81
"135","2020-09-18",1.83
"136","2020-09-21",1.71
"137","2020-09-22",1.7
"138","2020-09-23",1.52
"139","2020-09-24",1.62
"140","2020-09-25",1.52
"141","2020-09-28",1.57
"142","2020-09-29",1.65
"143","2020-09-30",1.66
"144","2020-10-01",1.62
"145","2020-10-02",1.61
"146","2020-10-05",1.79
"147","2020-10-06",1.75
"148","2020-10-07",1.89
"149","2020-10-08",1.93
"150","2020-10-09",1.87
"151","2020-10-12",1.89
"152","2020-10-13",1.9
"153","2020-10-14",1.84
"154","2020-10-15",1.92
"155","2020-10-16",1.97
"156","2020-10-19",1.93
"157","2020-10-20",1.94
"158","2020-10-21",1.82
"159","2020-10-22",1.92
"160","2020-10-23",1.88
"161","2020-10-26",1.82
"162","2020-10-27",1.8
"163","2020-10-28",1.63
"164","2020-10-29",1.72
"165","2020-10-30",1.6
"166","2020-11-02",1.67
"167","2020-11-03",1.78
"168","2020-11-04",1.72
"169","2020-11-05",1.77
"170","2020-11-06",1.675
"171","2020-11-09",1.73
"172","2020-11-10",1.73
"173","2020-11-11",1.76
"174","2020-11-12",1.67
"175","2020-11-13",1.69
"176","2020-11-16",1.7
"177","2020-11-17",1.68
"178","2020-11-18",1.66
"179","2020-11-19",1.64
"180","2020-11-20",1.67
"181","2020-11-23",1.64
"182","2020-11-24",1.64
"183","2020-11-25",1.65
"184","2020-11-27",1.72
