"","date","V"
"1","2008-03-19",14.125
"2","2008-03-20",16.0875
"3","2008-03-24",14.9325
"4","2008-03-25",15.8125
"5","2008-03-26",15.99
"6","2008-03-27",15.7275
"7","2008-03-28",15.69
"8","2008-03-31",15.59
"9","2008-04-01",15.4025
"10","2008-04-02",15.58
"11","2008-04-03",16.375
"12","2008-04-04",16.120001
"13","2008-04-07",16.26
"14","2008-04-08",17.022499
"15","2008-04-09",16.4475
"16","2008-04-10",16.5275
"17","2008-04-11",16.5275
"18","2008-04-14",16.42
"19","2008-04-15",16.0875
"20","2008-04-16",16.535
"21","2008-04-17",16.76
"22","2008-04-18",17.25
"23","2008-04-21",17.7425
"24","2008-04-22",17.57
"25","2008-04-23",17.52
"26","2008-04-24",18.075001
"27","2008-04-25",18.775
"28","2008-04-28",18.907499
"29","2008-04-29",20.219999
"30","2008-04-30",20.862499
"31","2008-05-01",21.35
"32","2008-05-02",20.6875
"33","2008-05-05",21.264999
"34","2008-05-06",21.8825
"35","2008-05-07",22.125
"36","2008-05-08",21.825001
"37","2008-05-09",20.715
"38","2008-05-12",20.475
"39","2008-05-13",20.594999
"40","2008-05-14",20.557501
"41","2008-05-15",20.5625
"42","2008-05-16",20.592501
"43","2008-05-19",20.83
"44","2008-05-20",20.684999
"45","2008-05-21",20.2125
"46","2008-05-22",19.327499
"47","2008-05-23",19.0875
"48","2008-05-27",19.684999
"49","2008-05-28",20.48
"50","2008-05-29",21.3125
"51","2008-05-30",21.59
"52","2008-06-02",21.5175
"53","2008-06-03",21.889999
"54","2008-06-04",21.370001
"55","2008-06-05",21.809999
"56","2008-06-06",20.9125
"57","2008-06-09",20.535
"58","2008-06-10",20.077499
"59","2008-06-11",19.434999
"60","2008-06-12",19.889999
"61","2008-06-13",20.3825
"62","2008-06-16",20.817499
"63","2008-06-17",21.1675
"64","2008-06-18",20.965
"65","2008-06-19",21.067499
"66","2008-06-20",20.8925
"67","2008-06-23",20.264999
"68","2008-06-24",20.665001
"69","2008-06-25",20.514999
"70","2008-06-26",19.775
"71","2008-06-27",20.65
"72","2008-06-30",20.327499
"73","2008-07-01",20.352501
"74","2008-07-02",19.855
"75","2008-07-03",19.5175
"76","2008-07-07",18.905001
"77","2008-07-08",19.764999
"78","2008-07-09",18.967501
"79","2008-07-10",19.3125
"80","2008-07-11",18.637501
"81","2008-07-14",18.145
"82","2008-07-15",17.105
"83","2008-07-16",18.057501
"84","2008-07-17",18.764999
"85","2008-07-18",18.35
"86","2008-07-21",17.975
"87","2008-07-22",18.512501
"88","2008-07-23",18.3125
"89","2008-07-24",17.52
"90","2008-07-25",17.99
"91","2008-07-28",17.637501
"92","2008-07-29",18.9925
"93","2008-07-30",19.612499
"94","2008-07-31",18.264999
"95","2008-08-01",17.932501
"96","2008-08-04",18.125
"97","2008-08-05",18.4
"98","2008-08-06",17.870001
"99","2008-08-07",17.375
"100","2008-08-08",18.15
"101","2008-08-11",18.6975
"102","2008-08-12",18.200001
"103","2008-08-13",18.4825
"104","2008-08-14",18.945
"105","2008-08-15",18.9475
"106","2008-08-18",18.735001
"107","2008-08-19",18.434999
"108","2008-08-20",18.6425
"109","2008-08-21",18.594999
"110","2008-08-22",18.522499
"111","2008-08-25",18.33
"112","2008-08-26",18.334999
"113","2008-08-27",18.612499
"114","2008-08-28",18.9125
"115","2008-08-29",18.975
"116","2008-09-02",18.747499
"117","2008-09-03",18.262501
"118","2008-09-04",17.625
"119","2008-09-05",17.940001
"120","2008-09-08",17.525
"121","2008-09-09",16.872499
"122","2008-09-10",17.26
"123","2008-09-11",17.737499
"124","2008-09-12",17.9125
"125","2008-09-15",17.344999
"126","2008-09-16",16.5875
"127","2008-09-17",16.022499
"128","2008-09-18",16.725
"129","2008-09-19",17.3925
"130","2008-09-22",16.295
"131","2008-09-23",16.725
"132","2008-09-24",16.42
"133","2008-09-25",16.15
"134","2008-09-26",15.51
"135","2008-09-29",14.45
"136","2008-09-30",15.3475
"137","2008-10-01",15.3275
"138","2008-10-02",14.3975
"139","2008-10-03",14.21
"140","2008-10-06",13.845
"141","2008-10-07",12.7875
"142","2008-10-08",13.1575
"143","2008-10-09",12.4625
"144","2008-10-10",13
"145","2008-10-13",14.7175
"146","2008-10-14",14.4025
"147","2008-10-15",12.4375
"148","2008-10-16",13.2675
"149","2008-10-17",13.055
"150","2008-10-20",13.0025
"151","2008-10-21",12.675
"152","2008-10-22",12.1275
"153","2008-10-23",12.08
"154","2008-10-24",11.995
"155","2008-10-27",11.6475
"156","2008-10-28",12.4925
"157","2008-10-29",12.6725
"158","2008-10-30",13.5625
"159","2008-10-31",13.8375
"160","2008-11-03",13.1225
"161","2008-11-04",14.9525
"162","2008-11-05",14.1175
"163","2008-11-06",12.8825
"164","2008-11-07",13.375
"165","2008-11-10",12.9975
"166","2008-11-11",13.4475
"167","2008-11-12",12.9375
"168","2008-11-13",13.61
"169","2008-11-14",13.56
"170","2008-11-17",13.19
"171","2008-11-18",13.66
"172","2008-11-19",12.895
"173","2008-11-20",12.035
"174","2008-11-21",11.595
"175","2008-11-24",12.43
"176","2008-11-25",12.3825
"177","2008-11-26",13
"178","2008-11-28",13.14
"179","2008-12-01",12.0125
"180","2008-12-02",12.42
"181","2008-12-03",13.11
"182","2008-12-04",12.7025
"183","2008-12-05",13.295
"184","2008-12-08",14.04
"185","2008-12-09",13.3825
"186","2008-12-10",13.29
"187","2008-12-11",13.0225
"188","2008-12-12",13.2375
"189","2008-12-15",13.1875
"190","2008-12-16",13.6925
"191","2008-12-17",13.84
"192","2008-12-18",13.675
"193","2008-12-19",13.7425
"194","2008-12-22",13.4375
"195","2008-12-23",13.4125
"196","2008-12-24",13.2225
"197","2008-12-26",13.3125
"198","2008-12-29",13.0425
"199","2008-12-30",12.7475
"200","2008-12-31",13.1125
"201","2009-01-02",13.36
"202","2009-01-05",13.455
"203","2009-01-06",14.4025
"204","2009-01-07",14.09
"205","2009-01-08",13.94
"206","2009-01-09",13.905
"207","2009-01-12",13.24
"208","2009-01-13",13.285
"209","2009-01-14",12.7425
"210","2009-01-15",12.345
"211","2009-01-16",11.8525
"212","2009-01-20",10.605
"213","2009-01-21",11.045
"214","2009-01-22",11.045
