"","date","WETF"
"1","2007-01-03",7.65
"2","2007-01-04",7.9
"3","2007-01-05",7.62
"4","2007-01-08",7.25
"5","2007-01-09",7.1
"6","2007-01-10",6.95
"7","2007-01-11",6.95
"8","2007-01-12",6.8
"9","2007-01-16",6.65
"10","2007-01-17",6.47
"11","2007-01-18",6.6
"12","2007-01-19",6.9
"13","2007-01-22",7.2
"14","2007-01-23",7.15
"15","2007-01-24",6.95
"16","2007-01-25",6.9
"17","2007-01-26",7.1
"18","2007-01-29",7.05
"19","2007-01-30",7.15
"20","2007-01-31",7.15
"21","2007-02-01",7.5
"22","2007-02-02",7.78
"23","2007-02-05",8
"24","2007-02-06",8.05
"25","2007-02-07",8.35
"26","2007-02-08",8.3
"27","2007-02-09",8.25
"28","2007-02-12",8.15
"29","2007-02-13",8.6
"30","2007-02-14",9
"31","2007-02-15",9.3
"32","2007-02-16",9.45
"33","2007-02-20",9.01
"34","2007-02-21",9
"35","2007-02-22",9.1
"36","2007-02-23",9
"37","2007-02-26",8.75
"38","2007-02-27",8
"39","2007-02-28",8.21
"40","2007-03-01",8.1
"41","2007-03-02",8
"42","2007-03-05",7.95
"43","2007-03-06",8.15
"44","2007-03-07",8.04
"45","2007-03-08",8.06
"46","2007-03-09",7.95
"47","2007-03-12",7.95
"48","2007-03-13",7.8
"49","2007-03-14",7.55
"50","2007-03-15",7.4
"51","2007-03-16",7.05
"52","2007-03-19",6.9
"53","2007-03-20",6.6
"54","2007-03-21",7
"55","2007-03-22",6.92
"56","2007-03-23",6.9
"57","2007-03-26",6.95
"58","2007-03-27",6.9
"59","2007-03-28",6.85
"60","2007-03-29",6.74
"61","2007-03-30",7
"62","2007-04-02",6.99
"63","2007-04-03",7.05
"64","2007-04-04",7.05
"65","2007-04-05",6.9
"66","2007-04-09",6.67
"67","2007-04-10",6.4
"68","2007-04-11",6.08
"69","2007-04-12",6.7
"70","2007-04-13",6.5
"71","2007-04-16",6.7
"72","2007-04-17",6.5
"73","2007-04-18",6.35
"74","2007-04-19",6.15
"75","2007-04-20",6.53
"76","2007-04-23",6.35
"77","2007-04-24",6.35
"78","2007-04-25",6.7
"79","2007-04-26",6.55
"80","2007-04-27",6.4
"81","2007-04-30",6.5
"82","2007-05-01",6.4
"83","2007-05-02",6.7
"84","2007-05-03",7
"85","2007-05-04",7.3
"86","2007-05-07",7.4
"87","2007-05-08",6.9
"88","2007-05-09",7.05
"89","2007-05-10",7
"90","2007-05-11",7.25
"91","2007-05-14",7.45
"92","2007-05-15",6.75
"93","2007-05-16",6.68
"94","2007-05-17",6.76
"95","2007-05-18",6.7
"96","2007-05-21",6.65
"97","2007-05-22",6.4
"98","2007-05-23",6.2
"99","2007-05-24",6.05
"100","2007-05-25",6.1
"101","2007-05-29",6.03
"102","2007-05-30",5.9
"103","2007-05-31",5.85
"104","2007-06-01",5.72
"105","2007-06-04",6
"106","2007-06-05",5.9
"107","2007-06-06",5.65
"108","2007-06-07",5.6
"109","2007-06-08",5.61
"110","2007-06-11",5.95
"111","2007-06-12",5.89
"112","2007-06-13",5.77
"113","2007-06-14",5.67
"114","2007-06-15",5.8
"115","2007-06-18",5.67
"116","2007-06-19",5.75
"117","2007-06-20",5.75
"118","2007-06-21",5.8
"119","2007-06-22",5.55
"120","2007-06-25",5.34
"121","2007-06-26",5.1
"122","2007-06-27",5.1
"123","2007-06-28",5.3
"124","2007-06-29",5.01
"125","2007-07-02",5
"126","2007-07-03",4.7
"127","2007-07-05",4.89
"128","2007-07-06",4.8
"129","2007-07-09",4.68
"130","2007-07-10",4.5
"131","2007-07-11",4.5
"132","2007-07-12",4.37
"133","2007-07-13",4.35
"134","2007-07-16",4.13
"135","2007-07-17",4.2
"136","2007-07-18",4.35
"137","2007-07-19",4.38
"138","2007-07-20",4.39
"139","2007-07-23",5
"140","2007-07-24",4.55
"141","2007-07-25",4.5
"142","2007-07-26",4.51
"143","2007-07-27",4.8
"144","2007-07-30",4.55
"145","2007-07-31",4.8
"146","2007-08-01",4.7
"147","2007-08-02",4.65
"148","2007-08-03",4.5
"149","2007-08-06",4.5
"150","2007-08-07",4.65
"151","2007-08-08",4.5
"152","2007-08-09",4.52
"153","2007-08-10",4.5
"154","2007-08-13",4.5
"155","2007-08-14",4.3
"156","2007-08-15",4.28
"157","2007-08-16",4
"158","2007-08-17",4.25
"159","2007-08-20",4.15
"160","2007-08-21",4
"161","2007-08-22",4
"162","2007-08-23",3.95
"163","2007-08-24",3.97
"164","2007-08-27",3.82
"165","2007-08-28",3.9
"166","2007-08-29",3.9
"167","2007-08-30",3.85
"168","2007-08-31",3.85
"169","2007-09-04",3.95
"170","2007-09-05",3.9
"171","2007-09-06",3.75
"172","2007-09-07",3.65
"173","2007-09-10",3.7
"174","2007-09-11",3.6
"175","2007-09-12",3.62
"176","2007-09-13",3.7
"177","2007-09-14",3.66
"178","2007-09-17",3.7
"179","2007-09-18",3.69
"180","2007-09-19",4
"181","2007-09-20",3.95
"182","2007-09-21",4
"183","2007-09-24",4.02
"184","2007-09-25",4
"185","2007-09-26",4
"186","2007-09-27",3.92
"187","2007-09-28",3.93
"188","2007-10-01",4.01
"189","2007-10-02",4.4
"190","2007-10-03",4.3
"191","2007-10-04",4.35
"192","2007-10-05",4.26
"193","2007-10-08",4.14
"194","2007-10-09",4.05
"195","2007-10-10",3.9
"196","2007-10-11",3.9
"197","2007-10-12",3.89
"198","2007-10-15",3.95
"199","2007-10-16",3.93
"200","2007-10-17",3.81
"201","2007-10-18",3.86
"202","2007-10-19",3.85
"203","2007-10-22",3.67
"204","2007-10-23",3.7
"205","2007-10-24",3.6
"206","2007-10-25",3.6
"207","2007-10-26",3.65
"208","2007-10-29",3.57
"209","2007-10-30",3.9
"210","2007-10-31",3.85
"211","2007-11-01",3.88
"212","2007-11-02",3.95
"213","2007-11-05",3.85
"214","2007-11-06",3.88
"215","2007-11-07",3.8
"216","2007-11-08",3.85
"217","2007-11-09",3.86
"218","2007-11-12",3.75
"219","2007-11-13",3.9
"220","2007-11-14",3.7
"221","2007-11-15",3.51
"222","2007-11-16",3.5
"223","2007-11-19",3.3
"224","2007-11-20",3.05
"225","2007-11-21",2.95
"226","2007-11-23",3.01
"227","2007-11-26",2.96
"228","2007-11-27",3.03
"229","2007-11-28",3.05
"230","2007-11-29",2.95
"231","2007-11-30",2.9
"232","2007-12-03",2.7
"233","2007-12-04",2.95
"234","2007-12-05",2.9
"235","2007-12-06",2.95
"236","2007-12-07",2.9
"237","2007-12-10",3
"238","2007-12-11",2.9
"239","2007-12-12",2.9
"240","2007-12-13",2.9
"241","2007-12-14",2.9
"242","2007-12-17",2.85
"243","2007-12-18",2.85
"244","2007-12-19",2.87
"245","2007-12-20",2.88
"246","2007-12-21",2.8
"247","2007-12-24",2.77
"248","2007-12-26",2.9
"249","2007-12-27",2.75
"250","2007-12-28",2.79
"251","2007-12-31",2.77
"252","2008-01-02",2.81
"253","2008-01-03",3.2
"254","2008-01-04",3.02
"255","2008-01-07",3.03
"256","2008-01-08",3
"257","2008-01-09",2.85
"258","2008-01-10",2.85
"259","2008-01-11",2.85
"260","2008-01-14",2.8
"261","2008-01-15",2.8
"262","2008-01-16",2.72
"263","2008-01-17",2.85
"264","2008-01-18",2.7
"265","2008-01-22",2.47
"266","2008-01-23",2.5
"267","2008-01-24",2.74
"268","2008-01-25",3.08
"269","2008-01-28",3.49
"270","2008-01-29",3.3
"271","2008-01-30",3.2
"272","2008-01-31",3.3
"273","2008-02-01",3.48
"274","2008-02-04",3.38
"275","2008-02-05",3.2
"276","2008-02-06",3.1
"277","2008-02-07",3.09
"278","2008-02-08",3.05
"279","2008-02-11",3
"280","2008-02-12",3.03
"281","2008-02-13",3.15
"282","2008-02-14",3.1
"283","2008-02-15",3.15
"284","2008-02-19",3.07
"285","2008-02-20",3
"286","2008-02-21",3
"287","2008-02-22",3.05
"288","2008-02-25",3
"289","2008-02-26",2.96
"290","2008-02-27",3.1
"291","2008-02-28",3.1
"292","2008-02-29",2.95
"293","2008-03-03",3
"294","2008-03-04",3
"295","2008-03-05",3
"296","2008-03-06",3
"297","2008-03-07",2.95
"298","2008-03-10",2.75
"299","2008-03-11",2.8
"300","2008-03-12",2.8
"301","2008-03-13",2.85
