"","date","WFC"
"1","2007-01-03",35.740002
"2","2007-01-04",35.799999
"3","2007-01-05",35.599998
"4","2007-01-08",35.5
"5","2007-01-09",35.59
"6","2007-01-10",35.48
"7","2007-01-11",35.540001
"8","2007-01-12",35.509998
"9","2007-01-16",36.23
"10","2007-01-17",36.27
"11","2007-01-18",36.200001
"12","2007-01-19",36.040001
"13","2007-01-22",35.75
"14","2007-01-23",36.009998
"15","2007-01-24",36.560001
"16","2007-01-25",36.080002
"17","2007-01-26",36.029999
"18","2007-01-29",35.950001
"19","2007-01-30",35.900002
"20","2007-01-31",35.919998
"21","2007-02-01",35.869999
"22","2007-02-02",35.860001
"23","2007-02-05",35.689999
"24","2007-02-06",35.900002
"25","2007-02-07",35.880001
"26","2007-02-08",35.560001
"27","2007-02-09",35.360001
"28","2007-02-12",35.599998
"29","2007-02-13",35.869999
"30","2007-02-14",36.009998
"31","2007-02-15",36.009998
"32","2007-02-16",35.759998
"33","2007-02-20",35.939999
"34","2007-02-21",36.18
"35","2007-02-22",36.209999
"36","2007-02-23",35.630001
"37","2007-02-26",35.669998
"38","2007-02-27",34.389999
"39","2007-02-28",34.700001
"40","2007-03-01",34.66
"41","2007-03-02",34.439999
"42","2007-03-05",34.029999
"43","2007-03-06",34.66
"44","2007-03-07",34.32
"45","2007-03-08",34.509998
"46","2007-03-09",34.5
"47","2007-03-12",34.529999
"48","2007-03-13",33.470001
"49","2007-03-14",33.650002
"50","2007-03-15",34.099998
"51","2007-03-16",33.950001
"52","2007-03-19",34.25
"53","2007-03-20",34.610001
"54","2007-03-21",35.48
"55","2007-03-22",34.990002
"56","2007-03-23",34.959999
"57","2007-03-26",34.68
"58","2007-03-27",34.400002
"59","2007-03-28",34.139999
"60","2007-03-29",34.540001
"61","2007-03-30",34.43
"62","2007-04-02",34.009998
"63","2007-04-03",34.509998
"64","2007-04-04",34.34
"65","2007-04-05",34.439999
"66","2007-04-09",34.369999
"67","2007-04-10",34.41
"68","2007-04-11",34.169998
"69","2007-04-12",34.34
"70","2007-04-13",34.630001
"71","2007-04-16",35.509998
"72","2007-04-17",35.25
"73","2007-04-18",35.950001
"74","2007-04-19",36.139999
"75","2007-04-20",36.299999
"76","2007-04-23",36.02
"77","2007-04-24",35.779999
"78","2007-04-25",36.279999
"79","2007-04-26",36.07
"80","2007-04-27",35.939999
"81","2007-04-30",35.889999
"82","2007-05-01",36.040001
"83","2007-05-02",35.689999
"84","2007-05-03",35.84
"85","2007-05-04",35.919998
"86","2007-05-07",36.07
"87","2007-05-08",35.810001
"88","2007-05-09",36.110001
"89","2007-05-10",35.400002
"90","2007-05-11",35.52
"91","2007-05-14",35.299999
"92","2007-05-15",35.41
"93","2007-05-16",36.220001
"94","2007-05-17",36.240002
"95","2007-05-18",36.419998
"96","2007-05-21",36.310001
"97","2007-05-22",36
"98","2007-05-23",36.09
"99","2007-05-24",36.040001
"100","2007-05-25",36.130001
"101","2007-05-29",36.150002
"102","2007-05-30",36.23
"103","2007-05-31",36.09
"104","2007-06-01",36.400002
"105","2007-06-04",36.200001
"106","2007-06-05",35.91
"107","2007-06-06",35.59
"108","2007-06-07",35.060001
"109","2007-06-08",35.34
"110","2007-06-11",35.48
"111","2007-06-12",35.18
"112","2007-06-13",35.939999
"113","2007-06-14",35.889999
"114","2007-06-15",35.970001
"115","2007-06-18",36.139999
"116","2007-06-19",36.380001
"117","2007-06-20",35.68
"118","2007-06-21",35.630001
"119","2007-06-22",35.02
"120","2007-06-25",35.080002
"121","2007-06-26",35.060001
"122","2007-06-27",35.330002
"123","2007-06-28",35.279999
"124","2007-06-29",35.169998
"125","2007-07-02",35.509998
"126","2007-07-03",35.68
"127","2007-07-05",35.32
"128","2007-07-06",35.330002
"129","2007-07-09",35.119999
"130","2007-07-10",34.439999
"131","2007-07-11",34.919998
"132","2007-07-12",35.439999
"133","2007-07-13",35.540001
"134","2007-07-16",35.450001
"135","2007-07-17",35.59
"136","2007-07-18",35.389999
"137","2007-07-19",35.540001
"138","2007-07-20",34.720001
