"","date","WLKP"
"1","2014-07-30",30.780001
"2","2014-07-31",30.35
"3","2014-08-01",29.25
"4","2014-08-04",29
"5","2014-08-05",28.83
"6","2014-08-06",29.08
"7","2014-08-07",29.6
"8","2014-08-08",29.58
"9","2014-08-11",29.51
"10","2014-08-12",29.49
"11","2014-08-13",28.799999
"12","2014-08-14",29.1
"13","2014-08-15",29.155001
"14","2014-08-18",29.5
"15","2014-08-19",29.5
"16","2014-08-20",29.49
"17","2014-08-21",29.49
"18","2014-08-22",30.209999
"19","2014-08-25",29.959999
"20","2014-08-26",30.059999
"21","2014-08-27",30.219999
"22","2014-08-28",30.450001
"23","2014-08-29",30.370001
"24","2014-09-02",31.290001
"25","2014-09-03",32.080002
"26","2014-09-04",33.639999
"27","2014-09-05",33.360001
"28","2014-09-08",32.490002
"29","2014-09-09",32.400002
"30","2014-09-10",32.25
"31","2014-09-11",32.299999
"32","2014-09-12",31.9
"33","2014-09-15",31.540001
"34","2014-09-16",31.25
"35","2014-09-17",30.52
"36","2014-09-18",30.85
"37","2014-09-19",30.74
"38","2014-09-22",29.98
"39","2014-09-23",29.049999
"40","2014-09-24",29.34
"41","2014-09-25",29
"42","2014-09-26",29.450001
"43","2014-09-29",29.200001
"44","2014-09-30",29
"45","2014-10-01",28.950001
"46","2014-10-02",28.790001
"47","2014-10-03",28.67
"48","2014-10-06",28.700001
"49","2014-10-07",28.530001
"50","2014-10-08",28.4
"51","2014-10-09",27.809999
"52","2014-10-10",27.41
"53","2014-10-13",27.219999
"54","2014-10-14",26.040001
"55","2014-10-15",25.85
"56","2014-10-16",26.799999
"57","2014-10-17",29.15
"58","2014-10-20",28.200001
"59","2014-10-21",28.57
"60","2014-10-22",28.299999
"61","2014-10-23",29
"62","2014-10-24",28.700001
"63","2014-10-27",28.440001
"64","2014-10-28",29.18
"65","2014-10-29",29.25
"66","2014-10-30",29.549999
"67","2014-10-31",30.15
"68","2014-11-03",30.08
"69","2014-11-04",28.75
"70","2014-11-05",28.35
"71","2014-11-06",28.9
"72","2014-11-07",28.75
"73","2014-11-10",29.4
"74","2014-11-11",29.620001
"75","2014-11-12",29.549999
"76","2014-11-13",28.709999
"77","2014-11-14",28.15
"78","2014-11-17",28.07
"79","2014-11-18",28.1
"80","2014-11-19",28.120001
"81","2014-11-20",28.16
"82","2014-11-21",28.15
"83","2014-11-24",28.219999
"84","2014-11-25",28.379999
"85","2014-11-26",28.450001
"86","2014-11-28",28.34
"87","2014-12-01",28.459999
"88","2014-12-02",29.85
"89","2014-12-03",30.549999
"90","2014-12-04",30.219999
"91","2014-12-05",29.870001
"92","2014-12-08",28.959999
"93","2014-12-09",29.57
"94","2014-12-10",29.34
"95","2014-12-11",29.190001
"96","2014-12-12",28.299999
"97","2014-12-15",27.559999
"98","2014-12-16",26.940001
"99","2014-12-17",27.700001
"100","2014-12-18",27.889999
"101","2014-12-19",29.299999
"102","2014-12-22",28.469999
"103","2014-12-23",28.549999
"104","2014-12-24",28.91
"105","2014-12-26",28.24
"106","2014-12-29",27.620001
"107","2014-12-30",28.610001
"108","2014-12-31",29
"109","2015-01-02",27.82
"110","2015-01-05",27.700001
"111","2015-01-06",27
"112","2015-01-07",27.200001
"113","2015-01-08",27.07
"114","2015-01-09",26.780001
"115","2015-01-12",26.4
"116","2015-01-13",25.08
"117","2015-01-14",25.41
"118","2015-01-15",25.040001
"119","2015-01-16",25.1
"120","2015-01-20",25.26
"121","2015-01-21",25.030001
"122","2015-01-22",24.950001
"123","2015-01-23",24.98
"124","2015-01-26",25.1
"125","2015-01-27",25.01
"126","2015-01-28",25.01
"127","2015-01-29",25.1
"128","2015-01-30",25.35
"129","2015-02-02",25.08
"130","2015-02-03",25.16
"131","2015-02-04",25.26
"132","2015-02-05",25.49
"133","2015-02-06",26.200001
"134","2015-02-09",26.07
"135","2015-02-10",26.049999
"136","2015-02-11",25.860001
"137","2015-02-12",25.610001
"138","2015-02-13",25.6
"139","2015-02-17",25.51
"140","2015-02-18",25.809999
"141","2015-02-19",26.030001
"142","2015-02-20",26.129999
"143","2015-02-23",26.280001
"144","2015-02-24",25.51
"145","2015-02-25",26.049999
"146","2015-02-26",25.879999
"147","2015-02-27",26.690001
"148","2015-03-02",26.66
"149","2015-03-03",27.66
"150","2015-03-04",27.51
"151","2015-03-05",27.754999
"152","2015-03-06",27.809999
"153","2015-03-09",27.690001
"154","2015-03-10",27.4
"155","2015-03-11",26.709999
"156","2015-03-12",27.65
"157","2015-03-13",27.4
"158","2015-03-16",27.09
"159","2015-03-17",27.139999
"160","2015-03-18",26.93
"161","2015-03-19",26.68
"162","2015-03-20",26.940001
"163","2015-03-23",26.98
"164","2015-03-24",26.700001
"165","2015-03-25",26.799999
"166","2015-03-26",26.99
"167","2015-03-27",26.83
"168","2015-03-30",26.969999
"169","2015-03-31",26.82
"170","2015-04-01",26.98
"171","2015-04-02",27
"172","2015-04-06",27.030001
"173","2015-04-07",27.690001
"174","2015-04-08",27.76
"175","2015-04-09",28.09
"176","2015-04-10",28.200001
"177","2015-04-13",28.389999
"178","2015-04-14",28.129999
"179","2015-04-15",28.58
"180","2015-04-16",28.620001
"181","2015-04-17",28.67
"182","2015-04-20",28.99
"183","2015-04-21",28.450001
"184","2015-04-22",28.440001
"185","2015-04-23",28.67
"186","2015-04-24",28.76
"187","2015-04-27",28.719999
"188","2015-04-28",28.66
"189","2015-04-29",28.700001
"190","2015-04-30",28.82
"191","2015-05-01",28.700001
"192","2015-05-04",28.75
"193","2015-05-05",25.889999
"194","2015-05-06",21.34
"195","2015-05-07",20.99
"196","2015-05-08",20.299999
"197","2015-05-11",20.280001
"198","2015-05-12",19.67
"199","2015-05-13",19.35
"200","2015-05-14",19.379999
"201","2015-05-15",19.209999
"202","2015-05-18",20.969999
"203","2015-05-19",21.809999
"204","2015-05-20",21.52
"205","2015-05-21",21.67
"206","2015-05-22",21.440001
"207","2015-05-26",21.879999
"208","2015-05-27",22.15
"209","2015-05-28",21.700001
"210","2015-05-29",21.84
"211","2015-06-01",22.26
"212","2015-06-02",22.68
"213","2015-06-03",22.67
"214","2015-06-04",22.58
"215","2015-06-05",22.629999
"216","2015-06-08",22.66
"217","2015-06-09",22.120001
"218","2015-06-10",22.440001
"219","2015-06-11",22.18
"220","2015-06-12",21.85
"221","2015-06-15",21.370001
"222","2015-06-16",21.5
"223","2015-06-17",21.040001
"224","2015-06-18",20.809999
"225","2015-06-19",21.15
"226","2015-06-22",21.139999
"227","2015-06-23",21.389999
"228","2015-06-24",21.459999
"229","2015-06-25",21.18
"230","2015-06-26",21.34
"231","2015-06-29",21.200001
"232","2015-06-30",21.75
"233","2015-07-01",23.26
"234","2015-07-02",22.559999
"235","2015-07-06",23.200001
"236","2015-07-07",23.42
"237","2015-07-08",23.5
"238","2015-07-09",23.799999
"239","2015-07-10",24.110001
"240","2015-07-13",24.469999
"241","2015-07-14",24.059999
"242","2015-07-15",24
"243","2015-07-16",24
"244","2015-07-17",24.030001
"245","2015-07-20",23.41
"246","2015-07-21",23.700001
"247","2015-07-22",23.299999
"248","2015-07-23",22.940001
"249","2015-07-24",21.92
"250","2015-07-27",21.51
"251","2015-07-28",21.610001
"252","2015-07-29",21.799999
"253","2015-07-30",21.58
"254","2015-07-31",21.4
"255","2015-08-03",21.43
"256","2015-08-04",21.110001
"257","2015-08-05",21
"258","2015-08-06",20.66
"259","2015-08-07",20.75
"260","2015-08-10",20.559999
"261","2015-08-11",20
"262","2015-08-12",19.780001
"263","2015-08-13",19.530001
"264","2015-08-14",19.85
"265","2015-08-17",19.629999
"266","2015-08-18",19.450001
"267","2015-08-19",19.360001
"268","2015-08-20",19.01
"269","2015-08-21",18.18
"270","2015-08-24",17.879999
"271","2015-08-25",18.16
"272","2015-08-26",18.6
"273","2015-08-27",18.82
"274","2015-08-28",19.120001
"275","2015-08-31",19.530001
"276","2015-09-01",18.66
"277","2015-09-02",18.99
"278","2015-09-03",19.450001
"279","2015-09-04",19.26
"280","2015-09-08",19.18
"281","2015-09-09",18.66
"282","2015-09-10",18.6
"283","2015-09-11",18.459999
"284","2015-09-14",18.51
"285","2015-09-15",18.34
"286","2015-09-16",18.48
"287","2015-09-17",18.540001
"288","2015-09-18",18.74
"289","2015-09-21",20.540001
"290","2015-09-22",19.940001
"291","2015-09-23",18.700001
"292","2015-09-24",19.1
"293","2015-09-25",18.959999
"294","2015-09-28",18.26
"295","2015-09-29",17.379999
"296","2015-09-30",17.5
"297","2015-10-01",17.639999
"298","2015-10-02",17.27
"299","2015-10-05",18.27
"300","2015-10-06",18.450001
"301","2015-10-07",18.43
"302","2015-10-08",18.26
"303","2015-10-09",18.299999
"304","2015-10-12",18.09
"305","2015-10-13",18.33
"306","2015-10-14",18.35
"307","2015-10-15",18.379999
"308","2015-10-16",18.280001
"309","2015-10-19",18.379999
"310","2015-10-20",18.379999
"311","2015-10-21",18.24
"312","2015-10-22",18.15
"313","2015-10-23",18.24
"314","2015-10-26",17.469999
"315","2015-10-27",17.110001
"316","2015-10-28",17.33
"317","2015-10-29",17.49
"318","2015-10-30",18.07
"319","2015-11-02",18.35
"320","2015-11-03",18.4
"321","2015-11-04",18.01
"322","2015-11-05",17.49
"323","2015-11-06",17.09
"324","2015-11-09",16.969999
"325","2015-11-10",16.280001
"326","2015-11-11",16.34
"327","2015-11-12",15.75
"328","2015-11-13",16.1
"329","2015-11-16",16.25
"330","2015-11-17",16.35
"331","2015-11-18",16.280001
"332","2015-11-19",16.23
"333","2015-11-20",16
"334","2015-11-23",16.18
"335","2015-11-24",16.01
"336","2015-11-25",15.99
"337","2015-11-27",15.75
"338","2015-11-30",15.58
"339","2015-12-01",16.34
"340","2015-12-02",17.129999
"341","2015-12-03",17.85
"342","2015-12-04",17.98
"343","2015-12-07",17.73
"344","2015-12-08",18.01
"345","2015-12-09",18.93
"346","2015-12-10",19.01
"347","2015-12-11",19.01
"348","2015-12-14",19.16
"349","2015-12-15",19.25
"350","2015-12-16",19.440001
"351","2015-12-17",19.32
"352","2015-12-18",19.549999
"353","2015-12-21",20.4
"354","2015-12-22",20.690001
"355","2015-12-23",21.15
"356","2015-12-24",21.129999
"357","2015-12-28",21.309999
"358","2015-12-29",21.780001
"359","2015-12-30",22.25
"360","2015-12-31",22.18
"361","2016-01-04",21.32
"362","2016-01-05",21.870001
"363","2016-01-06",22.08
"364","2016-01-07",21.139999
"365","2016-01-08",21.440001
"366","2016-01-11",20.4
"367","2016-01-12",20.51
"368","2016-01-13",20.059999
"369","2016-01-14",19.85
"370","2016-01-15",19.52
"371","2016-01-19",19.620001
"372","2016-01-20",19.700001
"373","2016-01-21",18.6
"374","2016-01-22",18.84
"375","2016-01-25",19.059999
"376","2016-01-26",19.09
"377","2016-01-27",19.059999
"378","2016-01-28",18.48
"379","2016-01-29",19.1
"380","2016-02-01",18.780001
"381","2016-02-02",19.16
"382","2016-02-03",19.360001
"383","2016-02-04",19.51
"384","2016-02-05",19.1
"385","2016-02-08",18.48
"386","2016-02-09",18.23
"387","2016-02-10",17.91
"388","2016-02-11",17.030001
"389","2016-02-12",17.01
"390","2016-02-16",17.35
"391","2016-02-17",17.290001
"392","2016-02-18",17.07
"393","2016-02-19",16.91
"394","2016-02-22",17.030001
"395","2016-02-23",16.639999
"396","2016-02-24",16.49
"397","2016-02-25",16.389999
"398","2016-02-26",17.200001
"399","2016-02-29",16.709999
"400","2016-03-01",17.120001
"401","2016-03-02",17.58
"402","2016-03-03",17.49
"403","2016-03-04",17.610001
"404","2016-03-07",17.610001
"405","2016-03-08",17.43
"406","2016-03-09",17.75
"407","2016-03-10",17.459999
"408","2016-03-11",17.32
"409","2016-03-14",17.07
"410","2016-03-15",17
"411","2016-03-16",17.280001
"412","2016-03-17",17.59
"413","2016-03-18",18.23
"414","2016-03-21",19.5
"415","2016-03-22",18.799999
"416","2016-03-23",18.370001
"417","2016-03-24",19.049999
"418","2016-03-28",19.049999
"419","2016-03-29",19.83
"420","2016-03-30",19.889999
"421","2016-03-31",19.700001
"422","2016-04-01",19.799999
"423","2016-04-04",19.35
"424","2016-04-05",18
"425","2016-04-06",18.440001
"426","2016-04-07",18.139999
"427","2016-04-08",18.219999
"428","2016-04-11",17.889999
"429","2016-04-12",18.040001
"430","2016-04-13",18
"431","2016-04-14",17.65
"432","2016-04-15",17.879999
"433","2016-04-18",18.540001
"434","2016-04-19",19.02
"435","2016-04-20",18.549999
"436","2016-04-21",18.969999
"437","2016-04-22",18.110001
"438","2016-04-25",18.23
"439","2016-04-26",18.41
"440","2016-04-27",18.120001
"441","2016-04-28",18.26
"442","2016-04-29",19.139999
"443","2016-05-02",18.209999
"444","2016-05-03",18.93
"445","2016-05-04",19.17
"446","2016-05-05",19.700001
"447","2016-05-06",20.66
"448","2016-05-09",20.84
"449","2016-05-10",20.84
"450","2016-05-11",20.42
"451","2016-05-12",20.23
"452","2016-05-13",19.790001
"453","2016-05-16",20.02
"454","2016-05-17",20.48
"455","2016-05-18",20.370001
"456","2016-05-19",20.52
"457","2016-05-20",20.700001
"458","2016-05-23",21.02
"459","2016-05-24",21.15
"460","2016-05-25",21.360001
"461","2016-05-26",21.1
"462","2016-05-27",21.389999
"463","2016-05-31",22.99
"464","2016-06-01",23.02
"465","2016-06-02",22.860001
"466","2016-06-03",22.370001
"467","2016-06-06",22.74
"468","2016-06-07",21.92
"469","2016-06-08",22.18
"470","2016-06-09",22.280001
"471","2016-06-10",21.950001
"472","2016-06-13",20.860001
"473","2016-06-14",20.83
"474","2016-06-15",20.84
"475","2016-06-16",21.5
"476","2016-06-17",21.48
"477","2016-06-20",20.58
"478","2016-06-21",20.74
"479","2016-06-22",20.07
"480","2016-06-23",20.48
"481","2016-06-24",19.879999
"482","2016-06-27",18.83
"483","2016-06-28",20.059999
"484","2016-06-29",20.1
"485","2016-06-30",19.98
"486","2016-07-01",20.209999
"487","2016-07-05",19.99
"488","2016-07-06",20.440001
"489","2016-07-07",20.59
"490","2016-07-08",21.68
"491","2016-07-11",22.209999
"492","2016-07-12",22.35
"493","2016-07-13",22.860001
"494","2016-07-14",23.200001
"495","2016-07-15",23.57
"496","2016-07-18",23.709999
"497","2016-07-19",23.25
"498","2016-07-20",23.799999
"499","2016-07-21",23.59
"500","2016-07-22",23.43
"501","2016-07-25",22.43
"502","2016-07-26",22.719999
"503","2016-07-27",22.35
"504","2016-07-28",21.35
"505","2016-07-29",21.860001
"506","2016-08-01",22.049999
"507","2016-08-02",21.77
"508","2016-08-03",22.120001
"509","2016-08-04",22.77
"510","2016-08-05",22.75
"511","2016-08-08",22.16
"512","2016-08-09",21.4
"513","2016-08-10",22
"514","2016-08-11",23.16
"515","2016-08-12",22.969999
"516","2016-08-15",23.34
"517","2016-08-16",23.200001
"518","2016-08-17",23
"519","2016-08-18",23.440001
"520","2016-08-19",23.4
"521","2016-08-22",23.559999
"522","2016-08-23",23.73
"523","2016-08-24",23.17
"524","2016-08-25",23.809999
"525","2016-08-26",23.57
"526","2016-08-29",23.42
"527","2016-08-30",23.280001
"528","2016-08-31",23.27
"529","2016-09-01",23.4
"530","2016-09-02",23.9
"531","2016-09-06",23.379999
"532","2016-09-07",22.809999
"533","2016-09-08",22.959999
"534","2016-09-09",23.57
"535","2016-09-12",23.459999
"536","2016-09-13",23.17
"537","2016-09-14",23.639999
"538","2016-09-15",23.219999
"539","2016-09-16",23.040001
"540","2016-09-19",22.440001
"541","2016-09-20",22.049999
"542","2016-09-21",22.48
"543","2016-09-22",22.09
"544","2016-09-23",22.34
"545","2016-09-26",22.35
"546","2016-09-27",22.030001
"547","2016-09-28",22.190001
"548","2016-09-29",22.25
"549","2016-09-30",22.84
"550","2016-10-03",23.02
"551","2016-10-04",22.530001
"552","2016-10-05",22.370001
"553","2016-10-06",22.309999
"554","2016-10-07",22.110001
"555","2016-10-10",22.360001
"556","2016-10-11",22.41
"557","2016-10-12",23.120001
"558","2016-10-13",23.08
"559","2016-10-14",22.98
"560","2016-10-17",22.82
"561","2016-10-18",22.780001
"562","2016-10-19",22.889999
"563","2016-10-20",22.68
"564","2016-10-21",22.530001
"565","2016-10-24",22.35
"566","2016-10-25",21.65
"567","2016-10-26",21.15
"568","2016-10-27",21.1
"569","2016-10-28",20.950001
"570","2016-10-31",21.1
"571","2016-11-01",20.85
"572","2016-11-02",19.9
"573","2016-11-03",19.9
"574","2016-11-04",19.950001
"575","2016-11-07",20.049999
"576","2016-11-08",20.049999
"577","2016-11-09",21.9
"578","2016-11-10",21.65
"579","2016-11-11",21.700001
"580","2016-11-14",21.799999
"581","2016-11-15",22
"582","2016-11-16",20.75
"583","2016-11-17",20.950001
"584","2016-11-18",21.35
"585","2016-11-21",21.049999
"586","2016-11-22",20.700001
"587","2016-11-23",21.549999
"588","2016-11-25",20.799999
"589","2016-11-28",20.65
"590","2016-11-29",20.549999
"591","2016-11-30",21
"592","2016-12-01",20.799999
"593","2016-12-02",20.700001
"594","2016-12-05",20.700001
"595","2016-12-06",20.15
"596","2016-12-07",20.5
"597","2016-12-08",20.15
"598","2016-12-09",20.75
"599","2016-12-12",21.1
"600","2016-12-13",21.65
"601","2016-12-14",21.5
"602","2016-12-15",21.799999
"603","2016-12-16",21.799999
"604","2016-12-19",21
"605","2016-12-20",21.6
"606","2016-12-21",21.25
"607","2016-12-22",22.25
"608","2016-12-23",21.799999
"609","2016-12-27",21.35
"610","2016-12-28",21.049999
"611","2016-12-29",21.35
"612","2016-12-30",21.65
"613","2017-01-03",21.549999
"614","2017-01-04",21.700001
"615","2017-01-05",21.1
"616","2017-01-06",21.5
"617","2017-01-09",21.65
"618","2017-01-10",21.200001
"619","2017-01-11",21.049999
"620","2017-01-12",20.950001
"621","2017-01-13",21.1
"622","2017-01-17",21.4
"623","2017-01-18",20.65
"624","2017-01-19",21.15
"625","2017-01-20",23.200001
"626","2017-01-23",23.35
"627","2017-01-24",23.450001
"628","2017-01-25",24.35
"629","2017-01-26",24.549999
"630","2017-01-27",25
"631","2017-01-30",25.299999
"632","2017-01-31",25.25
"633","2017-02-01",25.75
"634","2017-02-02",25.75
"635","2017-02-03",24.950001
"636","2017-02-06",24.9
"637","2017-02-07",24.700001
"638","2017-02-08",24.65
"639","2017-02-09",24.549999
"640","2017-02-10",24.6
"641","2017-02-13",24.75
"642","2017-02-14",24.75
"643","2017-02-15",24.700001
"644","2017-02-16",24.6
"645","2017-02-17",24.75
"646","2017-02-21",24.85
"647","2017-02-22",24.700001
"648","2017-02-23",24.5
"649","2017-02-24",25
"650","2017-02-27",25.25
"651","2017-02-28",25.15
"652","2017-03-01",26.049999
"653","2017-03-02",25.9
"654","2017-03-03",26
"655","2017-03-06",25.549999
"656","2017-03-07",25.5
"657","2017-03-08",25.5
"658","2017-03-09",25.25
"659","2017-03-10",25.15
"660","2017-03-13",24.700001
"661","2017-03-14",24.5
"662","2017-03-15",24.950001
"663","2017-03-16",24.75
"664","2017-03-17",24.65
"665","2017-03-20",25.049999
"666","2017-03-21",25.15
"667","2017-03-22",25.049999
"668","2017-03-23",24.950001
"669","2017-03-24",25.1
"670","2017-03-27",25.049999
"671","2017-03-28",24.6
"672","2017-03-29",24.299999
"673","2017-03-30",24.9
"674","2017-03-31",25.15
"675","2017-04-03",25.4
