"","date","WSBC"
"1","2007-01-03",33.540001
"2","2007-01-04",33.560001
"3","2007-01-05",32.310001
"4","2007-01-08",33.009998
"5","2007-01-09",33.369999
"6","2007-01-10",33.57
"7","2007-01-11",33.990002
"8","2007-01-12",34.099998
"9","2007-01-16",33.810001
"10","2007-01-17",33.700001
"11","2007-01-18",33.029999
"12","2007-01-19",33.049999
"13","2007-01-22",32.709999
"14","2007-01-23",32.959999
"15","2007-01-24",32.939999
"16","2007-01-25",31.98
"17","2007-01-26",32.299999
"18","2007-01-29",32.169998
"19","2007-01-30",31.889999
"20","2007-01-31",31.799999
"21","2007-02-01",32.09
"22","2007-02-02",32.029999
"23","2007-02-05",31.719999
"24","2007-02-06",31.809999
"25","2007-02-07",32.220001
"26","2007-02-08",31.57
"27","2007-02-09",31.49
"28","2007-02-12",32.220001
"29","2007-02-13",32.560001
"30","2007-02-14",32.240002
"31","2007-02-15",32.169998
"32","2007-02-16",32.23
"33","2007-02-20",32.549999
"34","2007-02-21",32.360001
"35","2007-02-22",32.540001
"36","2007-02-23",32.099998
"37","2007-02-26",32.200001
"38","2007-02-27",30.889999
"39","2007-02-28",30.92
"40","2007-03-01",31.1
"41","2007-03-02",30.66
"42","2007-03-05",30.15
"43","2007-03-06",31
"44","2007-03-07",30.440001
"45","2007-03-08",30.52
"46","2007-03-09",30.82
"47","2007-03-12",30.75
"48","2007-03-13",30.049999
"49","2007-03-14",30.389999
"50","2007-03-15",30.92
"51","2007-03-16",30.67
"52","2007-03-19",31.139999
"53","2007-03-20",31.5
"54","2007-03-21",32.200001
"55","2007-03-22",32.23
"56","2007-03-23",31.82
"57","2007-03-26",31.93
"58","2007-03-27",31.42
"59","2007-03-28",31
"60","2007-03-29",31
"61","2007-03-30",30.870001
"62","2007-04-02",30.92
"63","2007-04-03",30.99
"64","2007-04-04",30.620001
"65","2007-04-05",30.59
"66","2007-04-09",30.389999
"67","2007-04-10",30.25
"68","2007-04-11",29.85
"69","2007-04-12",29.73
"70","2007-04-13",30.030001
"71","2007-04-16",31.110001
