"","date","WWE"
"1","2007-01-03",16.18
"2","2007-01-04",16.290001
"3","2007-01-05",16.09
"4","2007-01-08",16.190001
"5","2007-01-09",16.08
"6","2007-01-10",15.99
"7","2007-01-11",16.360001
"8","2007-01-12",16.450001
"9","2007-01-16",16.33
"10","2007-01-17",16.34
"11","2007-01-18",16.139999
"12","2007-01-19",16.389999
"13","2007-01-22",16.32
"14","2007-01-23",16.09
"15","2007-01-24",16.200001
"16","2007-01-25",16.200001
"17","2007-01-26",15.93
"18","2007-01-29",15.98
"19","2007-01-30",16.08
"20","2007-01-31",16.08
"21","2007-02-01",16.01
"22","2007-02-02",16.190001
"23","2007-02-05",16.02
"24","2007-02-06",16.219999
"25","2007-02-07",16.200001
"26","2007-02-08",16.18
"27","2007-02-09",16.139999
"28","2007-02-12",16.4
"29","2007-02-13",16.049999
"30","2007-02-14",16.110001
"31","2007-02-15",16.07
"32","2007-02-16",16.07
"33","2007-02-20",16.219999
"34","2007-02-21",16.200001
"35","2007-02-22",16.33
"36","2007-02-23",16.32
"37","2007-02-26",16.200001
"38","2007-02-27",16.02
"39","2007-02-28",15.9
"40","2007-03-01",15.94
"41","2007-03-02",15.81
"42","2007-03-05",15.82
"43","2007-03-06",16.01
"44","2007-03-07",16.049999
"45","2007-03-08",16.1
"46","2007-03-09",15.93
"47","2007-03-12",16.049999
"48","2007-03-13",15.58
"49","2007-03-14",15.7
"50","2007-03-15",15.66
"51","2007-03-16",15.6
"52","2007-03-19",15.68
"53","2007-03-20",15.59
"54","2007-03-21",15.75
"55","2007-03-22",15.76
"56","2007-03-23",15.69
"57","2007-03-26",15.9
"58","2007-03-27",15.82
"59","2007-03-28",15.94
"60","2007-03-29",16.52
"61","2007-03-30",16.299999
"62","2007-04-02",16.23
"63","2007-04-03",16.370001
"64","2007-04-04",16.18
"65","2007-04-05",16.08
"66","2007-04-09",16.08
"67","2007-04-10",16.15
"68","2007-04-11",16.82
"69","2007-04-12",16.879999
"70","2007-04-13",16.610001
"71","2007-04-16",16.34
"72","2007-04-17",16.4
"73","2007-04-18",16.42
