"","date","XYF"
"1","2018-09-19",35.91
"2","2018-09-20",33.299999
"3","2018-09-21",28.5
"4","2018-09-24",26.610001
"5","2018-09-25",27
"6","2018-09-26",28.23
"7","2018-09-27",27.24
"8","2018-09-28",27
"9","2018-10-01",27.15
"10","2018-10-02",27.18
"11","2018-10-03",27.93
"12","2018-10-04",26.73
"13","2018-10-05",26.85
"14","2018-10-08",28.530001
"15","2018-10-09",28.68
"16","2018-10-10",28.5
"17","2018-10-11",28.41
"18","2018-10-12",27.719999
"19","2018-10-15",28.5
"20","2018-10-16",28.620001
"21","2018-10-17",28.5
"22","2018-10-18",28.5
"23","2018-10-19",27.059999
"24","2018-10-22",27.059999
"25","2018-10-23",26.190001
"26","2018-10-24",25.68
"27","2018-10-25",25.530001
"28","2018-10-26",24.57
"29","2018-10-29",23.52
"30","2018-10-30",22.59
"31","2018-10-31",23.040001
"32","2018-11-01",24.450001
"33","2018-11-02",24.360001
"34","2018-11-05",23.82
"35","2018-11-06",24.51
"36","2018-11-07",22.709999
"37","2018-11-08",23.129999
"38","2018-11-09",21.09
"39","2018-11-12",20.1
"40","2018-11-13",20.07
"41","2018-11-14",21
"42","2018-11-15",21.450001
"43","2018-11-16",21.27
"44","2018-11-19",21.540001
"45","2018-11-20",21.84
"46","2018-11-21",21.57
"47","2018-11-23",21.9
"48","2018-11-26",22.23
"49","2018-11-27",21.9
"50","2018-11-28",22.950001
"51","2018-11-29",23.4
"52","2018-11-30",21
"53","2018-12-03",21.870001
"54","2018-12-04",21.299999
"55","2018-12-06",21
"56","2018-12-07",19.200001
"57","2018-12-10",19.23
"58","2018-12-11",18.629999
"59","2018-12-12",19.08
"60","2018-12-13",19.74
"61","2018-12-14",19.74
"62","2018-12-17",19.74
"63","2018-12-18",19.139999
"64","2018-12-19",18.120001
"65","2018-12-20",17.459999
"66","2018-12-21",16.620001
"67","2018-12-24",15.75
"68","2018-12-26",14.46
"69","2018-12-27",13.44
"70","2018-12-28",12.6
"71","2018-12-31",12.81
"72","2019-01-02",12.96
"73","2019-01-03",12.84
"74","2019-01-04",13.2
"75","2019-01-07",13.29
"76","2019-01-08",14.97
"77","2019-01-09",16.290001
"78","2019-01-10",18.75
"79","2019-01-11",17.700001
"80","2019-01-14",16.26
"81","2019-01-15",16.26
"82","2019-01-16",15.51
"83","2019-01-17",15.36
"84","2019-01-18",15.72
"85","2019-01-22",15.39
"86","2019-01-23",15.09
"87","2019-01-24",16.08
"88","2019-01-25",15.45
"89","2019-01-28",15.99
"90","2019-01-29",16.049999
"91","2019-01-30",16.110001
"92","2019-01-31",16.98
"93","2019-02-01",17.4
"94","2019-02-04",16.5
"95","2019-02-05",16.889999
"96","2019-02-06",16.59
"97","2019-02-07",15.99
"98","2019-02-08",15
"99","2019-02-11",15.57
"100","2019-02-12",15.54
"101","2019-02-13",15.84
"102","2019-02-14",15.75
"103","2019-02-15",16.26
"104","2019-02-19",16.41
"105","2019-02-20",16.83
"106","2019-02-21",15.78
"107","2019-02-22",17.129999
"108","2019-02-25",21.24
"109","2019-02-26",21.33
"110","2019-02-27",22.08
"111","2019-02-28",21.9
"112","2019-03-01",21.51
"113","2019-03-04",20.85
"114","2019-03-05",20.25
"115","2019-03-06",20.16
"116","2019-03-07",19.59
"117","2019-03-08",19.049999
"118","2019-03-11",20.610001
"119","2019-03-12",19.049999
"120","2019-03-13",18.93
"121","2019-03-14",17.549999
"122","2019-03-15",16.35
"123","2019-03-18",18.540001
"124","2019-03-19",19.41
"125","2019-03-20",18.450001
"126","2019-03-21",18.24
"127","2019-03-22",18
"128","2019-03-25",18
"129","2019-03-26",18
"130","2019-03-27",17.879999
"131","2019-03-28",17.34
"132","2019-03-29",16.799999
"133","2019-04-01",16.860001
"134","2019-04-02",16.950001
"135","2019-04-03",17.4
"136","2019-04-04",16.98
"137","2019-04-05",17.610001
"138","2019-04-08",16.35
"139","2019-04-09",16.35
"140","2019-04-10",15.96
"141","2019-04-11",16.049999
"142","2019-04-12",15.93
"143","2019-04-15",15.51
"144","2019-04-16",16.290001
"145","2019-04-17",15.36
"146","2019-04-18",15.48
"147","2019-04-22",15.09
"148","2019-04-23",15.12
"149","2019-04-24",15
"150","2019-04-25",14.97
"151","2019-04-26",14.79
"152","2019-04-29",15.21
"153","2019-04-30",14.85
"154","2019-05-01",14.73
"155","2019-05-02",14.55
"156","2019-05-03",15.54
"157","2019-05-06",15.27
"158","2019-05-07",15.03
"159","2019-05-08",15
"160","2019-05-09",14.67
"161","2019-05-10",14.61
"162","2019-05-13",14.19
"163","2019-05-14",14.64
"164","2019-05-15",16.200001
"165","2019-05-16",16.02
"166","2019-05-17",16.110001
"167","2019-05-20",15.9
"168","2019-05-21",17.1
"169","2019-05-22",17.07
"170","2019-05-23",16.559999
"171","2019-05-24",15.78
"172","2019-05-28",14.55
"173","2019-05-29",12.75
"174","2019-05-30",12.93
"175","2019-05-31",12.87
"176","2019-06-03",12.78
"177","2019-06-04",13.14
"178","2019-06-05",12.6
"179","2019-06-06",11.64
"180","2019-06-07",11.85
