"","date","ZM"
"1","2019-04-18",62
"2","2019-04-22",65.699997
"3","2019-04-23",69
"4","2019-04-24",63.200001
"5","2019-04-25",65
"6","2019-04-26",66.220001
"7","2019-04-29",68.169998
"8","2019-04-30",72.470001
"9","2019-05-01",72.760002
"10","2019-05-02",75.5
"11","2019-05-03",79.18
"12","2019-05-06",78.239998
"13","2019-05-07",73.330002
"14","2019-05-08",77.68
"15","2019-05-09",75.209999
"16","2019-05-10",79.629997
"17","2019-05-13",72.540001
"18","2019-05-14",73.139999
"19","2019-05-15",79.760002
"20","2019-05-16",83.400002
"21","2019-05-17",89.980003
"22","2019-05-20",84.669998
"23","2019-05-21",85.440002
"24","2019-05-22",82.43
"25","2019-05-23",78.760002
"26","2019-05-24",76.25
"27","2019-05-28",77.769997
"28","2019-05-29",75.769997
"29","2019-05-30",80.419998
"30","2019-05-31",79.730003
"31","2019-06-03",75.900002
"32","2019-06-04",78.739998
"33","2019-06-05",78.040001
"34","2019-06-06",79.43
"35","2019-06-07",94.050003
"36","2019-06-10",102
"37","2019-06-11",94.870003
"38","2019-06-12",102.769997
"39","2019-06-13",100.949997
"40","2019-06-14",100.290001
"41","2019-06-17",98.110001
"42","2019-06-18",99.639999
"43","2019-06-19",102.389999
"44","2019-06-20",102.300003
"45","2019-06-21",100.470001
"46","2019-06-24",89.410004
"47","2019-06-25",85.029999
"48","2019-06-26",86.330002
"49","2019-06-27",90.269997
"50","2019-06-28",88.790001
"51","2019-07-01",86.860001
"52","2019-07-02",85.129997
"53","2019-07-03",90.449997
"54","2019-07-05",91.879997
"55","2019-07-08",90.760002
"56","2019-07-09",90.93
"57","2019-07-10",92.720001
"58","2019-07-11",91.400002
"59","2019-07-12",93.300003
"60","2019-07-15",99.800003
"61","2019-07-16",97.099998
"62","2019-07-17",99.730003
"63","2019-07-18",95.190002
"64","2019-07-19",93.379997
"65","2019-07-22",96.669998
"66","2019-07-23",97.389999
"67","2019-07-24",95.940002
