Date,High,Low,Open,Close,Volume,Adj Close
2016-02-08,164.0,144.0,164.0,144.0,743.0,144.0
2016-02-09,152.0,144.0,144.0,144.0,602.0,144.0
2016-02-10,144.0,140.0,144.0,140.0,737.0,140.0
2016-02-11,144.0,132.0,140.0,132.0,535.0,132.0
2016-02-12,148.0,132.0,136.0,140.0,429.0,140.0
2016-02-16,172.0,148.0,152.0,168.0,1779.0,168.0
2016-02-17,168.0,152.0,168.0,164.0,639.0,164.0
2016-02-18,164.0,152.0,164.0,160.0,293.0,160.0
2016-02-19,160.0,144.0,152.0,148.0,688.0,148.0
2016-02-22,160.0,148.0,148.0,152.0,294.0,152.0
2016-02-23,156.0,148.0,156.0,148.0,286.0,148.0
2016-02-24,152.0,136.0,148.0,148.0,561.0,148.0
2016-02-25,156.0,140.0,152.0,156.0,301.0,156.0
2016-02-26,156.0,148.0,148.0,152.0,227.0,152.0
2016-02-29,160.0,148.0,152.0,152.0,578.0,152.0
2016-03-01,156.0,152.0,156.0,156.0,501.0,156.0
2016-03-02,176.0,156.0,160.0,168.0,1480.0,168.0
2016-03-03,176.0,160.0,176.0,168.0,718.0,168.0
2016-03-04,176.0,160.0,168.0,168.0,997.0,168.0
2016-03-07,180.0,168.0,176.0,180.0,839.0,180.0
2016-03-08,184.0,160.0,184.0,160.0,1939.0,160.0
2016-03-09,172.0,140.0,172.0,152.0,1383.0,152.0
2016-03-10,164.0,148.0,156.0,156.0,1629.0,156.0
2016-03-11,160.0,148.0,156.0,152.0,955.0,152.0
2016-03-14,156.0,148.0,156.0,148.0,516.0,148.0
2016-03-15,152.0,136.0,152.0,140.0,1090.0,140.0
2016-03-16,148.0,144.0,144.0,148.0,303.0,148.0
2016-03-17,156.0,140.0,152.0,156.0,1008.0,156.0
2016-03-18,164.0,148.0,156.0,152.0,2457.0,152.0
2016-03-21,160.0,144.0,152.0,148.0,702.0,148.0
2016-03-22,220.0,152.0,152.0,204.0,5217.0,204.0
2016-03-23,192.0,164.0,192.0,172.0,2973.0,172.0
2016-03-24,204.0,152.0,172.0,184.0,2151.0,184.0
2016-03-28,228.0,168.0,224.0,184.0,7663.0,184.0
2016-03-29,136.0,104.0,132.0,112.0,14359.0,112.0
2016-03-30,116.0,104.0,116.0,104.0,4755.0,104.0
2016-03-31,112.0,92.0,104.0,108.0,7988.0,108.0
2016-04-01,112.0,100.0,108.0,100.0,2248.0,100.0
2016-04-04,104.0,92.0,104.0,96.0,3304.0,96.0
2016-04-05,96.0,88.0,96.0,88.0,2382.0,88.0
2016-04-06,100.0,88.0,92.0,96.0,2051.0,96.0
2016-04-07,100.0,92.0,96.0,96.0,1267.0,96.0
2016-04-08,104.0,92.0,96.0,104.0,2059.0,104.0
2016-04-11,108.0,96.0,104.0,104.0,1990.0,104.0
2016-04-12,120.0,100.0,112.0,116.0,7178.0,116.0
2016-04-13,120.0,108.0,120.0,108.0,3735.0,108.0
2016-04-14,112.0,104.0,112.0,108.0,1844.0,108.0
2016-04-15,108.0,100.0,108.0,104.0,1524.0,104.0
2016-04-18,108.0,100.0,104.0,104.0,604.0,104.0
2016-04-19,112.0,104.0,104.0,108.0,1013.0,108.0
2016-04-20,120.0,104.0,112.0,112.0,7806.0,112.0
2016-04-21,120.0,104.0,120.0,104.0,4045.0,104.0
2016-04-22,108.0,104.0,108.0,108.0,2300.0,108.0
2016-04-25,112.0,104.0,112.0,104.0,2447.0,104.0
2016-04-26,112.0,100.0,108.0,104.0,1944.0,104.0
2016-04-27,112.0,100.0,112.0,104.0,3585.0,104.0
2016-04-28,112.0,100.0,112.0,104.0,3745.0,104.0
2016-04-29,108.0,100.0,104.0,104.0,2572.0,104.0
2016-05-02,108.0,104.0,104.0,104.0,3026.0,104.0
2016-05-03,108.0,104.0,104.0,104.0,1945.0,104.0
2016-05-04,108.0,100.0,108.0,108.0,3543.0,108.0
2016-05-05,108.0,100.0,108.0,100.0,1955.0,100.0
2016-05-06,140.0,100.0,104.0,128.0,21069.0,128.0
2016-05-09,164.0,124.0,140.0,140.0,25802.0,140.0
2016-05-10,148.0,112.0,148.0,120.0,12356.0,120.0
2016-05-11,124.0,108.0,124.0,116.0,4428.0,116.0
2016-05-12,136.0,116.0,120.0,128.0,8361.0,128.0
2016-05-13,176.0,144.0,144.0,156.0,47310.0,156.0
2016-05-16,152.0,116.0,148.0,124.0,21388.0,124.0
2016-05-17,128.0,104.0,128.0,112.0,6175.0,112.0
2016-05-18,140.0,108.0,112.0,136.0,19218.0,136.0
2016-05-19,156.0,120.0,148.0,124.0,23040.0,124.0
2016-05-20,136.0,120.0,124.0,128.0,5232.0,128.0
2016-05-23,136.0,124.0,124.0,136.0,5063.0,136.0
2016-05-24,136.0,128.0,136.0,136.0,4566.0,136.0
2016-05-25,152.0,132.0,136.0,144.0,17034.0,144.0
2016-05-26,148.0,136.0,144.0,140.0,9602.0,140.0
2016-05-27,148.0,136.0,140.0,140.0,7785.0,140.0
2016-05-31,152.0,132.0,148.0,140.0,12032.0,140.0
2016-06-01,144.0,132.0,140.0,136.0,4016.0,136.0
2016-06-02,140.0,128.0,136.0,128.0,5727.0,128.0
2016-06-03,136.0,128.0,132.0,136.0,4276.0,136.0
2016-06-06,164.0,132.0,136.0,160.0,19401.0,160.0
2016-06-07,276.0,180.0,188.0,240.0,112305.0,240.0
2016-06-08,544.0,368.0,460.0,384.0,314954.0,384.0
2016-06-09,356.0,272.0,332.0,280.0,88905.0,280.0
2016-06-10,192.0,172.0,184.0,176.0,80693.0,176.0
2016-06-13,220.0,176.0,176.0,192.0,80157.0,192.0
2016-06-14,212.0,180.0,200.0,188.0,35550.0,188.0
2016-06-15,216.0,188.0,200.0,208.0,54529.0,208.0
2016-06-16,268.0,228.0,248.0,236.0,94989.0,236.0
2016-06-17,264.0,240.0,256.0,240.0,41997.0,240.0
2016-06-20,248.0,220.0,248.0,236.0,27372.0,236.0
2016-06-21,240.0,216.0,240.0,220.0,18376.0,220.0
2016-06-22,224.0,196.0,220.0,204.0,22775.0,204.0
2016-06-23,236.0,200.0,200.0,232.0,30452.0,232.0
2016-06-24,248.0,204.0,212.0,244.0,36226.0,244.0
