,index,value
0,GSK,GlaxoSmithKline PLC
1,GS,"Goldman Sachs Group, Inc. (The)"
2,GUSH,Direxion Daily S&P Oil & Gas Ex
3,GSM,Ferroglobe PLC
4,GSAH,GS Acquisition Holdings Corp II
5,GH,"Guardant Health, Inc."
6,GSX,GSX Techedu Inc.
7,SH,ProShares Short S&P500
8,GSG,iShares GSCI Commodity-Indexed 
9,OSH,"Oak Street Health, Inc."
10,ASH,Ashland Global Holdings Inc.
11,GSV,Gold Standard Ventures Corporat
12,VSH,"Vishay Intertechnology, Inc."
13,GSL,Global Ship Lease Inc New
14,GSS,"Golden Star Resources, Ltd"
15,GSHD,"Goosehead Insurance, Inc."
16,VGSH,Vanguard Short-Term Treasury ET
17,HGSH,"China HGS Real Estate, Inc."
18,SGH,"SMART Global Holdings, Inc."
19,GTH,Genetron Holdings Limited
20,NSH,"NavSight Holdings, Inc."
21,GSY,Invesco Ultra Short Duration ET
22,GSP,Barclays Bank PLC iPath Exchang
23,GSPH,GEOSPATIAL CORPORATION
24,GJH,Synthetic Fixed-Income Securiti
