,index,value
0,AIM,AIM ImmunoTech Inc.
1,IMVT,"Immunovant, Inc."
2,IMMR,Immersion Corporation
3,IMMP,Immutep Limited
4,ACIU,AC Immune SA
5,IMGN,"ImmunoGen, Inc."
6,IPA,ImmunoPrecise Antibodies Ltd.
7,IMUX,"Immunic, Inc."
8,IDNA,iShares Genomics Immunology and
9,ICCC,ImmuCell Corporation
10,IMNM,"Immunome, Inc."
11,ALPN,"Alpine Immune Sciences, Inc."
12,IMRN,Immuron Limited
13,IPA.V,IMMUNOPRECISE ANTIBODIES LTD
14,IMUC,IMMUNOCELLULAR THERAPEUTICS LTD
15,IMNPQ,IMMUNE PHARMACEUTICALS INC
16,OSE.PA,OSE IMMUNO
17,IMMB,IMMUNOTECH LABORATORIES INC
18,CNCR,Loncar Cancer Immunotherapy ETF
19,OXFD,Oxford Immunotec Global PLC
20,IMUN,IMMUNE THERAPEUTICS INC FLA
21,CPMV,MOSAIC IMMUNOENGINEERING INC
22,IMM.AX,IMMUTEP FPO
23,BIBCL.BO,BHARAT IMMUNOLOGICALS & BIOLOG
24,PRRUF,IMMUTEP LTD
