,index,value
0,SRNE,"Sorrento Therapeutics, Inc."
1,TREE,"LendingTree, Inc."
2,TRNX,TARONIS TECHNOLOGIES INC
3,TRN,"Trinity Industries, Inc."
4,TRUE,"TrueCar, Inc."
5,TRNF,TARONIS FUELS INC
6,TRNS,"Transcat, Inc."
7,TRNO,Terreno Realty Corporation
8,TRNE,Trine Acquisition Corp.
9,TRNEX,T. Rowe Price New Era Fund - I 
10,BRNE,BORNEO RESOURCE INVESTMENTS LTD
11,TREN,TREND INNOVATIONS HOLDING INC
12,TRND,Pacer Trendpilot Fund of Funds 
13,TRND,TRND
14,TRAE,TRITON AMERICANN ENERGY CORP IN
15,TRRE,TERRA ENERGY & RESOURCE TECHNOL
16,RNE,RNE
17,TRNC,TRNC
18,TRE,TRE
19,TWNE,TOWNE BANCORP INC
20,DRNE,DRNE
