"","V1"
"ind",Education & Training Services
"ind",Shell Companies
"ind",NA
"ind",NA
"ind",Airlines
"ind",Insurance<U+2014>Life
"ind",Semiconductors
"ind",Building Products & Equipment
"ind",Consumer Electronics
"ind",Airports & Air Services
"ind",Aerospace & Defense
"ind",Banks<U+2014>Regional
"ind",Biotechnology
"ind",Biotechnology
"ind",Medical Devices
"ind",Banks<U+2014>Regional
"ind",Biotechnology
"ind",Biotechnology
"ind",Shell Companies
"ind",Shell Companies
"ind",NA
"ind",Banks<U+2014>Regional
"ind",Health Information Services
"ind",Biotechnology
"ind",Biotechnology
"ind",Shell Companies
"ind",Shell Companies
"ind",NA
"ind",Insurance<U+2014>Diversified
"ind",Insurance<U+2014>Diversified
"ind",Insurance<U+2014>Diversified
"ind",Medical Care Facilities
"ind",Biotechnology
"ind",Communication Equipment
"ind",Biotechnology
"ind",Software<U+2014>Infrastructure
"ind",Semiconductor Equipment & Materials
"ind",Semiconductor Equipment & Materials
"ind",Banks<U+2014>Regional
"ind",Biotechnology
"ind",Biotechnology
"ind",Drug Manufacturers<U+2014>Specialty & Generic
"ind",Biotechnology
"ind",
"ind",Specialty Business Services
"ind",Biotechnology
"ind",Software<U+2014>Infrastructure
"ind",Pollution & Treatment Controls
"ind",Semiconductors
"ind",Biotechnology
"ind",NA
"ind",Biotechnology
"ind",Drug Manufacturers<U+2014>Specialty & Generic
"ind",Drug Manufacturers<U+2014>Specialty & Generic
"ind",Staffing & Employment Services
"ind",Biotechnology
"ind",Software<U+2014>Application
"ind",Communication Equipment
"ind",Biotechnology
"ind",Medical Care Facilities
"ind",Biotechnology
"ind",Biotechnology
"ind",Biotechnology
"ind",Engineering & Construction
"ind",Semiconductor Equipment & Materials
"ind",Electrical Equipment & Parts
"ind",Medical Devices
"ind",Utilities<U+2014>Regulated Electric
"ind",NA
"ind",Utilities<U+2014>Regulated Electric
"ind",Drug Manufacturers<U+2014>Specialty & Generic
"ind",Entertainment
"ind",Electronics & Computer Distribution
"ind",Software<U+2014>Application
"ind",Biotechnology
"ind",Medical Devices
"ind",REIT<U+2014>Diversified
"ind",REIT<U+2014>Diversified
"ind",Biotechnology
"ind",Education & Training Services
"ind",Shell Companies
"ind",NA
"ind",Shell Companies
"ind",NA
"ind",
"ind",Biotechnology
"ind",Farm Products
"ind",Biotechnology
"ind",Biotechnology
"ind",Software<U+2014>Application
"ind",REIT<U+2014>Mortgage
"ind",REIT<U+2014>Mortgage
"ind",REIT<U+2014>Mortgage
"ind",REIT<U+2014>Mortgage
"ind",REIT<U+2014>Mortgage
"ind",Drug Manufacturers<U+2014>Specialty & Generic
"ind",Biotechnology
"ind",Software<U+2014>Application
"ind",Shell Companies
"ind",Medical Devices
"ind",Medical Devices
"ind",Medical Care Facilities
"ind",Credit Services
"ind",Biotechnology
"ind",Specialty Industrial Machinery
"ind",Biotechnology
"ind",Asset Management
"ind",Communication Equipment
"ind",Integrated Freight & Logistics
"ind",Integrated Freight & Logistics
"ind",NA
"ind",Software<U+2014>Infrastructure
"ind",Biotechnology
"ind",Biotechnology
"ind",Medical Instruments & Supplies
"ind",Biotechnology
"ind",Communication Equipment
"ind",Biotechnology
"ind",Diagnostics & Research
"ind",Biotechnology
"ind",Shell Companies
"ind",NA
"ind",Shell Companies
"ind",
"ind",Biotechnology
"ind",Farm Products
"ind",Biotechnology
"ind",Biotechnology
"ind",Medical Devices
"ind",Airlines
"ind",Drug Manufacturers<U+2014>Specialty & Generic
"ind",Specialty Business Services
"ind",Biotechnology
"ind",Biotechnology
"ind",Biotechnology
"ind",Software<U+2014>Infrastructure
"ind",Biotechnology
"ind",Biotechnology
"ind",Computer Hardware
"ind",Biotechnology
"ind",Software<U+2014>Application
"ind",Biotechnology
"ind",Banks<U+2014>Regional
"ind",Telecom Services
"ind",Biotechnology
"ind",Banks<U+2014>Regional
"ind",Oil & Gas Midstream
"ind",Software<U+2014>Infrastructure
"ind",Biotechnology
"ind",Biotechnology
"ind",Biotechnology
"ind",Information Technology Services
"ind",Biotechnology
"ind",Banks<U+2014>Regional
"ind",Semiconductor Equipment & Materials
"ind",Semiconductor Equipment & Materials
"ind",Shell Companies
"ind",Shell Companies
"ind",NA
"ind",Broadcasting
"ind",Semiconductors
"ind",Medical Care Facilities
"ind",Medical Care Facilities
"ind",Drug Manufacturers<U+2014>General
"ind",Shell Companies
"ind",Shell Companies
"ind",NA
"ind",Semiconductors
"ind",Banks<U+2014>Regional
"ind",Electronic Components
"ind",Drug Manufacturers<U+2014>Specialty & Generic
"ind",Banks<U+2014>Regional
"ind",Information Technology Services
"ind",NA
"ind",Capital Markets
"ind",Biotechnology
"ind",Specialty Chemicals
